"","caso","v1","v2","v3","v4a","v4b","v5","c1","c2","c3","v4a_d","v4b_d","v2_d"
"1",1,5,5,4,NA,5,5,21,2,2,0,1,1
"2",2,5,5,4,4,4,5,21,2,2,1,1,1
"3",3,5,5,4,2,2,5,21,1,2,1,1,1
"4",4,5,4,3,NA,3,4,20,2,2,0,1,1
"5",5,5,5,2,5,5,5,24,2,2,1,1,1
"6",6,5,5,5,5,5,5,26,2,1,1,1,1
"7",7,5,NA,5,1,NA,4,22,2,1,1,0,0
"8",8,5,4,3,3,3,5,23,1,2,1,1,1
"9",9,4,4,4,1,1,5,22,2,2,1,1,1
"10",10,5,2,3,NA,NA,3,21,2,1,0,0,1
"11",11,5,5,3,3,3,5,23,1,2,1,1,1
"12",12,5,4,2,4,4,5,21,1,2,1,1,1
"13",13,5,3,4,2,2,4,23,2,2,1,1,1
"14",14,5,4,5,1,1,3,22,2,1,1,1,1
"15",15,5,5,5,3,3,4,24,2,2,1,1,1
"16",16,5,NA,3,2,NA,5,27,1,1,1,0,0
"17",17,5,NA,5,1,NA,3,21,1,1,1,0,0
"18",18,5,4,4,NA,NA,3,20,1,1,0,0,1
"19",19,5,4,2,4,4,4,21,2,2,1,1,1
"20",20,1,5,3,4,4,5,23,2,2,1,1,1
"21",21,5,4,3,4,4,5,20,2,2,1,1,1
"22",22,5,5,3,4,4,5,20,2,2,1,1,1
"23",23,5,4,5,4,4,5,20,2,1,1,1,1
"24",24,5,3,1,5,5,5,22,1,1,1,1,1
"25",25,5,3,5,1,1,3,24,1,1,1,1,1
"26",26,4,NA,5,1,NA,5,23,2,2,1,0,0
"27",27,2,3,5,1,NA,3,20,2,2,1,0,1
"28",28,4,4,5,NA,2,5,22,2,2,0,1,1
"29",29,5,4,4,NA,5,5,22,1,1,0,1,1
"30",30,5,5,5,5,5,5,23,2,2,1,1,1
