instrumento,nota,volumen,dura,empieza,termina
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,-1.0,0.0,1.121496,0.0,1.121496
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76.0,127.0,0.2803740000000001,1.121496,1.4018700000000002
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
-1.0,-1.0,0.0,0.2803740000000001,1.4018700000000002,1.6822440000000003
