instrumento,nota,volumen,dura,empieza,termina
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
-1.0,-1.0,0.0,3.6666685,0.0,3.6666685
