Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Pad 1 (new age),88,67,G4,127,0.13194451041666655,3.1319460104166668,3.2638905208333333
Pad 1 (new age),88,62,D4,127,0.15277785416666667,3.3125016562500003,3.465279510416667
Pad 1 (new age),88,55,G3,127,3.47916840625,2.7916680625,6.27083646875
Pad 1 (new age),88,48,C3,127,3.611112916666667,2.666668,6.277780916666667
Pad 1 (new age),88,64,E4,127,3.305557208333333,3.527779541666667,6.83333675
Pad 1 (new age),88,60,C4,127,3.8819463854166667,2.9652792604166667,6.847225645833333
Pad 1 (new age),88,41,F2,127,2.3611122916666663,6.715281135416667,9.076393427083334
Pad 1 (new age),88,60,C4,127,0.4791669062500006,8.6250043125,9.10417121875
Pad 1 (new age),88,48,C3,127,1.8194453541666658,7.298614760416667,9.118060114583333
Pad 1 (new age),88,53,F3,127,1.1944450416666674,7.9305595208333335,9.125004562500001
Pad 1 (new age),88,65,F4,127,0.4791669062500006,8.652782104166667,9.131949010416667
Pad 1 (new age),88,62,D4,127,2.319445604166667,9.27083796875,11.590283572916666
Pad 1 (new age),88,55,G3,127,2.35416784375,9.2916713125,11.64583915625
Pad 1 (new age),88,43,G2,127,2.451390114583335,9.27083796875,11.722228083333334
Pad 1 (new age),88,50,D3,127,2.493056802083334,9.2916713125,11.784728114583334
Pad 1 (new age),88,67,G4,127,2.5763901770833346,9.27083796875,11.847228145833334
Pad 1 (new age),88,72,C5,127,1.215278385416667,11.944450416666667,13.159728802083334
Pad 1 (new age),88,67,G4,127,1.2916673124999996,11.944450416666667,13.236117729166667
Pad 1 (new age),88,48,C3,127,1.3263895520833344,11.930561520833333,13.256951072916667
Pad 1 (new age),88,67,G4,127,1.1944450416666665,13.284728864583334,14.47917390625
Pad 1 (new age),88,47,B2,127,1.215278385416667,13.284728864583334,14.500007250000001
Pad 1 (new age),88,71,B4,127,1.2430561770833322,13.277784416666668,14.52084059375
Pad 1 (new age),88,64,E4,127,2.576390177083333,11.944450416666667,14.52084059375
Pad 1 (new age),88,69,A4,127,1.2013894895833328,14.638896208333334,15.840285697916666
Pad 1 (new age),88,45,A2,127,1.2291672812499996,14.631951760416667,15.861119041666667
Pad 1 (new age),88,64,E4,127,2.4722234583333336,14.638896208333334,17.111119666666667
Pad 1 (new age),88,43,G2,127,1.1597228020833334,15.9583413125,17.118064114583333
Pad 1 (new age),88,67,G4,127,1.173611697916666,15.9583413125,17.131953010416666
Pad 1 (new age),88,65,F4,127,2.493056802083334,17.2916753125,19.784732114583335
Pad 1 (new age),88,41,F2,127,2.5000012500000004,17.284730864583334,19.784732114583335
Pad 1 (new age),88,69,A4,127,2.5277790416666654,17.284730864583334,19.81250990625
Pad 1 (new age),88,74,D5,127,0.08333337500000226,19.930565520833333,20.013898895833336
Pad 1 (new age),88,38,D2,127,1.1319450104166684,19.930565520833333,21.062510531250002
Pad 1 (new age),88,45,A2,127,1.2083339375000008,21.263899520833334,22.472233458333335
Pad 1 (new age),88,69,A4,127,2.5972235208333316,19.916676625,22.513900145833333
Pad 1 (new age),88,72,C5,127,2.597223520833335,19.923621072916667,22.520844593750002
Pad 1 (new age),88,69,A4,127,1.2222228333333334,22.638900208333332,23.861123041666666
Pad 1 (new age),88,72,C5,127,1.2291672812500032,22.638900208333332,23.868067489583336
Pad 1 (new age),88,67,G4,127,1.055556083333336,23.97917865625,25.034734739583335
Pad 1 (new age),88,71,B4,127,1.215278385416667,23.97917865625,25.194457041666666
Pad 1 (new age),88,43,G2,127,2.590279072916669,22.631955760416666,25.222234833333335
Pad 1 (new age),88,72,C5,127,2.3541678437500018,25.326401552083333,27.680569395833334
Pad 1 (new age),88,64,E4,127,2.381945635416667,25.326401552083333,27.7083471875
Pad 1 (new age),88,67,G4,127,1.4375007187500017,26.284735364583334,27.722236083333335
Pad 1 (new age),88,48,C3,127,2.5416679375000015,25.326401552083333,27.868069489583334
Pad 1 (new age),88,60,C4,127,2.381945635416667,27.923625072916668,30.305570708333335
Pad 1 (new age),88,65,F4,127,2.4444456666666667,27.923625072916668,30.368070739583334
Pad 1 (new age),88,69,A4,127,2.4652790104166655,27.923625072916668,30.388904083333333
Pad 1 (new age),88,41,F2,127,2.5277790416666654,27.986125104166668,30.513904145833333
Pad 1 (new age),88,62,D4,127,2.354167843749998,30.65279310416667,33.00696094791667
Pad 1 (new age),88,71,B4,127,2.4444456666666667,30.65279310416667,33.097238770833336
Pad 1 (new age),88,67,G4,127,2.5625012812500003,30.65279310416667,33.21529438541667
Pad 1 (new age),88,43,G2,127,2.590279072916669,30.638904208333333,33.22918328125
Pad 1 (new age),88,67,G4,127,0.875000437500006,33.298627760416665,34.17362819791667
Pad 1 (new age),88,72,C5,127,1.1041672187499998,33.30557220833334,34.40973942708334
Pad 1 (new age),88,48,C3,127,1.1805561458333287,33.30557220833334,34.48612835416667
Pad 1 (new age),88,64,E4,127,1.2430561770833322,33.30557220833334,34.54862838541667
Pad 1 (new age),88,68,G#4,127,0.152777854166672,34.39585053125,34.54862838541667
Pad 1 (new age),88,64,E4,127,1.1180561145833323,34.666684000000004,35.784740114583336
Pad 1 (new age),88,68,G#4,127,1.138889458333331,34.666684000000004,35.805573458333335
Pad 1 (new age),88,71,B4,127,1.1458339062499974,34.666684000000004,35.81251790625
Pad 1 (new age),88,40,E2,127,1.15972280208333,34.65973955208334,35.81946235416667
Pad 1 (new age),88,69,A4,127,1.2083339375000008,35.95140686458333,37.159740802083334
Pad 1 (new age),88,45,A2,127,1.2986117604166694,35.94446241666667,37.24307417708334
Pad 1 (new age),88,64,E4,127,2.4444456666666667,35.95140686458333,38.39585253125
Pad 1 (new age),88,67,G4,127,1.1180561145833323,37.284740864583334,38.402796979166666
Pad 1 (new age),88,72,C5,127,2.4930568020833377,35.95140686458333,38.44446366666667
Pad 1 (new age),88,43,G2,127,1.1736116979166695,37.284740864583334,38.458352562500004
Pad 1 (new age),88,65,F4,127,2.4097234270833354,38.60418596875,41.01390939583334
Pad 1 (new age),88,69,A4,127,2.4652790104166655,38.60418596875,41.06946497916667
Pad 1 (new age),88,41,F2,127,2.506945697916663,38.597241520833336,41.10418721875
Pad 1 (new age),88,62,D4,127,2.3263900520833403,41.36807623958333,43.69446629166667
Pad 1 (new age),88,38,D2,127,2.3611122916666716,41.36807623958333,43.72918853125
Pad 1 (new age),88,69,A4,127,2.395834531250003,41.36807623958333,43.763910770833334
Pad 1 (new age),88,66,F#4,127,2.4166678750000017,41.361131791666665,43.77779966666667
Pad 1 (new age),88,62,D4,127,1.416667375000003,43.93057752083333,45.347244895833335
Pad 1 (new age),88,62,D4,127,0.5000002499999994,45.750022875,46.250023125
Pad 1 (new age),88,67,G4,127,2.3819456354166704,43.93057752083333,46.31252315625
Pad 1 (new age),88,71,B4,127,2.402778979166669,43.93057752083333,46.3333565
Pad 1 (new age),88,43,G2,127,2.583334625000006,43.93057752083333,46.51391214583334
Pad 1 (new age),88,64,E4,127,1.1458339062499974,46.680578895833335,47.82641280208333
Pad 1 (new age),88,69,A4,127,1.1666672500000033,46.680578895833335,47.84724614583334
Pad 1 (new age),88,72,C5,127,1.1805561458333358,46.680578895833335,47.86113504166667
Pad 1 (new age),88,45,A2,127,1.2013894895833346,46.680578895833335,47.88196838541667
Vibraphone,11,67,G4,127,0.15972230208333338,3.1597238020833336,3.319446104166667
Vibraphone,11,62,D4,127,0.16666675000000009,3.3472238958333334,3.5138906458333334
Vibraphone,11,64,E4,127,2.4930568020833337,3.52083509375,6.013891895833334
Vibraphone,11,60,C4,127,3.0416681875000005,2.986112604166667,6.027780791666667
Vibraphone,11,55,G3,127,3.4930573020833338,2.7986125104166666,6.2916698125
Vibraphone,11,48,C3,127,3.6597240520833334,2.666668,6.326392052083333
Vibraphone,11,41,F2,127,2.2083344375000005,6.638892208333334,8.847226645833334
Vibraphone,11,53,F3,127,2.388890083333332,6.638892208333334,9.027782291666666
Vibraphone,11,57,A3,127,2.423612322916667,6.638892208333334,9.062504531250001
Vibraphone,11,59,B3,127,2.187501093749999,9.243060177083334,11.430561270833334
Vibraphone,11,43,G2,127,2.22916778125,9.250004625,11.479172406250001
Vibraphone,11,55,G3,127,2.430556770833334,9.236115729166666,11.6666725
Vibraphone,11,60,C4,127,1.076389427083333,11.937505968750001,13.013895395833334
Vibraphone,11,48,C3,127,1.236111729166666,11.937505968750001,13.173617697916667
Vibraphone,11,64,E4,127,1.2430561770833322,11.937505968750001,13.180562145833333
Vibraphone,11,55,G3,127,1.2638895208333327,11.937505968750001,13.201395489583334
Vibraphone,11,55,G3,127,1.0347227395833336,13.319451104166667,14.35417384375
Vibraphone,11,59,B3,127,1.0625005312500004,13.319451104166667,14.381951635416668
Vibraphone,11,64,E4,127,1.2083339375000008,13.326395552083333,14.534729489583334
Vibraphone,11,47,B2,127,1.2291672812499996,13.312506656250001,14.5416739375
Vibraphone,11,57,A3,127,1.1527783541666672,14.666674,15.819452354166668
Vibraphone,11,45,A2,127,1.1388894583333329,14.687507343750001,15.826396802083334
Vibraphone,11,64,E4,127,2.2638900208333332,14.673618447916667,16.93750846875
Vibraphone,11,60,C4,127,2.298612260416668,14.666674,16.96528626041667
Vibraphone,11,55,G3,127,0.9652782604166674,16.069452479166667,17.034730739583335
Vibraphone,11,43,G2,127,0.97916715625,16.069452479166667,17.048619635416667
Vibraphone,11,53,F3,127,2.2916678124999983,17.284730864583334,19.576398677083333
Vibraphone,11,60,C4,127,2.423612322916668,17.284730864583334,19.708343187500002
Vibraphone,11,57,A3,127,2.4375012187500005,17.284730864583334,19.722232083333335
Vibraphone,11,41,F2,127,2.5277790416666654,17.284730864583334,19.81250990625
Vibraphone,11,60,C4,127,1.2708339687500008,19.97917665625,21.250010625
Vibraphone,11,57,A3,127,2.493056802083334,19.97917665625,22.472233458333335
Vibraphone,11,60,C4,127,1.1666672499999997,21.31251065625,22.47917790625
Vibraphone,11,57,A3,127,1.2291672812499996,22.645844656250002,23.875011937500002
Vibraphone,11,60,C4,127,1.2569450729166647,22.645844656250002,23.902789729166667
Vibraphone,11,59,B3,127,1.0347227395833336,24.013900895833334,25.048623635416668
Vibraphone,11,55,G3,127,1.111111666666666,24.006956447916668,25.118068114583334
Vibraphone,11,64,E4,127,2.2708344687499995,25.3750126875,27.64584715625
Vibraphone,11,60,C4,127,2.291667812500002,25.3750126875,27.666680500000002
Vibraphone,11,55,G3,127,2.298612260416668,25.3750126875,27.673624947916668
Vibraphone,11,48,C3,127,2.402778979166669,25.3750126875,27.77779166666667
Vibraphone,11,65,F4,127,2.131945510416667,28.006958447916666,30.138903958333334
