instrumento,nota,volumen,dura,empieza,termina
-1.0,72.0,126.0,0.09895833333333333,0.0,0.09895833333333333
-1.0,-1.0,0.0,0.02083333333333333,0.09895833333333333,0.11979166666666666
-1.0,61.0,112.0,0.08333333333333334,0.11979166666666666,0.203125
-1.0,63.0,127.0,0.21354166666666666,0.0,0.21354166666666666
-1.0,-1.0,0.0,0.03645833333333334,0.21354166666666666,0.25
-1.0,76.0,126.0,0.059895833333333315,0.25,0.3098958333333333
-1.0,-1.0,0.0,0.07552083333333331,0.3098958333333333,0.38541666666666663
-1.0,61.0,126.0,0.06770833333333337,0.38541666666666663,0.453125
-1.0,72.0,124.0,0.13020833333333331,0.375,0.5052083333333333
-1.0,-1.0,0.0,0.11979166666666674,0.5052083333333333,0.625
-1.0,76.0,126.0,0.07552083333333326,0.625,0.7005208333333333
-1.0,61.0,126.0,0.07291666666666663,0.640625,0.7135416666666666
-1.0,-1.0,0.0,0.16145833333333337,0.7135416666666666,0.875
-1.0,76.0,123.0,0.0546875,0.875,0.9296875
-1.0,61.0,127.0,0.0625,0.90625,0.96875
-1.0,64.0,127.0,0.2916666666666665,0.75,1.0416666666666665
-1.0,76.0,126.0,0.07031249999999989,1.0,1.0703125
-1.0,-1.0,0.0,0.0703125,1.0703125,1.140625
-1.0,60.0,127.0,0.07291666666666652,1.140625,1.2135416666666665
-1.0,76.0,127.0,0.46875,0.75,1.21875
-1.0,-1.0,0.0,0.03125,1.21875,1.25
-1.0,72.0,126.0,0.11067708333333331,1.25,1.3606770833333333
-1.0,-1.0,0.0,0.03515625,1.3606770833333333,1.3958333333333333
-1.0,60.0,127.0,0.08333333333333326,1.3958333333333333,1.4791666666666665
-1.0,-1.0,0.0,0.02083333333333348,1.4791666666666665,1.5
-1.0,76.0,127.0,0.06944444444444435,1.5,1.5694444444444444
-1.0,-1.0,0.0,0.05555555555555558,1.5694444444444444,1.625
-1.0,71.0,124.0,0.0815972222222221,1.625,1.706597222222222
-1.0,61.0,127.0,0.06770833333333348,1.6666666666666665,1.734375
-1.0,-1.0,0.0,0.015625,1.734375,1.75
-1.0,64.0,127.0,0.15625,1.75,1.90625
-1.0,61.0,126.0,0.046875,1.8958333333333333,1.9427083333333333
-1.0,76.0,126.0,0.07552083333333326,1.875,1.9505208333333333
-1.0,-1.0,0.0,0.04947916666666674,1.9505208333333333,2.0
-1.0,76.0,127.0,0.07552083333333326,2.0,2.075520833333333
-1.0,61.0,120.0,0.0625,2.0260416666666665,2.0885416666666665
-1.0,69.0,127.0,0.20572916666666652,2.0,2.2057291666666665
-1.0,61.0,120.0,0.08333333333333348,2.161458333333333,2.2447916666666665
-1.0,-1.0,0.0,0.005208333333333481,2.2447916666666665,2.25
-1.0,76.0,126.0,0.05989583333333304,2.25,2.309895833333333
-1.0,-1.0,0.0,0.06510416666666696,2.309895833333333,2.375
-1.0,76.0,121.0,0.078125,2.375,2.453125
-1.0,60.0,127.0,0.07291666666666652,2.4010416666666665,2.473958333333333
-1.0,69.0,126.0,0.18229166666666652,2.375,2.5572916666666665
-1.0,-1.0,0.0,0.06770833333333348,2.5572916666666665,2.625
-1.0,76.0,126.0,0.07552083333333304,2.625,2.700520833333333
-1.0,60.0,127.0,0.07291666666666652,2.640625,2.7135416666666665
-1.0,-1.0,0.0,0.16145833333333348,2.7135416666666665,2.875
-1.0,76.0,123.0,0.0546875,2.875,2.9296875
-1.0,60.0,126.0,0.11458333333333348,2.8854166666666665,3.0
-1.0,64.0,127.0,0.2916666666666665,2.75,3.0416666666666665
-1.0,76.0,126.0,0.07031249999999978,3.0,3.0703125
-1.0,-1.0,0.0,0.0703125,3.0703125,3.140625
-1.0,61.0,120.0,0.046875,3.140625,3.1875
-1.0,76.0,127.0,0.46875,2.75,3.21875
-1.0,61.0,126.0,0.06770833333333304,3.21875,3.286458333333333
-1.0,76.0,126.0,0.078125,3.25,3.328125
-1.0,61.0,127.0,0.06770833333333304,3.296875,3.364583333333333
-1.0,62.0,127.0,0.20833333333333304,3.25,3.458333333333333
-1.0,-1.0,0.0,0.04166666666666696,3.458333333333333,3.5
-1.0,76.0,127.0,0.06944444444444435,3.5,3.569444444444444
-1.0,-1.0,0.0,0.0555555555555558,3.569444444444444,3.625
-1.0,71.0,124.0,0.08159722222222203,3.625,3.706597222222222
-1.0,60.0,127.0,0.078125,3.671875,3.75
-1.0,64.0,127.0,0.15625,3.75,3.90625
-1.0,76.0,126.0,0.07552083333333326,3.875,3.950520833333333
-1.0,60.0,126.0,0.05729166666666652,3.9010416666666665,3.958333333333333
-1.0,-1.0,0.0,0.04166666666666696,3.958333333333333,4.0
-1.0,76.0,127.0,0.07552083333333304,4.0,4.075520833333333
-1.0,60.0,126.0,0.078125,4.036458333333333,4.114583333333333
-1.0,69.0,127.0,0.20572916666666607,4.0,4.205729166666666
-1.0,60.0,112.0,0.09375,4.166666666666666,4.260416666666666
-1.0,76.0,126.0,0.05989583333333304,4.25,4.309895833333333
-1.0,-1.0,0.0,0.06510416666666696,4.309895833333333,4.375
-1.0,76.0,121.0,0.078125,4.375,4.453125
-1.0,60.0,127.0,0.09895833333333304,4.40625,4.505208333333333
-1.0,69.0,126.0,0.18229166666666652,4.375,4.557291666666666
-1.0,-1.0,0.0,0.06770833333333393,4.557291666666666,4.625
-1.0,70.0,126.0,0.06770833333333304,4.625,4.692708333333333
-1.0,61.0,127.0,0.052083333333333925,4.651041666666666,4.703125
-1.0,82.0,127.0,0.08333333333333304,4.625,4.708333333333333
-1.0,-1.0,0.0,0.026041666666666963,4.708333333333333,4.734375
-1.0,61.0,126.0,0.0625,4.734375,4.796875
-1.0,-1.0,0.0,0.026041666666666075,4.796875,4.822916666666666
-1.0,61.0,126.0,0.05729166666666696,4.822916666666666,4.880208333333333
-1.0,76.0,123.0,0.0546875,4.875,4.9296875
-1.0,-1.0,0.0,0.013020833333333037,4.9296875,4.942708333333333
-1.0,61.0,127.0,0.08333333333333304,4.942708333333333,5.026041666666666
-1.0,64.0,127.0,0.2916666666666661,4.75,5.041666666666666
-1.0,76.0,126.0,0.07031249999999956,5.0,5.0703125
-1.0,76.0,127.0,0.46875,4.75,5.21875
-1.0,60.0,126.0,0.078125,5.182291666666666,5.260416666666666
-1.0,72.0,126.0,0.11067708333333326,5.25,5.360677083333333
-1.0,-1.0,0.0,0.13932291666666696,5.360677083333333,5.5
-1.0,70.0,127.0,0.041666666666666075,5.5,5.541666666666666
-1.0,60.0,127.0,0.11458333333333304,5.427083333333333,5.541666666666666
-1.0,79.0,127.0,0.08333333333333304,5.5,5.583333333333333
-1.0,-1.0,0.0,0.04166666666666696,5.583333333333333,5.625
-1.0,71.0,124.0,0.08159722222222172,5.625,5.706597222222221
-1.0,60.0,127.0,0.08333333333333304,5.671875,5.755208333333333
-1.0,64.0,127.0,0.15625,5.75,5.90625
-1.0,70.0,126.0,0.06597222222222203,5.875,5.940972222222222
-1.0,-1.0,0.0,0.05902777777777768,5.940972222222222,6.0
-1.0,76.0,127.0,0.07552083333333304,6.0,6.075520833333333
-1.0,60.0,127.0,0.078125,6.010416666666666,6.088541666666666
-1.0,69.0,127.0,0.20572916666666607,6.0,6.205729166666666
-1.0,60.0,110.0,0.09375,6.135416666666666,6.229166666666666
-1.0,-1.0,0.0,0.020833333333333925,6.229166666666666,6.25
-1.0,76.0,126.0,0.05989583333333304,6.25,6.309895833333333
-1.0,-1.0,0.0,0.06510416666666696,6.309895833333333,6.375
-1.0,76.0,121.0,0.078125,6.375,6.453125
-1.0,60.0,126.0,0.078125,6.395833333333333,6.473958333333333
-1.0,69.0,126.0,0.18229166666666652,6.375,6.557291666666666
-1.0,-1.0,0.0,0.06770833333333393,6.557291666666666,6.625
-1.0,76.0,126.0,0.07552083333333304,6.625,6.700520833333333
-1.0,60.0,127.0,0.08333333333333304,6.640625,6.723958333333333
-1.0,-1.0,0.0,0.15104166666666696,6.723958333333333,6.875
-1.0,76.0,123.0,0.0546875,6.875,6.9296875
-1.0,60.0,126.0,0.09375,6.864583333333333,6.958333333333333
-1.0,64.0,127.0,0.2916666666666661,6.75,7.041666666666666
-1.0,76.0,126.0,0.07031249999999956,7.0,7.0703125
-1.0,-1.0,0.0,0.06510416666666607,7.0703125,7.135416666666666
-1.0,61.0,126.0,0.06770833333333393,7.135416666666666,7.203125
-1.0,76.0,127.0,0.46875,6.75,7.21875
-1.0,-1.0,0.0,0.03125,7.21875,7.25
-1.0,76.0,126.0,0.078125,7.25,7.328125
-1.0,60.0,126.0,0.09375,7.260416666666666,7.354166666666666
-1.0,62.0,127.0,0.20833333333333304,7.25,7.458333333333333
-1.0,61.0,127.0,0.06770833333333304,7.411458333333333,7.479166666666666
-1.0,-1.0,0.0,0.020833333333333925,7.479166666666666,7.5
-1.0,76.0,127.0,0.06944444444444405,7.5,7.569444444444444
-1.0,-1.0,0.0,0.055555555555556246,7.569444444444444,7.625
-1.0,71.0,124.0,0.08159722222222172,7.625,7.706597222222221
-1.0,60.0,127.0,0.07291666666666607,7.65625,7.729166666666666
-1.0,-1.0,0.0,0.020833333333333925,7.729166666666666,7.75
-1.0,64.0,127.0,0.15625,7.75,7.90625
-1.0,76.0,126.0,0.07552083333333304,7.875,7.950520833333333
-1.0,60.0,127.0,0.109375,7.901041666666666,8.010416666666666
-1.0,72.0,127.0,0.14062499999999956,8.0,8.140625
-1.0,-1.0,0.0,0.005208333333332149,8.140625,8.145833333333332
-1.0,61.0,120.0,0.125,8.145833333333332,8.270833333333332
-1.0,76.0,126.0,0.05989583333333215,8.25,8.309895833333332
-1.0,-1.0,0.0,0.0390625,8.309895833333332,8.348958333333332
-1.0,61.0,127.0,0.06770833333333393,8.348958333333332,8.416666666666666
-1.0,72.0,124.0,0.13020833333333304,8.375,8.505208333333332
-1.0,-1.0,0.0,0.015625,8.505208333333332,8.520833333333332
-1.0,60.0,127.0,0.08333333333333393,8.520833333333332,8.604166666666666
-1.0,-1.0,0.0,0.020833333333333925,8.604166666666666,8.625
-1.0,76.0,126.0,0.07552083333333215,8.625,8.700520833333332
-1.0,-1.0,0.0,0.04947916666666785,8.700520833333332,8.75
-1.0,60.0,126.0,0.06770833333333215,8.75,8.817708333333332
-1.0,-1.0,0.0,0.05729166666666785,8.817708333333332,8.875
-1.0,76.0,123.0,0.0546875,8.875,8.9296875
-1.0,60.0,126.0,0.11979166666666607,8.921875,9.041666666666666
-1.0,64.0,127.0,0.2916666666666661,8.75,9.041666666666666
-1.0,76.0,126.0,0.07031249999999911,9.0,9.0703125
-1.0,76.0,127.0,0.46875,8.75,9.21875
-1.0,61.0,126.0,0.057291666666666075,9.182291666666666,9.239583333333332
-1.0,-1.0,0.0,0.010416666666667851,9.239583333333332,9.25
-1.0,76.0,126.0,0.078125,9.25,9.328125
-1.0,61.0,127.0,0.07291666666666607,9.296875,9.369791666666666
-1.0,62.0,127.0,0.20833333333333215,9.25,9.458333333333332
-1.0,61.0,120.0,0.057291666666666075,9.4375,9.494791666666666
-1.0,-1.0,0.0,0.0052083333333339255,9.494791666666666,9.5
-1.0,76.0,127.0,0.06944444444444405,9.5,9.569444444444445
-1.0,61.0,126.0,0.09375,9.541666666666666,9.635416666666666
-1.0,71.0,124.0,0.08159722222222143,9.625,9.706597222222221
-1.0,-1.0,0.0,0.06423611111111072,9.706597222222221,9.770833333333332
-1.0,60.0,127.0,0.07291666666666785,9.770833333333332,9.84375
-1.0,64.0,127.0,0.15625,9.75,9.90625
-1.0,76.0,126.0,0.07552083333333304,9.875,9.950520833333332
-1.0,60.0,126.0,0.09375,9.921875,10.015625
-1.0,72.0,127.0,0.14062499999999956,10.0,10.140625
-1.0,-1.0,0.0,0.03645833333333215,10.140625,10.177083333333332
-1.0,60.0,126.0,0.08333333333333393,10.177083333333332,10.260416666666666
-1.0,76.0,126.0,0.05989583333333215,10.25,10.309895833333332
-1.0,-1.0,0.0,0.06510416666666785,10.309895833333332,10.375
-1.0,76.0,121.0,0.078125,10.375,10.453125
-1.0,60.0,126.0,0.08854166666666785,10.411458333333332,10.5
-1.0,69.0,126.0,0.18229166666666607,10.375,10.557291666666666
-1.0,-1.0,0.0,0.06770833333333393,10.557291666666666,10.625
-1.0,76.0,126.0,0.07552083333333215,10.625,10.700520833333332
-1.0,61.0,127.0,0.06770833333333393,10.651041666666666,10.71875
-1.0,-1.0,0.0,0.15625,10.71875,10.875
-1.0,76.0,123.0,0.0546875,10.875,10.9296875
-1.0,61.0,127.0,0.06770833333333215,10.90625,10.973958333333332
-1.0,64.0,127.0,0.2916666666666661,10.75,11.041666666666666
-1.0,76.0,126.0,0.07031249999999911,11.0,11.0703125
-1.0,-1.0,0.0,0.05989583333333215,11.0703125,11.130208333333332
-1.0,60.0,126.0,0.05729166666666785,11.130208333333332,11.1875
-1.0,76.0,127.0,0.46875,10.75,11.21875
-1.0,-1.0,0.0,0.03125,11.21875,11.25
-1.0,76.0,126.0,0.078125,11.25,11.328125
-1.0,60.0,126.0,0.109375,11.270833333333332,11.380208333333332
-1.0,62.0,127.0,0.20833333333333215,11.25,11.458333333333332
-1.0,-1.0,0.0,0.04166666666666785,11.458333333333332,11.5
-1.0,76.0,127.0,0.06944444444444405,11.5,11.569444444444445
-1.0,-1.0,0.0,0.05555555555555536,11.569444444444445,11.625
-1.0,71.0,124.0,0.08159722222222143,11.625,11.706597222222221
-1.0,61.0,127.0,0.07291666666666785,11.692708333333332,11.765625
-1.0,64.0,127.0,0.15625,11.75,11.90625
-1.0,61.0,126.0,0.057291666666666075,11.859375,11.916666666666666
-1.0,76.0,126.0,0.07552083333333304,11.875,11.950520833333332
-1.0,-1.0,0.0,0.04947916666666785,11.950520833333332,12.0
-1.0,76.0,127.0,0.07552083333333304,12.0,12.075520833333332
-1.0,61.0,120.0,0.07291666666666607,12.026041666666666,12.098958333333332
-1.0,69.0,127.0,0.20572916666666607,12.0,12.205729166666666
-1.0,61.0,104.0,0.11458333333333393,12.151041666666666,12.265625
-1.0,76.0,126.0,0.05989583333333215,12.25,12.309895833333332
-1.0,-1.0,0.0,0.06510416666666785,12.309895833333332,12.375
-1.0,76.0,121.0,0.078125,12.375,12.453125
-1.0,60.0,127.0,0.08854166666666785,12.395833333333332,12.484375
-1.0,69.0,126.0,0.18229166666666607,12.375,12.557291666666666
-1.0,-1.0,0.0,0.06770833333333393,12.557291666666666,12.625
-1.0,76.0,126.0,0.07552083333333215,12.625,12.700520833333332
-1.0,60.0,126.0,0.07291666666666785,12.645833333333332,12.71875
-1.0,-1.0,0.0,0.15625,12.71875,12.875
-1.0,76.0,123.0,0.0546875,12.875,12.9296875
-1.0,60.0,126.0,0.125,12.890625,13.015625
-1.0,64.0,127.0,0.2916666666666661,12.75,13.041666666666666
-1.0,76.0,126.0,0.07031249999999911,13.0,13.0703125
-1.0,-1.0,0.0,0.06510416666666607,13.0703125,13.135416666666666
-1.0,60.0,126.0,0.0625,13.135416666666666,13.197916666666666
-1.0,76.0,127.0,0.46875,12.75,13.21875
-1.0,-1.0,0.0,0.005208333333332149,13.21875,13.223958333333332
-1.0,60.0,127.0,0.07291666666666785,13.223958333333332,13.296875
-1.0,76.0,126.0,0.078125,13.25,13.328125
-1.0,60.0,126.0,0.06770833333333393,13.307291666666666,13.375
-1.0,62.0,127.0,0.20833333333333215,13.25,13.458333333333332
-1.0,60.0,127.0,0.078125,13.447916666666666,13.526041666666666
-1.0,76.0,127.0,0.06944444444444405,13.5,13.569444444444445
-1.0,-1.0,0.0,0.05555555555555536,13.569444444444445,13.625
-1.0,71.0,124.0,0.08159722222222143,13.625,13.706597222222221
-1.0,60.0,127.0,0.078125,13.682291666666666,13.760416666666666
-1.0,64.0,127.0,0.15625,13.75,13.90625
-1.0,82.0,127.0,0.07291666666666607,13.875,13.947916666666666
-1.0,60.0,127.0,0.046875,13.90625,13.953125
-1.0,70.0,126.0,0.078125,13.875,13.953125
-1.0,-1.0,0.0,0.046875,13.953125,14.0
-1.0,76.0,127.0,0.11631944444444405,14.0,14.116319444444445
-1.0,-1.0,0.0,0.03472222222222143,14.116319444444445,14.151041666666666
-1.0,61.0,127.0,0.0625,14.151041666666666,14.213541666666666
-1.0,63.0,127.0,0.21354166666666607,14.0,14.213541666666666
-1.0,-1.0,0.0,0.036458333333333925,14.213541666666666,14.25
-1.0,76.0,126.0,0.05989583333333215,14.25,14.309895833333332
-1.0,61.0,127.0,0.06770833333333393,14.286458333333332,14.354166666666666
-1.0,-1.0,0.0,0.020833333333333925,14.354166666666666,14.375
-1.0,76.0,121.0,0.078125,14.375,14.453125
-1.0,61.0,126.0,0.0625,14.395833333333332,14.458333333333332
-1.0,69.0,126.0,0.18229166666666607,14.375,14.557291666666666
-1.0,-1.0,0.0,0.06770833333333393,14.557291666666666,14.625
-1.0,70.0,126.0,0.06770833333333215,14.625,14.692708333333332
-1.0,61.0,127.0,0.07291666666666607,14.635416666666666,14.708333333333332
-1.0,82.0,127.0,0.08333333333333215,14.625,14.708333333333332
-1.0,-1.0,0.0,0.16666666666666785,14.708333333333332,14.875
-1.0,76.0,123.0,0.0546875,14.875,14.9296875
-1.0,61.0,127.0,0.07291666666666785,14.895833333333332,14.96875
-1.0,64.0,127.0,0.2916666666666661,14.75,15.041666666666666
-1.0,76.0,126.0,0.07031249999999911,15.0,15.0703125
-1.0,-1.0,0.0,0.07552083333333215,15.0703125,15.145833333333332
-1.0,60.0,126.0,0.04166666666666785,15.145833333333332,15.1875
-1.0,76.0,127.0,0.46875,14.75,15.21875
-1.0,-1.0,0.0,0.03125,15.21875,15.25
-1.0,76.0,126.0,0.0703125,15.25,15.3203125
-1.0,60.0,106.0,0.052083333333333925,15.286458333333332,15.338541666666666
-1.0,69.0,127.0,0.15104166666666607,15.25,15.401041666666666
-1.0,-1.0,0.0,0.020833333333333925,15.401041666666666,15.421875
-1.0,60.0,116.0,0.09375,15.421875,15.515625
-1.0,76.0,127.0,0.06944444444444405,15.5,15.569444444444445
-1.0,-1.0,0.0,0.05555555555555536,15.569444444444445,15.625
-1.0,71.0,124.0,0.08159722222222143,15.625,15.706597222222221
-1.0,61.0,127.0,0.06770833333333215,15.6875,15.755208333333332
-1.0,64.0,127.0,0.15625,15.75,15.90625
-1.0,76.0,126.0,0.07552083333333304,15.875,15.950520833333332
-1.0,61.0,126.0,0.0885416666666643,15.921875,16.010416666666664
-1.0,72.0,127.0,0.14062499999999822,16.0,16.140625
-1.0,-1.0,0.0,0.03645833333333215,16.140625,16.177083333333332
-1.0,61.0,126.0,0.05208333333333215,16.177083333333332,16.229166666666664
-1.0,-1.0,0.0,0.020833333333335702,16.229166666666664,16.25
-1.0,76.0,126.0,0.05989583333333215,16.25,16.309895833333332
-1.0,61.0,126.0,0.06770833333333215,16.296875,16.364583333333332
-1.0,-1.0,0.0,0.04166666666666785,16.364583333333332,16.40625
-1.0,61.0,127.0,0.03645833333333215,16.40625,16.442708333333332
-1.0,72.0,124.0,0.13020833333333304,16.375,16.505208333333332
-1.0,-1.0,0.0,0.11979166666666785,16.505208333333332,16.625
-1.0,76.0,126.0,0.07552083333333215,16.625,16.700520833333332
-1.0,61.0,127.0,0.0625,16.651041666666664,16.713541666666664
-1.0,-1.0,0.0,0.1614583333333357,16.713541666666664,16.875
-1.0,76.0,123.0,0.0546875,16.875,16.9296875
-1.0,61.0,126.0,0.09375,16.90625,17.0
-1.0,64.0,127.0,0.2916666666666643,16.75,17.041666666666664
-1.0,76.0,126.0,0.07031249999999822,17.0,17.0703125
-1.0,-1.0,0.0,0.09114583333333215,17.0703125,17.161458333333332
-1.0,61.0,120.0,0.046875,17.161458333333332,17.208333333333332
-1.0,76.0,127.0,0.46875,16.75,17.21875
-1.0,-1.0,0.0,0.03125,17.21875,17.25
-1.0,76.0,126.0,0.078125,17.25,17.328125
-1.0,61.0,127.0,0.078125,17.286458333333332,17.364583333333332
-1.0,62.0,127.0,0.20833333333333215,17.25,17.458333333333332
-1.0,61.0,126.0,0.0625,17.4375,17.5
-1.0,76.0,127.0,0.06944444444444287,17.5,17.569444444444443
-1.0,-1.0,0.0,0.055555555555557135,17.569444444444443,17.625
-1.0,71.0,124.0,0.08159722222222025,17.625,17.70659722222222
-1.0,60.0,127.0,0.05729166666666785,17.677083333333332,17.734375
-1.0,-1.0,0.0,0.015625,17.734375,17.75
-1.0,64.0,127.0,0.15625,17.75,17.90625
-1.0,76.0,126.0,0.07552083333333215,17.875,17.950520833333332
-1.0,60.0,127.0,0.0989583333333357,17.916666666666664,18.015625
-1.0,76.0,127.0,0.11631944444444287,18.0,18.116319444444443
-1.0,-1.0,0.0,0.03472222222222143,18.116319444444443,18.151041666666664
-1.0,61.0,116.0,0.05729166666666785,18.151041666666664,18.208333333333332
-1.0,63.0,127.0,0.2135416666666643,18.0,18.213541666666664
-1.0,-1.0,0.0,0.0364583333333357,18.213541666666664,18.25
-1.0,76.0,126.0,0.05989583333333215,18.25,18.309895833333332
-1.0,61.0,126.0,0.07291666666666785,18.276041666666664,18.348958333333332
-1.0,-1.0,0.0,0.02604166666666785,18.348958333333332,18.375
-1.0,76.0,121.0,0.078125,18.375,18.453125
-1.0,61.0,126.0,0.0625,18.40625,18.46875
-1.0,69.0,126.0,0.18229166666666607,18.375,18.557291666666664
-1.0,60.0,127.0,0.1145833333333357,18.557291666666664,18.671875
-1.0,76.0,126.0,0.07552083333333215,18.625,18.700520833333332
-1.0,-1.0,0.0,0.0859375,18.700520833333332,18.786458333333332
-1.0,61.0,126.0,0.07291666666666785,18.786458333333332,18.859375
-1.0,-1.0,0.0,0.015625,18.859375,18.875
-1.0,76.0,123.0,0.0546875,18.875,18.9296875
-1.0,61.0,116.0,0.11458333333333215,18.921875,19.036458333333332
-1.0,64.0,127.0,0.2916666666666643,18.75,19.041666666666664
-1.0,76.0,126.0,0.07031249999999822,19.0,19.0703125
-1.0,76.0,127.0,0.46875,18.75,19.21875
-1.0,60.0,127.0,0.08333333333333215,19.15625,19.239583333333332
-1.0,-1.0,0.0,0.010416666666667851,19.239583333333332,19.25
-1.0,72.0,126.0,0.11067708333333304,19.25,19.360677083333332
-1.0,-1.0,0.0,0.04036458333333215,19.360677083333332,19.401041666666664
-1.0,60.0,126.0,0.08854166666666785,19.401041666666664,19.489583333333332
-1.0,-1.0,0.0,0.010416666666667851,19.489583333333332,19.5
