Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,79,G5,112,0.1562502499999998,2.3287296875,2.4849799375
Acoustic Grand Piano,0,55,G3,112,0.19230800000000015,2.34375375,2.53606175
Acoustic Grand Piano,0,72,C5,95,0.10817325000000011,2.5811339374999998,2.6893071875
Acoustic Grand Piano,0,75,D#5,112,0.11418287500000002,2.5811339374999998,2.6953168124999998
Acoustic Grand Piano,0,51,D#3,95,0.1562502499999998,2.5721195,2.7283697499999997
Acoustic Grand Piano,0,81,A5,112,0.11418287500000002,2.7433938125,2.8575766875
Acoustic Grand Piano,0,57,A3,112,0.15324543749999986,2.7433938125,2.8966392499999998
Acoustic Grand Piano,0,72,C5,105,0.09615399999999985,3.0318558125,3.1280098124999998
Acoustic Grand Piano,0,49,C#3,95,0.11117806249999962,3.022841375,3.1340194374999997
Acoustic Grand Piano,0,75,D#5,112,0.10817324999999967,3.0258461875,3.1340194374999997
Acoustic Grand Piano,0,51,D#3,112,0.14723581249999995,3.022841375,3.1700771875
Acoustic Grand Piano,0,82,A#5,112,0.17127431250000003,3.3022889374999997,3.4735632499999998
Acoustic Grand Piano,0,58,A#3,112,0.20432724999999996,3.311303375,3.515630625
Acoustic Grand Piano,0,48,C3,85,0.07812512500000013,3.6238038749999997,3.701929
Acoustic Grand Piano,0,72,C5,112,0.1382213750000001,3.5967605624999996,3.7349819374999997
Acoustic Grand Piano,0,75,D#5,112,0.15625025000000026,3.5937557499999997,3.750006
Acoustic Grand Piano,0,51,D#3,112,0.16526468749999967,3.6027701875,3.7680348749999997
Acoustic Grand Piano,0,81,A5,112,0.15324543749999986,3.8822177499999997,4.0354631874999995
Acoustic Grand Piano,0,57,A3,112,0.2493994375000006,3.8852225624999996,4.134622
Acoustic Grand Piano,0,72,C5,112,0.11117806250000051,4.17067975,4.2818578125
Acoustic Grand Piano,0,75,D#5,112,0.15625025000000026,4.164670125,4.320920375
Acoustic Grand Piano,0,51,D#3,98,0.15925506249999977,4.1676749375,4.32693
Acoustic Grand Piano,0,48,C3,103,0.21634650000000022,4.176689375,4.393035875
Acoustic Grand Piano,0,81,A5,112,0.0991588124999998,4.4260888125,4.5252476249999996
Acoustic Grand Piano,0,57,A3,112,0.12019249999999992,4.4140695625,4.5342620625
Acoustic Grand Piano,0,79,G5,112,0.2013224375,4.6003679375,4.801690375
Acoustic Grand Piano,0,55,G3,112,0.23137056249999954,4.60337275,4.8347433125
Acoustic Grand Piano,0,72,C5,92,0.07211549999999978,4.8888299375,4.9609454374999995
Acoustic Grand Piano,0,75,D#5,112,0.08112993750000008,4.8828203125,4.96395025
Acoustic Grand Piano,0,51,D#3,85,0.14423099999999955,4.8708010625,5.0150320624999996
Acoustic Grand Piano,0,81,A5,112,0.16225987500000016,5.0390705625,5.2013304375
Acoustic Grand Piano,0,57,A3,112,0.21033687499999942,5.0390705625,5.2494074374999995
Acoustic Grand Piano,0,72,C5,98,0.11117806250000051,5.330537375,5.4417154375
Acoustic Grand Piano,0,75,D#5,112,0.13822137499999965,5.3275325625,5.4657539375
Acoustic Grand Piano,0,51,D#3,112,0.15324543749999986,5.3275325625,5.480778
Acoustic Grand Piano,0,82,A#5,112,0.17127431249999958,5.6159945625,5.787268875
Acoustic Grand Piano,0,58,A#3,112,0.2764427500000002,5.6220041875,5.8984469375
Acoustic Grand Piano,0,72,C5,105,0.1893031875000002,5.90145175,6.0907549375
Acoustic Grand Piano,0,75,D#5,112,0.08713956249999999,6.0306586875,6.11779825
Acoustic Grand Piano,0,51,D#3,85,0.26442350000000037,5.919480624999999,6.183904125
Acoustic Grand Piano,0,81,A5,112,0.14122618750000004,6.1688800624999995,6.31010625
Acoustic Grand Piano,0,57,A3,112,0.21634649999999933,6.1929185625,6.409265062499999
Acoustic Grand Piano,0,72,C5,105,0.11718768750000041,6.47837575,6.5955634375
Acoustic Grand Piano,0,75,D#5,112,0.12019249999999992,6.47837575,6.59856825
Acoustic Grand Piano,0,51,D#3,85,0.13221174999999974,6.47837575,6.610587499999999
Acoustic Grand Piano,0,48,C3,112,0.16526468749999967,6.4813805625,6.64664525
Acoustic Grand Piano,0,81,A5,112,0.0961540000000003,6.7548185,6.8509725
Acoustic Grand Piano,0,57,A3,112,0.12620212499999983,6.7397944375,6.8659965624999995
Acoustic Grand Piano,0,79,G5,112,0.15024062500000035,6.926092812499999,7.0763334375
Acoustic Grand Piano,0,55,G3,112,0.21935131249999973,6.9381120625,7.157463375
Acoustic Grand Piano,0,75,D#5,112,0.07512031250000017,7.205540375,7.2806606875
Acoustic Grand Piano,0,72,C5,92,0.0901443749999995,7.205540375,7.2956847499999995
Acoustic Grand Piano,0,51,D#3,85,0.14122618750000004,7.187511499999999,7.328737687499999
Acoustic Grand Piano,0,48,C3,87,0.13822137499999965,7.1965259375,7.334747312499999
Acoustic Grand Piano,0,81,A5,112,0.14723581249999995,7.3527761875,7.500012
Acoustic Grand Piano,0,57,A3,112,0.1862983749999998,7.3527761875,7.5390745625
Acoustic Grand Piano,0,48,C3,92,0.0931491874999999,7.6682815,7.7614306875
Acoustic Grand Piano,0,75,D#5,112,0.11418287500000002,7.650252624999999,7.764435499999999
Acoustic Grand Piano,0,72,C5,98,0.11718768749999953,7.6532574375,7.770445124999999
