instrumento,nota,volumen,dura,empieza,termina
-1.0,65,127,0.038190166666666636,1.333184,1.3713741666666666
-1.0,65,127,0.05554933333333323,1.499832,1.5553813333333333
-1.0,64,127,0.05554933333333345,1.66648,1.7220293333333334
-1.0,65,127,0.0520775,1.8331279999999999,1.8852054999999999
-1.0,65,127,0.041661999999999866,1.999776,2.041438
-1.0,65,127,0.05207749999999978,2.166424,2.2185015
-1.0,66,127,0.06249299999999991,2.333072,2.395565
-1.0,61,127,0.06249299999999991,2.3365438333333333,2.399036833333333
-1.0,64,127,0.05554933333333345,2.49972,2.5552693333333334
-1.0,65,127,0.04166200000000009,2.666368,2.70803
-1.0,65,127,0.05207750000000022,2.8330159999999998,2.8850935
-1.0,64,127,0.05207749999999978,2.9996640000000006,3.0517415000000003
-1.0,64,127,0.05207749999999978,3.166312,3.2183895
-1.0,64,127,0.05554933333333345,3.33296,3.3885093333333334
-1.0,65,127,0.031246499999999955,3.499608,3.5308545
-1.0,64,127,0.05554933333333345,3.6662559999999993,3.7218053333333327
-1.0,64,127,0.055549333333333006,3.8329040000000005,3.8884533333333335
-1.0,65,127,0.03819016666666686,3.999552,4.037742166666667
-1.0,65,127,0.05554933333333345,4.1662,4.221749333333333
-1.0,64,127,0.05207749999999933,4.332848,4.3849255
-1.0,65,127,0.05207750000000022,4.499496,4.5515735
-1.0,65,127,0.038190166666666414,4.666144,4.7043341666666665
-1.0,65,127,0.05207750000000022,4.8327919999999995,4.8848695
-1.0,63,127,0.06249299999999991,4.99944,5.061933
-1.0,65,127,0.06249299999999991,5.002911833333333,5.065404833333333
-1.0,64,127,0.0486056666666661,5.166088,5.214693666666666
-1.0,65,127,0.04166200000000053,5.332736,5.374398
-1.0,65,127,0.04513383333333287,5.502855833333333,5.547989666666666
-1.0,64,127,0.05554933333333345,5.666031999999999,5.721581333333332
-1.0,64,127,0.04860566666666699,5.83268,5.881285666666667
-1.0,65,127,0.04860566666666699,5.836151833333333,5.8847575
-1.0,64,127,0.05207749999999933,5.999328000000001,6.0514055
-1.0,70,127,0.034718333333333184,6.165976,6.200694333333333
-1.0,60,127,0.03471833333333407,6.169447833333333,6.204166166666667
-1.0,63,127,0.0486056666666661,6.332624,6.381229666666666
-1.0,65,127,0.04860566666666699,6.336095833333333,6.3847015
-1.0,64,127,0.05554933333333345,6.499272,6.554821333333334
-1.0,65,127,0.041661999999999644,6.66592,6.7075819999999995
-1.0,65,127,0.05207749999999933,6.832568,6.8846454999999995
-1.0,64,127,0.05554933333333345,6.999216,7.054765333333333
-1.0,65,127,0.04513383333333287,7.165864,7.210997833333333
-1.0,65,127,0.0381901666666673,7.3325119999999995,7.370702166666667
-1.0,65,127,0.04513383333333376,7.49916,7.544293833333334
-1.0,64,127,0.06943666666666637,7.665808000000001,7.735244666666667
-1.0,64,127,0.05554933333333345,7.832456,7.888005333333333
-1.0,65,127,0.041661999999999644,7.999104,8.040766
-1.0,65,127,0.05207750000000111,8.165752,8.2178295
-1.0,64,127,0.05207749999999933,8.3324,8.3844775
-1.0,64,127,0.05207749999999933,8.499048,8.5511255
-1.0,64,127,0.05207749999999933,8.665696,8.7177735
-1.0,65,127,0.03819016666666819,8.832343999999999,8.870534166666667
-1.0,64,127,0.05554933333333345,8.998992,9.054541333333333
-1.0,64,127,0.05554933333333345,9.16564,9.221189333333333
-1.0,65,127,0.04166200000000053,9.332288,9.37395
-1.0,65,127,0.05554933333333345,9.498936,9.554485333333334
-1.0,64,127,0.05207750000000111,9.665583999999999,9.7176615
-1.0,65,127,0.05207750000000111,9.832232,9.8843095
-1.0,65,127,0.038190166666666414,9.99888,10.037070166666666
-1.0,65,127,0.05207749999999933,10.165528,10.2176055
-1.0,66,127,0.06249299999999991,10.332176,10.394669
-1.0,61,127,0.06249299999999991,10.335647833333333,10.398140833333333
-1.0,64,127,0.05554933333333345,10.498823999999999,10.554373333333332
-1.0,65,127,0.04166200000000053,10.665472,10.707134
-1.0,65,127,0.05554933333333345,10.83212,10.887669333333333
-1.0,64,127,0.05554933333333345,10.998768,11.054317333333334
-1.0,67,127,0.041661999999998756,11.165416,11.207078
-1.0,60,127,0.04166200000000053,11.168887833333333,11.210549833333333
-1.0,64,127,0.05554933333333345,11.332063999999997,11.38761333333333
-1.0,65,127,0.03471833333333407,11.498712,11.533430333333333
-1.0,64,127,0.05207749999999933,11.66536,11.717437499999999
-1.0,64,127,0.05554933333333345,11.832008,11.887557333333334
-1.0,65,127,0.041661999999998756,11.998656,12.040318
-1.0,65,127,0.05207750000000111,12.165303999999999,12.2173815
-1.0,66,127,0.04513383333333287,12.335423833333333,12.380557666666666
-1.0,60,127,0.04513383333333465,12.338895666666666,12.3840295
-1.0,65,127,0.04513383333333287,12.502071833333334,12.547205666666667
-1.0,70,127,0.034718333333332296,12.665248,12.699966333333332
-1.0,60,127,0.03471833333333407,12.668719833333332,12.703438166666666
-1.0,65,127,0.05207749999999933,12.831896,12.8839735
-1.0,64,127,0.06596483333333403,12.998544,13.064508833333335
-1.0,64,127,0.04860566666666699,13.165192,13.213797666666666
-1.0,65,127,0.04166200000000053,13.33184,13.373502
-1.0,65,127,0.05207749999999933,13.498488,13.5505655
-1.0,64,127,0.05207749999999933,13.665135999999999,13.717213499999998
-1.0,67,127,0.04860566666666699,13.831783999999999,13.880389666666666
-1.0,60,127,0.04860566666666699,13.835255833333333,13.8838615
-1.0,64,127,0.05554933333333345,13.998432,14.053981333333333
-1.0,65,127,0.04166200000000053,14.16508,14.206742
-1.0,64,127,0.05554933333333345,14.331728,14.387277333333333
-1.0,64,127,0.05207749999999933,14.498376,14.5504535
-1.0,65,127,0.04166200000000053,14.665023999999999,14.706686
