instrumento,nota,volumen,dura,empieza,termina
-1.0,62,95,0.14235328125000002,2.66652,2.80887328125
-1.0,70,70,0.07985671875000033,2.8331774999999997,2.91303421875
-1.0,70,70,0.07985671874999989,2.91650625,2.9963629687499997
-1.0,44,72,0.16318546875000006,2.8331774999999997,2.9963629687499997
-1.0,61,96,0.14235328125000002,2.999835,3.14218828125
-1.0,61,104,0.13540921875,3.1664925,3.30190171875
-1.0,62,88,0.3333149999999998,2.999835,3.33315
-1.0,62,75,0.13540921875,3.33315,3.46855921875
-1.0,56,92,0.1215210937500002,3.4998074999999997,3.62132859375
-1.0,62,97,0.1465197187500001,3.6664649999999996,3.8129847187499997
-1.0,62,100,0.14235328125000002,3.8331225,3.97547578125
-1.0,62,93,0.1354092187499997,3.99978,4.13518921875
-1.0,70,70,0.07985671875000033,4.1664375,4.24629421875
-1.0,70,70,0.07985671875000033,4.2497662499999995,4.32962296875
-1.0,44,64,0.16318546875000006,4.1664375,4.32962296875
-1.0,61,108,0.1423532812499999,4.333095,4.47544828125
-1.0,62,90,0.13540921875000014,4.4997525,4.63516171875
-1.0,62,92,0.3333149999999998,4.333095,4.66641
-1.0,62,73,0.13540921874999987,4.66641,4.8018192187499995
-1.0,56,96,0.1215210937500002,4.833067499999999,4.95458859375
-1.0,62,92,0.1465197187500001,4.999725,5.14624471875
-1.0,62,87,0.1423532812499999,5.1663825,5.30873578125
-1.0,62,93,0.13540921875000014,5.33304,5.46844921875
-1.0,70,70,0.07985671874999944,5.4996975,5.579554218749999
-1.0,70,70,0.07985671875000033,5.58302625,5.66288296875
-1.0,44,72,0.16318546875000006,5.4996975,5.66288296875
-1.0,61,96,0.14235328125000013,5.666354999999999,5.8087082812499995
-1.0,61,104,0.13540921875000014,5.8330125,5.96842171875
-1.0,62,75,0.13540921874999987,5.999669999999999,6.135079218749999
-1.0,62,88,0.49997250000000015,5.666354999999999,6.1663274999999995
-1.0,56,92,0.1215210937500002,6.1663274999999995,6.28784859375
-1.0,62,97,0.14651971874999994,6.332985,6.4795047187499994
-1.0,62,98,0.14235328125000013,6.499642499999999,6.6419957812499995
-1.0,62,93,0.13540921875000014,6.6663,6.80170921875
-1.0,70,70,0.07985671874999944,6.8329575,6.9128142187499995
-1.0,70,70,0.07985671875000033,6.91628625,6.99614296875
-1.0,44,64,0.16318546875000006,6.8329575,6.99614296875
-1.0,61,108,0.14235328125000013,6.9996149999999995,7.14196828125
-1.0,62,90,0.13540921874999987,7.166272500000001,7.30168171875
-1.0,62,73,0.13540921875000014,7.33293,7.468339218750001
-1.0,62,88,0.49997250000000015,6.9996149999999995,7.4995875
-1.0,56,96,0.1215210937500002,7.4995875,7.62110859375
-1.0,62,92,0.14651971874999994,7.666245000000001,7.8127647187500004
-1.0,62,84,0.14235328125000013,7.832902499999999,7.97525578125
-1.0,62,93,0.13540921875000014,7.99956,8.13496921875
-1.0,70,70,0.07985671874999944,8.1662175,8.24607421875
-1.0,70,70,0.07985671874999944,8.24954625,8.32940296875
-1.0,44,72,0.16318546874999917,8.1662175,8.32940296875
-1.0,61,96,0.14235328125000057,8.332875,8.47522828125
-1.0,61,104,0.13540921875000103,8.499532499999999,8.63494171875
-1.0,62,75,0.13540921874999926,8.66619,8.801599218749999
-1.0,62,88,0.49997250000000015,8.332875,8.8328475
-1.0,56,92,0.12152109374999931,8.8328475,8.954368593749999
-1.0,62,97,0.146519718750001,8.999505,9.14602471875
-1.0,62,98,0.14235328124999924,9.1661625,9.30851578125
-1.0,62,93,0.13540921874999926,9.33282,9.468229218749999
-1.0,70,70,0.07985671874999944,9.4994775,9.579334218749999
-1.0,70,70,0.07985671875000122,9.582806249999999,9.66266296875
-1.0,44,64,0.16318546875000095,9.4994775,9.66266296875
-1.0,61,108,0.14235328125000102,9.666134999999999,9.80848828125
-1.0,62,90,0.13540921874999926,9.8327925,9.968201718749999
-1.0,62,73,0.13540921875000045,9.99945,10.13485921875
-1.0,62,88,0.49997250000000015,9.666134999999999,10.166107499999999
-1.0,56,96,0.12152109375000109,10.166107499999999,10.28762859375
-1.0,62,92,0.14651971874999922,10.332765,10.47928471875
-1.0,62,84,0.14235328124999924,10.4994225,10.641775781249999
-1.0,62,93,0.13540921875000103,10.66608,10.80148921875
