Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Trumpet,56,72,C5,122,0.07653049999999961,4.59183,4.6683604999999995
Trumpet,56,72,C5,122,0.26147920833333327,4.897951999999999,5.1594312083333325
Trumpet,56,69,A4,122,0.08290804166666721,5.204073999999999,5.286982041666667
Trumpet,56,69,A4,122,0.26147920833333327,5.510196,5.771675208333333
Trumpet,56,67,G4,96,0.10841820833333315,5.816318,5.924736208333333
Trumpet,56,69,A4,126,0.9056109166666673,5.969378999999999,6.874989916666666
Trumpet,56,72,C5,122,0.08290804166666721,7.040805999999999,7.123714041666666
Trumpet,56,72,C5,126,0.2869893750000001,7.346927999999999,7.633917374999999
Trumpet,56,69,A4,126,0.09566312499999974,7.6530499999999995,7.748713124999999
Trumpet,56,69,A4,110,0.2678567499999991,7.959172,8.227028749999999
Trumpet,56,67,G4,106,0.10204066666666733,8.265293999999999,8.367334666666666
Trumpet,56,69,A4,126,0.9438761666666657,8.418355,9.362231166666666
Trumpet,56,72,C5,122,0.11479574999999897,9.489782,9.604577749999999
Trumpet,56,72,C5,122,0.2295915000000015,9.795903999999998,10.0254955
Trumpet,56,70,A#4,122,0.09566312499999974,10.102025999999999,10.197689124999998
Trumpet,56,70,A#4,122,0.12755083333333417,10.408147999999999,10.535698833333333
Trumpet,56,69,A4,126,0.0701529583333329,10.714269999999999,10.784422958333332
Trumpet,56,70,A#4,110,0.08928558333333392,10.867330999999998,10.956616583333332
Trumpet,56,65,F4,122,0.5357135,11.173452999999999,11.709166499999998
Trumpet,56,72,C5,92,0.11479575000000075,11.938757999999998,12.053553749999999
Trumpet,56,72,C5,110,0.3124995416666678,12.244879999999998,12.557379541666666
Trumpet,56,70,A#4,122,0.12755083333333417,12.551001999999999,12.678552833333333
Trumpet,56,70,A#4,122,0.10204066666666733,12.857123999999999,12.959164666666666
Trumpet,56,72,C5,126,0.08290804166666632,13.163246,13.246154041666665
Trumpet,56,70,A#4,122,1.0522943750000007,13.316306999999998,14.368601374999999
Trumpet,56,70,A#4,58,0.03826525000000025,14.387733999999998,14.425999249999998
Trumpet,56,72,C5,106,0.10841820833333315,14.387733999999998,14.496152208333331
Trumpet,56,72,C5,110,0.2168364166666663,14.693855999999998,14.910692416666665
Trumpet,56,69,A4,116,0.10841820833333315,14.999977999999999,15.108396208333332
Trumpet,56,69,A4,126,0.2614792083333324,15.306099999999999,15.567579208333331
Trumpet,56,67,G4,100,0.09566312499999974,15.612222,15.707885124999999
Trumpet,56,69,A4,126,0.8737232083333328,15.765282999999998,16.63900620833333
Trumpet,56,72,C5,106,0.11479574999999897,16.83671,16.95150575
Trumpet,56,72,C5,122,0.26147920833333416,17.142832,17.404311208333333
Trumpet,56,69,A4,122,0.10204066666666733,17.448953999999997,17.550994666666664
Trumpet,56,69,A4,122,0.26785675,17.755076,18.02293275
Trumpet,56,67,G4,106,0.09566312500000151,18.061197999999997,18.156861125
Trumpet,56,69,A4,122,0.8609681249999994,18.214259,19.075227124999998
Trumpet,56,72,C5,126,0.09566312500000151,19.285686,19.381349125
Trumpet,56,72,C5,122,0.18494870833333366,19.591807999999997,19.77675670833333
Trumpet,56,70,A#4,116,0.12755083333333417,19.89793,20.025480833333333
Trumpet,56,70,A#4,122,0.17857116666666784,20.204051999999997,20.382623166666665
Trumpet,56,69,A4,106,0.10204066666666733,20.510174,20.612214666666667
Trumpet,56,70,A#4,126,0.10841820833333315,20.663234999999997,20.77165320833333
Trumpet,56,65,F4,122,0.5994889166666653,20.969357,21.568845916666664
Trumpet,56,72,C5,106,0.09566312500000151,21.734661999999997,21.830325124999998
Trumpet,56,72,C5,110,0.24234658333333314,22.040784,22.28313058333333
Trumpet,56,70,A#4,122,0.10841820833333315,22.346905999999997,22.45532420833333
Trumpet,56,70,A#4,122,0.10841820833333315,22.653028,22.761446208333332
Trumpet,56,72,C5,106,0.10204066666666733,22.959149999999998,23.061190666666665
Trumpet,56,70,A#4,122,1.0586719166666647,23.112211,24.170882916666663
Trumpet,56,67,G4,96,0.09566312499999796,24.183638,24.279301124999996
Trumpet,56,69,A4,122,0.153061000000001,24.489759999999997,24.642820999999998
Trumpet,56,67,G4,100,0.19132624999999948,24.642820999999998,24.834147249999997
Trumpet,56,65,F4,110,0.7971927083333306,24.795882,25.59307470833333
Trumpet,56,73,C#5,116,0.07015295833333113,25.867309,25.93746195833333
Trumpet,56,75,D#5,84,0.12755083333333417,26.020369999999996,26.14792083333333
Trumpet,56,77,F5,122,0.08928558333333214,26.173430999999997,26.26271658333333
Trumpet,56,80,G#5,126,0.09566312499999796,26.479553,26.575216124999997
Trumpet,56,82,A#5,126,0.4336728333333326,26.785674999999998,27.21934783333333
Trumpet,56,73,C#5,110,0.1977037916666653,27.397918999999998,27.595622791666663
Trumpet,56,75,D#5,116,0.16581608333333264,27.704040999999997,27.86985708333333
Trumpet,56,73,C#5,126,0.11479574999999897,28.010163,28.124958749999998
Trumpet,56,72,C5,122,1.2755083333333346,28.163223999999996,29.43873233333333
Trumpet,56,58,A#3,106,0.1849487083333301,47.295849,47.48079770833333
Trumpet,56,57,A3,116,0.17219362499999846,47.44891,47.621103624999996
Trumpet,56,55,G3,106,1.3775489999999948,47.601971,48.979519999999994
Trumpet,56,74,D5,122,0.17857116666666428,57.684864375,57.86343554166666
Trumpet,56,76,E5,126,0.05739787499999949,57.83154783333333,57.88894570833333
Trumpet,56,79,G5,126,0.688774500000001,58.01649654166666,58.70527104166666
Trumpet,56,65,F4,116,0.17857116666666428,60.152972999999996,60.33154416666666
Trumpet,56,69,A4,96,0.17857116666666428,60.306034,60.48460516666666
Trumpet,56,72,C5,106,0.14668345833332808,60.459095,60.605778458333326
Trumpet,56,77,F5,126,0.3635198750000015,60.76521699999999,61.128736874999994
Trumpet,56,76,E5,126,0.16581608333333264,61.224399999999996,61.39021608333333
Trumpet,56,72,C5,116,0.17219362499999846,61.224399999999996,61.396593624999994
Trumpet,56,53,F3,100,0.17219362499999136,88.76900245833333,88.94119608333332
Trumpet,56,57,A3,86,0.13392837499999644,88.92206345833333,89.05599183333332
Trumpet,56,60,C4,90,0.1849487083333372,89.05599183333332,89.24094054166666
Trumpet,56,64,E4,100,0.5102033333333225,89.215430375,89.72563370833332
Trumpet,56,60,C4,90,0.10204066666666733,89.68736845833332,89.78940912499999
Trumpet,56,57,A3,100,1.7920892083333229,89.84042945833333,91.63251866666666
Trumpet,56,69,A4,92,0.17857116666665718,92.008793625,92.18736479166665
Trumpet,56,67,G4,122,0.17219362500000557,92.16823216666666,92.34042579166666
Trumpet,56,69,A4,86,1.6645383749999922,92.314915625,93.97945399999999
Trumpet,56,72,C5,126,0.10204066666668155,186.88748099999998,186.98952166666666
Trumpet,56,76,E5,126,0.5739787500000091,186.42829799999998,187.00227675
Brass Section,61,72,C5,122,0.07653049999999961,4.59183,4.6683604999999995
Brass Section,61,72,C5,122,0.22959150000000061,4.897951999999999,5.1275435
Brass Section,61,69,A4,122,0.08290804166666721,5.204073999999999,5.286982041666667
Brass Section,61,69,A4,122,0.11479574999999986,5.510196,5.6249917499999995
Brass Section,61,67,G4,110,0.0701529583333329,5.816318,5.886470958333333
Brass Section,61,69,A4,116,0.867345666666667,5.969378999999999,6.836724666666666
Brass Section,61,72,C5,126,0.11479575000000075,7.040805999999999,7.15560175
Brass Section,61,72,C5,122,0.2104588750000005,7.346927999999999,7.557386875
Brass Section,61,69,A4,122,0.08928558333333303,7.6530499999999995,7.7423355833333325
Brass Section,61,69,A4,126,0.14668345833333252,7.959172,8.105855458333332
Brass Section,61,67,G4,110,0.08290804166666632,8.265293999999999,8.348202041666665
Brass Section,61,69,A4,110,0.8864782916666663,8.418355,9.304833291666666
Brass Section,61,72,C5,110,0.133928375,9.489782,9.623710375
Brass Section,61,72,C5,126,0.26785675,9.795903999999998,10.063760749999998
Brass Section,61,70,A#4,116,0.10204066666666733,10.102025999999999,10.204066666666666
Brass Section,61,70,A#4,122,0.15943854166666682,10.408147999999999,10.567586541666666
Brass Section,61,69,A4,106,0.08928558333333392,10.714269999999999,10.803555583333333
Brass Section,61,70,A#4,110,0.11479575000000075,10.867330999999998,10.982126749999999
Brass Section,61,65,F4,122,0.6313766249999997,11.173452999999999,11.804829624999998
Brass Section,61,72,C5,122,0.11479575000000075,11.938757999999998,12.053553749999999
Brass Section,61,72,C5,122,0.32525462500000124,12.244879999999998,12.570134625
