Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,76,E5,112,0.05122937500000013,3.934416,3.9856453750000003
Acoustic Grand Piano,0,76,E5,124,0.06147524999999998,4.590152,4.65162725
Acoustic Grand Piano,0,76,E5,105,0.06147524999999998,5.245888,5.30736325
Acoustic Grand Piano,0,76,E5,99,0.05805995833333277,5.573756,5.631815958333333
Acoustic Grand Piano,0,76,E5,115,0.06489054166666719,5.901624,5.966514541666667
Acoustic Grand Piano,0,76,E5,108,0.07513641666666615,6.2294920000000005,6.304628416666667
Acoustic Grand Piano,0,51,D#3,74,0.08196700000000057,11.803248,11.885215
Acoustic Grand Piano,0,53,F3,73,0.08196700000000057,11.803248,11.885215
Acoustic Grand Piano,0,49,C#3,69,0.09562816666666762,11.803248,11.898876166666668
Acoustic Grand Piano,0,51,D#3,102,0.09562816666666585,12.458984000000001,12.554612166666667
Acoustic Grand Piano,0,53,F3,97,0.09904345833333217,12.458984000000001,12.558027458333333
Acoustic Grand Piano,0,49,C#3,102,0.10245874999999849,12.458984000000001,12.56144275
Acoustic Grand Piano,0,51,D#3,127,0.06830583333333351,12.950786,13.019091833333334
Acoustic Grand Piano,0,53,F3,127,0.07172112499999983,12.950786,13.022507125
Acoustic Grand Piano,0,49,C#3,127,0.07855170833333247,12.950786,13.029337708333333
Acoustic Grand Piano,0,51,D#3,70,0.08538229166666511,17.049136,17.134518291666666
Acoustic Grand Piano,0,53,F3,70,0.0922128750000013,17.049136,17.141348875000002
Acoustic Grand Piano,0,49,C#3,59,0.10245875000000026,17.049136,17.15159475
Acoustic Grand Piano,0,51,D#3,105,0.08538229166666511,17.704872,17.790254291666667
Acoustic Grand Piano,0,53,F3,99,0.08538229166666511,17.704872,17.790254291666667
Acoustic Grand Piano,0,49,C#3,102,0.08879758333333143,17.704872,17.793669583333333
Acoustic Grand Piano,0,51,D#3,127,0.06489054166666719,18.196674,18.26156454166667
Acoustic Grand Piano,0,53,F3,127,0.06830583333333351,18.196674,18.264979833333335
Acoustic Grand Piano,0,49,C#3,119,0.07855170833333247,18.196674,18.275225708333334
Acoustic Grand Piano,0,60,C4,92,0.05805995833333455,22.458958,22.517017958333334
Acoustic Grand Piano,0,63,D#4,105,0.06147525000000087,22.458958,22.52043325
Acoustic Grand Piano,0,66,F#4,92,0.06489054166666719,22.458958,22.523848541666666
Acoustic Grand Piano,0,60,C4,94,0.05805995833333455,22.622892,22.680951958333335
Acoustic Grand Piano,0,63,D#4,105,0.06830583333333351,22.622892,22.691197833333334
Acoustic Grand Piano,0,66,F#4,94,0.07172112499999983,22.622892,22.694613125
Acoustic Grand Piano,0,60,C4,97,0.05805995833333455,22.95076,23.008819958333333
Acoustic Grand Piano,0,63,D#4,105,0.06830583333333351,22.95076,23.019065833333332
Acoustic Grand Piano,0,66,F#4,90,0.07172112499999983,22.95076,23.022481125
Acoustic Grand Piano,0,60,C4,94,0.06147525000000087,23.114694,23.17616925
Acoustic Grand Piano,0,63,D#4,99,0.07513641666666615,23.114694,23.189830416666666
Acoustic Grand Piano,0,66,F#4,94,0.08196699999999879,23.114694,23.196661
Acoustic Grand Piano,0,60,C4,124,0.05122937500000191,23.442562,23.493791375
Acoustic Grand Piano,0,66,F#4,119,0.06147525000000087,23.442562,23.50403725
Acoustic Grand Piano,0,63,D#4,127,0.06147525000000087,23.442562,23.50403725
Acoustic Grand Piano,0,63,D#4,108,0.0819670000000059,45.90152,45.983487000000004
Acoustic Grand Piano,0,60,C4,94,0.0819670000000059,45.90152,45.983487000000004
Acoustic Grand Piano,0,66,F#4,97,0.08538229166666866,45.90152,45.98690229166667
Acoustic Grand Piano,0,60,C4,99,0.0922128750000013,46.229388,46.321600875
Acoustic Grand Piano,0,63,D#4,112,0.09904345833333394,46.229388,46.328431458333334
Acoustic Grand Piano,0,66,F#4,108,0.10245875000000382,46.229388,46.331846750000004
Acoustic Grand Piano,0,60,C4,108,0.08196699999999879,46.557256,46.639223
Acoustic Grand Piano,0,63,D#4,124,0.08538229166666866,46.557256,46.64263829166667
Acoustic Grand Piano,0,66,F#4,102,0.08879758333333143,46.557256,46.646053583333334
Acoustic Grand Piano,0,60,C4,127,0.044398791666665716,47.704794,47.749192791666665
Acoustic Grand Piano,0,63,D#4,127,0.04781408333333559,47.704794,47.752608083333335
Acoustic Grand Piano,0,66,F#4,127,0.04781408333333559,47.704794,47.752608083333335
Acoustic Grand Piano,0,49,C#3,127,0.05464466666666823,47.704794,47.75943866666667
Acoustic Grand Piano,0,63,D#4,108,0.0683058333333264,72.13096,72.19926583333333
Acoustic Grand Piano,0,66,F#4,105,0.07172112499999628,72.13096,72.202681125
Acoustic Grand Piano,0,60,C4,94,0.07513641666666615,72.13096,72.20609641666667
Acoustic Grand Piano,0,63,D#4,127,0.07513641666666615,72.458828,72.53396441666666
Acoustic Grand Piano,0,66,F#4,115,0.07513641666666615,72.458828,72.53396441666666
Acoustic Grand Piano,0,60,C4,115,0.07513641666666615,72.458828,72.53396441666666
Acoustic Grand Piano,0,63,D#4,127,0.07513641666666615,72.786696,72.86183241666667
Acoustic Grand Piano,0,60,C4,115,0.07513641666666615,72.786696,72.86183241666667
Acoustic Grand Piano,0,66,F#4,127,0.07855170833332181,72.786696,72.86524770833333
Acoustic Grand Piano,0,63,D#4,119,0.07513641666666615,95.73745600000001,95.81259241666667
Acoustic Grand Piano,0,66,F#4,115,0.07513641666666615,95.73745600000001,95.81259241666667
Acoustic Grand Piano,0,60,C4,102,0.07855170833332181,95.73745600000001,95.81600770833333
Acoustic Grand Piano,0,60,C4,119,0.07172112499999628,96.065324,96.137045125
Acoustic Grand Piano,0,63,D#4,127,0.07855170833333602,96.065324,96.14387570833334
Acoustic Grand Piano,0,66,F#4,119,0.07855170833333602,96.065324,96.14387570833334
Acoustic Grand Piano,0,60,C4,124,0.07172112499999628,96.393192,96.464913125
Acoustic Grand Piano,0,66,F#4,127,0.07513641666666615,96.393192,96.46832841666667
Acoustic Grand Piano,0,63,D#4,127,0.07855170833333602,96.393192,96.47174370833334
Acoustic Grand Piano,0,60,C4,124,0.06830583333334062,97.54073,97.60903583333334
Acoustic Grand Piano,0,66,F#4,127,0.07172112500001049,97.54073,97.612451125
Acoustic Grand Piano,0,63,D#4,127,0.07172112500001049,97.54073,97.612451125
Acoustic Grand Piano,0,49,C#3,127,0.07172112500001049,97.54073,97.612451125
Acoustic Grand Piano,0,68,G#4,127,0.07513641666666615,119.343952,119.41908841666667
