Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Percussion,-1,36,C2,100,0.32902000000000003,0.0,0.32902000000000003
Percussion,-1,36,C2,100,0.32902,0.6580400000000001,0.98706
Percussion,-1,36,C2,127,0.08225499999999997,1.3160800000000001,1.398335
Percussion,-1,36,C2,124,0.08225499999999997,1.6451000000000002,1.7273550000000002
Percussion,-1,36,C2,127,0.08225499999999997,1.97412,2.056375
Percussion,-1,36,C2,127,0.08225500000000041,2.30314,2.3853950000000004
Percussion,-1,68,G#4,103,0.08225499999999997,2.6321600000000003,2.7144150000000002
Percussion,-1,76,E5,103,0.16450999999999993,2.6321600000000003,2.79667
Percussion,-1,63,D#4,119,0.08225499999999997,2.79667,2.878925
Percussion,-1,63,D#4,116,0.08225499999999997,2.96118,3.043435
Percussion,-1,68,G#4,109,0.08225499999999997,2.96118,3.043435
Percussion,-1,68,G#4,107,0.08225499999999997,3.12569,3.207945
Percussion,-1,63,D#4,122,0.08225499999999997,3.12569,3.207945
Percussion,-1,76,E5,98,0.16451000000000038,3.12569,3.2902000000000005
Percussion,-1,68,G#4,112,0.08225499999999997,3.2902000000000005,3.3724550000000004
Percussion,-1,63,D#4,109,0.08225499999999997,3.4547100000000004,3.5369650000000004
Percussion,-1,68,G#4,112,0.08225499999999997,3.6192200000000003,3.7014750000000003
Percussion,-1,64,E4,107,0.08225499999999997,3.6192200000000003,3.7014750000000003
Percussion,-1,76,E5,101,0.08225499999999997,3.6192200000000003,3.7014750000000003
Percussion,-1,68,G#4,112,0.08225499999999997,3.7837300000000003,3.8659850000000002
Percussion,-1,68,G#4,116,0.08225499999999997,3.94824,4.030495
Percussion,-1,62,D4,98,0.08225499999999997,4.27726,4.359515
Percussion,-1,76,E5,98,0.08225499999999997,4.27726,4.359515
Percussion,-1,68,G#4,114,0.08225499999999997,4.27726,4.359515
Percussion,-1,68,G#4,116,0.08225499999999997,4.44177,4.524025
Percussion,-1,63,D#4,124,0.08225500000000086,4.60628,4.688535000000001
Percussion,-1,76,E5,107,0.08225500000000086,4.60628,4.688535000000001
Percussion,-1,68,G#4,116,0.08225500000000086,4.60628,4.688535000000001
Percussion,-1,63,D#4,127,0.08225499999999997,4.770790000000001,4.853045000000001
Percussion,-1,64,E4,103,0.08225499999999997,4.935300000000001,5.017555000000001
Percussion,-1,68,G#4,116,0.08225499999999997,4.935300000000001,5.017555000000001
Percussion,-1,64,E4,94,0.08225499999999997,5.099810000000001,5.182065000000001
Percussion,-1,68,G#4,119,0.08225499999999997,5.099810000000001,5.182065000000001
Percussion,-1,68,G#4,119,0.08225499999999997,5.2643200000000006,5.3465750000000005
Percussion,-1,76,E5,103,0.16450999999999993,5.2643200000000006,5.4288300000000005
Percussion,-1,63,D#4,124,0.08225499999999997,5.4288300000000005,5.5110850000000005
Percussion,-1,63,D#4,119,0.08225499999999997,5.59334,5.675595
Percussion,-1,68,G#4,112,0.08225499999999997,5.59334,5.675595
Percussion,-1,63,D#4,127,0.08225499999999997,5.75785,5.840105
Percussion,-1,68,G#4,116,0.08225499999999997,5.75785,5.840105
Percussion,-1,76,E5,98,0.16450999999999993,5.75785,5.92236
Percussion,-1,68,G#4,116,0.08225499999999997,5.92236,6.004615
Percussion,-1,62,D4,107,0.08225499999999997,6.08687,6.169125
Percussion,-1,68,G#4,114,0.08225499999999997,6.25138,6.333635
Percussion,-1,64,E4,114,0.08225499999999997,6.25138,6.333635
Percussion,-1,76,E5,101,0.08225499999999997,6.25138,6.333635
Percussion,-1,68,G#4,112,0.08225499999999997,6.41589,6.498145
Percussion,-1,68,G#4,116,0.08225499999999997,6.580400000000001,6.662655000000001
Percussion,-1,76,E5,98,0.08225499999999997,6.909420000000001,6.991675000000001
Percussion,-1,68,G#4,116,0.08225499999999997,6.909420000000001,6.991675000000001
Percussion,-1,68,G#4,119,0.08225499999999997,7.073930000000001,7.156185000000001
Percussion,-1,63,D#4,124,0.08225499999999997,7.238440000000001,7.320695000000001
Percussion,-1,76,E5,107,0.08225499999999997,7.238440000000001,7.320695000000001
Percussion,-1,68,G#4,124,0.08225499999999997,7.238440000000001,7.320695000000001
Percussion,-1,63,D#4,127,0.08225499999999997,7.402950000000001,7.4852050000000006
Percussion,-1,64,E4,109,0.08225499999999997,7.5674600000000005,7.6497150000000005
Percussion,-1,68,G#4,122,0.08225499999999997,7.5674600000000005,7.6497150000000005
Percussion,-1,64,E4,112,0.08225499999999997,7.7319700000000005,7.814225
Percussion,-1,68,G#4,124,0.08225499999999997,7.7319700000000005,7.814225
Percussion,-1,58,A#3,122,0.08225499999999997,7.89648,7.978735
Percussion,-1,68,G#4,103,0.08225499999999997,7.89648,7.978735
Percussion,-1,76,E5,103,0.16450999999999993,7.89648,8.06099
Percussion,-1,63,D#4,119,0.08225499999999997,8.06099,8.143245
Percussion,-1,63,D#4,116,0.08225499999999997,8.2255,8.307755
Percussion,-1,68,G#4,109,0.08225499999999997,8.2255,8.307755
Percussion,-1,63,D#4,122,0.08225499999999997,8.39001,8.472265
Percussion,-1,68,G#4,107,0.08225499999999997,8.39001,8.472265
Percussion,-1,76,E5,98,0.16450999999999993,8.39001,8.55452
Percussion,-1,68,G#4,112,0.08225499999999997,8.55452,8.636775
Percussion,-1,63,D#4,109,0.08225499999999997,8.71903,8.801285
Percussion,-1,76,E5,101,0.08225499999999997,8.88354,8.965795
Percussion,-1,64,E4,107,0.08225499999999997,8.88354,8.965795
Percussion,-1,68,G#4,112,0.08225499999999997,8.88354,8.965795
Percussion,-1,68,G#4,112,0.08225499999999997,9.04805,9.130305
Percussion,-1,68,G#4,116,0.08225499999999997,9.21256,9.294815
Percussion,-1,62,D4,98,0.08225499999999997,9.541580000000002,9.623835000000001
Percussion,-1,68,G#4,114,0.08225499999999997,9.541580000000002,9.623835000000001
Percussion,-1,76,E5,98,0.08225499999999997,9.541580000000002,9.623835000000001
Percussion,-1,68,G#4,116,0.08225499999999997,9.706090000000001,9.788345000000001
Percussion,-1,76,E5,107,0.08225499999999997,9.870600000000001,9.952855000000001
Percussion,-1,63,D#4,124,0.08225499999999997,9.870600000000001,9.952855000000001
Percussion,-1,68,G#4,116,0.08225499999999997,9.870600000000001,9.952855000000001
Percussion,-1,63,D#4,127,0.08225499999999997,10.035110000000001,10.117365000000001
Percussion,-1,64,E4,103,0.08225499999999997,10.199620000000001,10.281875000000001
Percussion,-1,68,G#4,116,0.08225499999999997,10.199620000000001,10.281875000000001
Percussion,-1,64,E4,94,0.08225499999999997,10.364130000000001,10.446385000000001
Percussion,-1,68,G#4,119,0.08225499999999997,10.364130000000001,10.446385000000001
Percussion,-1,68,G#4,119,0.08225499999999997,10.528640000000001,10.610895000000001
Percussion,-1,76,E5,103,0.16450999999999993,10.528640000000001,10.693150000000001
Percussion,-1,63,D#4,124,0.08225499999999997,10.693150000000001,10.775405000000001
Percussion,-1,63,D#4,119,0.08225499999999997,10.857660000000001,10.939915000000001
Percussion,-1,68,G#4,112,0.08225499999999997,10.857660000000001,10.939915000000001
Percussion,-1,63,D#4,127,0.08225499999999997,11.022170000000001,11.104425
Percussion,-1,68,G#4,116,0.08225499999999997,11.022170000000001,11.104425
Percussion,-1,76,E5,98,0.16450999999999993,11.022170000000001,11.18668
Percussion,-1,68,G#4,116,0.08225499999999997,11.18668,11.268935
Percussion,-1,62,D4,107,0.08225499999999997,11.35119,11.433445
Percussion,-1,76,E5,101,0.08225499999999997,11.5157,11.597955
Percussion,-1,64,E4,114,0.08225499999999997,11.5157,11.597955
Percussion,-1,68,G#4,114,0.08225499999999997,11.5157,11.597955
Percussion,-1,68,G#4,112,0.08225499999999997,11.68021,11.762465
Percussion,-1,68,G#4,116,0.08225499999999997,11.84472,11.926975
Percussion,-1,76,E5,98,0.08225499999999997,12.17374,12.255995
Percussion,-1,68,G#4,116,0.08225499999999997,12.17374,12.255995
Percussion,-1,68,G#4,119,0.08225499999999997,12.33825,12.420505
Percussion,-1,76,E5,107,0.08225499999999997,12.50276,12.585015
Percussion,-1,63,D#4,124,0.08225499999999997,12.50276,12.585015
Percussion,-1,68,G#4,124,0.08225499999999997,12.50276,12.585015
Percussion,-1,63,D#4,127,0.08225499999999997,12.66727,12.749525
Percussion,-1,64,E4,109,0.08225499999999997,12.83178,12.914035
Percussion,-1,68,G#4,122,0.08225499999999997,12.83178,12.914035
Percussion,-1,68,G#4,124,0.08225499999999997,12.99629,13.078545
Percussion,-1,64,E4,112,0.08225499999999997,12.99629,13.078545
Percussion,-1,68,G#4,103,0.08225499999999997,13.160800000000002,13.243055000000002
Percussion,-1,76,E5,103,0.16450999999999993,13.160800000000002,13.325310000000002
Percussion,-1,63,D#4,119,0.08225499999999997,13.325310000000002,13.407565000000002
Percussion,-1,63,D#4,116,0.08225499999999997,13.489820000000002,13.572075000000002
Percussion,-1,68,G#4,109,0.08225499999999997,13.489820000000002,13.572075000000002
Percussion,-1,63,D#4,122,0.08225499999999997,13.654330000000002,13.736585000000002
Percussion,-1,68,G#4,107,0.08225499999999997,13.654330000000002,13.736585000000002
Percussion,-1,76,E5,98,0.16450999999999993,13.654330000000002,13.818840000000002
Percussion,-1,68,G#4,112,0.08225499999999997,13.818840000000002,13.901095000000002
Percussion,-1,63,D#4,109,0.08225499999999997,13.983350000000002,14.065605000000001
Percussion,-1,68,G#4,112,0.08225499999999997,14.147860000000001,14.230115000000001
Percussion,-1,76,E5,101,0.08225499999999997,14.147860000000001,14.230115000000001
Percussion,-1,64,E4,107,0.08225499999999997,14.147860000000001,14.230115000000001
Percussion,-1,68,G#4,112,0.08225499999999997,14.312370000000001,14.394625000000001
Percussion,-1,68,G#4,116,0.08225499999999997,14.476880000000001,14.559135000000001
Percussion,-1,62,D4,98,0.08225499999999997,14.805900000000001,14.888155000000001
Percussion,-1,68,G#4,114,0.08225499999999997,14.805900000000001,14.888155000000001
Percussion,-1,76,E5,98,0.08225499999999997,14.805900000000001,14.888155000000001
Percussion,-1,68,G#4,116,0.08225499999999997,14.970410000000001,15.052665000000001
Percussion,-1,63,D#4,124,0.08225499999999997,15.134920000000001,15.217175000000001
Percussion,-1,68,G#4,116,0.08225499999999997,15.134920000000001,15.217175000000001
Percussion,-1,76,E5,107,0.08225499999999997,15.134920000000001,15.217175000000001
Percussion,-1,63,D#4,127,0.08225499999999997,15.299430000000001,15.381685000000001
Percussion,-1,64,E4,103,0.08225499999999997,15.463940000000001,15.546195
Percussion,-1,68,G#4,116,0.08225499999999997,15.463940000000001,15.546195
Percussion,-1,64,E4,94,0.08225499999999997,15.62845,15.710705
Percussion,-1,68,G#4,119,0.08225499999999997,15.62845,15.710705
Percussion,-1,68,G#4,119,0.08225499999999997,15.79296,15.875215
Percussion,-1,76,E5,103,0.16450999999999993,15.79296,15.95747
Percussion,-1,63,D#4,124,0.08225499999999997,15.95747,16.039725
Percussion,-1,63,D#4,119,0.08225499999999997,16.12198,16.204235
Percussion,-1,68,G#4,112,0.08225499999999997,16.12198,16.204235
Percussion,-1,63,D#4,127,0.08225499999999997,16.28649,16.368745
Percussion,-1,68,G#4,116,0.08225499999999997,16.28649,16.368745
Percussion,-1,76,E5,98,0.16450999999999993,16.28649,16.451
Percussion,-1,68,G#4,116,0.08225499999999997,16.451,16.533255
Percussion,-1,62,D4,107,0.08225499999999997,16.61551,16.697765
Percussion,-1,64,E4,114,0.08225499999999997,16.78002,16.862275
Percussion,-1,68,G#4,114,0.08225499999999997,16.78002,16.862275
Percussion,-1,76,E5,101,0.08225499999999997,16.78002,16.862275
Percussion,-1,68,G#4,112,0.08225499999999997,16.94453,17.026785
Percussion,-1,68,G#4,116,0.08225499999999997,17.10904,17.191295
Percussion,-1,76,E5,98,0.08225499999999997,17.43806,17.520315
Percussion,-1,68,G#4,116,0.08225499999999997,17.43806,17.520315
Percussion,-1,68,G#4,119,0.08225499999999997,17.60257,17.684825
Percussion,-1,63,D#4,124,0.08225499999999997,17.76708,17.849335
Percussion,-1,68,G#4,124,0.08225499999999997,17.76708,17.849335
Percussion,-1,76,E5,107,0.08225499999999997,17.76708,17.849335
Percussion,-1,63,D#4,127,0.08225499999999997,17.93159,18.013845
Percussion,-1,64,E4,109,0.08225499999999997,18.0961,18.178355
Percussion,-1,68,G#4,122,0.08225499999999997,18.0961,18.178355
Percussion,-1,68,G#4,124,0.08225499999999997,18.26061,18.342865
Percussion,-1,64,E4,112,0.08225499999999997,18.26061,18.342865
Percussion,-1,70,A#4,122,0.10000000000000142,21.62512,21.72512
Percussion,-1,70,A#4,119,0.10000000000000142,22.42512,22.52512
Percussion,-1,70,A#4,119,0.09999999999999787,23.22512,23.32512
Percussion,-1,70,A#4,119,0.09999999999999787,24.02512,24.12512
Percussion,-1,70,A#4,116,0.10000000000000142,24.82512,24.92512
Percussion,-1,70,A#4,119,0.10000000000000142,25.62512,25.72512
Percussion,-1,70,A#4,116,0.10000000000000142,26.42512,26.52512
Percussion,-1,70,A#4,122,0.09999999999999787,27.22512,27.32512
Percussion,-1,70,A#4,122,0.10000000000000142,28.02512,28.125120000000003
Percussion,-1,70,A#4,119,0.10000000000000142,28.82512,28.92512
Percussion,-1,70,A#4,122,0.09999999999999787,29.625120000000003,29.72512
Percussion,-1,70,A#4,122,0.10000000000000142,30.42512,30.52512
Percussion,-1,70,A#4,119,0.09999999999999787,31.22512,31.32512
Percussion,-1,70,A#4,119,0.10000000000000142,32.02512,32.12512
Percussion,-1,70,A#4,114,0.10000000000000142,32.82512,32.92512
