instrumento,nota,volumen,dura,empieza,termina
-1.0,60,80,0.03592810000000135,14.5508805,14.586808600000001
-1.0,60,80,0.035928099999999574,14.64070075,14.67662885
-1.0,60,80,0.03592810000000135,14.730521,14.7664491
-1.0,61,96,0.06886219166666585,14.910161500000001,14.979023691666667
-1.0,60,96,0.035928099999999574,15.2694425,15.3053706
-1.0,60,96,0.017964050000001563,15.9880045,16.005968550000002
-1.0,60,96,0.017964049999999787,16.167645,16.18560905
-1.0,61,96,0.035928099999999574,16.3472855,16.3832136
-1.0,60,96,0.017964049999999787,16.482015875000002,16.499979925
-1.0,61,96,0.035928099999999574,16.526926,16.5628541
-1.0,60,96,0.017964049999999787,16.751476625000002,16.769440675000002
-1.0,61,96,0.035928099999999574,16.79638675,16.83231485
-1.0,61,96,0.06886219166666763,17.4251285,17.493990691666667
-1.0,60,96,0.06886219166666763,17.604769,17.67363119166667
-1.0,60,96,0.06886219166666763,18.8622525,18.931114691666668
-1.0,61,80,0.06886219166666763,19.401174,19.47003619166667
-1.0,60,96,0.06886219166666763,19.5808145,19.649676691666667
-1.0,61,80,0.06886219166666763,20.2993765,20.36823869166667
-1.0,61,80,0.06886219166666763,20.479017,20.547879191666667
-1.0,61,80,0.06886219166666407,20.838298,20.907160191666666
-1.0,60,96,0.06886219166666763,21.0179385,21.086800691666667
-1.0,60,96,0.017964049999999787,21.736500500000002,21.75446455
-1.0,60,96,0.017964049999999787,21.916141,21.93410505
-1.0,61,96,0.035928099999999574,22.0957815,22.1317096
-1.0,60,96,0.017964049999999787,22.230511875,22.248475925
-1.0,61,96,0.03592810000000313,22.275422,22.311350100000002
-1.0,60,96,0.017964049999999787,22.499972625,22.517936675
-1.0,61,96,0.035928099999999574,22.54488275,22.58081085
-1.0,61,80,0.06886219166666763,23.1736245,23.242486691666667
-1.0,61,80,0.06886219166666763,23.353265,23.422127191666668
-1.0,60,96,0.06886219166666407,23.532905500000002,23.601767691666666
-1.0,61,80,0.06886219166666763,23.712546,23.781408191666667
-1.0,60,96,0.06886219166666763,23.8921865,23.96104869166667
-1.0,61,80,0.06886219166666763,24.790389,24.85925119166667
-1.0,60,96,0.06886219166666763,24.9700295,25.038891691666667
-1.0,61,64,0.06886219166666407,25.329310500000002,25.398172691666666
-1.0,61,96,0.06886219166666763,26.0478725,26.116734691666668
-1.0,60,96,0.06886219166666407,26.227513000000002,26.296375191666666
-1.0,60,96,0.06886219166666763,27.4849965,27.55385869166667
-1.0,61,80,0.06886219166666407,28.023918000000002,28.092780191666666
-1.0,60,96,0.06886219166666763,28.2035585,28.272420691666667
-1.0,60,80,0.035928099999999574,28.922120500000002,28.9580486
-1.0,60,80,0.035928099999999574,29.01194075,29.04786885
-1.0,61,96,0.06886219166666763,29.2814015,29.35026369166667
-1.0,60,96,0.035928099999999574,29.6406825,29.6766106
-1.0,60,96,0.01796405000000334,30.3592445,30.377208550000002
-1.0,60,96,0.017964049999999787,30.538885,30.55684905
-1.0,61,96,0.035928099999999574,30.718525500000002,30.7544536
-1.0,60,96,0.017964049999999787,30.853255875000002,30.871219925000002
-1.0,61,96,0.035928099999999574,30.898166,30.9340941
-1.0,60,96,0.017964049999999787,31.122716625000002,31.140680675000002
-1.0,61,96,0.035928099999999574,31.16762675,31.20355485
-1.0,61,80,0.06886219166666763,31.7963685,31.865230691666667
-1.0,61,80,0.06886219166666407,31.976009,32.044871191666665
-1.0,60,96,0.06886219166666763,32.1556495,32.22451169166667
-1.0,61,80,0.06886219166666763,32.33529,32.40415219166667
-1.0,60,96,0.06886219166666763,32.5149305,32.583792691666666
-1.0,61,80,0.06886219166666763,33.413133,33.48199519166667
-1.0,60,96,0.06886219166666763,33.5927735,33.66163569166667
