Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,62,D4,68,0.5389214999999998,3.0538885000000002,3.59281
Acoustic Grand Piano,0,67,G4,83,0.5389215000000003,3.233529,3.7724505
Acoustic Grand Piano,0,70,A#4,78,0.5389215000000003,3.4131695,3.9520910000000002
Acoustic Grand Piano,0,62,D4,78,0.6317357583333334,3.7724505,4.4041862583333335
Acoustic Grand Piano,0,67,G4,83,0.5389214999999998,3.9520910000000002,4.4910125
Acoustic Grand Piano,0,72,C5,92,0.5389214999999998,4.1317315,4.670653
Acoustic Grand Piano,0,62,D4,70,0.5389214999999998,4.4910125,5.029934
Acoustic Grand Piano,0,67,G4,83,0.4520952583333342,4.670653,5.122748258333334
Acoustic Grand Piano,0,74,D5,92,0.5389214999999998,4.8502935,5.389215
Acoustic Grand Piano,0,31,G1,110,2.6946074999999996,2.874248,5.5688555
Acoustic Grand Piano,0,43,G2,83,2.6946074999999996,2.874248,5.5688555
Acoustic Grand Piano,0,43,G2,120,2.6946074999999996,2.874248,5.5688555
Acoustic Grand Piano,0,55,G3,74,2.7874217583333336,2.874248,5.661669758333334
Acoustic Grand Piano,0,62,D4,74,0.631735758333333,5.2095745,5.841310258333333
Acoustic Grand Piano,0,67,G4,86,0.4520952583333333,5.389215,5.841310258333333
Acoustic Grand Piano,0,72,C5,92,0.3592810000000002,5.5688555,5.9281365
Acoustic Grand Piano,0,62,D4,80,0.6317357583333338,5.9281365,6.559872258333334
Acoustic Grand Piano,0,67,G4,89,0.631735758333333,6.1077770000000005,6.739512758333333
Acoustic Grand Piano,0,70,A#4,109,0.4520952583333333,6.2874175,6.739512758333333
Acoustic Grand Piano,0,62,D4,74,0.5389214999999998,6.6466985,7.18562
Acoustic Grand Piano,0,67,G4,80,0.5389214999999998,6.826339,7.3652605
Acoustic Grand Piano,0,72,C5,96,0.4520952583333333,7.0059795000000005,7.458074758333334
Acoustic Grand Piano,0,62,D4,83,0.5389215000000007,7.3652605,7.9041820000000005
Acoustic Grand Piano,0,67,G4,78,0.5389214999999998,7.544901,8.0838225
Acoustic Grand Piano,0,74,D5,96,0.4520952583333342,7.7245415,8.176636758333334
Acoustic Grand Piano,0,55,G3,70,2.694607499999999,5.748496,8.4431035
Acoustic Grand Piano,0,43,G2,86,2.694607499999999,5.748496,8.4431035
Acoustic Grand Piano,0,43,G2,120,2.694607499999999,5.748496,8.4431035
Acoustic Grand Piano,0,31,G1,120,2.694607499999999,5.748496,8.4431035
Acoustic Grand Piano,0,62,D4,89,0.5389215000000007,8.0838225,8.622744
Acoustic Grand Piano,0,72,C5,96,0.35928100000000107,8.4431035,8.8023845
Acoustic Grand Piano,0,69,A4,86,0.5389215000000007,8.263463,8.8023845
Acoustic Grand Piano,0,62,D4,83,0.631735758333333,8.8023845,9.434120258333333
Acoustic Grand Piano,0,67,G4,89,0.5389215000000007,8.982025,9.5209465
Acoustic Grand Piano,0,70,A#4,101,0.5389215000000007,9.1616655,9.700587
Acoustic Grand Piano,0,62,D4,83,0.5389214999999989,9.5209465,10.059868
Acoustic Grand Piano,0,67,G4,83,0.5389214999999989,9.700587,10.2395085
Acoustic Grand Piano,0,72,C5,100,0.4520952583333333,9.8802275,10.332322758333333
Acoustic Grand Piano,0,62,D4,74,0.5389215000000007,10.2395085,10.77843
