Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,65,F4,127,0.14705874999999935,39.529392,39.67645075
Acoustic Grand Piano,0,84,C6,127,0.16911756249999854,39.529392,39.6985095625
Acoustic Grand Piano,0,72,C5,127,0.3308821875000021,39.529392,39.8602741875
Acoustic Grand Piano,0,53,F3,127,0.3676468749999984,39.529392,39.897038875
Acoustic Grand Piano,0,60,C4,127,0.11764699999999806,39.882333,39.99998
Acoustic Grand Piano,0,81,A5,127,0.13235287499999515,39.882333,40.014685875
Acoustic Grand Piano,0,77,F5,127,0.13235287499999515,39.882333,40.014685875
Acoustic Grand Piano,0,57,A3,127,0.13235287499999515,39.882333,40.014685875
Acoustic Grand Piano,0,65,F4,127,0.19117637499999773,40.0588035,40.249979875
Acoustic Grand Piano,0,84,C6,127,0.20588224999999483,40.0588035,40.26468575
Acoustic Grand Piano,0,53,F3,127,0.41176449999999676,40.0588035,40.470568
Acoustic Grand Piano,0,72,C5,127,0.42647037499999385,40.0588035,40.485273875
Acoustic Grand Piano,0,81,A5,127,0.15441168750000145,40.4117445,40.5661561875
Acoustic Grand Piano,0,57,A3,127,0.15441168750000145,40.4117445,40.5661561875
Acoustic Grand Piano,0,60,C4,127,0.16176462500000355,40.4117445,40.573509125
Acoustic Grand Piano,0,77,F5,127,0.16911756250000565,40.4117445,40.5808620625
Acoustic Grand Piano,0,67,G4,127,0.18382343750000274,40.7646855,40.9485089375
Acoustic Grand Piano,0,71,B4,127,0.3529410000000013,40.7646855,41.1176265
Acoustic Grand Piano,0,55,G3,127,0.39705862499999967,40.7646855,41.161744125
Acoustic Grand Piano,0,59,B3,127,0.14705874999999935,41.1176265,41.26468525
Acoustic Grand Piano,0,62,D4,127,0.14705874999999935,41.1176265,41.26468525
Acoustic Grand Piano,0,74,D5,127,0.15441168750000145,41.1176265,41.2720381875
Acoustic Grand Piano,0,79,G5,127,0.18382343750000274,41.1176265,41.3014499375
Acoustic Grand Piano,0,67,G4,127,0.15441168750000145,41.4705675,41.6249791875
Acoustic Grand Piano,0,55,G3,127,0.41176449999999676,41.4705675,41.882332
Acoustic Grand Piano,0,71,B4,127,0.46323506249999724,41.4705675,41.9338025625
Acoustic Grand Piano,0,79,G5,127,0.17647050000000064,41.8235085,41.999979
Acoustic Grand Piano,0,74,D5,127,0.18382343749999563,41.8235085,42.0073319375
Acoustic Grand Piano,0,59,B3,127,0.3749998125000005,41.8235085,42.1985083125
Acoustic Grand Piano,0,62,D4,127,0.39705862499999967,41.8235085,42.220567125
Acoustic Grand Piano,0,55,G3,127,0.07352937499999967,42.176449500000004,42.249978875000004
Acoustic Grand Piano,0,71,B4,127,0.07352937499999967,42.176449500000004,42.249978875000004
Acoustic Grand Piano,0,71,B4,127,0.20588225000000193,42.35292,42.55880225
Acoustic Grand Piano,0,59,B3,127,0.24264693750000532,42.35292,42.5955669375
Acoustic Grand Piano,0,79,G5,127,0.16176462500000355,42.5293905,42.691155125
Acoustic Grand Piano,0,74,D5,127,0.16911756250000565,42.5293905,42.698508062500004
Acoustic Grand Piano,0,64,E4,127,0.21323518750000403,42.5293905,42.7426256875
Acoustic Grand Piano,0,67,G4,127,0.2794116250000016,42.5293905,42.808802125
Acoustic Grand Piano,0,71,B4,127,0.38970568750000467,42.8823315,43.272037187500004
Acoustic Grand Piano,0,59,B3,127,0.42647037500000096,42.8823315,43.308801875
Acoustic Grand Piano,0,67,G4,127,0.13235287500000226,43.2352725,43.367625375
Acoustic Grand Piano,0,74,D5,127,0.14705874999999935,43.2352725,43.38233125
Acoustic Grand Piano,0,79,G5,127,0.14705874999999935,43.2352725,43.38233125
Acoustic Grand Piano,0,64,E4,127,0.15441168750000145,43.2352725,43.3896841875
Acoustic Grand Piano,0,69,A4,127,0.39705862499999967,43.5882135,43.985272125
Acoustic Grand Piano,0,57,A3,127,0.41176449999999676,43.5882135,43.999978
Acoustic Grand Piano,0,76,E5,127,0.16911756249999854,43.9411545,44.1102720625
Acoustic Grand Piano,0,72,C5,127,0.17647050000000064,43.9411545,44.117625000000004
Acoustic Grand Piano,0,60,C4,127,0.19117637499999773,43.9411545,44.132330875
Acoustic Grand Piano,0,64,E4,127,0.19117637499999773,43.9411545,44.132330875
Acoustic Grand Piano,0,79,G5,127,0.16176462500000355,44.2940955,44.455860125
Acoustic Grand Piano,0,55,G3,127,0.38970568750000467,44.2940955,44.6838011875
