Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Bright Acoustic Piano,1,54,F#3,125,0.06790116666666646,1.6666650000000003,1.7345661666666667
Bright Acoustic Piano,1,58,A#3,125,0.07407399999999997,1.6666650000000003,1.7407390000000003
Bright Acoustic Piano,1,70,A#4,125,0.07716041666666662,1.6666650000000003,1.743825416666667
Bright Acoustic Piano,1,54,F#3,125,0.06481475000000003,1.8518500000000002,1.9166647500000003
Bright Acoustic Piano,1,58,A#3,125,0.07407399999999997,1.8518500000000002,1.9259240000000002
Bright Acoustic Piano,1,70,A#4,125,0.07716041666666662,1.8518500000000002,1.9290104166666668
Bright Acoustic Piano,1,54,F#3,125,0.06481475000000003,2.0370350000000004,2.1018497500000004
Bright Acoustic Piano,1,58,A#3,125,0.06790116666666668,2.0370350000000004,2.104936166666667
Bright Acoustic Piano,1,70,A#4,125,0.08950608333333321,2.0370350000000004,2.1265410833333336
Bright Acoustic Piano,1,66,F#4,125,0.05864191666666674,2.22222,2.280861916666667
Bright Acoustic Piano,1,58,A#3,125,0.07716041666666662,2.22222,2.2993804166666667
Bright Acoustic Piano,1,78,F#5,125,0.08024683333333371,2.22222,2.302466833333334
Bright Acoustic Piano,1,66,F#4,125,0.06481475000000003,2.4074050000000002,2.4722197500000003
Bright Acoustic Piano,1,58,A#3,125,0.07716041666666662,2.4074050000000002,2.484565416666667
Bright Acoustic Piano,1,78,F#5,125,0.08333324999999991,2.4074050000000002,2.49073825
Bright Acoustic Piano,1,66,F#4,125,0.07716041666666662,2.5925900000000004,2.669750416666667
Bright Acoustic Piano,1,58,A#3,125,0.08950608333333321,2.5925900000000004,2.6820960833333336
Bright Acoustic Piano,1,78,F#5,125,0.09876533333333315,2.5925900000000004,2.6913553333333335
Bright Acoustic Piano,1,65,F4,125,0.25308616666666683,2.777775,3.030861166666667
Bright Acoustic Piano,1,56,G#3,125,0.2561725833333335,2.777775,3.0339475833333336
Bright Acoustic Piano,1,77,F5,125,0.2808639166666671,2.777775,3.058638916666667
Bright Acoustic Piano,1,77,F5,125,0.12345666666666677,3.1481450000000004,3.271601666666667
Bright Acoustic Piano,1,77,F5,125,0.12345666666666677,3.1481450000000004,3.271601666666667
Bright Acoustic Piano,1,56,G#3,125,0.19135783333333345,3.1481450000000004,3.339502833333334
Bright Acoustic Piano,1,65,F4,125,0.1944442500000001,3.1481450000000004,3.3425892500000005
Bright Acoustic Piano,1,80,G#5,125,0.1512344166666666,3.5185150000000003,3.669749416666667
Bright Acoustic Piano,1,58,A#3,125,0.19753066666666674,3.5185150000000003,3.716045666666667
Bright Acoustic Piano,1,59,B3,125,0.28086391666666666,3.5185150000000003,3.799378916666667
Bright Acoustic Piano,1,56,G#3,125,0.10493816666666644,3.8888850000000006,3.993823166666667
Bright Acoustic Piano,1,77,F5,125,0.12037025000000012,3.8888850000000006,4.009255250000001
Bright Acoustic Piano,1,78,F#5,125,0.2037034999999996,4.074070000000001,4.2777735
Bright Acoustic Piano,1,58,A#3,125,0.6543203333333327,4.074070000000001,4.7283903333333335
Bright Acoustic Piano,1,70,A#4,125,0.13888874999999956,4.907402500000001,5.04629125
Bright Acoustic Piano,1,54,F#3,125,0.0895060833333341,4.999995,5.089501083333334
Bright Acoustic Piano,1,75,D#5,125,0.15432083333333413,4.999995,5.154315833333334
Bright Acoustic Piano,1,51,D#3,125,0.1882714166666668,5.185180000000001,5.373451416666668
Bright Acoustic Piano,1,66,F#4,125,0.2870367499999995,5.185180000000001,5.47221675
Bright Acoustic Piano,1,70,A#4,125,0.31172808333333357,5.185180000000001,5.496908083333334
Bright Acoustic Piano,1,66,F#4,125,0.0987653333333336,5.55555,5.654315333333334
Bright Acoustic Piano,1,44,G#2,125,0.11111100000000018,5.55555,5.666661
Bright Acoustic Piano,1,63,D#4,125,0.12962950000000006,5.55555,5.6851795
Bright Acoustic Piano,1,68,G#4,125,0.16975291666666692,5.740735000000001,5.910487916666668
Bright Acoustic Piano,1,47,B2,125,0.1975306666666663,5.740735000000001,5.938265666666667
Bright Acoustic Piano,1,71,B4,125,0.3086416666666665,5.740735000000001,6.049376666666667
Bright Acoustic Piano,1,66,F#4,125,0.15740725000000033,6.111105,6.268512250000001
Bright Acoustic Piano,1,46,A#2,125,0.1882714166666668,6.111105,6.299376416666667
Bright Acoustic Piano,1,70,A#4,125,0.23765408333333404,6.111105,6.348759083333334
Bright Acoustic Piano,1,47,B2,125,0.22222200000000036,6.4814750000000005,6.703697000000001
Bright Acoustic Piano,1,59,B3,125,0.22530841666666657,6.4814750000000005,6.706783416666667
Bright Acoustic Piano,1,58,A#3,125,0.22839483333333366,6.4814750000000005,6.709869833333334
Bright Acoustic Piano,1,68,G#4,125,0.2962959999999999,6.4814750000000005,6.777771
Bright Acoustic Piano,1,68,G#4,125,0.2962959999999999,6.4814750000000005,6.777771
Bright Acoustic Piano,1,46,A#2,125,0.1018517499999998,6.851845000000001,6.953696750000001
Bright Acoustic Piano,1,65,F4,125,0.10493816666666689,6.851845000000001,6.956783166666668
Bright Acoustic Piano,1,66,F#4,125,0.12654308333333297,6.851845000000001,6.978388083333334
Bright Acoustic Piano,1,58,A#3,125,0.12962950000000006,6.851845000000001,6.981474500000001
