Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,65,F4,104,2.5676457749999955,16.93528565,19.502931424999996
Acoustic Grand Piano,0,62,D4,117,2.5970575249999968,16.93528565,19.532343174999998
Acoustic Grand Piano,0,57,A3,107,2.599998699999997,16.93528565,19.535284349999998
Acoustic Grand Piano,0,50,D3,125,2.6117633999999974,16.92352095,19.535284349999998
Acoustic Grand Piano,0,65,F4,107,2.6411751500000022,19.761754824999997,22.402929975
Acoustic Grand Piano,0,46,A#2,124,2.652939849999999,19.752931299999997,22.405871149999996
Acoustic Grand Piano,0,62,D4,117,2.6647045499999997,19.761754824999997,22.426459374999997
Acoustic Grand Piano,0,57,A3,101,2.673528075,19.761754824999997,22.435282899999997
Acoustic Grand Piano,0,65,F4,101,2.535292850000001,22.608812224999998,25.144105075
Acoustic Grand Piano,0,62,D4,114,2.555881075000002,22.605871049999998,25.161752125
Acoustic Grand Piano,0,57,A3,104,2.570586949999999,22.602929874999997,25.173516824999997
Acoustic Grand Piano,0,50,D3,120,2.570586949999999,22.602929874999997,25.173516824999997
Acoustic Grand Piano,0,46,A#2,124,2.649998674999999,25.3999873,28.049985975
Acoustic Grand Piano,0,62,D4,117,2.6411751500000022,25.414693174999996,28.055868325
Acoustic Grand Piano,0,65,F4,107,2.6470575000000025,25.414693174999996,28.061750675
Acoustic Grand Piano,0,57,A3,98,2.658822200000003,25.414693174999996,28.073515375
Acoustic Grand Piano,0,62,D4,93,0.2088234249999985,28.241162349999996,28.449985774999995
Acoustic Grand Piano,0,50,D3,104,0.22058812499999902,28.235279999999996,28.455868124999995
Acoustic Grand Piano,0,74,D5,101,0.22941164999999586,28.238221175,28.467632824999995
Acoustic Grand Piano,0,65,F4,93,0.18529402500000103,28.414691674999997,28.599985699999998
Acoustic Grand Piano,0,53,F3,101,0.22647047499999928,28.411750499999997,28.638220974999996
Acoustic Grand Piano,0,69,A4,96,0.14411757499999922,28.585279824999997,28.729397399999996
Acoustic Grand Piano,0,57,A3,104,0.1411763999999991,28.591162174999997,28.732338574999996
Acoustic Grand Piano,0,62,D4,87,0.31470572500000316,28.767632674999994,29.082338399999998
Acoustic Grand Piano,0,74,D5,104,0.32352925,28.764691499999998,29.088220749999998
Acoustic Grand Piano,0,50,D3,117,0.3676468750000019,28.761750324999998,29.1293972
Acoustic Grand Piano,0,53,F3,89,0.19705872500000154,29.120573674999996,29.317632399999997
Acoustic Grand Piano,0,65,F4,107,0.21176459999999864,29.1176325,29.329397099999998
Acoustic Grand Piano,0,57,A3,107,0.22058812499999902,29.1176325,29.338220624999998
Acoustic Grand Piano,0,69,A4,110,0.24411752500000006,29.1176325,29.361750025
Acoustic Grand Piano,0,79,G5,120,0.3499998249999976,29.473514674999997,29.823514499999995
Acoustic Grand Piano,0,55,G3,101,0.358823349999998,29.470573499999997,29.829396849999995
Acoustic Grand Piano,0,67,G4,87,0.36176452500000167,29.476455849999997,29.838220375
Acoustic Grand Piano,0,70,A#4,110,0.18529402499999748,29.820573324999998,30.005867349999995
Acoustic Grand Piano,0,58,A#3,121,0.2029410750000018,29.817632149999994,30.020573224999996
Acoustic Grand Piano,0,74,D5,110,0.10294112500000097,29.991161475,30.0941026
Acoustic Grand Piano,0,62,D4,114,0.11470582499999793,29.997043825,30.111749649999997
Acoustic Grand Piano,0,79,G5,104,0.28823514999999844,30.173514325,30.461749474999998
Acoustic Grand Piano,0,67,G4,78,0.291176324999995,30.173514325,30.464690649999994
Acoustic Grand Piano,0,55,G3,89,0.33823512500000064,30.170573149999996,30.508808274999996
Acoustic Grand Piano,0,74,D5,114,0.1411763999999991,30.529396499999997,30.670572899999996
Acoustic Grand Piano,0,70,A#4,104,0.1529410999999996,30.529396499999997,30.682337599999997
Acoustic Grand Piano,0,62,D4,114,0.15882344999999987,30.529396499999997,30.688219949999997
Acoustic Grand Piano,0,58,A#3,89,0.17058815000000038,30.526455324999997,30.697043474999997
Acoustic Grand Piano,0,52,E3,107,0.3882350999999993,30.8823375,31.270572599999998
Acoustic Grand Piano,0,76,E5,96,0.4411762500000016,30.885278674999995,31.326454924999997
Acoustic Grand Piano,0,64,E4,104,0.5235291500000017,30.885278674999995,31.408807824999997
Acoustic Grand Piano,0,67,G4,104,0.25294105000000044,31.235278499999996,31.488219549999997
Acoustic Grand Piano,0,70,A#4,74,0.08529407500000019,31.414690174999997,31.499984249999997
Acoustic Grand Piano,0,58,A#3,116,0.09705877500000071,31.408807824999997,31.505866599999997
Acoustic Grand Piano,0,55,G3,89,0.27352927500000135,31.232337324999996,31.505866599999997
Acoustic Grand Piano,0,62,D4,87,0.39705862499999967,31.585278324999997,31.982336949999997
Acoustic Grand Piano,0,70,A#4,121,0.22647047499999928,31.938219325,32.1646898
Acoustic Grand Piano,0,55,G3,74,0.23235282499999954,31.938219325,32.17057215
Acoustic Grand Piano,0,58,A#3,110,0.24117635000000348,31.935278149999995,32.1764545
Acoustic Grand Piano,0,67,G4,114,0.24411752500000006,31.938219325,32.18233685
Acoustic Grand Piano,0,74,D5,104,0.5970585250000013,31.585278324999997,32.18233685
Acoustic Grand Piano,0,50,D3,117,0.5999996999999979,31.585278324999997,32.185278024999995
Acoustic Grand Piano,0,73,C#5,110,0.3529410000000013,32.2941015,32.6470425
Acoustic Grand Piano,0,49,C#3,104,0.3617645249999981,32.288219149999996,32.649983674999994
Acoustic Grand Piano,0,61,C#4,95,0.38529392499999915,32.2941015,32.679395424999996
Acoustic Grand Piano,0,69,A4,93,0.197058724999998,32.6470425,32.844101224999996
Acoustic Grand Piano,0,67,G4,87,0.2088234249999985,32.6470425,32.855865924999996
Acoustic Grand Piano,0,57,A3,117,0.22941165000000296,32.6470425,32.87645415
Acoustic Grand Piano,0,55,G3,104,0.24411752500000716,32.644101324999994,32.88821885
Acoustic Grand Piano,0,73,C#5,116,0.32941160000000025,33.002924674999996,33.332336274999996
Acoustic Grand Piano,0,61,C#4,99,0.3352939500000005,33.002924674999996,33.338218624999996
Acoustic Grand Piano,0,49,C#3,116,0.35588217499999786,32.9999835,33.355865675
Acoustic Grand Piano,0,67,G4,91,0.23529400000000322,33.355865675,33.591159675
Acoustic Grand Piano,0,69,A4,75,0.24705870000000374,33.35880684999999,33.60586555
Acoustic Grand Piano,0,57,A3,104,0.27352927500000135,33.35880684999999,33.632336124999995
Acoustic Grand Piano,0,55,G3,107,0.2970586749999953,33.355865675,33.65292434999999
Acoustic Grand Piano,0,61,C#4,95,0.07941172499999993,33.711747849999995,33.791159574999995
Acoustic Grand Piano,0,73,C#5,91,0.09117642500000045,33.711747849999995,33.802924274999995
Acoustic Grand Piano,0,49,C#3,116,0.10294112500000097,33.711747849999995,33.814688974999996
Acoustic Grand Piano,0,73,C#5,110,0.19411755000000142,33.888218349999995,34.0823359
Acoustic Grand Piano,0,49,C#3,116,0.20294107500000536,33.888218349999995,34.091159425
Acoustic Grand Piano,0,61,C#4,95,0.20294107500000536,33.888218349999995,34.091159425
Acoustic Grand Piano,0,67,G4,85,0.12941170000000568,34.06174767499999,34.191159375
Acoustic Grand Piano,0,55,G3,96,0.1970587250000051,34.064688849999996,34.261747575
Acoustic Grand Piano,0,57,A3,117,0.07647055000000336,34.24115935,34.3176299
Acoustic Grand Piano,0,69,A4,91,0.09117642500000045,34.238218175,34.3293946
Acoustic Grand Piano,0,61,C#4,116,0.24705870000000374,34.414688674999994,34.661747375
Acoustic Grand Piano,0,73,C#5,104,0.24999987500000032,34.414688674999994,34.664688549999994
Acoustic Grand Piano,0,49,C#3,110,0.31764689999999973,34.4117475,34.7293944
Acoustic Grand Piano,0,67,G4,98,0.21764694999999534,34.7646885,34.982335449999994
Acoustic Grand Piano,0,55,G3,107,0.23235282499999954,34.7646885,34.997041325
Acoustic Grand Piano,0,57,A3,114,0.23529400000000322,34.7646885,34.9999825
Acoustic Grand Piano,0,69,A4,93,0.23529400000000322,34.7646885,34.9999825
Acoustic Grand Piano,0,73,C#5,124,0.06470584999999573,35.12351185,35.188217699999996
Acoustic Grand Piano,0,49,C#3,126,0.0705882000000031,35.120570674999996,35.191158875
Acoustic Grand Piano,0,61,C#4,110,0.07058819999999599,35.12351185,35.194100049999996
Acoustic Grand Piano,0,62,D4,101,0.2558822250000006,35.291158825,35.54704105
Acoustic Grand Piano,0,74,D5,104,0.26176457500000083,35.291158825,35.5529234
Acoustic Grand Piano,0,50,D3,96,0.2676469250000082,35.28821764999999,35.555864575
Acoustic Grand Piano,0,65,F4,104,0.20588225000000193,35.473511675,35.679393925
Acoustic Grand Piano,0,53,F3,98,0.2088234249999985,35.473511675,35.682335099999996
Acoustic Grand Piano,0,69,A4,96,0.12941170000000568,35.641158649999994,35.77057035
Acoustic Grand Piano,0,57,A3,114,0.12352934999999832,35.647041,35.77057035
Acoustic Grand Piano,0,74,D5,110,0.34411747500000445,35.82057032499999,36.164687799999996
Acoustic Grand Piano,0,62,D4,87,0.38529392500000625,35.82057032499999,36.20586425
Acoustic Grand Piano,0,50,D3,104,0.3941174500000102,35.82057032499999,36.214687775
Acoustic Grand Piano,0,53,F3,98,0.2382351749999998,36.17351132499999,36.41174649999999
Acoustic Grand Piano,0,57,A3,104,0.24999987500000032,36.17351132499999,36.42351119999999
Acoustic Grand Piano,0,65,F4,117,0.2558822250000006,36.170570149999996,36.426452375
Acoustic Grand Piano,0,69,A4,117,0.25882340000000426,36.170570149999996,36.42939355
Acoustic Grand Piano,0,62,D4,81,0.13235287500000226,36.52351115,36.655864025
Acoustic Grand Piano,0,74,D5,98,0.13529404999999883,36.520569975,36.655864025
Acoustic Grand Piano,0,50,D3,89,0.12941169999999858,36.5293935,36.658805199999996
Acoustic Grand Piano,0,64,E4,93,0.31470572499999605,36.702922825,37.01762855
Acoustic Grand Piano,0,76,E5,107,0.3205880749999963,36.702922825,37.0235109
Acoustic Grand Piano,0,52,E3,104,0.35588217499999075,36.702922825,37.05880499999999
Acoustic Grand Piano,0,67,G4,93,0.11470582500000148,37.055863824999996,37.17056965
Acoustic Grand Piano,0,60,C4,101,0.126470525000002,37.055863824999996,37.18233435
Acoustic Grand Piano,0,72,C5,98,0.13235287500000226,37.055863824999996,37.1882167
Acoustic Grand Piano,0,55,G3,80,0.16176462499999644,37.055863824999996,37.21762844999999
Acoustic Grand Piano,0,76,E5,114,0.3205880749999963,37.238216675,37.55880474999999
Acoustic Grand Piano,0,52,E3,124,0.35588217499999786,37.238216675,37.594098849999995
Acoustic Grand Piano,0,64,E4,114,0.3617645249999981,37.24115784999999,37.60292237499999
Acoustic Grand Piano,0,67,G4,98,0.28529397499999476,37.591157675,37.87645164999999
Acoustic Grand Piano,0,72,C5,93,0.31470572500000316,37.591157675,37.9058634
Acoustic Grand Piano,0,55,G3,77,0.3323527749999968,37.5882165,37.920569275
Acoustic Grand Piano,0,60,C4,104,0.4235291999999973,37.591157675,38.014686874999995
Acoustic Grand Piano,0,64,E4,104,0.09705877500000071,37.941157499999996,38.038216274999996
Acoustic Grand Piano,0,76,E5,93,0.10294112500000097,37.938216325,38.04115745
Acoustic Grand Piano,0,52,E3,107,0.11470582500000148,37.935275149999995,38.049980975
Acoustic Grand Piano,0,50,D3,110,0.2235293000000027,38.111745649999996,38.33527495
Acoustic Grand Piano,0,62,D4,101,0.2235292999999956,38.117627999999996,38.34115729999999
Acoustic Grand Piano,0,74,D5,114,0.2382351749999998,38.117627999999996,38.355863174999996
Acoustic Grand Piano,0,53,F3,70,0.17647050000000064,38.29998085,38.47645135
Acoustic Grand Piano,0,65,F4,114,0.21764695000000245,38.29703967499999,38.514686624999996
Acoustic Grand Piano,0,70,A#4,104,0.10588230000000465,38.467627824999994,38.573510125
Acoustic Grand Piano,0,58,A#3,110,0.11764699999999095,38.473510175,38.59115717499999
Acoustic Grand Piano,0,74,D5,101,0.27058809999999767,38.644098325,38.914686425
Acoustic Grand Piano,0,62,D4,101,0.2823527999999982,38.6470395,38.929392299999996
Acoustic Grand Piano,0,50,D3,101,0.2970586749999953,38.644098325,38.941157
Acoustic Grand Piano,0,58,A#3,116,0.27647045000000503,38.99998049999999,39.27645095
Acoustic Grand Piano,0,65,F4,101,0.28823514999999844,38.997039324999996,39.285274474999994
Acoustic Grand Piano,0,70,A#4,116,0.30294102500000264,38.997039324999996,39.29998035
Acoustic Grand Piano,0,53,F3,96,0.29999985000000606,38.99998049999999,39.29998035
Acoustic Grand Piano,0,74,D5,98,0.27352927500000135,39.352921499999994,39.626450774999995
Acoustic Grand Piano,0,62,D4,107,0.30294102500000264,39.352921499999994,39.655862524999996
Acoustic Grand Piano,0,50,D3,104,0.34411747500000445,39.352921499999994,39.697038975
Acoustic Grand Piano,0,58,A#3,116,0.29999984999999896,39.708803675,40.008803525
Acoustic Grand Piano,0,70,A#4,104,0.3058821999999992,39.705862499999995,40.011744699999994
Acoustic Grand Piano,0,65,F4,107,0.3058821999999992,39.705862499999995,40.011744699999994
Acoustic Grand Piano,0,53,F3,91,0.31470572500000316,39.711744849999995,40.026450575
Acoustic Grand Piano,0,62,D4,110,0.2970586749999953,40.061744675,40.358803349999995
Acoustic Grand Piano,0,50,D3,104,0.35588217499999786,40.061744675,40.41762685
Acoustic Grand Piano,0,74,D5,101,0.37352922499999863,40.061744675,40.4352739
Acoustic Grand Piano,0,58,A#3,110,0.43823507499999437,40.4117445,40.84997957499999
Acoustic Grand Piano,0,53,F3,101,0.44117624999999805,40.414685675,40.855861925
Acoustic Grand Piano,0,70,A#4,104,0.4470585999999983,40.4117445,40.858803099999996
Acoustic Grand Piano,0,65,F4,104,0.45294094999999857,40.4117445,40.864685449999996
Acoustic Grand Piano,0,69,A4,107,1.294117,40.94115599999999,42.23527299999999
Acoustic Grand Piano,0,57,A3,114,1.302940525000004,40.94115599999999,42.244096524999996
Acoustic Grand Piano,0,73,C#5,95,1.302940525000004,40.94115599999999,42.244096524999996
Acoustic Grand Piano,0,61,C#4,110,1.302940525000004,40.94115599999999,42.244096524999996
Acoustic Grand Piano,0,64,E4,120,1.302940525000004,40.94115599999999,42.244096524999996
Acoustic Grand Piano,0,45,A2,107,1.3088228750000042,40.94115599999999,42.249978875
Acoustic Grand Piano,0,62,D4,110,0.20588225000000193,42.361743524999994,42.567625774999996
Acoustic Grand Piano,0,50,D3,110,0.22647047499999928,42.35880235,42.585272825
Acoustic Grand Piano,0,74,D5,110,0.2794116250000016,42.35880235,42.638213975
Acoustic Grand Piano,0,65,F4,98,0.2088234249999985,42.53527285,42.744096275
Acoustic Grand Piano,0,53,F3,104,0.22647047499999928,42.53527285,42.761743325
Acoustic Grand Piano,0,57,A3,101,0.10294112500000097,42.708802174999995,42.811743299999996
Acoustic Grand Piano,0,69,A4,104,0.13823522500000252,42.708802174999995,42.8470374
Acoustic Grand Piano,0,74,D5,107,0.31470572499999605,42.885272674999996,43.19997839999999
Acoustic Grand Piano,0,50,D3,98,0.32941160000000025,42.88233149999999,43.21174309999999
Acoustic Grand Piano,0,62,D4,89,0.37352922500000574,42.88233149999999,43.255860725
Acoustic Grand Piano,0,53,F3,91,0.21470577499999877,43.235272499999994,43.44997827499999
Acoustic Grand Piano,0,65,F4,101,0.2235293000000027,43.232331325,43.455860625
Acoustic Grand Piano,0,57,A3,107,0.23235282499999954,43.232331325,43.46468415
Acoustic Grand Piano,0,69,A4,104,0.24411752500000006,43.232331325,43.47644885
Acoustic Grand Piano,0,55,G3,93,0.3823527500000026,43.588213499999995,43.97056625
Acoustic Grand Piano,0,67,G4,101,0.39999980000000335,43.588213499999995,43.9882133
Acoustic Grand Piano,0,79,G5,122,0.4352939000000049,43.588213499999995,44.0235074
Acoustic Grand Piano,0,70,A#4,95,0.23235282500000665,43.93821332499999,44.17056615
Acoustic Grand Piano,0,58,A#3,104,0.27058810000000477,43.935272149999996,44.20586025
Acoustic Grand Piano,0,62,D4,110,0.10294112500000097,44.11174265,44.214683775
Acoustic Grand Piano,0,74,D5,85,0.1117646499999978,44.11174265,44.223507299999994
Acoustic Grand Piano,0,67,G4,77,0.3264704250000037,44.28821315,44.614683575
Acoustic Grand Piano,0,79,G5,122,0.3499998249999976,44.285271975,44.6352718
Acoustic Grand Piano,0,55,G3,110,0.38529392499999915,44.285271975,44.6705659
Acoustic Grand Piano,0,67,G4,61,0.44117625000000515,44.638212974999995,45.079389225
Acoustic Grand Piano,0,62,D4,120,0.44117625000000515,44.64115414999999,45.0823304
Acoustic Grand Piano,0,70,A#4,110,0.44117625000000515,44.64115414999999,45.0823304
Acoustic Grand Piano,0,74,D5,114,0.44117625000000515,44.64115414999999,45.0823304
Acoustic Grand Piano,0,58,A#3,116,0.44117625000000515,44.64115414999999,45.0823304
Acoustic Grand Piano,0,64,E4,93,0.22941164999999586,45.173506825,45.40291847499999
Acoustic Grand Piano,0,52,E3,107,0.24705870000000374,45.173506825,45.420565525
Acoustic Grand Piano,0,76,E5,104,0.3088233749999958,45.173506825,45.48233019999999
Acoustic Grand Piano,0,55,G3,70,0.26176457500000083,45.347036149999994,45.608800724999995
Acoustic Grand Piano,0,60,C4,110,0.08529407500000019,45.529388999999995,45.614683074999995
Acoustic Grand Piano,0,67,G4,67,0.267646924999994,45.349977325,45.61762424999999
Acoustic Grand Piano,0,72,C5,96,0.11470582500000148,45.529388999999995,45.644094824999996
Acoustic Grand Piano,0,74,D5,114,0.29117632500000923,45.70880067499999,45.999977
Acoustic Grand Piano,0,62,D4,78,0.3352939500000076,45.70880067499999,46.044094625
Acoustic Grand Piano,0,50,D3,72,0.6029408750000016,45.70880067499999,46.311741549999994
Acoustic Grand Piano,0,58,A#3,110,0.44117624999999805,46.06174167499999,46.50291792499999
Acoustic Grand Piano,0,70,A#4,116,0.44117624999999805,46.06174167499999,46.50291792499999
Acoustic Grand Piano,0,67,G4,101,0.44117624999999805,46.06174167499999,46.50291792499999
Acoustic Grand Piano,0,55,G3,80,0.44117624999999805,46.06174167499999,46.50291792499999
Acoustic Grand Piano,0,61,C#4,91,0.18823520000000826,46.59409434999999,46.78232955
Acoustic Grand Piano,0,73,C#5,82,0.19999990000000878,46.59409434999999,46.79409425
Acoustic Grand Piano,0,49,C#3,99,0.21470577499999877,46.588212,46.802917775
Acoustic Grand Piano,0,67,G4,77,0.1529410999999925,46.77056485,46.92350594999999
Acoustic Grand Piano,0,55,G3,98,0.19999990000000167,46.767623674999996,46.967623575
Acoustic Grand Piano,0,57,A3,107,0.09705877500000071,46.944094175,47.04115295
Acoustic Grand Piano,0,69,A4,89,0.1264705249999949,46.941153,47.067623524999995
Acoustic Grand Piano,0,73,C#5,95,0.291176324999995,47.12350585,47.414682174999996
Acoustic Grand Piano,0,49,C#3,104,0.3352939500000076,47.11762349999999,47.45291745
Acoustic Grand Piano,0,61,C#4,110,0.5264703249999911,47.12350585,47.64997617499999
Acoustic Grand Piano,0,69,A4,104,0.2382351749999998,47.473505675,47.71174085
Acoustic Grand Piano,0,67,G4,104,0.24705869999999663,47.470564499999995,47.71762319999999
Acoustic Grand Piano,0,57,A3,117,0.25882339999999715,47.473505675,47.732329074999996
Acoustic Grand Piano,0,55,G3,101,0.27058809999999767,47.470564499999995,47.74115259999999
Acoustic Grand Piano,0,74,D5,125,0.09411760000000413,47.823505499999996,47.9176231
Acoustic Grand Piano,0,62,D4,91,0.09999994999999728,47.823505499999996,47.92350544999999
Acoustic Grand Piano,0,50,D3,110,0.10588230000000465,47.823505499999996,47.9293878
Acoustic Grand Piano,0,73,C#5,104,0.16470580000000012,48.00585835,48.17056415
Acoustic Grand Piano,0,61,C#4,95,0.19411755000000142,48.00585835,48.1999759
Acoustic Grand Piano,0,49,C#3,110,0.22941165000000296,48.00291717499999,48.232328824999996
Acoustic Grand Piano,0,67,G4,107,0.18529402499999748,48.1764465,48.361740524999995
Acoustic Grand Piano,0,55,G3,101,0.18529402499999037,48.179387675,48.36468169999999
Acoustic Grand Piano,0,57,A3,110,0.09705877500000781,48.35291699999999,48.449975775
Acoustic Grand Piano,0,69,A4,98,0.09999994999999728,48.355858174999995,48.45585812499999
Acoustic Grand Piano,0,73,C#5,80,0.3264704250000037,48.532328674999995,48.8587991
Acoustic Grand Piano,0,49,C#3,104,0.3382351249999971,48.526446324999995,48.86468144999999
Acoustic Grand Piano,0,61,C#4,110,0.3529410000000013,48.532328674999995,48.885269674999996
Acoustic Grand Piano,0,67,G4,107,0.17941167499999722,48.8823285,49.061740175
Acoustic Grand Piano,0,55,G3,104,0.22941165000000296,48.879387324999996,49.108798975
Acoustic Grand Piano,0,49,C#3,104,0.07941172499999993,49.05879899999999,49.13821072499999
Acoustic Grand Piano,0,69,A4,87,0.12352935000000542,49.05291664999999,49.176446
Acoustic Grand Piano,0,61,C#4,121,0.09705877500000071,49.232328325,49.3293871
Acoustic Grand Piano,0,49,C#3,110,0.1117646500000049,49.229387149999994,49.3411518
Acoustic Grand Piano,0,73,C#5,124,0.1117646500000049,49.229387149999994,49.3411518
Acoustic Grand Piano,0,74,D5,104,0.23529400000000322,49.405857649999994,49.64115165
Acoustic Grand Piano,0,62,D4,104,0.23529400000000322,49.405857649999994,49.64115165
Acoustic Grand Piano,0,50,D3,107,0.24117634999999638,49.402916475,49.644092824999994
Acoustic Grand Piano,0,65,F4,89,0.17941167499999722,49.585269325,49.764680999999996
