Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Pad 1 (new age),88,94,A#6,76,0.06024091666666642,5.4216825,5.481923416666667
Pad 1 (new age),88,93,A6,85,0.06024091666666642,5.60240525,5.662646166666667
Pad 1 (new age),88,89,F6,107,0.06024091666666642,5.7831280000000005,5.843368916666667
Pad 1 (new age),88,82,A#5,102,0.06024091666666642,6.32529625,6.3855371666666665
Pad 1 (new age),88,84,C6,100,0.09036137500000052,8.674692,8.765053375
Pad 1 (new age),88,86,D6,89,0.12048183333333462,8.85541475,8.975896583333334
Pad 1 (new age),88,87,D#6,89,0.12048183333333284,9.21686025,9.337342083333333
Pad 1 (new age),88,89,F6,87,0.09036137500000052,9.57830575,9.668667125
Pad 1 (new age),88,91,G6,87,0.09036137500000052,9.93975125,10.030112625000001
Pad 1 (new age),88,93,A6,100,0.12048183333333284,10.30119675,10.421678583333334
Pad 1 (new age),88,94,A#6,82,0.06024091666666642,10.843365,10.903605916666667
Pad 1 (new age),88,93,A6,98,0.06024091666666642,11.38553325,11.445774166666666
Pad 1 (new age),88,89,F6,100,0.030120458333332323,11.566256000000001,11.596376458333333
Pad 1 (new age),88,82,A#5,105,0.030120458333332323,12.10842425,12.138544708333333
Pad 1 (new age),88,84,C6,95,0.09036137500000052,14.45782,14.548181375
Pad 1 (new age),88,86,D6,91,0.12048183333333284,14.638542750000001,14.759024583333334
Pad 1 (new age),88,87,D#6,93,0.09036137499999874,14.999988250000001,15.090349625
Pad 1 (new age),88,89,F6,85,0.09036137500000052,15.36143375,15.451795125
Pad 1 (new age),88,91,G6,91,0.06024091666666642,15.72287925,15.783120166666667
Pad 1 (new age),88,93,A6,105,0.030120458333332323,16.08432475,16.114445208333333
Pad 1 (new age),88,94,A#6,98,0.060240916666664646,16.596372541666668,16.656613458333332
Pad 1 (new age),88,93,A6,102,0.030120458333335876,17.16866125,17.198781708333335
Pad 1 (new age),88,89,F6,102,0.0602409166666682,17.349384,17.40962491666667
Pad 1 (new age),88,82,A#5,100,0.030120458333332323,17.89155225,17.921672708333332
Pad 1 (new age),88,84,C6,102,0.030120458333335876,18.4337205,18.463840958333336
Pad 1 (new age),88,86,D6,95,0.060240916666664646,19.126491041666668,19.186731958333333
Pad 1 (new age),88,84,C6,102,0.030120458333335876,19.518057,19.548177458333335
Pad 1 (new age),88,82,A#5,82,0.030120458333332323,20.060225250000002,20.090345708333334
Pad 1 (new age),88,79,G5,105,0.030120458333335876,20.240948,20.271068458333335
Pad 1 (new age),88,77,F5,102,0.030120458333332323,21.68673,21.716850458333333
Pad 1 (new age),88,91,G6,82,0.0602409166666682,22.7710665,22.831307416666668
Pad 1 (new age),88,89,F6,100,0.060240916666664646,23.132512000000002,23.192752916666667
Electric Piano 1,4,82,A#5,66,0.301204583333333,5.4216825,5.722887083333333
Electric Piano 1,4,81,A5,64,0.24096366666666658,5.60240525,5.843368916666667
Electric Piano 1,4,77,F5,85,0.5722887083333328,5.7831280000000005,6.355416708333333
Electric Piano 1,4,70,A#4,76,0.06024091666666642,6.32529625,6.3855371666666665
Electric Piano 1,4,72,C5,64,0.24096366666666746,8.674692,8.915655666666668
Electric Piano 1,4,74,D5,82,0.3915659583333344,8.85541475,9.246980708333334
Electric Piano 1,4,75,D#5,80,0.3614455000000003,9.21686025,9.57830575
Electric Piano 1,4,77,F5,74,0.39156595833333263,9.57830575,9.969871708333333
Electric Piano 1,4,79,G5,80,0.18072274999999927,9.93975125,10.120474
Electric Piano 1,4,81,A5,85,0.42168641666666673,10.30119675,10.722883166666668
Electric Piano 1,4,82,A#5,78,0.06024091666666642,10.843365,10.903605916666667
Electric Piano 1,4,81,A5,68,0.24096366666666746,11.38553325,11.626496916666667
Electric Piano 1,4,77,F5,85,0.2710841249999998,11.566256000000001,11.837340125
Electric Piano 1,4,70,A#4,76,1.8373479583333339,12.10842425,13.945772208333334
Electric Piano 1,4,72,C5,80,0.24096366666666746,14.45782,14.698783666666667
Electric Piano 1,4,74,D5,87,0.3614455000000003,14.638542750000001,14.999988250000001
Electric Piano 1,4,75,D#5,85,0.3313250416666662,14.999988250000001,15.331313291666667
Electric Piano 1,4,77,F5,85,0.331325041666668,15.36143375,15.692758791666668
Electric Piano 1,4,79,G5,82,0.12048183333333284,15.72287925,15.843361083333333
Electric Piano 1,4,81,A5,87,0.5722887083333319,16.08432475,16.656613458333332
Electric Piano 1,4,82,A#5,87,0.6024091666666678,16.656613458333332,17.259022625
Electric Piano 1,4,81,A5,72,0.21084320833333337,17.16866125,17.379504458333333
Electric Piano 1,4,77,F5,91,0.5120477916666673,17.379504458333333,17.89155225
Electric Piano 1,4,70,A#4,82,0.48192733333333493,17.921672708333332,18.403600041666667
Electric Piano 1,4,72,C5,85,0.6325296250000001,18.4337205,19.066250125
Electric Piano 1,4,74,D5,80,0.39156595833333085,19.126491041666668,19.518057
Electric Piano 1,4,72,C5,80,0.6024091666666678,19.487936541666667,20.090345708333334
Electric Piano 1,4,70,A#4,82,0.18072275000000104,20.030104791666666,20.210827541666667
Electric Piano 1,4,67,G4,93,1.4759024583333336,20.210827541666667,21.68673
Electric Piano 1,4,65,F4,89,1.0843364999999991,21.68673,22.7710665
Electric Piano 1,4,79,G5,82,0.42168641666666673,22.7710665,23.192752916666667
Electric Piano 1,4,77,F5,85,1.1746978749999997,23.132512000000002,24.307209875
Percussion,-1,42,F#2,127,0.12048183333333284,5.7831280000000005,5.903609833333333
Percussion,-1,42,F#2,127,0.12048183333333373,6.1445735,6.265055333333334
Percussion,-1,70,A#4,127,0.06024091666666642,6.32529625,6.3855371666666665
Percussion,-1,70,A#4,127,0.06024091666666642,6.506019,6.566259916666667
Percussion,-1,42,F#2,127,0.09036137499999963,6.8674645000000005,6.957825875
Percussion,-1,42,F#2,127,0.09036137500000052,7.22891,7.3192713750000005
Percussion,-1,42,F#2,127,0.09036137499999963,7.5903555,7.680716875
Percussion,-1,42,F#2,127,0.09036137499999963,7.951801000000001,8.042162375
Percussion,-1,42,F#2,127,0.09036137500000052,8.3132465,8.403607875
Percussion,-1,42,F#2,127,0.09036137500000052,8.674692,8.765053375
Percussion,-1,42,F#2,127,0.09036137500000052,9.0361375,9.126498875000001
Percussion,-1,70,A#4,127,0.06024091666666642,9.186739791666668,9.246980708333334
Percussion,-1,70,A#4,127,0.06024091666666642,9.397583000000001,9.457823916666667
Percussion,-1,42,F#2,127,0.0602409166666682,9.7590285,9.819269416666668
Percussion,-1,42,F#2,127,0.09036137500000052,10.120474,10.210835375
Percussion,-1,42,F#2,127,0.06024091666666642,10.4819195,10.542160416666666
Percussion,-1,42,F#2,127,0.09036137500000052,10.843365,10.933726375
Percussion,-1,42,F#2,127,0.06024091666666642,11.2048105,11.265051416666667
Percussion,-1,42,F#2,127,0.06024091666666642,11.566256000000001,11.626496916666667
Percussion,-1,42,F#2,127,0.0602409166666682,11.9277015,11.987942416666668
Percussion,-1,70,A#4,127,0.06024091666666642,12.10842425,12.168665166666667
Percussion,-1,70,A#4,127,0.06024091666666642,12.289147,12.349387916666666
Percussion,-1,42,F#2,127,0.06024091666666642,12.6505925,12.710833416666667
Percussion,-1,42,F#2,127,0.09036137500000052,13.012038,13.102399375000001
Percussion,-1,42,F#2,127,0.06024091666666642,13.3734835,13.433724416666667
Percussion,-1,42,F#2,127,0.06024091666666642,13.734929000000001,13.795169916666667
Percussion,-1,42,F#2,127,0.0602409166666682,14.0963745,14.156615416666668
Percussion,-1,42,F#2,127,0.06024091666666642,14.45782,14.518060916666666
Percussion,-1,42,F#2,127,0.09036137500000052,14.8192655,14.909626875
Percussion,-1,70,A#4,127,0.06024091666666642,14.969867791666667,15.030108708333334
Percussion,-1,70,A#4,127,0.06024091666666642,15.180711,15.240951916666667
Percussion,-1,42,F#2,127,0.09036137500000052,15.512036041666667,15.602397416666667
Percussion,-1,42,F#2,127,0.09036137500000052,15.873481541666667,15.963842916666668
Percussion,-1,42,F#2,127,0.09036137500000052,16.2650475,16.355408875000002
Percussion,-1,42,F#2,127,0.09036137500000052,16.626493,16.716854375
Percussion,-1,42,F#2,127,0.060240916666664646,16.987938500000002,17.048179416666667
Percussion,-1,42,F#2,127,0.09036137500000052,17.349384,17.439745375
Percussion,-1,42,F#2,127,0.0602409166666682,17.7108295,17.771070416666667
Percussion,-1,70,A#4,127,0.0602409166666682,17.89155225,17.95179316666667
Percussion,-1,70,A#4,127,0.060240916666664646,18.072275,18.132515916666666
Percussion,-1,42,F#2,127,0.0602409166666682,18.4337205,18.493961416666668
Percussion,-1,42,F#2,127,0.09036137499999697,18.795166000000002,18.885527375
Percussion,-1,42,F#2,127,0.12048183333333284,19.126491041666668,19.246972875
Percussion,-1,42,F#2,127,0.12048183333333284,19.487936541666667,19.608418375
Percussion,-1,42,F#2,127,0.09036137499999697,19.84938204166667,19.939743416666666
Percussion,-1,42,F#2,127,0.24096366666666924,20.240948,20.48191166666667
Percussion,-1,37,C#2,127,0.0602409166666682,24.578294,24.638534916666668
Percussion,-1,37,C#2,127,0.060240916666664646,24.9397395,24.999980416666666
Percussion,-1,37,C#2,127,0.0602409166666682,25.301185,25.36142591666667
Percussion,-1,60,C4,127,0.02688154166666834,25.985209,26.01209054166667
Percussion,-1,70,A#4,127,0.05376308333333313,25.985209,26.038972083333334
Percussion,-1,37,C#2,127,0.05376308333333313,25.985209,26.038972083333334
Percussion,-1,75,D#5,127,0.08064462500000147,25.985209,26.065853625000003
Percussion,-1,64,E4,127,0.16128924999999938,25.958327458333336,26.119616708333336
Percussion,-1,70,A#4,127,0.026881541666664788,26.146498250000004,26.17337979166667
Percussion,-1,60,C4,127,0.08064462500000147,26.119616708333336,26.200261333333337
Percussion,-1,37,C#2,127,0.05376308333333313,26.146498250000004,26.200261333333337
Percussion,-1,37,C#2,127,0.026881541666664788,26.307787500000003,26.334669041666668
Percussion,-1,60,C4,127,0.08064462500000147,26.280905958333335,26.361550583333337
Percussion,-1,70,A#4,127,0.05376308333333313,26.307787500000003,26.361550583333337
Percussion,-1,62,D4,127,0.08064462499999792,26.307787500000003,26.388432125
Percussion,-1,70,A#4,127,0.05376308333333313,26.442195208333334,26.495958291666668
Percussion,-1,60,C4,127,0.026881541666664788,26.469076750000003,26.495958291666668
Percussion,-1,37,C#2,127,0.05376308333333313,26.469076750000003,26.522839833333336
Percussion,-1,70,A#4,127,0.05376308333333313,26.630366000000002,26.684129083333335
Percussion,-1,37,C#2,127,0.05376308333333313,26.630366000000002,26.684129083333335
Percussion,-1,75,D#5,127,0.08064462500000147,26.630366000000002,26.711010625000004
Percussion,-1,60,C4,127,0.08064462500000147,26.630366000000002,26.711010625000004
Percussion,-1,70,A#4,127,0.02688154166666834,26.79165525,26.81853679166667
Percussion,-1,37,C#2,127,0.05376308333333313,26.79165525,26.845418333333335
Percussion,-1,60,C4,127,0.05376308333333313,26.79165525,26.845418333333335
Percussion,-1,70,A#4,127,0.026881541666664788,26.872299875000003,26.899181416666668
Percussion,-1,70,A#4,127,0.02688154166666834,26.9529445,26.97982604166667
Percussion,-1,37,C#2,127,0.05376308333333313,26.9529445,27.006707583333334
Percussion,-1,61,C#4,127,0.05376308333333313,26.9529445,27.006707583333334
Percussion,-1,63,D#4,127,0.05376308333333313,26.9529445,27.006707583333334
