instrumento,nota,volumen,dura,empieza,termina
-1.0,62,103,0.16999999999999976,3.2,3.37
-1.0,63,97,0.1000000000000002,3.4,3.5
-1.0,59,107,0.1666666666666664,3.6,3.7666666666666666
-1.0,61,100,0.15555555555555575,3.8000000000000003,3.955555555555556
-1.0,59,107,0.16666666666666674,4.0,4.166666666666667
-1.0,59,107,0.16666666666666674,4.2,4.366666666666667
-1.0,66,104,0.17333333333333273,4.4,4.573333333333333
-1.0,60,109,0.17333333333333362,4.6,4.773333333333333
-1.0,65,102,0.15555555555555559,4.8,4.955555555555556
-1.0,59,107,0.1333333333333333,5.0,5.133333333333333
-1.0,67,100,0.17291666666666683,5.2,5.372916666666667
-1.0,56,105,0.155555555555555,5.3999999999999995,5.5555555555555545
-1.0,60,75,0.06666666666666732,5.616666666666666,5.683333333333334
-1.0,59,117,0.20000000000000018,5.599999999999999,5.799999999999999
-1.0,60,75,0.06666666666666643,5.808333333333334,5.875
-1.0,70,107,0.20000000000000018,5.8,6.0
-1.0,60,108,0.14285714285714285,6.0,6.142857142857143
-1.0,60,75,0.06666666666666732,6.208333333333333,6.275
-1.0,60,118,0.20000000000000018,6.2,6.4
-1.0,62,103,0.1399999999999995,6.4,6.54
-1.0,63,97,0.13333333333333375,6.6,6.733333333333333
-1.0,59,107,0.1333333333333333,6.8,6.933333333333334
-1.0,61,100,0.1777777777777779,7.0,7.177777777777778
-1.0,59,107,0.16666666666666607,7.2,7.366666666666666
-1.0,59,107,0.13333333333333375,7.3999999999999995,7.533333333333333
-1.0,66,104,0.17333333333333362,7.6,7.773333333333333
-1.0,60,109,0.17333333333333342,7.8,7.973333333333334
-1.0,64,102,0.155555555555555,8.0,8.155555555555555
-1.0,59,107,0.1666666666666674,8.2,8.366666666666667
-1.0,67,100,0.14583333333333304,8.4,8.545833333333334
-1.0,56,105,0.1555555555555562,8.6,8.755555555555556
-1.0,60,104,0.08333333333333215,8.8,8.883333333333333
-1.0,60,75,0.06666666666666643,8.816666666666666,8.883333333333333
-1.0,58,124,0.1999999999999993,8.8,9.0
-1.0,60,75,0.06666666666666643,9.008333333333333,9.075
-1.0,70,107,0.1999999999999993,9.0,9.2
-1.0,60,108,0.14285714285714338,9.200000000000001,9.342857142857145
-1.0,60,75,0.06666666666666643,9.408333333333333,9.475
-1.0,60,118,0.1999999999999993,9.4,9.6
-1.0,62,103,0.14000000000000093,9.6,9.74
-1.0,63,97,0.13333333333333286,9.8,9.933333333333334
-1.0,59,107,0.13333333333333286,10.0,10.133333333333333
-1.0,61,100,0.17777777777777862,10.200000000000001,10.37777777777778
-1.0,59,107,0.16666666666666607,10.4,10.566666666666666
-1.0,59,107,0.13333333333333375,10.6,10.733333333333334
-1.0,66,104,0.17333333333333273,10.8,10.973333333333333
-1.0,60,109,0.17333333333333273,11.0,11.173333333333332
-1.0,65,102,0.1555555555555562,11.199999999999998,11.355555555555554
-1.0,59,107,0.13333333333333286,11.4,11.533333333333333
-1.0,66,101,0.15666666666666734,11.6,11.756666666666668
-1.0,56,105,0.155555555555555,11.799999999999999,11.955555555555554
-1.0,60,104,0.08333333333333393,12.0,12.083333333333334
-1.0,60,75,0.0666666666666682,12.016666666666666,12.083333333333334
-1.0,60,114,0.1999999999999993,12.0,12.2
-1.0,60,75,0.06666666666666643,12.208333333333334,12.275
-1.0,70,107,0.20000000000000107,12.199999999999998,12.399999999999999
-1.0,60,109,0.14666666666666614,12.4,12.546666666666667
-1.0,60,104,0.07500000000000107,12.6,12.675
-1.0,60,75,0.0666666666666682,12.608333333333333,12.675
-1.0,60,123,0.20000000000000107,12.6,12.8
-1.0,62,103,0.1699999999999992,12.8,12.97
-1.0,63,97,0.13333333333333286,13.0,13.133333333333333
-1.0,59,106,0.13333333333333375,13.200000000000001,13.333333333333336
-1.0,61,100,0.17777777777777715,13.4,13.577777777777778
-1.0,59,107,0.13333333333333286,13.6,13.733333333333333
-1.0,59,107,0.16666666666666785,13.799999999999999,13.966666666666667
-1.0,66,104,0.17333333333333273,14.0,14.173333333333332
-1.0,60,109,0.17333333333333414,14.2,14.373333333333333
-1.0,64,102,0.11111111111111072,14.4,14.511111111111111
-1.0,59,107,0.16666666666666607,14.6,14.766666666666666
-1.0,67,100,0.1729166666666675,14.799999999999999,14.972916666666666
-1.0,56,105,0.17777777777777715,15.0,15.177777777777777
-1.0,60,104,0.08333333333333393,15.2,15.283333333333333
-1.0,60,75,0.06666666666666643,15.216666666666667,15.283333333333333
-1.0,58,124,0.20000000000000107,15.2,15.4
-1.0,60,75,0.06666666666666643,15.408333333333333,15.475
-1.0,69,107,0.1999999999999993,15.4,15.6
-1.0,60,109,0.17333333333333273,15.6,15.773333333333332
-1.0,60,75,0.06666666666666643,15.808333333333334,15.875
-1.0,60,118,0.20000000000000107,15.799999999999999,16.0
-1.0,62,103,0.13999999999999985,16.0,16.14
-1.0,63,97,0.13333333333333286,16.2,16.333333333333332
