Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Bright Acoustic Piano,1,60,C4,93,0.20000000000000284,22.4,22.6
Bright Acoustic Piano,1,64,E4,100,0.1999999999999993,22.6,22.8
Bright Acoustic Piano,1,64,E4,79,0.1999999999999993,22.8,23.0
Bright Acoustic Piano,1,68,G#4,96,0.1999999999999993,22.8,23.0
Bright Acoustic Piano,1,60,C4,107,0.3999999999999986,23.0,23.4
Bright Acoustic Piano,1,60,C4,83,0.20000000000000284,23.4,23.6
Bright Acoustic Piano,1,68,G#4,92,0.20000000000000284,23.4,23.6
Bright Acoustic Piano,1,60,C4,97,0.1999999999999993,23.6,23.8
Bright Acoustic Piano,1,56,G#3,89,0.1999999999999993,24.0,24.2
Bright Acoustic Piano,1,63,D#4,91,0.1999999999999993,24.2,24.4
Bright Acoustic Piano,1,64,E4,100,0.1999999999999993,24.2,24.4
Bright Acoustic Piano,1,56,G#3,91,0.20000000000000284,24.4,24.6
Bright Acoustic Piano,1,56,G#3,79,0.1999999999999993,24.6,24.8
Bright Acoustic Piano,1,62,D4,96,0.1999999999999993,24.6,24.8
Bright Acoustic Piano,1,59,B3,91,0.1999999999999993,24.6,24.8
Bright Acoustic Piano,1,59,B3,92,0.3999999999999986,25.0,25.4
Bright Acoustic Piano,1,62,D4,90,0.3999999999999986,25.0,25.4
Bright Acoustic Piano,1,56,G#3,82,0.3999999999999986,25.0,25.4
Bright Acoustic Piano,1,55,G3,94,0.1999999999999993,25.6,25.8
Bright Acoustic Piano,1,67,G4,101,0.1999999999999993,25.6,25.8
Bright Acoustic Piano,1,64,E4,83,0.1999999999999993,26.0,26.2
Bright Acoustic Piano,1,60,C4,86,0.1999999999999993,26.0,26.2
Bright Acoustic Piano,1,54,F#3,90,0.1999999999999993,26.2,26.4
Bright Acoustic Piano,1,66,F#4,93,0.3999999999999986,26.2,26.599999999999998
Bright Acoustic Piano,1,67,G4,100,0.20000000000000284,26.599999999999998,26.8
Bright Acoustic Piano,1,55,G3,82,0.20000000000000284,26.599999999999998,26.8
Bright Acoustic Piano,1,67,G4,98,0.3999999999999986,27.0,27.4
Bright Acoustic Piano,1,55,G3,85,0.3999999999999986,27.0,27.4
Bright Acoustic Piano,1,64,E4,88,0.1999999999999993,27.4,27.599999999999998
Bright Acoustic Piano,1,60,C4,90,0.1999999999999993,27.4,27.599999999999998
Bright Acoustic Piano,1,54,F#3,87,0.1999999999999993,27.8,28.0
Bright Acoustic Piano,1,66,F#4,92,0.1999999999999993,27.8,28.0
Bright Acoustic Piano,1,54,F#3,83,0.3999999999999986,28.0,28.4
Bright Acoustic Piano,1,66,F#4,91,0.3999999999999986,28.0,28.4
Bright Acoustic Piano,1,55,G3,98,0.1999999999999993,28.8,29.0
Bright Acoustic Piano,1,67,G4,108,0.1999999999999993,28.8,29.0
Bright Acoustic Piano,1,64,E4,98,0.1999999999999993,29.0,29.2
Bright Acoustic Piano,1,60,C4,107,0.1999999999999993,29.2,29.4
Bright Acoustic Piano,1,55,G3,103,0.1999999999999993,29.4,29.599999999999998
Bright Acoustic Piano,1,54,F#3,96,0.20000000000000284,29.599999999999998,29.8
Bright Acoustic Piano,1,66,F#4,97,0.20000000000000284,29.599999999999998,29.8
Bright Acoustic Piano,1,60,C4,100,0.1999999999999993,29.8,30.0
Bright Acoustic Piano,1,67,G4,101,0.1999999999999993,30.2,30.4
Bright Acoustic Piano,1,55,G3,92,0.1999999999999993,30.2,30.4
Bright Acoustic Piano,1,60,C4,93,0.20000000000000284,30.599999999999998,30.8
Bright Acoustic Piano,1,64,E4,90,0.20000000000000284,30.599999999999998,30.8
Bright Acoustic Piano,1,52,E3,97,0.1999999999999993,31.0,31.2
Bright Acoustic Piano,1,64,E4,98,0.1999999999999993,31.0,31.2
Bright Acoustic Piano,1,53,F3,96,0.1999999999999993,31.4,31.599999999999998
Bright Acoustic Piano,1,65,F4,106,0.1999999999999993,31.4,31.599999999999998
Bright Acoustic Piano,1,54,F#3,92,0.20000000000000284,31.599999999999998,31.8
Bright Acoustic Piano,1,66,F#4,104,0.20000000000000284,31.599999999999998,31.8
Bright Acoustic Piano,1,66,F#4,103,0.20000000000000284,32.0,32.2
Bright Acoustic Piano,1,54,F#3,92,0.20000000000000284,32.0,32.2
Bright Acoustic Piano,1,62,D4,79,0.20000000000000284,32.4,32.6
Bright Acoustic Piano,1,59,B3,91,0.20000000000000284,32.4,32.6
Bright Acoustic Piano,1,64,E4,92,0.19999999999999574,32.6,32.8
Bright Acoustic Piano,1,52,E3,92,0.19999999999999574,32.6,32.8
Bright Acoustic Piano,1,54,F#3,80,0.20000000000000284,33.0,33.2
