instrumento,nota,volumen,dura,empieza,termina
-1.0,46,50,0.30989583333333337,0.8619791666666666,1.171875
-1.0,46,50,0.328125,1.2135416666666665,1.5416666666666665
-1.0,50,72,0.078125,1.5807291666666665,1.6588541666666665
-1.0,48,71,0.08333333333333326,1.6692708333333333,1.7526041666666665
-1.0,47,70,0.078125,1.7630208333333333,1.8411458333333333
-1.0,45,70,0.078125,1.8567708333333333,1.9348958333333333
-1.0,35,76,0.3307291666666665,1.9453125,2.2760416666666665
-1.0,38,72,0.3281249999999998,1.9505208333333333,2.278645833333333
-1.0,35,78,0.0703125,2.325520833333333,2.395833333333333
-1.0,42,66,0.13020833333333348,2.3229166666666665,2.453125
-1.0,40,72,0.12760416666666696,2.325520833333333,2.453125
-1.0,40,72,0.06770833333333304,3.421875,3.489583333333333
-1.0,38,72,0.06510416666666652,3.4244791666666665,3.489583333333333
-1.0,42,66,0.06770833333333304,3.609375,3.677083333333333
-1.0,37,75,0.08072916666666674,3.606770833333333,3.6875
-1.0,40,72,0.18055555555555505,4.890625,5.071180555555555
-1.0,39,72,0.07899305555555595,5.260416666666666,5.339409722222222
-1.0,39,72,0.07291666666666637,6.359375,6.432291666666666
-1.0,35,78,0.05729166666666696,6.549479166666666,6.606770833333333
-1.0,40,72,0.06510416666666607,6.546875,6.611979166666666
-1.0,42,66,0.078125,6.549479166666666,6.627604166666666
-1.0,39,72,0.07204861111111131,6.908854166666667,6.980902777777779
-1.0,39,72,0.07638888888888928,7.276041666666667,7.352430555555556
-1.0,37,75,0.05989583333333348,7.643229166666666,7.703125
-1.0,42,66,0.06510416666666696,7.645833333333333,7.7109375
-1.0,38,72,0.057291666666666075,8.197916666666666,8.255208333333332
-1.0,40,72,0.06510416666666607,8.1953125,8.260416666666666
-1.0,49,62,0.15364583333333393,8.200520833333332,8.354166666666666
-1.0,42,66,0.059895833333333925,9.299479166666666,9.359375
-1.0,35,78,0.0703125,9.294270833333332,9.364583333333332
-1.0,40,72,0.06770833333333393,9.299479166666666,9.3671875
-1.0,39,72,0.06510416666666725,9.481770833333332,9.546875
-1.0,40,42,0.041666666666666075,9.84375,9.885416666666666
-1.0,35,66,0.041666666666666075,9.846354166666666,9.888020833333332
-1.0,43,48,0.09895833333333393,9.848958333333332,9.947916666666666
-1.0,42,42,0.02864583333333215,10.03125,10.059895833333332
-1.0,37,54,0.04687500000000089,10.028645833333332,10.075520833333332
-1.0,45,54,0.15885416666666607,10.03125,10.190104166666666
-1.0,42,42,0.033854166666666075,10.213541666666666,10.247395833333332
-1.0,37,54,0.04687499999999911,10.2109375,10.2578125
-1.0,45,54,0.15885416666666607,10.213541666666666,10.372395833333332
-1.0,42,54,0.041666666666666075,10.3984375,10.440104166666666
-1.0,37,54,0.06510416666666696,10.393229166666666,10.458333333333332
-1.0,45,66,0.15885416666666607,10.3984375,10.557291666666666
-1.0,35,72,0.03645833333333215,10.578125,10.614583333333332
-1.0,42,54,0.044270833333333925,10.580729166666666,10.625
-1.0,40,54,0.07291666666666607,10.578125,10.651041666666666
-1.0,45,66,0.15885416666666607,10.580729166666666,10.739583333333332
-1.0,38,69,0.044270833333333925,10.763020833333332,10.807291666666666
-1.0,40,54,0.078125,10.760416666666666,10.838541666666666
-1.0,45,72,0.15625,10.765625,10.921875
-1.0,42,66,0.041666666666666075,10.947916666666666,10.989583333333332
-1.0,35,78,0.06770833333333393,10.942708333333332,11.010416666666666
-1.0,42,69,0.11067708333333304,10.947916666666666,11.05859375
-1.0,38,72,0.07552083333333393,11.130208333333332,11.205729166666666
-1.0,42,42,0.0625,11.309895833333332,11.372395833333332
-1.0,49,72,0.3255208333333339,11.130208333333332,11.455729166666666
-1.0,40,63,0.07552083333333304,11.502604166666666,11.578125
-1.0,42,42,0.06770833333333393,11.677083333333332,11.744791666666666
-1.0,38,72,0.07812499999999911,11.859375,11.9375
-1.0,42,42,0.06770833333333215,12.046875,12.114583333333332
-1.0,40,63,0.09114583333333304,12.229166666666666,12.3203125
-1.0,42,42,0.06770833333333393,12.408854166666666,12.4765625
-1.0,38,72,0.08072916666666607,12.596354166666666,12.677083333333332
-1.0,42,42,0.06510416666666785,12.778645833333332,12.84375
-1.0,40,63,0.0859375,12.963541666666666,13.049479166666666
-1.0,42,42,0.06770833333333393,13.145833333333332,13.213541666666666
-1.0,42,66,0.059895833333333925,13.333333333333332,13.393229166666666
-1.0,35,78,0.109375,13.328125,13.4375
-1.0,42,42,0.05989583333333215,13.515625,13.575520833333332
-1.0,40,63,0.09114583333333215,13.6953125,13.786458333333332
-1.0,42,42,0.0703125,13.880208333333332,13.950520833333332
-1.0,38,72,0.08593749999999911,14.0703125,14.15625
-1.0,42,42,0.06770833333333393,14.244791666666666,14.3125
