Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Electric Bass (finger),33,44,G#2,62,0.18229166666666696,2.317708333333333,2.5
Electric Bass (finger),33,44,G#2,62,0.11979166666666652,3.4166666666666665,3.536458333333333
Electric Bass (finger),33,46,A#2,62,0.15104166666666696,3.598958333333333,3.75
Electric Bass (finger),33,46,A#2,62,0.3359375,4.885416666666666,5.221354166666666
Electric Bass (finger),33,44,G#2,62,0.16666666666666696,5.252604166666666,5.419270833333333
Electric Bass (finger),33,44,G#2,62,0.1328125,6.354166666666666,6.486979166666666
Electric Bass (finger),33,43,G2,62,0.265625,6.5390625,6.8046875
Electric Bass (finger),33,43,G2,62,0.3125,6.901041666666666,7.213541666666666
Electric Bass (finger),33,43,G2,62,0.29427083333333304,7.270833333333333,7.565104166666666
Electric Bass (finger),33,43,G2,62,0.533854166666667,7.638020833333333,8.171875
Electric Bass (finger),33,44,G#2,62,0.203125,8.1875,8.390625
Electric Bass (finger),33,44,G#2,62,0.1953125,9.294270833333332,9.489583333333332
Electric Bass (finger),33,43,G2,62,0.15625,9.473958333333332,9.630208333333332
Electric Bass (finger),33,53,F3,62,0.18229166666666785,9.841145833333332,10.0234375
Electric Bass (finger),33,51,D#3,62,0.15625,10.0234375,10.1796875
Electric Bass (finger),33,48,C3,62,0.14583333333333393,10.205729166666666,10.3515625
Electric Bass (finger),33,46,A#2,62,0.15885416666666607,10.393229166666666,10.552083333333332
Electric Bass (finger),33,43,G2,62,0.14583333333333393,10.572916666666666,10.71875
Electric Bass (finger),33,41,F2,62,0.16145833333333393,10.760416666666666,10.921875
Electric Bass (finger),33,39,D#2,62,0.16927083333333393,10.940104166666666,11.109375
Electric Bass (finger),33,36,C2,62,0.06770833333333393,11.127604166666666,11.1953125
Electric Bass (finger),33,36,C2,62,0.09375,11.309895833333332,11.403645833333332
Electric Bass (finger),33,36,C2,62,0.08333333333333215,11.4921875,11.575520833333332
Electric Bass (finger),33,36,C2,62,0.08333333333333393,11.677083333333332,11.760416666666666
Electric Bass (finger),33,36,C2,62,0.08854166666666607,11.859375,11.947916666666666
Electric Bass (finger),33,36,C2,62,0.08854166666666607,12.041666666666666,12.130208333333332
Electric Bass (finger),33,36,C2,62,0.08854166666666607,12.2265625,12.315104166666666
Electric Bass (finger),33,36,C2,62,0.08333333333333393,12.408854166666666,12.4921875
Electric Bass (finger),33,36,C2,62,0.08854166666666607,12.596354166666666,12.684895833333332
Electric Bass (finger),33,36,C2,62,0.08072916666666785,12.778645833333332,12.859375
Electric Bass (finger),33,36,C2,62,0.08854166666666785,12.958333333333332,13.046875
Electric Bass (finger),33,36,C2,62,0.08333333333333393,13.145833333333332,13.229166666666666
Electric Bass (finger),33,36,C2,62,0.08333333333333215,13.328125,13.411458333333332
Electric Bass (finger),33,36,C2,62,0.08854166666666785,13.513020833333332,13.6015625
