Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,75,D#5,96,0.42134874999999994,12.134843999999998,12.556192749999997
Acoustic Grand Piano,0,68,G#4,100,0.42134874999999994,12.134843999999998,12.556192749999997
Acoustic Grand Piano,0,71,B4,120,0.42134874999999994,12.134843999999998,12.556192749999997
Acoustic Grand Piano,0,56,G#3,96,0.8426974999999999,12.134843999999998,12.977541499999997
Acoustic Grand Piano,0,44,G#2,96,0.9269672500000006,12.134843999999998,13.061811249999998
Acoustic Grand Piano,0,71,B4,120,0.42134874999999994,12.809001999999998,13.230350749999998
Acoustic Grand Piano,0,68,G#4,110,0.42134874999999994,12.809001999999998,13.230350749999998
Acoustic Grand Piano,0,75,D#5,100,0.5056185000000006,12.809001999999998,13.314620499999998
Acoustic Grand Piano,0,56,G#3,105,0.1685395000000014,13.146080999999997,13.314620499999998
Acoustic Grand Piano,0,44,G#2,96,0.2528092500000003,13.146080999999997,13.398890249999997
Acoustic Grand Piano,0,68,G#4,110,0.5056184999999989,13.483159999999998,13.988778499999997
Acoustic Grand Piano,0,64,E4,96,0.5056184999999989,13.483159999999998,13.988778499999997
Acoustic Grand Piano,0,71,B4,105,0.5056184999999989,13.483159999999998,13.988778499999997
Acoustic Grand Piano,0,52,E3,80,0.8426974999999999,13.483159999999998,14.325857499999998
Acoustic Grand Piano,0,52,E3,86,0.16853949999999962,14.494396999999998,14.662936499999997
Acoustic Grand Piano,0,40,E2,100,1.1797764999999991,13.483159999999998,14.662936499999997
Acoustic Grand Piano,0,64,E4,100,0.5056185000000006,14.157317999999997,14.662936499999997
Acoustic Grand Piano,0,68,G#4,120,0.5898882500000013,14.157317999999997,14.747206249999998
Acoustic Grand Piano,0,71,B4,110,0.5898882500000013,14.157317999999997,14.747206249999998
Acoustic Grand Piano,0,71,B4,89,0.0842697500000007,14.831475999999997,14.915745749999997
Acoustic Grand Piano,0,73,C#5,92,0.5056185000000006,14.831475999999997,15.337094499999997
Acoustic Grand Piano,0,68,G#4,120,0.5056185000000006,14.831475999999997,15.337094499999997
Acoustic Grand Piano,0,66,F#4,96,0.5056185000000006,14.831475999999997,15.337094499999997
Acoustic Grand Piano,0,70,A#4,110,0.5056185000000006,14.831475999999997,15.337094499999997
Acoustic Grand Piano,0,66,F#4,100,0.5056185000000006,15.505633999999997,16.011252499999998
Acoustic Grand Piano,0,70,A#4,110,0.5056185000000006,15.505633999999997,16.011252499999998
Acoustic Grand Piano,0,68,G#4,120,0.5056185000000006,15.505633999999997,16.011252499999998
Acoustic Grand Piano,0,73,C#5,100,0.5056185000000006,15.505633999999997,16.011252499999998
Acoustic Grand Piano,0,73,C#5,96,0.42134874999999994,16.179791999999996,16.601140749999995
Acoustic Grand Piano,0,68,G#4,120,0.42134874999999994,16.179791999999996,16.601140749999995
Acoustic Grand Piano,0,70,A#4,115,0.42134874999999994,16.179791999999996,16.601140749999995
Acoustic Grand Piano,0,66,F#4,105,0.42134874999999994,16.179791999999996,16.601140749999995
Acoustic Grand Piano,0,42,F#2,92,2.1067437500000015,14.831475999999997,16.93821975
Acoustic Grand Piano,0,54,F#3,96,2.1067437500000015,14.831475999999997,16.93821975
Acoustic Grand Piano,0,66,F#4,100,0.5056185000000006,16.853949999999998,17.359568499999998
Acoustic Grand Piano,0,68,G#4,120,0.5056185000000006,16.853949999999998,17.359568499999998
Acoustic Grand Piano,0,70,A#4,110,0.5056185000000006,16.853949999999998,17.359568499999998
Acoustic Grand Piano,0,73,C#5,100,0.5898882499999978,16.853949999999998,17.443838249999995
Acoustic Grand Piano,0,42,F#2,110,0.25280924999999854,17.191028999999997,17.443838249999995
Acoustic Grand Piano,0,54,F#3,100,0.25280924999999854,17.191028999999997,17.443838249999995
Acoustic Grand Piano,0,71,B4,115,0.5056185000000006,17.528107999999996,18.033726499999997
Acoustic Grand Piano,0,75,D#5,96,0.5056185000000006,17.528107999999996,18.033726499999997
Acoustic Grand Piano,0,70,A#4,110,0.5056185000000006,17.528107999999996,18.033726499999997
Acoustic Grand Piano,0,68,G#4,100,0.5056185000000006,17.528107999999996,18.033726499999997
Acoustic Grand Piano,0,44,G#2,110,0.8426974999999999,17.528107999999996,18.370805499999996
Acoustic Grand Piano,0,56,G#3,110,0.8426974999999999,17.528107999999996,18.370805499999996
Acoustic Grand Piano,0,71,B4,115,0.42134874999999994,18.202265999999998,18.623614749999998
Acoustic Grand Piano,0,56,G#3,96,0.16853949999999784,18.539344999999997,18.707884499999995
Acoustic Grand Piano,0,75,D#5,100,0.5056184999999971,18.202265999999998,18.707884499999995
Acoustic Grand Piano,0,68,G#4,105,0.5056184999999971,18.202265999999998,18.707884499999995
Acoustic Grand Piano,0,70,A#4,110,0.5056184999999971,18.202265999999998,18.707884499999995
Acoustic Grand Piano,0,44,G#2,105,0.25280924999999854,18.539344999999997,18.792154249999996
Acoustic Grand Piano,0,71,B4,96,0.5056185000000006,18.876423999999997,19.382042499999997
Acoustic Grand Piano,0,66,F#4,115,0.5056185000000006,18.876423999999997,19.382042499999997
Acoustic Grand Piano,0,68,G#4,115,0.5056185000000006,18.876423999999997,19.382042499999997
Acoustic Grand Piano,0,64,E4,92,0.5056185000000006,18.876423999999997,19.382042499999997
Acoustic Grand Piano,0,52,E3,89,0.8426974999999999,18.876423999999997,19.719121499999996
Acoustic Grand Piano,0,40,E2,100,0.9269672500000006,18.876423999999997,19.803391249999997
Acoustic Grand Piano,0,52,E3,110,0.25280924999999854,19.887660999999998,20.140470249999996
Acoustic Grand Piano,0,71,B4,100,0.5898882500000013,19.550581999999995,20.140470249999996
Acoustic Grand Piano,0,64,E4,100,0.5898882500000013,19.550581999999995,20.140470249999996
Acoustic Grand Piano,0,68,G#4,115,0.5898882500000013,19.550581999999995,20.140470249999996
Acoustic Grand Piano,0,40,E2,76,0.25280924999999854,19.887660999999998,20.140470249999996
Acoustic Grand Piano,0,66,F#4,124,0.5898882500000013,19.550581999999995,20.140470249999996
Acoustic Grand Piano,0,71,B4,72,0.08426974999999715,20.309009749999998,20.393279499999995
Acoustic Grand Piano,0,66,F#4,92,0.5056185000000006,20.224739999999997,20.730358499999998
Acoustic Grand Piano,0,73,C#5,100,0.5056185000000006,20.224739999999997,20.730358499999998
Acoustic Grand Piano,0,70,A#4,110,0.5056185000000006,20.224739999999997,20.730358499999998
Acoustic Grand Piano,0,68,G#4,115,0.5056185000000006,20.224739999999997,20.730358499999998
Acoustic Grand Piano,0,73,C#5,96,0.5056185000000006,20.898897999999996,21.404516499999996
Acoustic Grand Piano,0,70,A#4,115,0.5056185000000006,20.898897999999996,21.404516499999996
Acoustic Grand Piano,0,66,F#4,96,0.5056185000000006,20.898897999999996,21.404516499999996
Acoustic Grand Piano,0,68,G#4,120,0.5056185000000006,20.898897999999996,21.404516499999996
Acoustic Grand Piano,0,66,F#4,105,0.5056184999999971,21.573055999999998,22.078674499999995
Acoustic Grand Piano,0,73,C#5,100,0.5056184999999971,21.573055999999998,22.078674499999995
Acoustic Grand Piano,0,70,A#4,110,0.5056184999999971,21.573055999999998,22.078674499999995
Acoustic Grand Piano,0,68,G#4,124,0.5056184999999971,21.573055999999998,22.078674499999995
Acoustic Grand Piano,0,54,F#3,100,2.1067437499999997,20.224739999999997,22.331483749999997
Acoustic Grand Piano,0,42,F#2,105,2.1067437499999997,20.224739999999997,22.331483749999997
Acoustic Grand Piano,0,70,A#4,110,0.42134874999999994,22.247213999999996,22.668562749999996
Acoustic Grand Piano,0,66,F#4,105,0.42134874999999994,22.247213999999996,22.668562749999996
Acoustic Grand Piano,0,68,G#4,120,0.42134874999999994,22.247213999999996,22.668562749999996
Acoustic Grand Piano,0,73,C#5,100,0.42134874999999994,22.247213999999996,22.668562749999996
Acoustic Grand Piano,0,42,F#2,110,0.2528092500000021,22.584292999999995,22.837102249999997
Acoustic Grand Piano,0,54,F#3,105,0.2528092500000021,22.584292999999995,22.837102249999997
Acoustic Grand Piano,0,54,F#3,74,0.0842697500000007,22.924180991666663,23.008450741666664
Acoustic Grand Piano,0,71,B4,83,0.16853949999999784,22.924180991666663,23.09272049166666
Acoustic Grand Piano,0,83,B5,80,0.17134849166666655,22.924180991666663,23.09552948333333
Acoustic Grand Piano,0,56,G#3,65,0.2471912666666647,22.924180991666663,23.171372258333328
Acoustic Grand Piano,0,68,G#4,86,0.25280924999999854,22.924180991666663,23.17699024166666
Acoustic Grand Piano,0,75,D#5,76,0.1601125250000024,23.09272049166666,23.252833016666663
Acoustic Grand Piano,0,59,B3,51,0.089887733333331,23.174181249999997,23.264068983333328
Acoustic Grand Piano,0,63,D#4,54,0.0955057166666684,23.25564200833333,23.351147724999997
Acoustic Grand Piano,0,80,G#5,86,0.16011252499999884,23.261259991666662,23.42137251666666
Acoustic Grand Piano,0,71,B4,96,0.2471912666666647,23.429799491666664,23.67699075833333
Acoustic Grand Piano,0,56,G#3,96,0.2471912666666647,23.429799491666664,23.67699075833333
Acoustic Grand Piano,0,68,G#4,105,0.2471912666666647,23.429799491666664,23.67699075833333
Acoustic Grand Piano,0,83,B5,100,0.2471912666666647,23.429799491666664,23.67699075833333
Acoustic Grand Piano,0,70,A#4,89,0.2471912666666647,23.766878491666663,24.014069758333328
Acoustic Grand Piano,0,54,F#3,100,0.2471912666666647,23.766878491666663,24.014069758333328
Acoustic Grand Piano,0,66,F#4,89,0.2471912666666647,23.766878491666663,24.014069758333328
Acoustic Grand Piano,0,82,A#5,92,0.25280924999999854,23.766878491666663,24.01968774166666
Acoustic Grand Piano,0,71,B4,89,0.3342700083333341,24.103957491666662,24.438227499999996
Acoustic Grand Piano,0,56,G#3,100,0.33988799166666794,24.103957491666662,24.44384548333333
Acoustic Grand Piano,0,83,B5,96,0.33988799166666794,24.103957491666662,24.44384548333333
Acoustic Grand Piano,0,68,G#4,92,0.33988799166666794,24.103957491666662,24.44384548333333
Acoustic Grand Piano,0,59,B3,49,0.16011252499999884,24.44103649166666,24.60114901666666
Acoustic Grand Piano,0,75,D#5,78,0.17134849166666655,24.44103649166666,24.612384983333328
Acoustic Grand Piano,0,63,D#4,45,0.17134849166666655,24.522497249999997,24.693845741666664
Acoustic Grand Piano,0,80,G#5,70,0.09550571666666485,24.60395800833333,24.699463724999994
Acoustic Grand Piano,0,86,D6,78,0.08146075833333555,24.77811549166666,24.859576249999996
Acoustic Grand Piano,0,75,D#5,76,0.34550597499999824,24.77249750833333,25.11800348333333
Acoustic Grand Piano,0,59,B3,86,0.4213487499999964,24.77249750833333,25.193846258333327
Acoustic Grand Piano,0,71,B4,83,0.4213487499999964,24.77249750833333,25.193846258333327
Acoustic Grand Piano,0,87,D#6,110,0.42977572499999894,24.77249750833333,25.20227323333333
Acoustic Grand Piano,0,78,F#5,74,0.2471912666666647,25.115194491666664,25.36238575833333
Acoustic Grand Piano,0,63,D#4,1,0.0926967249999997,25.278116008333328,25.370812733333327
Acoustic Grand Piano,0,83,B5,68,0.08988773333333455,25.28373399166666,25.373621724999996
Acoustic Grand Piano,0,70,A#4,70,0.089887733333331,25.452273491666663,25.542161224999994
Acoustic Grand Piano,0,73,C#5,72,0.089887733333331,25.452273491666663,25.542161224999994
Acoustic Grand Piano,0,58,A#3,86,0.089887733333331,25.452273491666663,25.542161224999994
Acoustic Grand Piano,0,85,C#6,92,0.16011252499999884,25.452273491666663,25.61238601666666
Acoustic Grand Piano,0,70,A#4,78,0.17134849166666655,25.62081299166666,25.792161483333327
Acoustic Grand Piano,0,73,C#5,80,0.17134849166666655,25.62081299166666,25.792161483333327
Acoustic Grand Piano,0,58,A#3,86,0.17134849166666655,25.62081299166666,25.792161483333327
Acoustic Grand Piano,0,85,C#6,83,0.24719126666666824,25.62081299166666,25.86800425833333
Acoustic Grand Piano,0,66,F#4,42,0.1657305083333327,25.789352491666662,25.955082999999995
Acoustic Grand Piano,0,61,C#4,54,0.1657305083333327,25.789352491666662,25.955082999999995
Acoustic Grand Piano,0,78,F#5,76,0.17134849166666655,25.789352491666662,25.96070098333333
Acoustic Grand Piano,0,82,A#5,74,0.09550571666666485,25.95227400833333,26.047779724999994
Acoustic Grand Piano,0,70,A#4,76,0.1769664750000004,26.120813508333327,26.297779983333328
Acoustic Grand Piano,0,58,A#3,89,0.1769664750000004,26.120813508333327,26.297779983333328
Acoustic Grand Piano,0,73,C#5,86,0.1769664750000004,26.120813508333327,26.297779983333328
Acoustic Grand Piano,0,85,C#6,96,0.1769664750000004,26.120813508333327,26.297779983333328
Acoustic Grand Piano,0,82,A#5,105,0.1601125250000024,26.46351049166666,26.623623016666663
Acoustic Grand Piano,0,66,F#4,89,0.16292151666666754,26.460701499999995,26.623623016666663
Acoustic Grand Piano,0,61,C#4,83,0.1601125250000024,26.46351049166666,26.623623016666663
Acoustic Grand Piano,0,78,F#5,110,0.1601125250000024,26.46351049166666,26.623623016666663
Acoustic Grand Piano,0,85,C#6,92,0.2612362250000011,26.797780499999995,27.059016724999996
Acoustic Grand Piano,0,73,C#5,92,0.2612362250000011,26.797780499999995,27.059016724999996
Acoustic Grand Piano,0,58,A#3,89,0.3314610166666654,26.797780499999995,27.12924151666666
Acoustic Grand Piano,0,70,A#4,78,0.3314610166666654,26.797780499999995,27.12924151666666
Acoustic Grand Piano,0,78,F#5,78,0.0842697500000007,27.134859499999994,27.219129249999995
Acoustic Grand Piano,0,66,F#4,41,0.081460758333332,27.219129249999995,27.300590008333327
Acoustic Grand Piano,0,61,C#4,49,0.2471912666666647,27.137668491666663,27.384859758333327
Acoustic Grand Piano,0,82,A#5,74,0.08988773333333455,27.30620799166666,27.396095724999995
Acoustic Grand Piano,0,73,C#5,80,0.17134849166666655,27.474747491666662,27.64609598333333
Acoustic Grand Piano,0,85,C#6,96,0.2471912666666647,27.474747491666662,27.721938758333327
Acoustic Grand Piano,0,70,A#4,80,0.2500002583333334,27.471938499999993,27.721938758333327
Acoustic Grand Piano,0,58,A#3,105,0.2612362250000011,27.471938499999993,27.733174724999994
Acoustic Grand Piano,0,78,F#5,66,0.0926967249999997,27.806208508333327,27.898905233333327
Acoustic Grand Piano,0,61,C#4,51,0.08988773333333455,27.81182649166666,27.901714224999996
Acoustic Grand Piano,0,66,F#4,61,0.17134849166666655,27.81182649166666,27.983174983333328
Acoustic Grand Piano,0,82,A#5,70,0.09550571666666485,27.97474800833333,28.070253724999993
Acoustic Grand Piano,0,73,C#5,78,0.08146075833333555,28.14890549166666,28.230366249999996
Acoustic Grand Piano,0,70,A#4,74,0.0870787416666694,28.143287508333326,28.230366249999996
Acoustic Grand Piano,0,58,A#3,89,0.0870787416666694,28.143287508333326,28.230366249999996
Acoustic Grand Piano,0,85,C#6,92,0.0870787416666694,28.14890549166666,28.23598423333333
Acoustic Grand Piano,0,71,B4,100,0.17134849166666655,28.31744499166666,28.48879348333333
Acoustic Grand Piano,0,83,B5,86,0.2471912666666647,28.31744499166666,28.564636258333326
Acoustic Grand Piano,0,68,G#4,86,0.2471912666666647,28.31744499166666,28.564636258333326
Acoustic Grand Piano,0,56,G#3,100,0.2500002583333334,28.31744499166666,28.567445249999995
Acoustic Grand Piano,0,59,B3,52,0.08988773333333455,28.567445249999995,28.65733298333333
Acoustic Grand Piano,0,75,D#5,70,0.2471912666666647,28.485984491666663,28.733175758333328
Acoustic Grand Piano,0,64,E4,52,0.1769664750000004,28.567445249999995,28.744411724999996
Acoustic Grand Piano,0,80,G#5,78,0.08988773333333455,28.65452399166666,28.744411724999996
Acoustic Grand Piano,0,56,G#3,92,0.17415748333333525,28.820254499999994,28.99441198333333
Acoustic Grand Piano,0,68,G#4,100,0.17415748333333525,28.820254499999994,28.99441198333333
Acoustic Grand Piano,0,83,B5,105,0.2471912666666647,28.823063491666662,29.070254758333327
Acoustic Grand Piano,0,71,B4,96,0.2471912666666647,28.823063491666662,29.070254758333327
Acoustic Grand Piano,0,66,F#4,86,0.25280924999999854,29.154524508333328,29.407333758333326
Acoustic Grand Piano,0,54,F#3,105,0.25280924999999854,29.154524508333328,29.407333758333326
Acoustic Grand Piano,0,70,A#4,96,0.2584272333333324,29.154524508333328,29.41295174166666
Acoustic Grand Piano,0,82,A#5,96,0.26404521666666625,29.154524508333328,29.418569724999994
Acoustic Grand Piano,0,71,B4,96,0.33988799166666794,29.49722149166666,29.83710948333333
Acoustic Grand Piano,0,56,G#3,96,0.33988799166666794,29.49722149166666,29.83710948333333
Acoustic Grand Piano,0,68,G#4,105,0.33988799166666794,29.49722149166666,29.83710948333333
Acoustic Grand Piano,0,83,B5,100,0.4157307666666661,29.49722149166666,29.912952258333327
Acoustic Grand Piano,0,75,D#5,68,0.16292151666666754,29.831491499999995,29.994413016666662
Acoustic Grand Piano,0,59,B3,11,0.089887733333331,29.915761249999996,30.005648983333327
Acoustic Grand Piano,0,63,D#4,51,0.1657305083333327,29.915761249999996,30.08149175833333
Acoustic Grand Piano,0,80,G#5,78,0.08988773333333455,29.997222008333328,30.087109741666662
Acoustic Grand Piano,0,76,E5,70,0.08707874166666585,30.16576150833333,30.252840249999995
Acoustic Grand Piano,0,88,E6,89,0.08707874166666585,30.16576150833333,30.252840249999995
Acoustic Grand Piano,0,71,B4,89,0.42134874999999994,30.16576150833333,30.58711025833333
Acoustic Grand Piano,0,75,D#5,70,0.4241577416666651,30.16576150833333,30.589919249999994
Acoustic Grand Piano,0,59,B3,80,0.4325847166666641,30.16576150833333,30.598346224999993
Acoustic Grand Piano,0,87,D#6,89,0.5028095083333319,30.16576150833333,30.66857101666666
Acoustic Grand Piano,0,63,D#4,38,0.2471912666666647,30.508458491666662,30.755649758333327
Acoustic Grand Piano,0,78,F#5,68,0.2471912666666647,30.508458491666662,30.755649758333327
Acoustic Grand Piano,0,68,G#4,50,0.0870787416666694,30.671380008333326,30.758458749999996
Acoustic Grand Piano,0,83,B5,68,0.0955057166666684,30.671380008333326,30.766885724999995
Acoustic Grand Piano,0,58,A#3,89,0.0926967249999997,30.839919508333328,30.932616233333327
Acoustic Grand Piano,0,73,C#5,89,0.0955057166666684,30.839919508333328,30.935425224999996
Acoustic Grand Piano,0,70,A#4,78,0.0955057166666684,30.839919508333328,30.935425224999996
Acoustic Grand Piano,0,85,C#6,89,0.0955057166666684,30.839919508333328,30.935425224999996
Acoustic Grand Piano,0,70,A#4,80,0.17415748333333525,31.011267999999994,31.18542548333333
Acoustic Grand Piano,0,73,C#5,76,0.17415748333333525,31.011267999999994,31.18542548333333
Acoustic Grand Piano,0,58,A#3,92,0.24719126666666824,31.01407699166666,31.261268258333327
Acoustic Grand Piano,0,85,C#6,89,0.2500002583333334,31.011267999999994,31.261268258333327
Acoustic Grand Piano,0,61,C#4,52,0.1657305083333327,31.18261649166666,31.348346999999993
Acoustic Grand Piano,0,76,E5,53,0.1741574833333317,31.179807499999995,31.353964983333327
Acoustic Grand Piano,0,66,F#4,1,0.0926967249999997,31.345538008333328,31.438234733333328
Acoustic Grand Piano,0,82,A#5,66,0.0926967249999997,31.345538008333328,31.438234733333328
Acoustic Grand Piano,0,73,C#5,89,0.17134849166666655,31.51969549166666,31.691043983333326
Acoustic Grand Piano,0,58,A#3,89,0.24719126666666824,31.51969549166666,31.766886758333328
Acoustic Grand Piano,0,85,C#6,96,0.24719126666666824,31.51969549166666,31.766886758333328
