instrumento,nota,volumen,dura,empieza,termina
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
-1.0,-1.0,0.0,35.82088,0.0,35.82088
