Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,58,A#3,101,0.1940297666666666,3.552237266666667,3.7462670333333334
Acoustic Grand Piano,0,53,F3,86,0.30597001666666657,3.5373119,3.8432819166666667
Acoustic Grand Piano,0,62,D4,115,0.41791026666666653,3.5447745833333335,3.96268485
Acoustic Grand Piano,0,58,A#3,78,0.25373123333333325,4.014923633333334,4.268654866666667
Acoustic Grand Piano,0,53,F3,86,0.2835819666666666,4.45522195,4.738803916666667
Acoustic Grand Piano,0,55,G3,80,0.20149244999999993,4.8880575833333335,5.0895500333333334
Acoustic Grand Piano,0,58,A#3,78,0.08208951666666664,5.30596785,5.388057366666667
Acoustic Grand Piano,0,65,F4,80,0.27611928333333324,5.761191533333333,6.0373108166666665
Acoustic Grand Piano,0,65,F4,76,0.1940297666666675,6.216415216666666,6.410444983333334
Acoustic Grand Piano,0,34,A#1,101,3.171640416666667,3.55969995,6.731340366666667
Acoustic Grand Piano,0,62,D4,74,0.11194024999999996,6.656713533333334,6.768653783333334
Acoustic Grand Piano,0,46,A#2,85,3.2089538333333336,3.5671626333333335,6.776116466666667
Acoustic Grand Piano,0,60,C4,100,0.25373123333333325,7.126862583333334,7.380593816666667
Acoustic Grand Piano,0,63,D#4,116,0.27611928333333324,7.1193999,7.395519183333334
Acoustic Grand Piano,0,58,A#3,101,0.29850733333333324,7.1193999,7.417907233333334
Acoustic Grand Piano,0,55,G3,78,0.3432834333333332,7.111937216666667,7.45522065
Acoustic Grand Piano,0,48,C3,53,0.5149251499999998,7.126862583333334,7.6417877333333335
Acoustic Grand Piano,0,36,C2,70,0.5522385666666665,7.111937216666667,7.6641757833333335
Acoustic Grand Piano,0,62,D4,86,0.1194029333333333,7.559698216666667,7.67910115
Acoustic Grand Piano,0,55,G3,37,0.08955219999999997,8.059698000000001,8.1492502
Acoustic Grand Piano,0,58,A#3,52,0.10447756666666663,8.052235316666668,8.156712883333334
Acoustic Grand Piano,0,63,D#4,109,0.23134318333333326,8.052235316666668,8.2835785
Acoustic Grand Piano,0,62,D4,74,0.08208951666666664,8.470145583333334,8.5522351
Acoustic Grand Piano,0,60,C4,89,0.014925366666666662,8.917906583333334,8.93283195
Acoustic Grand Piano,0,58,A#3,101,0.3134326999999999,8.88805585,9.20148855
Acoustic Grand Piano,0,55,G3,89,0.30597001666666657,8.895518533333334,9.20148855
Acoustic Grand Piano,0,63,D#4,116,0.32089538333333323,8.895518533333334,9.216413916666667
Acoustic Grand Piano,0,29,F1,83,0.4552236833333332,8.88805585,9.343279533333334
Acoustic Grand Piano,0,41,F2,58,0.4552236833333332,8.88805585,9.343279533333334
Acoustic Grand Piano,0,62,D4,83,0.1716417166666666,9.343279533333334,9.51492125
Acoustic Grand Piano,0,63,D#4,109,0.27611928333333324,9.82835395,10.104473233333334
Acoustic Grand Piano,0,62,D4,70,0.08208951666666664,10.2089508,10.291040316666667
Acoustic Grand Piano,0,65,F4,110,0.35074611666666655,10.708950583333333,11.0596967
Acoustic Grand Piano,0,62,D4,68,0.1716417166666666,11.119398166666667,11.291039883333333
Acoustic Grand Piano,0,58,A#3,93,0.08208951666666664,11.567159166666666,11.649248683333333
Acoustic Grand Piano,0,55,G3,65,0.32089538333333323,12.074621633333333,12.395517016666666
Acoustic Grand Piano,0,53,F3,65,0.21641781666666837,12.537308,12.753725816666668
Acoustic Grand Piano,0,65,F4,48,0.22388049999999993,12.977606316666668,13.201486816666668
Acoustic Grand Piano,0,65,F4,72,0.16417903333333328,13.358203166666668,13.522382200000001
Acoustic Grand Piano,0,34,A#1,93,3.1567150500000007,10.716413266666667,13.873128316666667
Acoustic Grand Piano,0,62,D4,57,0.11194024999999996,13.8358149,13.94775515
Acoustic Grand Piano,0,46,A#2,63,3.2238792000000007,10.72387595,13.94775515
Acoustic Grand Piano,0,60,C4,92,0.2164178166666666,14.328352,14.544769816666667
Acoustic Grand Piano,0,63,D#4,109,0.2686565999999999,14.30596395,14.57462055
Acoustic Grand Piano,0,58,A#3,78,0.3134326999999999,14.30596395,14.61939665
Acoustic Grand Piano,0,55,G3,78,0.35074611666666655,14.298501266666667,14.649247383333334
Acoustic Grand Piano,0,62,D4,63,0.11194024999999996,14.738799583333334,14.850739833333334
Acoustic Grand Piano,0,48,C3,54,0.7238802833333331,14.335814683333334,15.059694966666667
Acoustic Grand Piano,0,36,C2,63,0.7835817499999997,14.298501266666667,15.082083016666667
Acoustic Grand Piano,0,55,G3,74,0.1940297666666666,15.24626205,15.440291816666667
Acoustic Grand Piano,0,63,D#4,109,0.2388058666666666,15.231336683333334,15.47014255
Acoustic Grand Piano,0,58,A#3,74,0.2388058666666666,15.238799366666667,15.477605233333334
Acoustic Grand Piano,0,62,D4,68,0.08208951666666664,15.64924695,15.731336466666667
Acoustic Grand Piano,0,58,A#3,78,0.29850733333333324,16.082082583333335,16.38058991666667
Acoustic Grand Piano,0,55,G3,74,0.30597001666666657,16.08954526666667,16.395515283333335
Acoustic Grand Piano,0,63,D#4,109,0.32089538333333323,16.08954526666667,16.41044065
Acoustic Grand Piano,0,29,F1,72,0.49253709999999984,16.074619900000002,16.567157
Acoustic Grand Piano,0,41,F2,53,0.49999978333333317,16.082082583333335,16.58208236666667
Acoustic Grand Piano,0,62,D4,96,0.2611939166666666,16.53730626666667,16.798500183333335
Acoustic Grand Piano,0,62,D4,89,0.20895513333333326,16.955216533333335,17.164171666666668
Acoustic Grand Piano,0,58,A#3,93,0.11194024999999996,17.402977533333335,17.514917783333335
Acoustic Grand Piano,0,53,F3,89,0.32089538333333323,17.88805195,18.208947333333334
Acoustic Grand Piano,0,62,D4,100,0.4104475833333332,17.88805195,18.298499533333334
Acoustic Grand Piano,0,58,A#3,109,0.5597012499999998,17.880589266666668,18.440290516666668
Acoustic Grand Piano,0,53,F3,44,0.12686561666666663,18.365663683333334,18.4925293
Acoustic Grand Piano,0,53,F3,70,0.22388049999999993,18.835812733333334,19.059693233333334
