Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,41,F2,102,0.4366434062500004,3.6729415937499996,4.109585
Acoustic Grand Piano,0,44,G#2,100,0.39383522916666625,4.109585,4.503420229166666
Acoustic Grand Piano,0,48,C3,94,2.3886962812499997,4.503420229166666,6.892116510416666
Acoustic Grand Piano,0,56,G#3,100,2.3715730104166663,4.5205435,6.892116510416666
Acoustic Grand Piano,0,53,F3,90,2.405819552083333,4.511981864583333,6.917801416666666
Acoustic Grand Piano,0,60,C4,86,2.4229428229166663,4.511981864583333,6.9349246875
Acoustic Grand Piano,0,41,F2,90,0.42808177083333376,6.960609593749999,7.388691364583333
Acoustic Grand Piano,0,44,G#2,102,0.4452050416666671,7.397252999999999,7.842458041666666
Acoustic Grand Piano,0,65,F4,72,2.0547924999999996,7.714033510416666,9.768826010416666
Acoustic Grand Piano,0,61,C#4,46,2.071915770833334,7.714033510416666,9.78594928125
Acoustic Grand Piano,0,46,A#2,100,2.0976006770833324,7.705471875,9.803072552083332
Acoustic Grand Piano,0,58,A#3,90,2.089039041666666,7.714033510416666,9.803072552083332
Acoustic Grand Piano,0,54,F#3,94,2.0976006770833333,7.722595145833333,9.820195822916666
Acoustic Grand Piano,0,49,C#3,100,2.089039041666666,7.782526593749999,9.871565635416665
Acoustic Grand Piano,0,41,F2,102,0.40239686458333246,10.24827759375,10.650674458333333
Acoustic Grand Piano,0,44,G#2,102,0.42808177083333376,10.684921,11.113002770833333
Acoustic Grand Piano,0,48,C3,106,2.5599289895833337,11.07019459375,13.630123583333333
Acoustic Grand Piano,0,56,G#3,100,2.6112988020833345,11.061632958333332,13.672931760416667
Acoustic Grand Piano,0,60,C4,88,2.6369837083333323,11.053071322916667,13.69005503125
Acoustic Grand Piano,0,53,F3,90,2.636983708333334,11.061632958333332,13.698616666666666
Acoustic Grand Piano,0,41,F2,106,0.40239686458333424,13.535945593749998,13.938342458333333
Acoustic Grand Piano,0,44,G#2,106,0.41952013541666666,13.972589,14.392109135416666
Acoustic Grand Piano,0,65,F4,84,2.354449739583332,14.323616052083333,16.678065791666665
Acoustic Grand Piano,0,61,C#4,94,2.3972579166666677,14.3321776875,16.729435604166667
Acoustic Grand Piano,0,58,A#3,96,2.4143811874999983,14.3321776875,16.746558874999998
Acoustic Grand Piano,0,46,A#2,102,2.3886962812499988,14.35786259375,16.746558874999998
Acoustic Grand Piano,0,54,F#3,94,2.4315044583333325,14.3321776875,16.763682145833332
Acoustic Grand Piano,0,41,F2,100,0.41095849999999956,16.82361359375,17.23457209375
Acoustic Grand Piano,0,44,G#2,96,0.4195201354166649,17.260257,17.679777135416664
Acoustic Grand Piano,0,56,G#3,94,2.5428057187499995,17.654092229166665,20.196897947916664
Acoustic Grand Piano,0,53,F3,94,2.5599289895833337,17.654092229166665,20.21402121875
Acoustic Grand Piano,0,48,C3,100,2.577052260416668,17.64553059375,20.222582854166667
Acoustic Grand Piano,0,60,C4,80,2.5856138958333332,17.654092229166665,20.239706124999998
Acoustic Grand Piano,0,41,F2,100,0.4452050416666644,20.11128159375,20.556486635416665
Acoustic Grand Piano,0,44,G#2,102,0.42808177083333376,20.547925,20.976006770833333
Acoustic Grand Piano,0,49,C#3,102,1.9178063333333313,20.93319859375,22.85100492708333
Acoustic Grand Piano,0,65,F4,78,2.4315044583333325,20.88182878125,23.313333239583333
Acoustic Grand Piano,0,46,A#2,96,2.4743126354166662,20.87326714583333,23.347579781249998
Acoustic Grand Piano,0,58,A#3,94,2.4743126354166662,20.88182878125,23.356141416666667
Acoustic Grand Piano,0,61,C#4,88,2.4743126354166662,20.88182878125,23.356141416666667
Acoustic Grand Piano,0,54,F#3,94,2.4743126354166662,20.890390416666666,23.364703052083332
Acoustic Grand Piano,0,41,F2,100,0.4195201354166649,23.39894959375,23.818469729166665
Acoustic Grand Piano,0,44,G#2,102,0.4794515833333328,23.835593,24.315044583333332
Acoustic Grand Piano,0,56,G#3,100,2.508559177083331,24.1951816875,26.70374086458333
Acoustic Grand Piano,0,60,C4,94,2.5171208125,24.1951816875,26.7123025
Acoustic Grand Piano,0,53,F3,94,2.5256824479166653,24.1951816875,26.720864135416665
Acoustic Grand Piano,0,48,C3,102,2.508559177083331,24.22086659375,26.72942577083333
Acoustic Grand Piano,0,41,F2,100,0.43664340625000264,26.686617593749997,27.123261
Acoustic Grand Piano,0,44,G#2,102,0.42808177083333376,27.123261,27.551342770833333
Acoustic Grand Piano,0,46,A#2,106,2.054792499999998,27.50853459375,29.563327093749997
Acoustic Grand Piano,0,65,F4,86,2.1232855833333346,27.47428805208333,29.597573635416666
Acoustic Grand Piano,0,58,A#3,96,2.1147239479166657,27.4828496875,29.597573635416666
Acoustic Grand Piano,0,61,C#4,88,2.1147239479166657,27.4828496875,29.597573635416666
Acoustic Grand Piano,0,54,F#3,94,2.123285583333331,27.4828496875,29.60613527083333
Acoustic Grand Piano,0,41,F2,100,0.41952013541666844,29.974285593749997,30.393805729166665
Acoustic Grand Piano,0,44,G#2,102,0.4366434062499991,30.410929,30.84757240625
Acoustic Grand Piano,0,60,C4,84,2.5256824479166617,30.7705176875,33.29620013541666
Acoustic Grand Piano,0,56,G#3,96,2.5256824479166617,30.7705176875,33.29620013541666
Acoustic Grand Piano,0,53,F3,94,2.534244083333334,30.779079322916665,33.31332340625
Acoustic Grand Piano,0,48,C3,100,2.5342440833333306,30.79620259375,33.33044667708333
Acoustic Grand Piano,0,41,F2,100,0.44520504166666086,33.26195359375,33.70715863541666
Acoustic Grand Piano,0,44,G#2,106,0.4366434062499991,33.698597,34.13524040625
Acoustic Grand Piano,0,49,C#3,102,2.0119843229166676,34.08387059375,36.09585491666667
Acoustic Grand Piano,0,65,F4,78,2.4486277291666667,34.04106241666666,36.48969014583333
Acoustic Grand Piano,0,46,A#2,94,2.4657509999999974,34.03250078125,36.49825178125
Acoustic Grand Piano,0,58,A#3,100,2.4571893645833356,34.04106241666666,36.49825178125
Acoustic Grand Piano,0,61,C#4,90,2.4571893645833356,34.04106241666666,36.49825178125
Acoustic Grand Piano,0,54,F#3,86,2.4743126354166662,34.04106241666666,36.51537505208333
Acoustic Grand Piano,0,41,F2,106,0.4366434062499991,36.54962159375,36.986264999999996
Acoustic Grand Piano,0,44,G#2,102,0.4280817708333373,36.986264999999996,37.41434677083333
Acoustic Grand Piano,0,56,G#3,100,2.4999975416666658,37.362976958333334,39.8629745
Acoustic Grand Piano,0,53,F3,90,2.5085591770833275,37.362976958333334,39.87153613541666
Acoustic Grand Piano,0,60,C4,90,2.5085591770833275,37.362976958333334,39.87153613541666
Acoustic Grand Piano,0,48,C3,106,2.5171208125000035,37.371538593749996,39.88865940625
Acoustic Grand Piano,0,41,F2,106,0.41095849999999956,39.83728959375,40.24824809375
Acoustic Grand Piano,0,44,G#2,106,0.4280817708333302,40.273933,40.70201477083333
Acoustic Grand Piano,0,46,A#2,108,2.089039041666666,40.65920659375,42.748245635416666
Acoustic Grand Piano,0,58,A#3,96,2.1404088541666653,40.62496005208333,42.765368906249996
Acoustic Grand Piano,0,61,C#4,80,2.1404088541666653,40.62496005208333,42.765368906249996
Acoustic Grand Piano,0,65,F4,80,2.157532125000003,40.61639841666666,42.773930541666665
Acoustic Grand Piano,0,54,F#3,90,2.148970489583334,40.62496005208333,42.773930541666665
Acoustic Grand Piano,0,80,G#5,100,0.7876704583333378,73.19342117708332,73.98109163541666
Acoustic Grand Piano,0,77,F5,100,0.8989717187500048,73.98109163541666,74.88006335416667
Acoustic Grand Piano,0,73,C#5,96,0.26541069791666416,75.43656965625,75.70198035416666
Acoustic Grand Piano,0,70,A#4,96,1.164382416666669,75.75335016666666,76.91773258333333
Acoustic Grand Piano,0,70,A#4,86,0.16267107291666605,77.05471874999999,77.21738982291666
Acoustic Grand Piano,0,72,C5,96,0.15410943749999717,77.13177346875,77.28588290625
Acoustic Grand Piano,0,73,C#5,116,0.8390402708333369,77.26875963541666,78.10779990625
Acoustic Grand Piano,0,72,C5,96,0.7791088229166689,78.06499172916666,78.84410055208333
Acoustic Grand Piano,0,65,F4,100,0.941779895833335,78.84410055208333,79.78588044791667
Acoustic Grand Piano,0,68,G#4,94,0.26541069791666416,80.02560623958333,80.29101693749999
Acoustic Grand Piano,0,67,G4,84,0.3253421458333321,80.29101693749999,80.61635908333332
Acoustic Grand Piano,0,73,C#5,102,1.4726012916666775,82.21738490624999,83.68998619791667
Acoustic Grand Piano,0,72,C5,94,0.10273962499999811,83.6814245625,83.7841641875
Acoustic Grand Piano,0,70,A#4,100,0.26541069791666416,83.74991764583334,84.01532834375
Acoustic Grand Piano,0,70,A#4,106,0.23116415624998865,84.07525979166667,84.30642394791666
Acoustic Grand Piano,0,70,A#4,96,0.23116415625000286,84.37491703124999,84.6060811875
Acoustic Grand Piano,0,71,B4,100,0.7363006458333246,84.63176609375,85.36806673958333
Acoustic Grand Piano,0,80,G#5,108,0.0684930833333226,90.01703477083333,90.08552785416666
Acoustic Grand Piano,0,59,B3,106,0.607876114583334,97.47421921875,98.08209533333333
Acoustic Grand Piano,0,60,C4,106,0.5479446666666661,98.09065696875,98.63860163541666
Acoustic Grand Piano,0,69,A4,100,0.8561635416666604,98.65572490625,99.51188844791666
Acoustic Grand Piano,0,61,C#4,102,1.1900673229166614,98.64716327083333,99.83723059375
Acoustic Grand Piano,0,64,E4,94,0.41952013541667554,99.48620354166665,99.90572367708333
Acoustic Grand Piano,0,69,A4,84,0.41952013541667554,99.88003877083332,100.29955890625
Acoustic Grand Piano,0,68,G#4,96,0.6934924687499944,100.29955890625,100.993051375
Acoustic Grand Piano,0,68,G#4,94,0.6849308333333397,101.10435263541666,101.78928346875
Acoustic Grand Piano,0,67,G4,100,0.19691761458334156,101.91770799999999,102.11462561458333
Acoustic Grand Piano,0,67,G4,94,0.13698616666665941,102.23448851041667,102.37147467708333
Acoustic Grand Piano,0,67,G4,88,0.11986289583333587,102.51702247916666,102.63688537499999
Acoustic Grand Piano,0,61,C#4,86,0.11130126041666699,102.75674827083333,102.86804953125
Acoustic Grand Piano,0,58,A#3,102,0.29965723958332546,103.047843875,103.34750111458332
Acoustic Grand Piano,0,55,G3,88,0.2825339687499877,103.33037784375,103.61291181249999
Acoustic Grand Piano,0,54,F#3,94,0.7619855520833312,103.59578854166666,104.35777409375
Acoustic Grand Piano,0,66,F#4,96,1.3527383958333274,104.42626717708333,105.77900557291666
Acoustic Grand Piano,0,68,G#4,96,0.3595886875000076,108.07352386458332,108.43311255208333
Acoustic Grand Piano,0,67,G4,94,0.8047937291666614,108.50160563541667,109.30639936458333
Acoustic Grand Piano,0,63,D#4,94,0.23972579166665753,109.76016604166666,109.99989183333332
Acoustic Grand Piano,0,66,F#4,90,0.22260252083333398,109.95708365624999,110.17968617708333
Acoustic Grand Piano,0,61,C#4,58,1.7380119895833417,110.17112454166666,111.90913653125
Acoustic Grand Piano,0,65,F4,102,0.27397233333333304,114.67454477083332,114.94851710416665
Acoustic Grand Piano,0,64,E4,102,0.47945158333332927,114.48618879166666,114.96564037499999
Acoustic Grand Piano,0,68,G#4,96,0.41952013541666133,114.88002402083333,115.29954415625
Acoustic Grand Piano,0,73,C#5,100,1.3013685833333426,115.11118817708332,116.41255676041666
Acoustic Grand Piano,0,72,C5,96,0.5308213958333283,118.38173290625,118.91255430208332
Acoustic Grand Piano,0,75,D#5,94,0.5393830312499972,118.38173290625,118.92111593749999
Acoustic Grand Piano,0,68,G#4,88,0.556506302083335,118.38173290625,118.93823920833333
Acoustic Grand Piano,0,70,A#4,90,0.5136981250000048,119.18652663541666,119.70022476041666
Acoustic Grand Piano,0,73,C#5,88,0.5222597604166737,119.19508827083332,119.71734803125
Acoustic Grand Piano,0,66,F#4,94,0.5393830312499972,119.19508827083332,119.73447130208332
Acoustic Grand Piano,0,66,F#4,88,1.1472591458333454,120.00844363541665,121.15570278125
Acoustic Grand Piano,0,63,D#4,88,1.15582078125,120.01700527083332,121.17282605208332
Acoustic Grand Piano,0,70,A#4,48,1.1815056875000067,120.00844363541665,121.18994932291666
Acoustic Grand Piano,0,70,A#4,100,0.2825339687500019,121.28412731249999,121.56666128124999
Acoustic Grand Piano,0,65,F4,96,0.35102705208333873,137.66253586458333,138.01356291666667
Acoustic Grand Piano,0,66,F#4,96,0.7534239166666623,138.09061763541666,138.84404155208333
Acoustic Grand Piano,0,65,F4,102,0.38527359375001424,140.99301204166665,141.37828563541666
