Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Percussion,-1,37,C#2,114,0.10326088333333328,1.304348,1.4076088833333333
Percussion,-1,37,C#2,117,0.10326088333333328,1.956522,2.0597828833333334
Percussion,-1,37,C#2,117,0.08695653333333331,2.608696,2.6956525333333334
Percussion,-1,37,C#2,117,0.08152175000000028,2.934783,3.01630475
Percussion,-1,37,C#2,117,0.08695653333333331,3.26087,3.3478265333333335
Percussion,-1,37,C#2,117,0.11413045000000022,3.586957,3.70108745
Percussion,-1,70,A#4,112,0.027173916666666464,3.913044,3.9402179166666667
Percussion,-1,61,C#4,75,0.05434783333333337,3.913044,3.9673918333333336
Percussion,-1,70,A#4,38,0.027173916666667353,4.0760875,4.103261416666667
Percussion,-1,61,C#4,34,0.027173916666666464,4.239131,4.266304916666667
Percussion,-1,70,A#4,74,0.027173916666666464,4.239131,4.266304916666667
Percussion,-1,62,D4,127,0.0815217499999994,4.239131,4.32065275
Percussion,-1,61,C#4,19,0.027173916666666464,4.4021745,4.429348416666667
Percussion,-1,70,A#4,74,0.027173916666667353,4.565218,4.592391916666667
Percussion,-1,61,C#4,70,0.05434783333333382,4.565218,4.619565833333334
Percussion,-1,70,A#4,87,0.027173916666666464,4.7282615,4.755435416666667
Percussion,-1,61,C#4,33,0.05434783333333293,4.7282615,4.782609333333333
Percussion,-1,63,D#4,99,0.027173916666666464,4.891305,4.9184789166666665
Percussion,-1,70,A#4,109,0.027173916666666464,5.054348500000001,5.081522416666667
Percussion,-1,63,D#4,99,0.05434783333333293,5.054348500000001,5.1086963333333335
Percussion,-1,70,A#4,66,0.027173916666666464,5.217392,5.244565916666667
Percussion,-1,61,C#4,72,0.05434783333333293,5.217392,5.271739833333333
Percussion,-1,61,C#4,14,0.027173916666666464,5.3804355,5.407609416666666
Percussion,-1,62,D4,127,0.05434783333333293,5.5434790000000005,5.597826833333333
Percussion,-1,61,C#4,65,0.05434783333333293,5.5434790000000005,5.597826833333333
Percussion,-1,61,C#4,25,0.027173916666666464,5.7065225,5.733696416666667
Percussion,-1,70,A#4,62,0.027173916666666464,5.7065225,5.733696416666667
Percussion,-1,61,C#4,72,0.027173916666667353,5.869566,5.896739916666667
Percussion,-1,70,A#4,11,0.027173916666666464,6.0326095,6.059783416666667
Percussion,-1,61,C#4,32,0.05434783333333293,6.0326095,6.086957333333333
Percussion,-1,60,C4,98,0.027173916666666464,6.195653,6.2228269166666665
Percussion,-1,70,A#4,106,0.027173916666666464,6.195653,6.2228269166666665
Percussion,-1,64,E4,78,0.027173916666666464,6.195653,6.2228269166666665
Percussion,-1,70,A#4,92,0.027173916666667353,6.3586965,6.385870416666667
Percussion,-1,64,E4,89,0.027173916666667353,6.3586965,6.385870416666667
Percussion,-1,61,C#4,32,0.05434783333333382,6.3586965,6.413044333333334
Percussion,-1,61,C#4,72,0.027173916666666464,6.52174,6.548913916666667
Percussion,-1,61,C#4,40,0.05434783333333382,6.6847835,6.739131333333334
Percussion,-1,61,C#4,70,0.027173916666666464,6.8478270000000006,6.875000916666667
Percussion,-1,70,A#4,95,0.027173916666666464,6.8478270000000006,6.875000916666667
Percussion,-1,62,D4,127,0.05434783333333293,6.8478270000000006,6.9021748333333335
Percussion,-1,61,C#4,34,0.05434783333333293,7.0108705,7.065218333333333
Percussion,-1,70,A#4,109,0.027173916666667353,7.173914,7.201087916666667
Percussion,-1,61,C#4,75,0.08152175000000028,7.173914,7.25543575
Percussion,-1,61,C#4,44,0.0815217499999994,7.3369575000000005,7.41847925
Percussion,-1,63,D#4,103,0.027173916666666464,7.500001,7.527174916666667
Percussion,-1,60,C4,100,0.027173916666666464,7.500001,7.527174916666667
