Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Bass,32,39,D#2,66,0.5163036249999999,2.608692,3.124995625
Acoustic Bass,32,46,A#2,67,0.4347820000000002,3.09782175,3.5326037500000003
Acoustic Bass,32,39,D#2,74,0.8152162500000002,3.5869515,4.40216775
Acoustic Bass,32,39,D#2,61,0.5706513749999997,4.565211000000001,5.135862375
Acoustic Bass,32,34,A#1,80,0.1358693750000004,5.217384,5.353253375
Acoustic Bass,32,34,A#1,76,0.0815216250000006,5.70651375,5.788035375000001
Acoustic Bass,32,34,A#1,73,1.46738925,6.1956435,7.66303275
Acoustic Bass,32,39,D#2,76,0.4347820000000002,7.8260760000000005,8.260858
Acoustic Bass,32,46,A#2,76,0.3804342500000004,8.31520575,8.695640000000001
Acoustic Bass,32,39,D#2,71,0.8152162500000006,8.8043355,9.619551750000001
Acoustic Bass,32,39,D#2,80,0.5978252499999996,9.782595,10.38042025
Acoustic Bass,32,34,A#1,76,0.1630432500000012,10.434768,10.597811250000001
Acoustic Bass,32,34,A#1,84,0.1358693750000004,10.92389775,11.059767125
Acoustic Bass,32,34,A#1,92,1.2499982500000009,11.4130275,12.663025750000001
Acoustic Bass,32,39,D#2,74,0.4347820000000002,13.04346,13.478242
Acoustic Bass,32,46,A#2,67,0.2717387500000008,13.53258975,13.8043285
Acoustic Bass,32,39,D#2,68,0.706520750000001,14.0217195,14.72824025
Acoustic Bass,32,46,A#2,76,0.3804342500000004,14.83693575,15.21737
Acoustic Bass,32,48,C3,86,0.706520750000001,15.3260655,16.03258625
Acoustic Bass,32,43,G2,78,0.35326037499999785,16.14128175,16.494542125
Acoustic Bass,32,36,C2,71,0.7336946249999983,16.6304115,17.364106125
Acoustic Bass,32,43,G2,88,0.434782000000002,17.44562775,17.880409750000002
Acoustic Bass,32,41,F2,74,0.7065207499999993,17.9347575,18.64127825
Acoustic Bass,32,48,C3,74,0.2989126249999998,18.749973750000002,19.048886375000002
Acoustic Bass,32,41,F2,66,0.7065207499999993,19.239103500000002,19.94562425
Acoustic Bass,32,48,C3,78,0.2717387500000008,20.05431975,20.326058500000002
Acoustic Bass,32,46,A#2,74,0.7336946249999983,20.5434495,21.277144125
Acoustic Bass,32,41,F2,80,0.3532603750000014,21.35866575,21.711926125
Acoustic Bass,32,46,A#2,73,0.7336946250000018,21.8477955,22.581490125000002
Acoustic Bass,32,41,F2,76,0.32608649999999884,22.663011750000003,22.98909825
Acoustic Bass,32,39,D#2,74,0.9782594999999965,23.152141500000003,24.130401
Acoustic Bass,32,46,A#2,72,0.32608649999999884,23.96735775,24.29344425
Acoustic Bass,32,39,D#2,69,0.7065207499999993,24.4564875,25.16300825
Acoustic Bass,32,46,A#2,72,0.3532603750000014,25.27170375,25.624964125
Acoustic Bass,32,48,C3,78,0.6521730000000012,25.7608335,26.4130065
Acoustic Bass,32,43,G2,74,0.2989126250000034,26.57604975,26.874962375000003
Acoustic Bass,32,36,C2,74,0.7608685000000008,27.038005625,27.798874125
Acoustic Bass,32,36,C2,70,0.32608649999999884,27.88039575,28.20648225
Acoustic Bass,32,37,C#2,70,0.6793468750000002,28.3695255,29.048872375000002
Acoustic Bass,32,44,G#2,76,0.2989126249999998,29.18474175,29.483654375
Acoustic Bass,32,49,C#3,72,0.7065207499999993,29.6738715,30.38039225
Acoustic Bass,32,44,G#2,76,0.2989126250000034,30.48908775,30.788000375000003
Acoustic Bass,32,46,A#2,73,0.6521730000000012,30.9782175,31.6303905
Acoustic Bass,32,41,F2,82,0.5163036250000026,31.793433750000002,32.309737375000005
Acoustic Bass,32,46,A#2,68,0.10869549999999606,32.2825635,32.391259
Acoustic Bass,32,46,A#2,74,0.1630432499999941,32.608650000000004,32.77169325
Acoustic Bass,32,41,F2,66,0.1630432500000012,32.9347365,33.09777975
Acoustic Bass,32,43,G2,84,0.19021712499999666,33.260823,33.451040125
Acoustic Bass,32,45,A2,80,0.10869549999999606,33.586909500000004,33.695605
Acoustic Bass,32,47,B2,76,0.10869550000000316,33.74995275,33.85864825
Acoustic Bass,32,48,C3,74,0.407608125000003,33.912996,34.320604125
Acoustic Bass,32,43,G2,80,0.3260864999999953,34.40212575,34.72821225
Acoustic Bass,32,41,F2,78,0.6793468750000002,34.8912555,35.570602375
Acoustic Bass,32,48,C3,86,0.35326037499999785,35.679297875,36.03255825
