Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,68,G#4,116,0.14825572500000028,4.186044,4.334299725
Acoustic Grand Piano,0,56,G#3,93,0.18313942500000024,4.186044,4.369183425
Acoustic Grand Piano,0,60,C4,80,0.2296510249999999,4.3604625,4.590113525
Acoustic Grand Piano,0,72,C5,82,0.23255800000000004,4.3604625,4.5930205
Acoustic Grand Piano,0,63,D#4,93,0.13372084999999956,4.534881,4.66860185
Acoustic Grand Piano,0,75,D#5,91,0.15406967499999968,4.534881,4.688950675
Acoustic Grand Piano,0,68,G#4,102,0.1744184999999998,4.7092995,4.883718
Acoustic Grand Piano,0,56,G#3,78,0.1802324500000001,4.7092995,4.88953195
Acoustic Grand Piano,0,68,G#4,93,0.11627900000000047,5.0581365,5.1744155
Acoustic Grand Piano,0,75,D#5,85,0.12499992500000001,5.0581365,5.183136425
Acoustic Grand Piano,0,60,C4,66,0.13953479999999985,5.0581365,5.1976713
Acoustic Grand Piano,0,63,D#4,87,0.16279060000000012,5.0581365,5.2209271
Acoustic Grand Piano,0,72,C5,102,0.20058127500000023,5.0581365,5.258717775
Acoustic Grand Piano,0,56,G#3,105,0.16860454999999952,5.4069735,5.57557805
Acoustic Grand Piano,0,68,G#4,119,0.18895337499999965,5.4069735,5.595926875
Acoustic Grand Piano,0,72,C5,100,0.20930219999999977,5.7558105,5.9651127
Acoustic Grand Piano,0,60,C4,82,0.25290682500000017,5.7558105,6.008717325
Acoustic Grand Piano,0,63,D#4,87,0.10755807500000003,5.930229,6.037787075
Acoustic Grand Piano,0,75,D#5,100,0.12499992500000001,5.930229,6.055228925
Acoustic Grand Piano,0,68,G#4,102,0.16569757499999938,6.1046475000000004,6.270345075
Acoustic Grand Piano,0,56,G#3,85,0.17732547499999995,6.1046475000000004,6.281972975
Acoustic Grand Piano,0,68,G#4,95,0.18895337499999965,6.4534845,6.642437875
Acoustic Grand Piano,0,63,D#4,91,0.19767430000000008,6.4534845,6.6511588
