instrumento,nota,volumen,dura,empieza,termina
-1.0,82.0,83.0,0.16666649999999983,2.8333305,2.999997
-1.0,55.0,81.0,0.16666650000000027,2.999997,3.1666635000000003
-1.0,77.0,92.0,0.16666649999999983,3.1666635000000003,3.33333
-1.0,61.0,87.0,0.16666649999999983,3.33333,3.4999965
-1.0,82.0,57.0,0.16666650000000027,3.4999965,3.6666630000000002
-1.0,74.0,97.0,0.3333330000000001,3.33333,3.6666630000000002
-1.0,56.0,92.0,0.16666649999999983,3.6666630000000002,3.8333295
-1.0,72.0,109.0,0.16666650000000027,3.8333295,3.9999960000000003
-1.0,-1.0,0.0,4.440892098500626e-16,3.9999960000000003,3.9999960000000008
-1.0,61.0,90.0,0.16666649999999983,3.9999960000000008,4.166662500000001
-1.0,82.0,90.0,0.16666649999999983,4.1666625,4.333329
-1.0,74.0,94.0,0.33333299999999966,3.9999960000000003,4.333329
-1.0,55.0,84.0,0.16666649999999983,4.333329,4.4999955
-1.0,77.0,96.0,0.16666650000000072,4.4999955,4.6666620000000005
-1.0,61.0,87.0,0.16666649999999983,4.6666620000000005,4.8333285
-1.0,82.0,77.0,0.16666649999999983,4.8333285,4.999995
-1.0,74.0,86.0,0.33333299999999966,4.6666620000000005,4.999995
-1.0,56.0,95.0,0.16666649999999983,4.999995,5.1666615
-1.0,72.0,101.0,0.16666649999999983,5.1666615,5.333328
-1.0,61.0,98.0,0.16666650000000072,5.333328,5.499994500000001
-1.0,82.0,70.0,0.16666649999999983,5.499994500000001,5.666661
-1.0,74.0,94.0,0.33333300000000055,5.333328,5.666661
-1.0,55.0,79.0,0.16666649999999983,5.666661,5.8333275
-1.0,77.0,92.0,0.16666649999999983,5.8333275,5.999994
-1.0,61.0,84.0,0.16666649999999983,5.999994,6.1666605
-1.0,82.0,77.0,0.16666650000000072,6.1666605,6.333327000000001
-1.0,74.0,90.0,0.33333300000000055,5.999994,6.333327000000001
-1.0,56.0,92.0,0.16666649999999983,6.333327000000001,6.4999935
-1.0,72.0,117.0,0.16666649999999983,6.4999934999999995,6.666659999999999
-1.0,-1.0,0.0,8.881784197001252e-16,6.666659999999999,6.66666
-1.0,61.0,83.0,0.16666649999999983,6.66666,6.8333265
-1.0,82.0,83.0,0.16666649999999983,6.8333265,6.999993
-1.0,74.0,99.0,0.33333299999999966,6.66666,6.999993
-1.0,55.0,81.0,0.16666650000000072,6.999993,7.166659500000001
-1.0,77.0,92.0,0.16666649999999983,7.166659500000001,7.3333260000000005
-1.0,61.0,87.0,0.16666649999999983,7.3333260000000005,7.4999925
-1.0,82.0,57.0,0.16666649999999983,7.4999925,7.666659
-1.0,74.0,97.0,0.33333299999999966,7.3333260000000005,7.666659
-1.0,56.0,92.0,0.16666649999999983,7.666659,7.8333255
-1.0,72.0,109.0,0.16666650000000072,7.8333255,7.999992000000001
-1.0,44.0,115.0,0.16666649999999983,7.999992000000001,8.1666585
-1.0,82.0,83.0,0.16666649999999983,8.1666585,8.333325
-1.0,74.0,96.0,0.33333299999999966,7.999992000000001,8.333325
-1.0,55.0,81.0,0.16666649999999983,8.333325,8.4999915
-1.0,77.0,92.0,0.16666649999999983,8.4999915,8.666658
-1.0,61.0,87.0,0.16666649999999983,8.666658,8.8333245
-1.0,82.0,57.0,0.16666649999999983,8.8333245,8.999991
-1.0,74.0,97.0,0.33333299999999966,8.666658,8.999991
-1.0,56.0,92.0,0.1666665000000016,8.999991,9.166657500000001
-1.0,72.0,109.0,0.16666649999999983,9.166657500000001,9.333324000000001
-1.0,61.0,90.0,0.16666649999999983,9.333324000000001,9.499990500000001
-1.0,82.0,90.0,0.16666649999999983,9.499990500000001,9.666657
-1.0,74.0,94.0,0.33333299999999966,9.333324000000001,9.666657
-1.0,55.0,84.0,0.16666649999999983,9.666657,9.8333235
-1.0,77.0,96.0,0.16666649999999983,9.8333235,9.99999
-1.0,61.0,87.0,0.16666649999999983,9.99999,10.1666565
-1.0,82.0,77.0,0.16666649999999983,10.1666565,10.333323
-1.0,74.0,86.0,0.33333299999999966,9.99999,10.333323
-1.0,56.0,95.0,0.16666649999999983,10.333323,10.4999895
-1.0,72.0,101.0,0.16666649999999983,10.4999895,10.666656
-1.0,61.0,98.0,0.1666665000000016,10.666656,10.833322500000001
-1.0,82.0,70.0,0.16666649999999983,10.833322500000001,10.999989000000001
-1.0,74.0,94.0,0.33333300000000143,10.666656,10.999989000000001
-1.0,55.0,79.0,0.16666649999999983,10.999989000000001,11.166655500000001
-1.0,77.0,92.0,0.16666649999999983,11.166655500000001,11.333322
-1.0,61.0,84.0,0.16666649999999983,11.333322,11.4999885
-1.0,82.0,77.0,0.16666649999999983,11.4999885,11.666655
-1.0,74.0,90.0,0.33333299999999966,11.333322,11.666655
-1.0,56.0,92.0,0.16666649999999983,11.666655,11.8333215
-1.0,-1.0,0.0,1.7763568394002505e-15,11.8333215,11.833321500000002
-1.0,72.0,117.0,0.16666649999999983,11.833321500000002,11.999988000000002
-1.0,61.0,83.0,0.16666649999999983,11.999988,12.1666545
-1.0,82.0,83.0,0.16666649999999983,12.1666545,12.333321
-1.0,74.0,99.0,0.33333299999999966,11.999988,12.333321
-1.0,55.0,81.0,0.1666665000000016,12.333321,12.499987500000001
-1.0,77.0,92.0,0.16666649999999983,12.499987500000001,12.666654000000001
-1.0,61.0,87.0,0.16666649999999983,12.666654000000001,12.833320500000001
-1.0,82.0,57.0,0.16666649999999983,12.833320500000001,12.999987
-1.0,74.0,97.0,0.33333299999999966,12.666654000000001,12.999987
-1.0,56.0,92.0,0.16666649999999983,12.999986999999999,13.166653499999999
-1.0,-1.0,0.0,1.7763568394002505e-15,13.166653499999999,13.1666535
-1.0,72.0,109.0,0.16666649999999983,13.1666535,13.33332
-1.0,44.0,115.0,0.16666649999999983,13.33332,13.4999865
-1.0,82.0,83.0,0.16666649999999983,13.4999865,13.666653
-1.0,74.0,96.0,0.33333299999999966,13.33332,13.666653
-1.0,-1.0,0.0,1.7763568394002505e-15,13.666653,13.666653000000002
-1.0,55.0,81.0,0.16666649999999983,13.666653000000002,13.833319500000002
-1.0,77.0,92.0,0.16666649999999983,13.8333195,13.999986
-1.0,61.0,87.0,0.1666665000000016,13.999986,14.166652500000001
-1.0,82.0,57.0,0.16666649999999983,14.166652500000001,14.333319000000001
-1.0,74.0,97.0,0.33333300000000143,13.999986,14.333319000000001
-1.0,56.0,92.0,0.16666649999999983,14.333319000000001,14.499985500000001
-1.0,72.0,109.0,0.16666649999999983,14.499985500000001,14.666652000000001
-1.0,61.0,90.0,0.16666649999999983,14.666652000000001,14.8333185
-1.0,82.0,90.0,0.16666649999999983,14.8333185,14.999985
-1.0,74.0,94.0,0.33333299999999966,14.666652000000001,14.999985
-1.0,55.0,84.0,0.16666649999999983,14.999985,15.1666515
-1.0,77.0,96.0,0.16666649999999983,15.1666515,15.333318
-1.0,61.0,87.0,0.16666649999999983,15.333318,15.4999845
-1.0,82.0,77.0,0.16666649999999983,15.4999845,15.666651
-1.0,74.0,86.0,0.33333299999999966,15.333318,15.666651
-1.0,56.0,95.0,0.1666665000000016,15.666651,15.833317500000001
-1.0,72.0,101.0,0.16666649999999983,15.833317500000001,15.999984000000001
-1.0,61.0,98.0,0.16666649999999805,15.999984000000001,16.1666505
-1.0,82.0,70.0,0.1666665000000016,16.1666505,16.333317
-1.0,74.0,94.0,0.33333299999999966,15.999984000000001,16.333317
-1.0,55.0,79.0,0.16666649999999805,16.333317,16.4999835
-1.0,77.0,92.0,0.1666665000000016,16.4999835,16.66665
-1.0,61.0,84.0,0.1666665000000016,16.66665,16.833316500000002
-1.0,82.0,77.0,0.16666649999999805,16.833316500000002,16.999983
-1.0,74.0,90.0,0.33333299999999966,16.66665,16.999983
-1.0,56.0,92.0,0.1666665000000016,16.999983,17.166649500000002
-1.0,72.0,117.0,0.16666649999999805,17.166649500000002,17.333316
-1.0,61.0,83.0,0.1666665000000016,17.333316,17.4999825
-1.0,82.0,83.0,0.16666649999999805,17.4999825,17.666649
-1.0,74.0,99.0,0.33333299999999966,17.333316,17.666649
-1.0,55.0,81.0,0.1666665000000016,17.666649,17.8333155
-1.0,77.0,92.0,0.16666649999999805,17.8333155,17.999982
-1.0,61.0,87.0,0.1666665000000016,17.999982,18.1666485
-1.0,82.0,57.0,0.1666665000000016,18.1666485,18.333315000000002
-1.0,74.0,97.0,0.3333330000000032,17.999982,18.333315000000002
-1.0,56.0,92.0,0.16666649999999805,18.333315000000002,18.4999815
-1.0,72.0,109.0,0.1666665000000016,18.4999815,18.666648000000002
-1.0,44.0,115.0,0.16666649999999805,18.666648000000002,18.8333145
-1.0,82.0,83.0,0.1666665000000016,18.8333145,18.999981000000002
-1.0,74.0,96.0,0.33333299999999966,18.666648000000002,18.999981000000002
-1.0,55.0,81.0,0.16666649999999805,18.999981000000002,19.1666475
-1.0,77.0,92.0,0.1666665000000016,19.1666475,19.333314
-1.0,61.0,87.0,0.16666649999999805,19.333314,19.4999805
-1.0,82.0,57.0,0.1666665000000016,19.4999805,19.666647
-1.0,74.0,97.0,0.33333299999999966,19.333314,19.666647
