instrumento,nota,volumen,dura,empieza,termina
-1.0,76,127,0.2803740000000001,1.121496,1.4018700000000002
-1.0,76,127,0.2803739999999999,1.6822440000000003,1.9626180000000002
-1.0,76,127,0.14018700000000006,2.242992,2.383179
-1.0,76,127,0.2803740000000001,2.523366,2.8037400000000003
-1.0,76,127,0.2803740000000001,2.8037400000000003,3.0841140000000005
-1.0,76,127,0.2803740000000001,3.0841140000000005,3.3644880000000006
-1.0,63,123,0.15332953124999993,3.3644880000000006,3.5178175312500004
-1.0,57,116,0.07710285000000035,5.607480000000001,5.684582850000001
-1.0,60,117,0.043808437500000075,5.747667000000001,5.791475437500001
-1.0,52,105,0.059141390625000234,5.887854000000001,5.946995390625001
-1.0,60,127,0.058411249999999804,6.028041000000001,6.086452250000001
-1.0,57,113,0.06834116249999997,6.168228000000001,6.236569162500001
-1.0,62,127,0.37967312500000006,5.887854000000001,6.267527125000001
-1.0,52,113,0.0642523749999997,6.308415000000001,6.372667375000001
-1.0,62,127,0.06717293749999964,6.448602000000001,6.515774937500001
-1.0,52,108,0.06133181249999975,6.588789000000001,6.650120812500001
-1.0,39,104,0.05549068749999986,6.728976000000001,6.784466687500001
-1.0,63,127,0.21028049999999965,6.588789000000001,6.799069500000001
-1.0,68,121,0.0769081458333331,6.728976,6.805884145833334
-1.0,60,127,0.06717293749999964,6.869163000000001,6.936335937500001
-1.0,52,103,0.049649562499999966,7.009350000000001,7.058999562500001
-1.0,52,109,0.06571265624999967,7.149537000000001,7.215249656250001
-1.0,68,127,0.0803154687499994,7.289724000000001,7.370039468750001
-1.0,62,127,0.37383200000000016,7.009350000000001,7.3831820000000015
-1.0,52,111,0.06571265624999967,7.4299110000000015,7.495623656250001
-1.0,62,127,0.06571265625000056,7.570098000000001,7.635810656250001
-1.0,52,106,0.05622082812500029,7.710285000000001,7.766505828125001
-1.0,39,97,0.0554906875000003,7.850472000000001,7.905962687500001
-1.0,63,127,0.21320106250000048,7.710285000000001,7.923486062500001
-1.0,68,119,0.07982870833333362,7.850472000000001,7.930300708333334
-1.0,60,127,0.07009350000000047,7.990659000000001,8.060752500000001
-1.0,52,105,0.06206195312499885,8.130846000000002,8.192907953125001
-1.0,60,127,0.07593462500000037,8.271033000000001,8.346967625000001
-1.0,57,107,0.061331812499999215,8.411220000000002,8.4725518125
-1.0,62,127,0.39135537499999984,8.130846000000002,8.522201375000002
-1.0,52,106,0.06644279687500054,8.551407000000001,8.617849796875001
-1.0,62,127,0.06425237499999881,8.691594000000002,8.755846375
-1.0,52,105,0.051839984374999926,8.831781000000001,8.883620984375002
-1.0,57,110,0.06834116250000051,8.971968,9.040309162500002
-1.0,63,127,0.23364499999999921,8.831781000000001,9.065426
-1.0,60,127,0.06717293750000053,9.112155000000001,9.179327937500002
-1.0,54,108,0.06542060000000056,9.252342,9.317762600000002
-1.0,54,113,0.06775705000000017,9.392529000000001,9.460286050000002
-1.0,66,127,0.08080222916666695,9.532716,9.613518229166667
-1.0,52,106,0.0642523749999997,9.672903000000002,9.737155375
-1.0,62,127,0.06717293750000053,9.81309,9.880262937500001
-1.0,54,114,0.06191592499999956,9.953277000000002,10.015192925000001
-1.0,57,116,0.07710285000000035,10.093464,10.170566850000002
-1.0,60,117,0.04380843749999919,10.233651000000002,10.277459437500001
-1.0,52,105,0.05914139062500068,10.373838000000001,10.432979390625002
-1.0,60,127,0.058411249999998915,10.514025000000002,10.57243625
-1.0,57,113,0.06834116250000051,10.654212000000001,10.722553162500002
-1.0,62,127,0.37967312500000006,10.373838000000001,10.753511125000001
-1.0,52,113,0.06425237499999881,10.794399000000002,10.858651375
-1.0,62,127,0.06717293750000053,10.934586000000001,11.001758937500002
-1.0,52,108,0.06133181249999886,11.074773000000002,11.136104812500001
-1.0,39,104,0.055490687500000746,11.214960000000001,11.270450687500002
-1.0,63,127,0.21028049999999965,11.074773000000002,11.285053500000002
-1.0,68,121,0.07690814583333368,11.21496,11.291868145833334
-1.0,60,127,0.06717293749999875,11.355147000000002,11.422319937500001
-1.0,52,103,0.049649562500000854,11.495334000000001,11.544983562500002
-1.0,52,109,0.06571265624999878,11.635521000000002,11.70123365625
-1.0,68,127,0.08031546875000029,11.775708000000002,11.856023468750003
-1.0,62,127,0.37383200000000016,11.495334000000001,11.869166000000002
-1.0,52,111,0.06571265624999878,11.915895000000003,11.981607656250002
-1.0,62,127,0.06571265625000056,12.056082000000002,12.121794656250003
-1.0,52,106,0.05622082812500073,12.196269000000001,12.252489828125002
-1.0,39,97,0.05549068749999986,12.336456000000002,12.391946687500003
-1.0,63,127,0.21320106250000137,12.196269000000001,12.409470062500002
-1.0,68,119,0.07982870833333362,12.336456000000004,12.416284708333338
-1.0,60,127,0.07009350000000047,12.476643000000001,12.546736500000002
-1.0,52,105,0.06206195312500018,12.616830000000002,12.678891953125003
-1.0,60,127,0.07593462500000037,12.757017000000001,12.832951625000002
-1.0,57,107,0.06133181249999957,12.897204000000002,12.958535812500001
-1.0,62,127,0.39135537499999984,12.616830000000002,13.008185375000002
-1.0,52,106,0.06644279687500054,13.037391000000001,13.103833796875001
-1.0,62,127,0.0642523749999997,13.177578000000002,13.241830375000003
-1.0,54,109,0.06950938750000084,13.317765000000003,13.387274387500003
-1.0,58,117,0.04439254999999918,13.457952000000002,13.502344550000002
-1.0,56,114,0.0525701250000005,13.598139000000002,13.650709125000002
-1.0,56,120,0.065225895833333,13.738326000000002,13.803551895833335
-1.0,56,120,0.06668617708333269,14.0187,14.085386177083333
-1.0,56,117,0.0700934999999993,14.299074000000003,14.369167500000001
-1.0,56,122,0.06717293749999904,14.579448000000001,14.6466209375
-1.0,65,112,0.0700934999999987,15.443934500000003,15.514028000000001
-1.0,62,127,0.37967312500000006,15.981318000000002,16.360991125
-1.0,63,127,0.06717293750000053,16.542066000000002,16.609238937500002
-1.0,63,127,0.21028049999999965,16.682253000000003,16.892533500000003
-1.0,62,127,0.37383200000000016,17.102814000000002,17.476646000000002
-1.0,63,127,0.06133181250000064,17.663562000000002,17.724893812500003
-1.0,63,127,0.21320106249999782,17.803749000000003,18.0169500625
-1.0,62,127,0.39135537499999984,18.224310000000003,18.615665375000003
-1.0,64,127,0.055490687500000746,18.785058000000003,18.840548687500004
-1.0,63,127,0.1401869999999974,18.925245000000004,19.065432
-1.0,56,122,0.0671729375000023,19.065432,19.132604937500005
-1.0,65,112,0.0700934999999987,19.929918500000003,20.000012
-1.0,62,127,0.37967312500000006,20.467302000000004,20.846975125000004
-1.0,63,127,0.06717293750000053,21.028050000000004,21.095222937500004
-1.0,63,127,0.2102805000000032,21.168237,21.378517500000005
-1.0,62,127,0.37383200000000016,21.588798000000004,21.962630000000004
-1.0,63,127,0.061331812499997085,22.149546000000004,22.2108778125
-1.0,63,127,0.21320106250000137,22.289733000000002,22.502934062500003
-1.0,62,127,0.39135537499999984,22.710294000000005,23.101649375000004
-1.0,64,127,0.05549068749999719,23.271042000000005,23.326532687500002
-1.0,63,127,0.14018700000000095,23.411229000000002,23.551416000000003
-1.0,63,127,0.07593462499999859,23.551416000000003,23.627350625000002
-1.0,63,127,0.09637856249999821,23.831790000000005,23.928168562500005
-1.0,63,127,0.09491828124999913,24.112164000000003,24.207082281250003
-1.0,63,127,0.09637856249999999,24.392538000000002,24.488916562500002
-1.0,63,127,0.11682250000000138,24.672912000000004,24.789734500000005
-1.0,63,127,0.08761687500000193,25.093473000000003,25.181089875000005
-1.0,64,127,0.0846963125000002,25.514034000000002,25.598730312500003
-1.0,62,127,0.0846963125000002,26.074782000000003,26.159478312500003
-1.0,62,127,0.08761687499999837,26.355156000000004,26.442772875000003
-1.0,64,127,0.07885518750000031,26.635530000000003,26.714385187500003
-1.0,63,127,0.07593462499999859,26.915904000000005,26.991838625000003
-1.0,63,127,0.07885518750000031,27.336465000000004,27.415320187500004
-1.0,64,127,0.07593462500000214,27.757026000000003,27.832960625000005
-1.0,62,127,0.07593462500000214,28.317774000000004,28.393708625000006
-1.0,62,127,0.0905374375000001,28.598148000000005,28.688685437500006
-1.0,64,127,0.07593462499999859,28.878522000000004,28.954456625000002
-1.0,63,127,0.08177574999999848,29.158896000000006,29.240671750000004
-1.0,63,127,0.09345799999999826,29.579457000000005,29.672915000000003
-1.0,64,127,0.09345799999999826,30.000018000000004,30.093476000000003
-1.0,62,127,0.09345799999999826,30.560766000000005,30.654224000000003
-1.0,62,127,0.0905374375000001,30.981327000000004,31.071864437500004
-1.0,64,127,0.08761687499999837,31.121514000000005,31.209130875000003
-1.0,63,127,0.08761687500000193,31.401888000000003,31.489504875000005
-1.0,63,127,0.0846963125000002,31.822449000000006,31.907145312500006
-1.0,64,127,0.08177574999999848,32.243010000000005,32.324785750000004
-1.0,62,127,0.09053743750000365,32.803758,32.894295437500006
-1.0,62,127,0.08177574999999848,33.084132000000004,33.16590775
-1.0,64,127,0.07301406250000042,33.224319,33.2973330625
-1.0,64,127,0.0700934999999987,33.364506000000006,33.434599500000004
-1.0,62,127,0.3796731250000036,33.925254,34.304927125000006
-1.0,63,127,0.06717293749999698,34.486002000000006,34.5531749375
-1.0,63,127,0.2102805000000032,34.626189000000004,34.83646950000001
-1.0,62,127,0.37383200000000016,35.04675,35.420582
-1.0,63,127,0.06133181250000064,35.60749800000001,35.66882981250001
-1.0,63,127,0.21320106249999782,35.747685000000004,35.9608860625
-1.0,62,127,0.3796731250000036,36.168246,36.54791912500001
-1.0,63,127,0.06717293749999698,36.72899400000001,36.796166937500004
-1.0,63,127,0.2102805000000032,36.869181000000005,37.07946150000001
-1.0,62,127,0.37383200000000016,37.289742000000004,37.663574000000004
-1.0,63,127,0.06133181250000064,37.85049000000001,37.91182181250001
-1.0,63,127,0.1401869999999974,37.990677000000005,38.130864
-1.0,63,127,0.14456784374999998,38.130864,38.27543184375
-1.0,63,127,0.22196274999999588,38.55142500000001,38.773387750000005
-1.0,76,127,0.10221968750000343,39.532734000000005,39.63495368750001
-1.0,76,127,0.11682249999999783,39.81310800000001,39.929930500000005
-1.0,65,114,0.09345800000000537,40.794417,40.88787500000001
-1.0,65,114,0.05549068749999719,41.21497800000001,41.270468687500006
-1.0,62,127,0.3796731250000036,41.775726000000006,42.15539912500001
-1.0,63,127,0.06717293750000408,42.336474,42.40364693750001
-1.0,63,127,0.2102804999999961,42.47666100000001,42.6869415
-1.0,62,127,0.37383200000000016,42.897222000000006,43.27105400000001
-1.0,63,127,0.06133181250000064,43.45797,43.519301812500004
-1.0,63,127,0.21320106249999782,43.59815700000001,43.811358062500005
-1.0,62,127,0.3796731249999965,44.01871800000001,44.398391125
-1.0,63,127,0.06717293750000408,44.579466000000004,44.64663893750001
-1.0,63,127,0.2102804999999961,44.71965300000001,44.929933500000004
-1.0,62,127,0.37383200000000016,45.14021400000001,45.51404600000001
-1.0,63,127,0.06133181250000064,45.700962000000004,45.762293812500005
-1.0,63,127,0.1401869999999974,45.84114900000001,45.981336000000006
-1.0,63,123,0.13361573437499885,45.981336000000006,46.114951734375005
-1.0,76,127,0.10221968749999633,47.38320600000001,47.485425687500005
-1.0,65,114,0.09345799999999826,47.523393000000006,47.616851000000004
-1.0,76,127,0.11682249999999783,47.66358000000001,47.78040250000001
-1.0,65,114,0.0554906875000043,47.943954000000005,47.99944468750001
-1.0,62,127,0.3796731249999965,48.50470200000001,48.884375125000005
-1.0,63,127,0.06717293750000408,49.065450000000006,49.13262293750001
-1.0,63,127,0.2102804999999961,49.20563700000001,49.415917500000006
-1.0,62,127,0.37383200000000016,49.62619800000001,50.00003000000001
-1.0,63,127,0.06133181250000064,50.186946000000006,50.24827781250001
-1.0,63,127,0.21320106249999782,50.32713300000001,50.54033406250001
-1.0,62,127,0.3796731249999965,50.74769400000001,51.127367125000006
