Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Trombone,57,63,D#4,64,0.16666619999999988,14.2875674125,14.4542336125
Trombone,57,60,C4,90,0.729164625000001,14.473909483333333,15.203074108333334
Trombone,57,60,C4,64,0.1666661999999981,16.519042645833334,16.685708845833332
Trombone,57,62,D4,90,0.7291646249999957,16.714643950000003,17.443808575
Trombone,57,63,D#4,64,0.1666661999999981,18.731999412500002,18.8986656125
Trombone,57,60,C4,90,0.7291646249999957,18.918341483333336,19.64750610833333
Trombone,57,60,C4,64,0.16666619999999455,20.963474645833337,21.13014084583333
Trombone,57,62,D4,90,0.7291646249999957,21.159075950000002,21.888240574999998
Trombone,57,63,D#4,64,0.16666620000000165,23.1764314125,23.343097612500003
Trombone,57,60,C4,90,0.7291646249999957,23.362773483333335,24.09193810833333
Trombone,57,60,C4,64,0.16666620000000165,25.407906645833336,25.574572845833337
Trombone,57,62,D4,90,0.7291646250000028,25.60350795,26.332672575000004
Trombone,57,63,D#4,64,0.16666620000000165,33.1764034125,33.3430696125
Trombone,57,60,C4,90,0.7291646250000028,33.362745483333335,34.09191010833334
Trombone,57,60,C4,64,0.16666620000000165,35.407878645833335,35.57454484583334
Trombone,57,62,D4,90,0.7291646250000028,35.60347995,36.332644575
Trombone,57,63,D#4,64,0.16666620000000165,37.6208354125,37.7875016125
Trombone,57,60,C4,90,0.7291646250000028,37.807177483333334,38.536342108333336
Trombone,57,60,C4,64,0.16666620000000165,39.852310645833334,40.018976845833336
Trombone,57,62,D4,90,0.7291646250000028,40.04791195,40.777076575
Trombone,57,63,D#4,64,0.16666619999999455,42.065267412500006,42.2319336125
Trombone,57,60,C4,90,0.7291646250000028,42.24235025,42.971514875000004
Trombone,57,60,C4,64,0.16666620000000165,44.29674264583333,44.463408845833335
Trombone,57,62,D4,90,0.7291646249999957,44.492343950000006,45.221508575
Trombone,57,63,D#4,64,0.16666619999999455,46.509699412500005,46.6763656125
Trombone,57,60,C4,90,0.7291646249999957,46.69604148333334,47.425206108333334
Trombone,57,60,C4,64,0.16666619999999455,48.74117464583334,48.907840845833334
Trombone,57,62,D4,90,0.7291646249999957,48.936775950000005,49.665940575
Trombone,57,63,D#4,64,0.16666620000000165,50.954131412500004,51.120797612500006
Trombone,57,60,C4,90,0.7291646249999957,51.14047348333334,51.86963810833333
Trombone,57,60,C4,64,0.16666619999999455,53.18560664583334,53.35227284583333
Trombone,57,62,D4,90,0.7291646249999957,53.381207950000004,54.110372575
Trombone,57,63,D#4,64,0.16666620000000165,55.3985634125,55.565229612500005
Trombone,57,60,C4,90,0.7291646250000028,55.58490548333334,56.31407010833334
Trombone,57,60,C4,64,0.16666620000000165,57.63003864583334,57.79670484583334
Trombone,57,62,D4,90,0.7291646250000028,57.82563995,58.554804575000006
Trombone,57,63,D#4,64,0.16666620000000876,77.6207234125,77.78738961250001
Trombone,57,60,C4,90,0.7291646250000099,77.80706548333333,78.53623010833334
Trombone,57,60,C4,64,0.16666619999999455,79.85219864583334,80.01886484583333
Trombone,57,62,D4,90,0.7291646250000099,80.04779995,80.77696457500001
Trombone,57,63,D#4,64,0.16666619999999455,82.07441464583334,82.24108084583334
Trombone,57,60,C4,90,0.7291646249999957,82.25149748333334,82.98066210833333
Trombone,57,60,C4,64,0.16666620000000876,84.29663064583333,84.46329684583334
Trombone,57,62,D4,90,0.7291646249999957,84.49223195,85.221396575
Trombone,57,63,D#4,64,0.16666619999999455,86.50958741250001,86.6762536125
Trombone,57,60,C4,90,0.7291646250000099,86.69592948333333,87.42509410833334
Trombone,57,60,C4,64,0.16666619999999455,88.74106264583334,88.90772884583333
Trombone,57,62,D4,90,0.7291646249999957,88.93666395000001,89.665828575
Trombone,57,63,D#4,64,0.16666619999999455,90.9540194125,91.1206856125
Trombone,57,60,C4,90,0.7291646249999957,91.14036148333334,91.86952610833333
Trombone,57,60,C4,64,0.16666620000000876,93.18549464583333,93.35216084583334
Trombone,57,62,D4,90,0.7291646249999957,93.38109595,94.110260575
Trombone,57,63,D#4,64,0.16666619999999455,95.39845141250001,95.5651176125
Trombone,57,60,C4,90,0.7291646249999957,95.58479348333334,96.31395810833334
Trombone,57,60,C4,64,0.16666619999999455,97.63918587916667,97.80585207916667
Trombone,57,62,D4,90,0.7291646250000099,97.83478718333333,98.56395180833334
Trombone,57,63,D#4,64,0.16666619999999455,99.85214264583334,100.01880884583333
Trombone,57,60,C4,90,0.7291646250000099,100.02922548333333,100.75839010833334
Trombone,57,60,C4,64,0.16666619999999455,102.07435864583334,102.24102484583334
Trombone,57,62,D4,90,0.7291646250000099,102.26995995,102.99912457500001
Trombone,57,60,C4,90,0.7407386666666866,294.4731254833333,295.21386415
Trombone,57,60,C4,100,0.6828684583333597,298.8481132333333,299.5309816916667
Trombone,57,60,C4,88,0.46296166666667204,303.3388414,303.80180306666665
Trombone,57,60,C4,90,0.08101829166662355,308.998547775,309.07956606666664
Acoustic Grand Piano,0,58,A#3,126,0.05787020833333312,4.578103858333334,4.635974066666667
Acoustic Grand Piano,0,70,A#4,126,0.05787020833333312,4.578103858333334,4.635974066666667
Acoustic Grand Piano,0,70,A#4,126,0.05787020833333312,4.578103858333334,4.635974066666667
