Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Bass,32,36,C2,97,0.47297308333333365,3.243244,3.7162170833333334
Acoustic Bass,32,43,G2,118,0.5405406666666663,3.85135225,4.3918929166666665
Acoustic Bass,32,38,D2,111,0.9121623750000003,4.4594605,5.371622875
Acoustic Bass,32,43,G2,113,0.5405406666666668,5.47297425,6.013514916666667
Acoustic Bass,32,43,G2,116,0.16891895833333326,6.0810825,6.250001458333333
Acoustic Bass,32,38,D2,105,0.5067568750000007,6.486488,6.993244875
Acoustic Bass,32,43,G2,118,0.8108109999999993,7.09459625,7.90540725
Acoustic Bass,32,36,C2,118,0.7094596250000009,7.90540725,8.614866875
Acoustic Bass,32,41,F2,116,0.47297308333333277,8.71621825,9.189191333333333
Acoustic Bass,32,41,F2,113,0.16891895833333415,9.3243265,9.493245458333334
Acoustic Bass,32,36,C2,111,0.47297308333333277,9.729732,10.202705083333333
Acoustic Bass,32,43,G2,111,0.8445947916666672,10.33784025,11.182435041666666
Acoustic Bass,32,38,D2,113,0.7094596249999991,11.14865125,11.858110875
Acoustic Bass,32,43,G2,116,0.5405406666666668,11.95946225,12.500002916666666
Acoustic Bass,32,43,G2,116,0.13513516666666625,12.5675705,12.702705666666667
Acoustic Bass,32,38,D2,111,0.47297308333333454,12.972976,13.445949083333334
Acoustic Bass,32,43,G2,111,0.743243416666667,13.58108425,14.324327666666667
Acoustic Bass,32,36,C2,97,0.7094596250000009,14.39189525,15.101354875
Acoustic Bass,32,41,F2,113,0.40540550000000053,15.20270625,15.60811175
Acoustic Bass,32,41,F2,111,0.16891895833333415,15.8108145,15.979733458333333
Acoustic Bass,32,36,C2,97,0.47297308333333277,16.21622,16.689193083333333
Acoustic Bass,32,43,G2,118,0.540540666666665,16.82432825,17.364868916666666
Acoustic Bass,32,38,D2,111,0.9121623749999976,17.4324365,18.344598875
Acoustic Bass,32,43,G2,113,0.5405406666666686,18.44595025,18.986490916666668
Acoustic Bass,32,43,G2,116,0.16891895833333237,19.0540585,19.222977458333332
Acoustic Bass,32,38,D2,105,0.5067568750000007,19.459464,19.966220875
Acoustic Bass,32,43,G2,118,0.8108109999999975,20.06757225,20.87838325
Acoustic Bass,32,36,C2,118,0.7094596250000009,20.87838325,21.587842875
Acoustic Bass,32,41,F2,116,0.47297308333333277,21.68919425,22.162167333333333
Acoustic Bass,32,41,F2,113,0.16891895833333237,22.2973025,22.466221458333333
Acoustic Bass,32,36,C2,111,0.47297308333333277,22.702708,23.175681083333334
Acoustic Bass,32,43,G2,111,0.844594791666669,23.31081625,24.155411041666667
Acoustic Bass,32,38,D2,113,0.7094596250000009,24.12162725,24.831086875
Acoustic Bass,32,43,G2,116,0.540540666666665,24.93243825,25.472978916666666
Acoustic Bass,32,43,G2,116,0.13513516666666447,25.5405465,25.675681666666666
Acoustic Bass,32,38,D2,111,0.4729730833333363,25.945952,26.418925083333335
Acoustic Bass,32,43,G2,111,0.7432434166666688,26.55406025,27.297303666666668
Acoustic Bass,32,36,C2,97,0.7094596250000009,27.36487125,28.074330875
Acoustic Bass,32,41,F2,113,0.40540550000000053,28.17568225,28.581087750000002
Acoustic Bass,32,41,F2,111,0.16891895833333592,28.7837905,28.952709458333334
Acoustic Bass,32,36,C2,127,0.6418920416666687,29.189196,29.831088041666668
Acoustic Bass,32,34,A#1,127,0.7770272083333332,29.79730425,30.574331458333333
Acoustic Bass,32,33,A1,127,0.6418920416666651,30.60811525,31.250007291666666
Acoustic Bass,32,33,A1,127,0.20270275000000026,31.41892625,31.621629
