instrumento,nota,volumen,dura,empieza,termina
-1.0,31.0,84.0,0.08333325,0.0,0.08333325
-1.0,-1.0,0.0,0.58333275,0.08333325,0.666666
-1.0,31.0,76.0,0.08333325000000003,0.666666,0.74999925
-1.0,-1.0,0.0,0.58333275,0.74999925,1.333332
-1.0,31.0,80.0,0.08333325000000014,1.333332,1.41666525
-1.0,-1.0,0.0,0.24999974999999997,1.41666525,1.666665
-1.0,31.0,80.0,0.08333324999999991,1.666665,1.74999825
-1.0,-1.0,0.0,0.2499997500000002,1.74999825,1.9999980000000002
-1.0,31.0,80.0,0.08333324999999991,1.9999980000000002,2.08333125
-1.0,-1.0,0.0,0.2499997500000002,2.08333125,2.3333310000000003
-1.0,31.0,89.0,0.08333324999999991,2.3333310000000003,2.41666425
-1.0,-1.0,0.0,0.24999974999999974,2.41666425,2.666664
-1.0,53.0,82.0,0.08333325000000036,2.666664,2.7499972500000003
-1.0,51.0,67.0,0.08333324999999991,2.6777751000000003,2.76110835
-1.0,-1.0,0.0,0.2388886499999998,2.76110835,2.999997
-1.0,64.0,85.0,0.08333324999999991,2.999997,3.08333025
-1.0,-1.0,0.0,0.2499997500000002,3.08333025,3.33333
-1.0,65.0,87.0,0.08333324999999991,3.33333,3.41666325
-1.0,-1.0,0.0,0.2499997500000002,3.41666325,3.6666630000000002
-1.0,64.0,96.0,0.08333324999999991,3.6666630000000002,3.74999625
-1.0,-1.0,0.0,0.24999975000000063,3.74999625,3.9999960000000008
-1.0,56.0,91.0,0.08333324999999991,3.9999960000000008,4.08332925
-1.0,-1.0,0.0,0.24999974999999974,4.08332925,4.333329
-1.0,64.0,87.0,0.08333324999999991,4.333329,4.41666225
-1.0,-1.0,0.0,0.08333324999999991,4.41666225,4.4999955
-1.0,68.0,65.0,0.0833332500000008,4.4999955,4.583328750000001
-1.0,-1.0,0.0,0.08333324999999991,4.583328750000001,4.6666620000000005
-1.0,66.0,92.0,0.08333324999999991,4.6666620000000005,4.7499952500000004
-1.0,-1.0,0.0,0.08333324999999991,4.7499952500000004,4.8333285
-1.0,68.0,65.0,0.08333324999999991,4.8333285,4.91666175
-1.0,-1.0,0.0,0.08333324999999991,4.91666175,4.999995
-1.0,62.0,115.0,0.08333324999999991,4.999995,5.08332825
-1.0,-1.0,0.0,0.08333324999999991,5.08332825,5.1666615
-1.0,68.0,65.0,0.08333324999999991,5.1666615,5.24999475
-1.0,-1.0,0.0,0.08333324999999991,5.24999475,5.333328
-1.0,53.0,82.0,0.0833332500000008,5.333328,5.416661250000001
