Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Bright Acoustic Piano,1,72,C5,100,0.07222214999999821,21.669422775,21.741644925
Bright Acoustic Piano,1,65,F4,93,0.07222215000000176,21.67220055,21.7444227
Bright Acoustic Piano,1,68,G#4,103,0.08055547499999705,21.666645000000003,21.747200475
Bright Acoustic Piano,1,53,F3,63,0.4777772999999996,21.374978625,21.852755925
Bright Acoustic Piano,1,60,C4,106,0.1611109500000012,22.341644325,22.502755275000002
Bright Acoustic Piano,1,56,G#3,95,0.5055550499999981,21.999978000000002,22.50553305
Bright Acoustic Piano,1,61,C#4,95,0.061111050000000944,23.030532525,23.091643575000003
Bright Acoustic Piano,1,65,F4,108,0.07222214999999821,23.030532525,23.102754675
Bright Acoustic Piano,1,68,G#4,103,0.0805554750000006,23.02775475,23.108310225
Bright Acoustic Piano,1,49,C#3,91,0.4166662499999987,22.722199500000002,23.13886575
Bright Acoustic Piano,1,53,F3,63,0.4805550750000016,23.341643325,23.8221984
Bright Acoustic Piano,1,56,G#3,93,0.20833312499999934,23.647198575,23.8555317
Bright Acoustic Piano,1,61,C#4,93,0.061111050000000944,24.333309,24.39442005
Bright Acoustic Piano,1,65,F4,106,0.061111050000000944,24.336086775000002,24.397197825000003
Bright Acoustic Piano,1,68,G#4,100,0.06666660000000135,24.333309,24.3999756
Bright Acoustic Piano,1,49,C#3,84,0.4444440000000007,24.00553155,24.44997555
Bright Acoustic Piano,1,53,F3,64,0.3972218250000026,24.652753125,25.049974950000003
Bright Acoustic Piano,1,56,G#3,95,0.12777764999999874,24.994419450000002,25.1221971
Bright Acoustic Piano,1,75,D#5,103,0.06111104999999739,25.666641000000002,25.72775205
Bright Acoustic Piano,1,68,G#4,93,0.06666660000000135,25.663863225,25.730529825
Bright Acoustic Piano,1,72,C5,106,0.06388882499999937,25.666641000000002,25.730529825
Bright Acoustic Piano,1,56,G#3,74,0.48333285000000004,25.352752425000002,25.836085275000002
Bright Acoustic Piano,1,60,C4,62,0.41944402500000066,25.9777518,26.397195825
Bright Acoustic Piano,1,63,D#4,100,0.1666665000000016,26.302751475,26.469417975000002
Bright Acoustic Piano,1,68,G#4,103,0.06944437499999978,27.013861875,27.08330625
Bright Acoustic Piano,1,72,C5,100,0.06944437499999978,27.013861875,27.08330625
Bright Acoustic Piano,1,65,F4,84,0.07222215000000176,27.013861875,27.086084025
Bright Acoustic Piano,1,53,F3,95,0.4777772999999996,26.677751100000002,27.1555284
Bright Acoustic Piano,1,56,G#3,93,0.4444440000000007,27.32775045,27.77219445
Bright Acoustic Piano,1,60,C4,100,0.18055537500000085,27.658305675,27.838861050000002
Bright Acoustic Piano,1,61,C#4,100,0.0666665999999978,28.333305000000003,28.3999716
Bright Acoustic Piano,1,65,F4,106,0.061111050000000944,28.33886055,28.3999716
Bright Acoustic Piano,1,68,G#4,100,0.06944437499999978,28.333305000000003,28.402749375000003
Bright Acoustic Piano,1,49,C#3,86,0.44722177499999916,28.036083075,28.48330485
Bright Acoustic Piano,1,53,F3,74,0.41944402500000066,28.661082450000002,29.080526475000003
Bright Acoustic Piano,1,56,G#3,98,0.20277757499999893,28.986082125000003,29.188859700000002
Bright Acoustic Piano,1,61,C#4,93,0.06388882499999937,29.66108145,29.724970275
Bright Acoustic Piano,1,65,F4,104,0.06111104999999739,29.663859225000003,29.724970275
Bright Acoustic Piano,1,68,G#4,98,0.07222215000000176,29.66108145,29.733303600000003
Bright Acoustic Piano,1,49,C#3,91,0.38888849999999664,29.349970650000003,29.73885915
Bright Acoustic Piano,1,53,F3,59,0.4194440249999971,29.977747800000003,30.397191825
