Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Bass,32,36,C2,91,0.4491984,0.5160434,0.9652418
Acoustic Bass,32,39,D#2,111,0.47058880000000014,0.9973274,1.4679162000000001
Acoustic Bass,32,51,D#3,109,0.31283459999999996,1.4786114000000001,1.791446
Acoustic Bass,32,51,D#3,95,0.06951880000000021,1.9598954,2.0294142
Acoustic Bass,32,51,D#3,92,0.1711231999999998,2.2807514,2.4518746
Acoustic Bass,32,39,D#2,87,0.1711231999999998,2.4411794,2.6123026
Acoustic Bass,32,51,D#3,88,0.10160439999999982,2.6016074000000002,2.7032118
Acoustic Bass,32,51,D#3,84,0.08823539999999985,2.9224634000000003,3.0106988
Acoustic Bass,32,38,D2,93,0.4893054000000001,3.0828914,3.5721968
Acoustic Bass,32,50,D3,98,0.4251342,3.5641754,3.9893096
Acoustic Bass,32,45,A2,88,0.24866339999999987,4.0454594,4.2941228
Acoustic Bass,32,38,D2,85,0.47593639999999926,4.3663154,4.8422518
Acoustic Bass,32,50,D3,98,0.4010699999999998,4.8475994,5.2486694
Acoustic Bass,32,45,A2,75,0.26203239999999983,5.3288834000000005,5.5909158
Acoustic Bass,32,38,D2,90,0.43582939999999937,5.6497394000000005,6.0855688
Acoustic Bass,32,50,D3,97,0.37967960000000023,6.1310234,6.510703
Acoustic Bass,32,45,A2,75,0.2914442000000008,6.6123074,6.9037516000000005
Acoustic Bass,32,38,D2,91,0.3903748,6.9331634,7.3235382
Acoustic Bass,32,50,D3,102,0.4090914000000003,7.4144474,7.823538800000001
Acoustic Bass,32,45,A2,87,0.21123020000000015,7.8957314,8.1069616
Acoustic Bass,32,36,C2,96,0.1363637999999998,8.2165874,8.3529512
Acoustic Bass,32,38,D2,84,0.14973280000000067,8.3770154,8.5267482
Acoustic Bass,32,40,E2,80,0.16310179999999974,8.5374434,8.7005452
Acoustic Bass,32,41,F2,92,0.1577541999999994,8.6978714,8.8556256
Acoustic Bass,32,43,G2,88,0.16844940000000008,8.8582994,9.0267488
Acoustic Bass,32,47,B2,81,0.16844940000000008,9.0187274,9.1871768
Acoustic Bass,32,48,C3,93,0.1577541999999994,9.1791554,9.3369096
Acoustic Bass,32,36,C2,80,0.40107000000000426,56.9866994,57.3877694
Acoustic Bass,32,43,G2,81,0.4438507999999999,57.4679834,57.9118342
Acoustic Bass,32,36,C2,84,0.21657779999999605,57.949267400000004,58.1658452
Acoustic Bass,32,37,C#2,99,0.4304817999999955,58.2701234,58.7006052
Acoustic Bass,32,45,A2,85,0.37433200000000255,58.7514074,59.1257394
Acoustic Bass,32,40,E2,86,0.28074900000000014,59.2326914,59.5134404
Acoustic Bass,32,38,D2,82,0.4866316000000026,59.5535474,60.040179
Acoustic Bass,32,45,A2,77,0.4625673999999975,60.0348314,60.4973988
Acoustic Bass,32,38,D2,75,0.2513371999999947,60.516115400000004,60.7674526
Acoustic Bass,32,43,G2,83,0.4973267999999962,60.8369714,61.3342982
Acoustic Bass,32,38,D2,85,0.45187220000000394,61.3182554,61.7701276
Acoustic Bass,32,31,G1,89,0.2914442000000008,61.7995394,62.0909836
Acoustic Bass,32,38,D2,93,0.508022000000004,62.1203954,62.628417400000004
Acoustic Bass,32,45,A2,86,0.46791499999999786,62.6016794,63.0695944
Acoustic Bass,32,38,D2,85,0.2914441999999937,63.082963400000004,63.3744076
Acoustic Bass,32,43,G2,89,0.4705887999999945,63.4038194,63.8744082
Acoustic Bass,32,38,D2,85,0.44117700000000326,63.8851034,64.3262804
Acoustic Bass,32,31,G1,83,0.22727299999999673,64.36638740000001,64.5936604
Acoustic Bass,32,36,C2,90,0.4625673999999975,64.6872434,65.1498108
Acoustic Bass,32,43,G2,91,0.4491984000000002,65.1685274,65.6177258
Acoustic Bass,32,31,G1,82,0.2379681999999974,65.6498114,65.8877796
Acoustic Bass,32,36,C2,81,0.46791500000000497,65.9706674,66.4385824
Acoustic Bass,32,43,G2,80,0.39839620000000764,66.4519514,66.8503476
Acoustic Bass,32,43,G2,82,0.2780752000000035,66.9332354,67.2113106
Acoustic Bass,32,36,C2,86,0.46524119999999414,67.25409140000001,67.7193326
Acoustic Bass,32,43,G2,86,0.5775408000000084,67.7353754,68.3129162
Acoustic Bass,32,31,G1,88,0.2593585999999988,68.2166594,68.476018
Acoustic Bass,32,37,C#2,101,0.43850319999999954,68.5375154,68.9760186
Acoustic Bass,32,45,A2,90,0.4438507999999928,69.0187994,69.4626502
Acoustic Bass,32,40,E2,90,0.3288773999999961,69.50008340000001,69.8289608
Acoustic Bass,32,38,D2,89,0.4705888000000016,69.8209394,70.2915282
Acoustic Bass,32,45,A2,82,0.4705888000000016,70.3022234,70.7728122
Acoustic Bass,32,38,D2,77,0.2727275999999961,70.7835074,71.056235
Acoustic Bass,32,43,G2,80,0.47593640000000903,71.1043634,71.5802998
Acoustic Bass,32,38,D2,86,0.443850800000007,71.5856474,72.0294982
Acoustic Bass,32,31,G1,93,0.2780752000000035,72.0669314,72.3450066
Acoustic Bass,32,38,D2,93,0.5106957999999935,72.38778740000001,72.8984832
Acoustic Bass,32,45,A2,86,0.4973268000000104,72.8690714,73.3663982
Acoustic Bass,32,38,D2,84,0.31016080000000557,73.3503554,73.6605162
Acoustic Bass,32,43,G2,87,0.4572197999999901,73.6712114,74.1284312
Acoustic Bass,32,38,D2,80,0.5053482000000002,74.1524954,74.6578436
Acoustic Bass,32,31,G1,83,0.1951874000000089,74.6337794,74.8289668
Acoustic Bass,32,36,C2,91,0.46524119999999414,74.9546354,75.4198766
Acoustic Bass,32,40,E2,69,0.47861019999999144,75.4359194,75.9145296
Acoustic Bass,32,43,G2,127,0.6443857999999949,75.9172034,76.5615892
Acoustic Bass,32,36,C2,80,0.40107000000000426,76.2380594,76.6391294
Acoustic Bass,32,43,G2,81,0.443850800000007,76.7193434,77.1631942
Acoustic Bass,32,36,C2,84,0.21657779999999605,77.2006274,77.4172052
Acoustic Bass,32,36,C2,80,0.40106999999999005,77.52148340000001,77.9225534
Acoustic Bass,32,43,G2,81,0.443850800000007,78.0027674,78.4466182
Acoustic Bass,32,36,C2,84,0.21657779999999605,78.4840514,78.7006292
Acoustic Bass,32,37,C#2,99,0.4304817999999955,78.8049074,79.2353892
Acoustic Bass,32,45,A2,85,0.37433199999999545,79.2861914,79.6605234
Acoustic Bass,32,40,E2,86,0.28074900000000014,79.7674754,80.0482244
Acoustic Bass,32,38,D2,82,0.4866315999999955,80.0883314,80.574963
Acoustic Bass,32,45,A2,77,0.4625673999999975,80.5696154,81.0321828
Acoustic Bass,32,38,D2,75,0.2513371999999947,81.0508994,81.3022366
Acoustic Bass,32,43,G2,83,0.4973268000000104,81.3717554,81.86908220000001
Acoustic Bass,32,38,D2,85,0.45187219999999684,81.8530394,82.3049116
Acoustic Bass,32,31,G1,89,0.2914442000000008,82.3343234,82.6257676
Acoustic Bass,32,38,D2,93,0.5080220000000111,82.6551794,83.1632014
Acoustic Bass,32,45,A2,86,0.46791500000000497,83.1364634,83.6043784
Acoustic Bass,32,38,D2,85,0.2914442000000008,83.6177474,83.9091916
Acoustic Bass,32,43,G2,89,0.4705888000000016,83.9386034,84.4091922
Acoustic Bass,32,38,D2,85,0.44117699999999616,84.41988740000001,84.8610644
Acoustic Bass,32,31,G1,83,0.22727300000001094,84.9011714,85.1284444
Acoustic Bass,32,36,C2,90,0.4625673999999975,85.2220274,85.6845948
Acoustic Bass,32,43,G2,91,0.4491984000000002,85.7033114,86.1525098
Acoustic Bass,32,31,G1,82,0.2379681999999974,86.1845954,86.4225636
Acoustic Bass,32,36,C2,81,0.46791500000000497,86.5054514,86.9733664
Acoustic Bass,32,43,G2,80,0.39839620000000764,86.9867354,87.38513160000001
Acoustic Bass,32,43,G2,82,0.2780752000000035,87.4680194,87.7460946
Acoustic Bass,32,36,C2,86,0.46524120000000835,87.7888754,88.2541166
Acoustic Bass,32,43,G2,86,0.5775408000000084,88.2701594,88.8477002
Acoustic Bass,32,31,G1,88,0.2593585999999988,88.7514434,89.010802
Acoustic Bass,32,37,C#2,101,0.43850319999999954,89.0722994,89.5108026
Acoustic Bass,32,45,A2,90,0.4438507999999928,89.55358340000001,89.9974342
Acoustic Bass,32,40,E2,90,0.3288774000000103,90.0348674,90.3637448
Acoustic Bass,32,38,D2,89,0.4705888000000016,90.3557234,90.8263122
Acoustic Bass,32,45,A2,82,0.4705888000000016,90.8370074,91.3075962
Acoustic Bass,32,38,D2,77,0.2727275999999961,91.3182914,91.591019
Acoustic Bass,32,43,G2,80,0.47593640000000903,91.6391474,92.11508380000001
Acoustic Bass,32,38,D2,86,0.443850800000007,92.1204314,92.56428220000001
Acoustic Bass,32,31,G1,93,0.2780752000000035,92.6017154,92.8797906
Acoustic Bass,32,38,D2,93,0.5106958000000077,92.9225714,93.4332672
Acoustic Bass,32,45,A2,86,0.4973268000000104,93.4038554,93.90118220000001
Acoustic Bass,32,38,D2,84,0.31016080000000557,93.8851394,94.1953002
Acoustic Bass,32,43,G2,87,0.4572197999999901,94.2059954,94.6632152
Acoustic Bass,32,38,D2,80,0.5053482000000002,94.68727940000001,95.19262760000001
Acoustic Bass,32,31,G1,83,0.1951874000000089,95.1685634,95.3637508
Acoustic Bass,32,36,C2,91,0.46524119999999414,95.4894194,95.9546606
Acoustic Bass,32,40,E2,69,0.47861019999999144,95.9707034,96.4493136
Acoustic Bass,32,44,G#2,127,0.6443857999999949,96.45198740000001,97.0963732
Acoustic Bass,32,42,F#2,84,0.2914442000000008,97.0936994,97.3851436
Acoustic Bass,32,39,D#2,100,0.2754014000000069,97.4145554,97.6899568
Acoustic Bass,32,36,C2,106,0.2620323999999954,97.7354114,97.9974438
Acoustic Bass,32,37,C#2,80,0.40107000000000426,98.0562674,98.4573374
Acoustic Bass,32,44,G#2,81,0.443850800000007,98.5375514,98.9814022
Acoustic Bass,32,37,C#2,84,0.21657779999999605,99.0188354,99.2354132
Acoustic Bass,32,38,D2,99,0.4304817999999955,99.3396914,99.7701732
Acoustic Bass,32,46,A#2,85,0.37433199999999545,99.82097540000001,100.1953074
Acoustic Bass,32,41,F2,86,0.28074900000000014,100.3022594,100.5830084
Acoustic Bass,32,39,D#2,82,0.4866315999999955,100.6231154,101.109747
Acoustic Bass,32,46,A#2,77,0.4625673999999975,101.1043994,101.5669668
Acoustic Bass,32,39,D#2,75,0.2513371999999947,101.58568340000001,101.8370206
Acoustic Bass,32,44,G#2,83,0.4973267999999962,101.9065394,102.4038662
Acoustic Bass,32,39,D#2,85,0.45187219999999684,102.3878234,102.8396956
Acoustic Bass,32,32,G#1,89,0.2914442000000008,102.8691074,103.1605516
Acoustic Bass,32,39,D#2,93,0.5080220000000111,103.1899634,103.69798540000001
Acoustic Bass,32,46,A#2,86,0.46791500000000497,103.6712474,104.1391624
Acoustic Bass,32,39,D#2,85,0.2914442000000008,104.1525314,104.4439756
Acoustic Bass,32,44,G#2,89,0.4705888000000016,104.47338740000001,104.94397620000001
Acoustic Bass,32,39,D#2,85,0.44117700000001037,104.9546714,105.3958484
Acoustic Bass,32,32,G#1,83,0.22727300000001094,105.4359554,105.66322840000001
Acoustic Bass,32,37,C#2,90,0.4625673999999975,105.7568114,106.2193788
Acoustic Bass,32,44,G#2,91,0.4491984000000002,106.2380954,106.6872938
Acoustic Bass,32,32,G#1,82,0.2379681999999974,106.71937940000001,106.9573476
Acoustic Bass,32,38,D2,127,0.32085600000000625,107.0402354,107.3610914
Acoustic Bass,32,37,C#2,127,0.6417119999999983,107.3610914,108.0028034
Acoustic Bass,32,44,G#2,82,0.2780752000000035,108.0028034,108.28087860000001
Acoustic Bass,32,37,C#2,86,0.46524120000000835,108.3236594,108.7889006
Acoustic Bass,32,44,G#2,86,0.5775408000000084,108.8049434,109.38248420000001
Acoustic Bass,32,32,G#1,88,0.2593585999999988,109.2862274,109.545586
Acoustic Bass,32,38,D2,101,0.43850319999999954,109.60708340000001,110.04558660000001
Acoustic Bass,32,46,A#2,90,0.443850800000007,110.0883674,110.5322182
Acoustic Bass,32,41,F2,90,0.3288774000000103,110.5696514,110.89852880000001
Acoustic Bass,32,39,D#2,89,0.4705888000000016,110.8905074,111.3610962
Acoustic Bass,32,46,A#2,82,0.4705888000000016,111.3717914,111.84238020000001
Acoustic Bass,32,39,D#2,77,0.2727275999999961,111.85307540000001,112.125803
Acoustic Bass,32,44,G#2,80,0.4759363999999948,112.1739314,112.6498678
Acoustic Bass,32,39,D#2,86,0.4438507999999928,112.6552154,113.0990662
Acoustic Bass,32,32,G#1,93,0.2780752000000035,113.1364994,113.41457460000001
Acoustic Bass,32,39,D#2,93,0.5106958000000077,113.4573554,113.9680512
Acoustic Bass,32,46,A#2,86,0.4973267999999962,113.9386394,114.4359662
Acoustic Bass,32,39,D#2,84,0.31016080000000557,114.4199234,114.73008420000001
Acoustic Bass,32,44,G#2,87,0.4572197999999901,114.74077940000001,115.1979992
Acoustic Bass,32,39,D#2,80,0.5053482000000002,115.2220634,115.7274116
Acoustic Bass,32,32,G#1,83,0.1951874000000089,115.7033474,115.89853480000001
Acoustic Bass,32,37,C#2,99,0.3155083999999988,116.0348986,116.350407
Acoustic Bass,32,44,G#2,94,0.33155120000000693,116.323669,116.6552202
Acoustic Bass,32,46,A#2,85,0.34492019999999,116.62848220000001,116.9734024
Acoustic Bass,32,44,G#2,82,0.29679180000000827,116.9413168,117.2381086
Acoustic Bass,32,37,C#2,102,0.2486633999999981,117.286237,117.5349004
Acoustic Bass,32,37,C#2,80,0.40107000000000426,118.5910514,118.9921214
Acoustic Bass,32,44,G#2,81,0.443850800000007,119.0723354,119.5161862
Acoustic Bass,32,37,C#2,84,0.21657779999999605,119.5536194,119.7701972
Acoustic Bass,32,38,D2,99,0.4304817999999955,119.87447540000001,120.3049572
Acoustic Bass,32,46,A#2,85,0.37433200000000966,120.3557594,120.7300914
Acoustic Bass,32,41,F2,86,0.28074900000000014,120.8370434,121.1177924
Acoustic Bass,32,39,D#2,82,0.4866315999999955,121.1578994,121.644531
Acoustic Bass,32,46,A#2,77,0.4625673999999975,121.63918340000001,122.1017508
Acoustic Bass,32,39,D#2,75,0.2513372000000089,122.1204674,122.3718046
Acoustic Bass,32,44,G#2,83,0.4973267999999962,122.4413234,122.9386502
Acoustic Bass,32,39,D#2,85,0.45187219999999684,122.9226074,123.3744796
Acoustic Bass,32,32,G#1,89,0.2914442000000008,123.4038914,123.6953356
Acoustic Bass,32,39,D#2,93,0.5080220000000111,123.7247474,124.23276940000001
Acoustic Bass,32,46,A#2,86,0.46791500000000497,124.2060314,124.6739464
Acoustic Bass,32,39,D#2,85,0.2914442000000008,124.6873154,124.9787596
Acoustic Bass,32,44,G#2,89,0.4705887999999874,125.00817140000001,125.4787602
Acoustic Bass,32,39,D#2,85,0.44117700000001037,125.4894554,125.93063240000001
Acoustic Bass,32,32,G#1,83,0.22727299999999673,125.9707394,126.1980124
Acoustic Bass,32,37,C#2,90,0.4625673999999975,126.2915954,126.7541628
Acoustic Bass,32,44,G#2,91,0.4491984000000002,126.77287940000001,127.22207780000001
Acoustic Bass,32,32,G#1,82,0.23796820000001162,127.2541634,127.49213160000001
Acoustic Bass,32,38,D2,127,0.32085600000000625,127.5750194,127.89587540000001
Acoustic Bass,32,37,C#2,127,0.6417119999999983,127.89587540000001,128.5375874
Acoustic Bass,32,44,G#2,82,0.2780751999999893,128.5375874,128.8156626
Acoustic Bass,32,37,C#2,86,0.46524120000000835,128.8584434,129.3236846
Acoustic Bass,32,44,G#2,86,0.57754079999998,129.33972740000002,129.9172682
Acoustic Bass,32,32,G#1,88,0.259358600000013,129.8210114,130.08037000000002
Acoustic Bass,32,38,D2,101,0.43850320000001375,130.1418674,130.5803706
Acoustic Bass,32,46,A#2,90,0.44385079999997856,130.6231514,131.0670022
Acoustic Bass,32,41,F2,90,0.3288774000000103,131.1044354,131.4333128
Acoustic Bass,32,39,D#2,89,0.4705888000000016,131.4252914,131.8958802
Acoustic Bass,32,46,A#2,82,0.4705888000000016,131.9065754,132.3771642
Acoustic Bass,32,39,D#2,77,0.2727275999999961,132.3878594,132.660587
Acoustic Bass,32,44,G#2,80,0.47593640000002324,132.7087154,133.1846518
Acoustic Bass,32,39,D#2,86,0.443850800000007,133.1899994,133.6338502
Acoustic Bass,32,32,G#1,93,0.27807520000001773,133.6712834,133.9493586
Acoustic Bass,32,39,D#2,93,0.5106957999999793,133.9921394,134.5028352
Acoustic Bass,32,46,A#2,86,0.4973267999999962,134.4734234,134.9707502
Acoustic Bass,32,39,D#2,84,0.31016080000000557,134.9547074,135.2648682
Acoustic Bass,32,44,G#2,87,0.4572197999999901,135.2755634,135.7327832
Acoustic Bass,32,39,D#2,80,0.5053482000000145,135.7568474,136.2621956
Acoustic Bass,32,32,G#1,83,0.19518739999998047,136.23813140000001,136.4333188
Acoustic Bass,32,37,C#2,91,0.46524120000000835,136.5589874,137.02422860000001
Acoustic Bass,32,41,F2,69,0.47861020000001986,137.0402714,137.51888160000001
Acoustic Bass,32,45,A2,127,0.6443857999999807,137.5215554,138.1659412
Acoustic Bass,32,43,G2,84,0.2914442000000008,138.1632674,138.4547116
Acoustic Bass,32,40,E2,100,0.2754013999999927,138.48412340000002,138.7595248
Acoustic Bass,32,37,C#2,106,0.2620323999999812,138.8049794,139.0670118
Acoustic Bass,32,38,D2,80,0.40107000000000426,139.1258354,139.5269054
Acoustic Bass,32,45,A2,81,0.44385079999997856,139.60711940000002,140.0509702
Acoustic Bass,32,38,D2,84,0.21657780000001026,140.0884034,140.30498120000001
Acoustic Bass,32,39,D#2,99,0.4304817999999955,140.4092594,140.8397412
Acoustic Bass,32,47,B2,85,0.37433199999998124,140.8905434,141.2648754
Acoustic Bass,32,42,F#2,86,0.28074900000001435,141.3718274,141.65257640000002
Acoustic Bass,32,40,E2,82,0.4866316000000097,141.6926834,142.179315
Acoustic Bass,32,47,B2,77,0.4625673999999833,142.1739674,142.6365348
Acoustic Bass,32,40,E2,75,0.2513371999999947,142.6552514,142.9065886
Acoustic Bass,32,45,A2,83,0.4973268000000246,142.9761074,143.4734342
Acoustic Bass,32,40,E2,85,0.45187219999999684,143.4573914,143.9092636
Acoustic Bass,32,33,A1,89,0.2914442000000008,143.9386754,144.2301196
Acoustic Bass,32,40,E2,93,0.5080219999999827,144.25953140000001,144.7675534
Acoustic Bass,32,47,B2,86,0.46791500000000497,144.7408154,145.2087304
Acoustic Bass,32,40,E2,85,0.2914442000000008,145.2220994,145.5135436
Acoustic Bass,32,45,A2,89,0.4705888000000016,145.5429554,146.0135442
Acoustic Bass,32,40,E2,85,0.44117700000001037,146.0242394,146.4654164
Acoustic Bass,32,33,A1,83,0.22727299999999673,146.50552340000002,146.7327964
Acoustic Bass,32,38,D2,90,0.4625673999999833,146.8263794,147.2889468
Acoustic Bass,32,45,A2,91,0.4491984000000002,147.3076634,147.7568618
Acoustic Bass,32,33,A1,82,0.2379681999999832,147.7889474,148.0269156
Acoustic Bass,32,38,D2,127,0.32085599999999204,148.1098034,148.4306594
Acoustic Bass,32,45,A2,127,0.6417120000000125,148.4306594,149.0723714
Acoustic Bass,32,33,A1,82,0.2780751999999893,149.0723714,149.3504466
Acoustic Bass,32,38,D2,86,0.46524120000000835,149.3932274,149.8584686
Acoustic Bass,32,45,A2,86,0.5775408000000084,149.8745114,150.4520522
Acoustic Bass,32,33,A1,88,0.25935859999998456,150.3557954,150.615154
