instrumento,nota,volumen,dura,empieza,termina
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,2.7,0.0,2.7
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.44499999999999984,2.705,3.15
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
-1.0,-1.0,0.0,0.7449999999999997,3.1550000000000002,3.9
