Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,52,E3,100,0.375,20.400000000000002,20.775000000000002
Acoustic Grand Piano,0,40,E2,102,0.4499999999999993,20.400000000000002,20.85
Acoustic Grand Piano,0,47,B2,102,0.375,20.85,21.225
Acoustic Grand Piano,0,59,B3,113,0.4499999999999993,20.85,21.3
Acoustic Grand Piano,0,57,A3,110,1.1999999999999993,21.3,22.5
Acoustic Grand Piano,0,45,A2,100,1.1999999999999993,21.3,22.5
Acoustic Grand Piano,0,59,B3,89,0.14999999999999858,22.650000000000002,22.8
Acoustic Grand Piano,0,47,B2,66,0.22499999999999787,22.650000000000002,22.875
Acoustic Grand Piano,0,52,E3,100,0.375,22.8,23.175
Acoustic Grand Piano,0,40,E2,102,0.4499999999999993,22.8,23.25
Acoustic Grand Piano,0,47,B2,102,0.375,23.25,23.625
Acoustic Grand Piano,0,59,B3,113,0.4499999999999993,23.25,23.7
Acoustic Grand Piano,0,57,A3,110,1.2000000000000028,23.7,24.900000000000002
Acoustic Grand Piano,0,45,A2,100,1.2000000000000028,23.7,24.900000000000002
Acoustic Grand Piano,0,47,B2,100,0.14999999999999858,25.05,25.2
Acoustic Grand Piano,0,59,B3,110,0.14999999999999858,25.05,25.2
Acoustic Grand Piano,0,52,E3,100,0.375,25.2,25.575
Acoustic Grand Piano,0,40,E2,102,0.45000000000000284,25.2,25.650000000000002
Acoustic Grand Piano,0,47,B2,102,0.375,25.650000000000002,26.025000000000002
Acoustic Grand Piano,0,59,B3,113,0.4499999999999993,25.650000000000002,26.1
Acoustic Grand Piano,0,57,A3,110,1.1999999999999993,26.1,27.3
Acoustic Grand Piano,0,45,A2,100,1.1999999999999993,26.1,27.3
Acoustic Grand Piano,0,52,E3,105,0.14999999999999858,27.6,27.75
Acoustic Grand Piano,0,64,E4,119,0.14999999999999858,27.6,27.75
Acoustic Grand Piano,0,50,D3,102,0.07499999999999929,27.75,27.825
Acoustic Grand Piano,0,62,D4,105,0.15000000000000213,27.75,27.900000000000002
Acoustic Grand Piano,0,47,B2,95,0.14999999999999858,27.900000000000002,28.05
