instrumento,nota,volumen,dura,empieza,termina
-1.0,65,115,0.14687499999999987,1.2000000000000002,1.346875
-1.0,66,127,0.1468750000000001,1.8,1.9468750000000001
-1.0,54,126,0.14687499999999964,2.4000000000000004,2.546875
-1.0,52,113,0.1468750000000001,2.7,2.8468750000000003
-1.0,42,97,0.1468750000000001,2.85,2.996875
-1.0,49,119,0.1468750000000001,3.0,3.146875
-1.0,53,103,0.1468750000000001,3.3000000000000003,3.4468750000000004
-1.0,56,111,0.1468750000000001,3.4500000000000006,3.5968750000000007
-1.0,49,123,0.1468750000000001,3.6,3.746875
-1.0,52,117,0.14687499999999964,3.9000000000000004,4.046875
-1.0,42,99,0.14687500000000053,4.05,4.196875
-1.0,50,100,0.14687499999999964,4.2,4.346875
-1.0,53,74,0.14687500000000053,4.5,4.6468750000000005
-1.0,42,99,0.14687499999999964,4.65,4.796875
-1.0,50,102,0.14687499999999964,4.800000000000001,4.946875
-1.0,52,94,0.14687499999999964,5.1000000000000005,5.246875
-1.0,42,94,0.14687500000000053,5.25,5.3968750000000005
-1.0,50,97,0.14687499999999964,5.400000000000001,5.546875000000001
-1.0,53,50,0.14687499999999964,5.550000000000001,5.696875
-1.0,53,85,0.14687500000000053,5.7,5.846875000000001
-1.0,53,117,0.14687499999999964,5.8500000000000005,5.996875
-1.0,49,127,0.14687500000000053,6.0,6.1468750000000005
-1.0,53,49,0.14687499999999964,6.15,6.296875
-1.0,52,98,0.14687499999999964,6.300000000000001,6.446875
-1.0,47,86,0.14687500000000053,6.45,6.596875000000001
-1.0,49,121,0.14687499999999964,6.6000000000000005,6.746875
-1.0,53,47,0.14687500000000053,6.75,6.8968750000000005
-1.0,53,88,0.14687499999999964,6.900000000000001,7.046875000000001
-1.0,47,91,0.14687499999999964,7.050000000000001,7.196875
-1.0,50,117,0.14687500000000053,7.2,7.346875000000001
-1.0,52,101,0.14687500000000053,7.5,7.6468750000000005
-1.0,42,102,0.14687499999999964,7.65,7.796875
-1.0,50,101,0.14687499999999964,7.800000000000001,7.946875
-1.0,53,60,0.14687500000000053,7.95,8.096875
-1.0,53,92,0.14687500000000142,8.1,8.246875000000001
-1.0,53,100,0.14687499999999964,8.25,8.396875
-1.0,49,123,0.14687499999999964,8.4,8.546875
-1.0,53,65,0.14687499999999964,8.55,8.696875
-1.0,52,93,0.14687499999999964,8.700000000000001,8.846875
-1.0,47,90,0.14687500000000142,8.85,8.996875000000001
-1.0,49,121,0.14687499999999964,9.0,9.146875
-1.0,53,58,0.14687499999999964,9.15,9.296875
-1.0,53,90,0.14687499999999964,9.3,9.446875
-1.0,47,91,0.14687499999999964,9.450000000000001,9.596875
-1.0,50,118,0.14687499999999964,9.600000000000001,9.746875000000001
-1.0,52,104,0.14687499999999964,9.9,10.046875
-1.0,42,86,0.14687499999999964,10.05,10.196875
-1.0,50,99,0.14687499999999964,10.200000000000001,10.346875
-1.0,53,77,0.14687499999999964,10.350000000000001,10.496875000000001
-1.0,53,101,0.14687500000000142,10.5,10.646875000000001
-1.0,53,103,0.14687499999999964,10.65,10.796875
-1.0,49,119,0.14687499999999964,10.8,10.946875
-1.0,65,70,0.14687499999999964,10.950000000000001,11.096875
-1.0,52,102,0.14687499999999964,11.100000000000001,11.246875000000001
-1.0,53,98,0.14687500000000142,11.25,11.396875000000001
