Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Bright Acoustic Piano,1,62,D4,124,0.2999999999999998,2.4000000000000004,2.7
Bright Acoustic Piano,1,74,D5,127,0.2999999999999998,2.4000000000000004,2.7
Bright Acoustic Piano,1,78,F#5,97,0.1468750000000001,2.7,2.8468750000000003
Bright Acoustic Piano,1,81,A5,102,0.1468750000000001,2.7,2.8468750000000003
Bright Acoustic Piano,1,69,A4,92,0.2999999999999998,2.7,3.0
Bright Acoustic Piano,1,66,F#4,97,0.2999999999999998,2.7,3.0
Bright Acoustic Piano,1,62,D4,112,0.1468750000000001,3.0,3.146875
Bright Acoustic Piano,1,74,D5,127,0.1468750000000001,3.0,3.146875
Bright Acoustic Piano,1,69,A4,97,0.14687499999999964,3.1500000000000004,3.296875
Bright Acoustic Piano,1,81,A5,108,0.14687499999999964,3.1500000000000004,3.296875
Bright Acoustic Piano,1,66,F#4,97,0.1468750000000001,3.3000000000000003,3.4468750000000004
Bright Acoustic Piano,1,78,F#5,115,0.1468750000000001,3.3000000000000003,3.4468750000000004
Bright Acoustic Piano,1,62,D4,115,0.2999999999999998,3.45,3.75
Bright Acoustic Piano,1,74,D5,127,0.2999999999999998,3.45,3.75
Bright Acoustic Piano,1,78,F#5,115,0.1468750000000001,3.75,3.896875
Bright Acoustic Piano,1,81,A5,105,0.1468750000000001,3.75,3.896875
Bright Acoustic Piano,1,69,A4,97,0.2999999999999998,3.75,4.05
Bright Acoustic Piano,1,66,F#4,97,0.2999999999999998,3.75,4.05
Bright Acoustic Piano,1,62,D4,112,0.3000000000000007,4.05,4.3500000000000005
Bright Acoustic Piano,1,74,D5,127,0.3000000000000007,4.05,4.3500000000000005
Bright Acoustic Piano,1,66,F#4,90,0.14687499999999964,4.3500000000000005,4.496875
Bright Acoustic Piano,1,81,A5,105,0.14687499999999964,4.3500000000000005,4.496875
Bright Acoustic Piano,1,78,F#5,108,0.14687499999999964,4.3500000000000005,4.496875
Bright Acoustic Piano,1,69,A4,88,0.14687499999999964,4.3500000000000005,4.496875
Bright Acoustic Piano,1,62,D4,105,0.14687499999999964,4.65,4.796875
Bright Acoustic Piano,1,74,D5,127,0.14687499999999964,4.65,4.796875
Bright Acoustic Piano,1,59,B3,94,0.14687499999999964,4.800000000000001,4.946875
Bright Acoustic Piano,1,71,B4,127,0.2999999999999998,4.800000000000001,5.1000000000000005
Bright Acoustic Piano,1,62,D4,92,0.14687499999999964,5.1000000000000005,5.246875
Bright Acoustic Piano,1,66,F#4,75,0.14687499999999964,5.1000000000000005,5.246875
