Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Electric Bass (finger),33,30,F#1,127,0.25000020833333325,2.18182,2.4318202083333333
Electric Bass (finger),33,35,B1,127,0.2670456770833334,3.27273,3.5397756770833335
Electric Bass (finger),33,37,C#2,127,0.2500002083333328,4.36364,4.613640208333333
Electric Bass (finger),33,35,B1,127,0.27840932291666665,5.45455,5.732959322916667
Electric Bass (finger),33,30,F#1,127,0.2500002083333328,6.54546,6.795460208333333
Electric Bass (finger),33,35,B1,127,0.26704567708333293,7.63637,7.903415677083333
Electric Bass (finger),33,37,C#2,127,0.2500002083333328,8.72728,8.977280208333333
Electric Bass (finger),33,35,B1,127,0.27840932291666753,9.81819,10.096599322916667
Electric Bass (finger),33,30,F#1,127,0.2500002083333328,10.9091,11.159100208333333
Electric Bass (finger),33,35,B1,127,0.26704567708333293,12.00001,12.267055677083333
Electric Bass (finger),33,37,C#2,127,0.2500002083333328,13.09092,13.340920208333333
Electric Bass (finger),33,35,B1,127,0.27840932291666753,14.18183,14.460239322916667
Electric Bass (finger),33,30,F#1,127,0.2500002083333328,15.27274,15.522740208333333
Electric Bass (finger),33,35,B1,127,0.2670456770833347,16.36365,16.630695677083335
Electric Bass (finger),33,37,C#2,127,0.2500002083333328,17.45456,17.704560208333334
Electric Bass (finger),33,35,B1,127,0.2784093229166693,18.545469999999998,18.823879322916667
Electric Bass (finger),33,30,F#1,127,0.4375003645833324,19.63638,20.07388036458333
Electric Bass (finger),33,37,C#2,127,0.4431821874999997,20.181835,20.6250171875
Electric Bass (finger),33,35,B1,127,0.46590947916666536,20.72729,21.193199479166665
Electric Bass (finger),33,42,F#2,127,0.21590927083333256,21.272745,21.488654270833333
Electric Bass (finger),33,35,B1,127,0.15909104166666665,21.5454725,21.704563541666666
Electric Bass (finger),33,37,C#2,127,0.47727312499999996,21.8182,22.295473125
Electric Bass (finger),33,44,G#2,127,0.47159130208333266,22.363655,22.835246302083334
Electric Bass (finger),33,35,B1,127,0.4715913020833362,22.90911,23.380701302083335
Electric Bass (finger),33,42,F#2,127,0.23863656250000176,23.454565,23.6932015625
Electric Bass (finger),33,35,B1,127,0.14772739583333205,23.7272925,23.875019895833333
Electric Bass (finger),33,30,F#1,127,0.48295494791666727,24.00002,24.482974947916667
Electric Bass (finger),33,37,C#2,127,0.4431821874999997,24.545475,24.9886571875
Electric Bass (finger),33,35,B1,127,0.48863677083333457,25.09093,25.579566770833335
Electric Bass (finger),33,42,F#2,127,0.28977296875000036,25.636385,25.92615796875
Electric Bass (finger),33,35,B1,127,0.16477286458333396,25.9091125,26.073885364583333
Electric Bass (finger),33,37,C#2,127,0.47159130208333266,26.18184,26.653431302083334
Electric Bass (finger),33,44,G#2,127,0.4772731250000035,26.727294999999998,27.204568125
Electric Bass (finger),33,35,B1,127,0.4659094791666689,27.27275,27.738659479166667
Electric Bass (finger),33,42,F#2,127,0.21590927083333256,27.818205,28.03411427083333
Electric Bass (finger),33,35,B1,127,0.1818183333333323,28.0909325,28.272750833333333
Electric Bass (finger),33,42,F#2,127,0.49431859375000187,28.36366,28.85797859375
Electric Bass (finger),33,37,C#2,127,0.4318185416666651,28.909115,29.340933541666665
Electric Bass (finger),33,37,C#2,127,0.40909124999999946,29.45457,29.86366125
Electric Bass (finger),33,44,G#2,127,0.39772760416666486,30.000025,30.397752604166666
Electric Bass (finger),33,35,B1,127,0.4431821874999997,30.54548,30.9886621875
Electric Bass (finger),33,42,F#2,127,0.3920457812500011,31.090934999999998,31.48298078125
Electric Bass (finger),33,42,F#2,127,0.42613671875000136,31.63639,32.06252671875
Electric Bass (finger),33,49,C#3,127,0.42613671874999426,32.181845,32.60798171875
Electric Bass (finger),33,42,F#2,127,0.48295494791666727,32.7273,33.21025494791667
Electric Bass (finger),33,37,C#2,127,0.409091250000003,33.272755,33.68184625
Electric Bass (finger),33,37,C#2,127,0.41477307291666676,33.81821,34.23298307291667
Electric Bass (finger),33,44,G#2,127,0.40340942708333216,34.363665,34.76707442708333
Electric Bass (finger),33,35,B1,127,0.4545458333333343,34.90912,35.363665833333336
Electric Bass (finger),33,42,F#2,127,0.4204548958333376,35.454575,35.875029895833336
Electric Bass (finger),33,42,F#2,127,0.4659094791666618,36.00003,36.465939479166664
Electric Bass (finger),33,37,C#2,127,0.44886401041667057,36.545485,36.99434901041667
Electric Bass (finger),33,42,F#2,127,0.47159130208333977,37.090939999999996,37.562531302083336
Electric Bass (finger),33,46,A#2,127,0.46022765624999806,37.636395,38.09662265625
Electric Bass (finger),33,49,C#3,127,0.5000004166666656,38.18185,38.68185041666666
Electric Bass (finger),33,44,G#2,127,0.24431838541666195,38.727305,38.97162338541666
Electric Bass (finger),33,49,C#3,127,0.23295473958332735,39.0000325,39.23298723958333
Electric Bass (finger),33,47,B2,127,0.5113640625000002,39.27276,39.7841240625
Electric Bass (finger),33,42,F#2,127,0.23295473958332735,39.818215,40.05116973958333
Electric Bass (finger),33,47,B2,127,0.2159092708333361,40.0909425,40.30685177083333
Electric Bass (finger),33,49,C#3,127,0.5340913541666694,40.36367,40.89776135416667
Electric Bass (finger),33,44,G#2,127,0.42613671874999426,40.909125,41.33526171875
Electric Bass (finger),33,42,F#2,127,0.46022765624999806,41.45458,41.91480765625
Electric Bass (finger),33,37,C#2,127,0.4772731250000035,42.000035,42.477308125
Electric Bass (finger),33,49,C#3,127,0.48295494791666727,42.54549,43.02844494791667
Electric Bass (finger),33,44,G#2,127,0.4772731250000035,43.090945,43.568218125
Electric Bass (finger),33,47,B2,127,0.43750036458332886,43.6364,44.07390036458333
Electric Bass (finger),33,42,F#2,127,0.44886401041667057,44.181855,44.63071901041667
Electric Bass (finger),33,37,C#2,127,0.4431821874999997,44.72731,45.1704921875
Electric Bass (finger),33,44,G#2,127,0.4545458333333343,45.272765,45.727310833333334
