instrumento,nota,volumen,dura,empieza,termina
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,66.0,0.810811,0.0,0.810811
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,73.0,0.810811,0.810811,1.621622
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
-1.0,31.0,76.0,0.8108110000000002,1.621622,2.432433
