Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,13.103875,20.475506,0.008697
instrumento -1,16,37.218887,57.98172,0.037494
instrumento -1,32,44.128044,69.012619,0.124675
instrumento -1,64,50.398739,80.409744,0.226963
instrumento -1,128,63.83263,104.866898,0.297893
instrumento -1,256,81.791893,132.96431,1.949363
instrumento -1,512,110.201988,191.929352,0.171225
instrumento -1,1024,162.082428,281.264404,0.253057
instrumento -1,2048,310.851654,568.322998,0.523251
instrumento 0,8,6.885617,10.190001,1.381653
instrumento 0,16,19.469042,28.155416,1.699182
instrumento 0,32,41.460854,59.57999,1.987847
instrumento 0,64,56.051109,78.267952,14.482323
instrumento 0,128,78.751884,115.718124,57.048569
instrumento 0,256,114.896507,169.213074,100.041168
instrumento 0,512,210.376511,319.310791,352.332458
instrumento 0,1024,437.15155,654.517883,1265.194824
instrumento 0,2048,831.139709,1187.282471,3214.97998
instrumento 32,8,5.570136,14.166636,0.049579
instrumento 32,16,13.666964,34.574596,0.105106
instrumento 32,32,41.097187,104.338844,0.331504
instrumento 32,64,56.778412,145.423569,1.055943
instrumento 32,128,97.828522,231.201019,2.329079
instrumento 32,256,137.23291,311.68042,4.337192
instrumento 32,512,238.2827,556.844421,9.951534
instrumento 32,1024,333.580139,793.073547,13.66649
instrumento 32,2048,405.114807,1010.960693,21.480179
instrumento 56,8,6.256423,10.307974,0.251117
instrumento 56,16,17.579632,29.197088,0.705459
instrumento 56,32,37.44696,61.559605,2.063799
instrumento 56,64,80.54113,132.682755,4.5138
instrumento 56,128,156.503906,258.14386,15.964843
instrumento 56,256,371.311768,614.071533,52.844086
instrumento 56,512,708.908142,1165.880127,110.367882
instrumento 56,1024,1102.911133,1789.246704,304.160767
instrumento 56,2048,2246.287109,3471.091797,1128.907593
instrumento 61,8,0.433087,0.620843,1.062062
instrumento 61,16,1.617825,2.33589,2.638091
instrumento 61,32,5.318504,7.74015,8.63906
instrumento 61,64,13.294562,20.131628,22.191532
instrumento 61,128,32.779476,46.422474,55.63258
instrumento 61,256,78.928337,108.396553,82.830963
instrumento 61,512,228.517029,316.250244,383.098358
instrumento 61,1024,729.960083,1016.784241,1435.53418
instrumento 61,2048,2102.307373,2931.767334,3629.068604
