Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,15.621669,30.135363,0.016816
instrumento -1,16,30.281521,57.927586,0.035917
instrumento -1,32,33.078663,63.626831,0.05176
instrumento -1,64,38.809891,75.986961,0.068323
instrumento -1,128,44.54166,86.796181,0.232926
instrumento -1,256,50.364819,97.67804,0.863126
instrumento -1,512,60.022381,116.013565,1.493737
instrumento -1,1024,87.862526,167.503418,1.897316
instrumento -1,2048,165.38472,323.927429,2.116781
instrumento 2,8,11.31839,20.314726,0.030285
instrumento 2,16,25.141411,44.960129,0.068859
instrumento 2,32,46.998646,82.555168,0.186591
instrumento 2,64,86.173378,157.894485,0.388175
instrumento 2,128,137.731125,253.21698,0.863956
instrumento 2,256,232.246002,412.160797,1.941154
instrumento 2,512,336.294067,599.96759,4.178592
instrumento 2,1024,515.887756,913.679871,8.127598
instrumento 2,2048,771.003418,1354.495972,11.310911
instrumento 33,8,4.978669,18.347479,0.072842
instrumento 33,16,10.245783,37.051041,0.132846
instrumento 33,32,27.322338,98.875366,0.353043
instrumento 33,64,40.656406,138.19873,0.961857
instrumento 33,128,58.68047,207.902176,1.549875
instrumento 33,256,91.827965,288.732697,2.456656
instrumento 33,512,147.955551,438.617889,3.535028
instrumento 33,1024,203.041901,576.177246,4.461212
instrumento 33,2048,360.790833,1075.877441,6.877716
instrumento 57,8,7.01657,13.503595,0.30829
instrumento 57,16,20.135153,38.859161,0.820368
instrumento 57,32,38.983284,73.149925,1.881431
instrumento 57,64,73.128349,138.766846,5.274118
instrumento 57,128,157.515182,301.944702,16.756737
instrumento 57,256,311.435577,593.633911,43.202999
instrumento 57,512,520.499634,987.704529,103.775757
instrumento 57,1024,924.33551,1769.741455,280.592834
instrumento 57,2048,1623.444824,3069.917969,744.540649
instrumento 65,8,7.011839,13.474421,0.308508
instrumento 65,16,20.135298,38.808937,0.820445
instrumento 65,32,39.094971,73.213333,1.881691
instrumento 65,64,73.266151,138.797485,5.27413
instrumento 65,128,157.704163,302.266907,16.756742
instrumento 65,256,311.431458,593.985535,43.202961
instrumento 65,512,520.319519,987.944214,103.774567
instrumento 65,1024,933.639709,1771.152344,280.59726
instrumento 65,2048,1636.920288,3073.672119,744.547363
instrumento 81,8,7.019872,13.503583,0.308431
instrumento 81,16,20.14159,38.856354,0.820502
instrumento 81,32,38.952003,73.100182,1.881455
instrumento 81,64,73.096245,138.774857,5.274131
instrumento 81,128,156.727722,302.055908,16.756824
instrumento 81,256,310.085938,593.64679,43.202793
instrumento 81,512,519.880554,988.011902,103.775253
instrumento 81,1024,922.816895,1768.292236,280.602325
instrumento 81,2048,1622.209351,3067.969727,744.556274
