Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,3.929428,8.841508,0.431861
instrumento -1,16,10.073208,22.579828,1.140557
instrumento -1,32,30.847031,68.884529,1.784528
instrumento -1,64,94.116547,209.797424,6.749318
instrumento -1,128,99.16024,221.051224,30.074924
instrumento -1,256,104.816635,233.732269,81.645981
instrumento -1,512,164.533218,369.587555,137.556366
instrumento -1,1024,495.032959,1101.323975,189.958862
instrumento -1,2048,833.578918,1848.700806,1725.520386
instrumento 0,8,6.099499,12.100761,0.106969
instrumento 0,16,18.316618,36.330494,0.285794
instrumento 0,32,24.323116,48.168713,0.803234
instrumento 0,64,47.144073,93.429665,1.869078
instrumento 0,128,84.937248,168.547348,4.00714
instrumento 0,256,95.647919,189.8013,11.728729
instrumento 0,512,112.854332,223.945328,41.479923
instrumento 0,1024,175.425232,348.109589,179.660095
instrumento 0,2048,269.72757,535.239929,296.978851
instrumento 32,8,4.330403,12.558171,0.045093
instrumento 32,16,12.87303,37.472576,0.115161
instrumento 32,32,30.7491,91.30307,0.302223
instrumento 32,64,46.206718,136.006546,0.901819
instrumento 32,128,74.927246,209.37532,1.86929
instrumento 32,256,125.437965,334.489105,2.792976
instrumento 32,512,194.06218,530.221069,9.157025
instrumento 32,1024,332.989288,952.77417,31.143023
instrumento 32,2048,915.413391,2561.116211,60.007389
instrumento 56,8,4.793806,8.453662,0.244698
instrumento 56,16,15.068666,26.466484,0.777717
instrumento 56,32,34.755768,60.688431,2.39736
instrumento 56,64,70.452248,122.995049,5.42953
instrumento 56,128,141.597275,249.584351,18.409729
instrumento 56,256,236.55864,410.302338,50.014866
instrumento 56,512,614.606628,1065.275635,137.086227
instrumento 56,1024,1084.218262,1872.845459,450.943756
instrumento 56,2048,1544.837036,2637.288086,842.364929
instrumento 57,8,4.050391,8.584389,0.116312
instrumento 57,16,14.133346,29.851721,0.531461
instrumento 57,32,32.569553,68.60453,1.884621
instrumento 57,64,65.887573,137.984497,5.002708
instrumento 57,128,136.786438,285.10791,15.470896
instrumento 57,256,233.974777,482.192169,30.930861
instrumento 57,512,521.00824,1096.443481,123.309975
instrumento 57,1024,795.502441,1677.718872,436.968079
instrumento 57,2048,982.205505,2053.82666,745.517822
instrumento 61,8,5.607516,10.005785,0.26604
instrumento 61,16,14.986887,26.691895,0.758947
instrumento 61,32,28.402752,50.84145,2.19137
instrumento 61,64,54.457905,96.400665,5.591047
instrumento 61,128,112.782204,201.305817,18.775339
instrumento 61,256,203.447647,362.833954,54.51844
instrumento 61,512,490.330017,864.605347,150.287033
instrumento 61,1024,895.657104,1580.813965,447.88858
instrumento 61,2048,1222.745483,2163.474365,915.93042
