Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,13.747101,19.622269,0.030183
instrumento -1,16,36.341049,52.362431,0.066428
instrumento -1,32,41.886944,60.690704,0.138966
instrumento -1,64,46.3797,66.418221,0.309617
instrumento -1,128,49.390198,75.349289,1.737879
instrumento -1,256,85.060051,126.916786,7.238426
instrumento -1,512,152.890457,219.852356,16.120955
instrumento -1,1024,340.200104,478.246155,43.571346
instrumento -1,2048,558.170044,785.738037,81.483894
instrumento 0,8,10.805914,18.663885,0.203049
instrumento 0,16,27.346375,46.700787,0.481762
instrumento 0,32,36.910149,64.483589,1.105555
instrumento 0,64,46.451317,84.571404,2.859424
instrumento 0,128,67.844727,114.400406,12.501266
instrumento 0,256,90.924561,149.13887,38.438324
instrumento 0,512,123.735931,200.983932,88.902351
instrumento 0,1024,168.200592,269.879517,178.49054
instrumento 0,2048,271.089081,440.142822,398.787903
instrumento 1,8,9.704495,12.144858,0.02749
instrumento 1,16,32.304703,40.001896,0.055386
instrumento 1,32,65.721634,82.388229,0.117358
instrumento 1,64,84.125717,110.066849,0.222404
instrumento 1,128,125.68618,157.073685,1.247418
instrumento 1,256,163.776291,194.264221,4.620737
instrumento 1,512,231.996048,276.166534,11.253848
instrumento 1,1024,433.336517,528.451599,35.212605
instrumento 1,2048,589.158081,790.168396,75.011696
instrumento 33,8,3.069754,9.753911,0.033408
instrumento 33,16,10.225504,32.405331,0.075711
instrumento 33,32,38.979828,127.293098,0.282974
instrumento 33,64,53.735352,165.62085,0.626928
instrumento 33,128,62.148232,196.599564,1.777101
instrumento 33,256,83.627441,297.717377,5.07132
instrumento 33,512,156.023331,443.519684,11.335002
instrumento 33,1024,248.566299,763.553101,34.264824
instrumento 33,2048,371.390137,1146.20166,74.461845
instrumento 56,8,4.371298,7.151187,0.627801
instrumento 56,16,14.531157,23.683458,1.730938
instrumento 56,32,28.761641,46.765747,4.543908
instrumento 56,64,47.815994,76.922043,13.622068
instrumento 56,128,91.613373,149.496582,46.3372
instrumento 56,256,183.578796,299.45578,128.070343
instrumento 56,512,341.200378,560.307068,374.568329
instrumento 56,1024,763.954895,1264.075928,1028.4823
instrumento 56,2048,1773.300903,2915.571533,2602.390869
instrumento 57,8,4.285341,9.373876,0.537671
instrumento 57,16,16.451628,35.980198,1.571095
instrumento 57,32,34.058571,75.088768,4.57377
instrumento 57,64,50.129089,108.083313,11.001753
instrumento 57,128,87.857246,191.201721,36.725266
instrumento 57,256,185.298813,405.034302,120.298164
instrumento 57,512,285.857758,616.74762,326.481049
instrumento 57,1024,516.31189,1120.095703,843.458374
instrumento 57,2048,993.565186,2116.806641,2159.377686
instrumento 108,8,6.096031,10.437049,1.1036
instrumento 108,16,10.321803,17.671831,1.273606
instrumento 108,32,13.200814,22.601128,1.576851
instrumento 108,64,34.407959,58.897823,2.05149
instrumento 108,128,40.593933,69.515297,23.859962
instrumento 108,256,42.8521,73.372032,94.778275
instrumento 108,512,49.884365,85.461624,241.774994
instrumento 108,1024,62.081013,106.133934,755.387878
instrumento 108,2048,114.323799,195.242401,2098.52124
