Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,16.538439,29.88859,0.034227
instrumento -1,16,32.634312,59.493416,0.117893
instrumento -1,32,39.169296,70.700714,0.374218
instrumento -1,64,49.21743,88.971626,0.907453
instrumento -1,128,57.823925,108.91716,2.162522
instrumento -1,256,99.211319,176.497955,6.112836
instrumento -1,512,199.757385,340.635559,10.733047
instrumento -1,1024,450.152771,767.710449,24.793859
instrumento -1,2048,709.722473,1220.025879,49.737885
instrumento 1,8,11.574971,15.357145,0.062591
instrumento 1,16,30.789383,42.518723,0.18763
instrumento 1,32,55.932304,77.742485,0.711929
instrumento 1,64,72.562675,102.153793,1.319227
instrumento 1,128,117.476463,165.676483,2.869844
instrumento 1,256,196.041931,271.364868,7.242069
instrumento 1,512,319.953979,425.274841,13.773825
instrumento 1,1024,536.677917,710.908508,29.824106
instrumento 1,2048,873.334961,1180.628906,50.971615
instrumento 32,8,5.955321,14.223603,0.165945
instrumento 32,16,17.397795,41.434544,0.477133
instrumento 32,32,40.690395,98.214806,1.275994
instrumento 32,64,57.153965,136.296829,3.136856
instrumento 32,128,81.272507,198.729996,8.467776
instrumento 32,256,122.480042,307.528839,28.369152
instrumento 32,512,217.616287,528.117737,53.874439
instrumento 32,1024,449.391083,1051.022217,74.48262
instrumento 32,2048,738.613586,1772.672607,370.498169
instrumento 56,8,5.61016,8.803061,0.343289
instrumento 56,16,15.688347,24.541008,0.893213
instrumento 56,32,31.612741,49.988411,2.717726
instrumento 56,64,55.667511,87.54216,6.556827
instrumento 56,128,124.364403,200.391296,18.717129
instrumento 56,256,336.778931,524.95343,56.24826
instrumento 56,512,693.777222,1056.079224,143.158691
instrumento 56,1024,1338.837769,2057.610596,378.371826
instrumento 56,2048,2337.251953,3668.182861,1069.922119
instrumento 57,8,5.534945,10.750525,0.314512
instrumento 57,16,15.122131,29.622696,0.686413
instrumento 57,32,31.842018,62.189457,1.757569
instrumento 57,64,52.490566,104.007072,4.477128
instrumento 57,128,108.200523,214.990738,15.112527
instrumento 57,256,299.287506,574.763428,51.35014
instrumento 57,512,653.540039,1249.629517,147.725357
instrumento 57,1024,1310.488159,2633.89917,477.959229
instrumento 57,2048,2177.427979,4290.705078,1034.031494
instrumento 126,8,0.375465,0.675534,1.136869
instrumento 126,16,1.029446,1.805893,3.913765
instrumento 126,32,1.651435,2.780563,7.551668
instrumento 126,64,2.15905,3.659541,9.939116
instrumento 126,128,2.449133,4.15122,11.274656
instrumento 126,256,37.711681,63.919174,173.595367
instrumento 126,512,0.087076,0.149014,0.416512
instrumento 126,1024,0.069114,0.08864,0.373374
instrumento 126,2048,0.049138,0.143,0.168483
