Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,11.385059,22.393145,0.055084
instrumento -1,16,35.472286,66.858025,0.123872
instrumento -1,32,48.003288,91.110046,0.38027
instrumento -1,64,68.757652,123.295799,1.246184
instrumento -1,128,91.234001,163.93277,3.23034
instrumento -1,256,122.839981,226.51207,9.962706
instrumento -1,512,166.874527,308.483795,22.12801
instrumento -1,1024,432.678101,823.065796,78.401749
instrumento -1,2048,893.868652,1718.96875,201.967911
instrumento 1,8,8.458935,17.039055,0.031786
instrumento 1,16,24.172377,50.660988,0.069794
instrumento 1,32,58.193481,119.490974,0.200277
instrumento 1,64,73.777649,148.182953,0.420914
instrumento 1,128,85.254601,184.368835,0.627309
instrumento 1,256,142.844223,302.613007,1.615024
instrumento 1,512,163.315811,345.857971,2.666231
instrumento 1,1024,169.568146,361.857849,3.625152
instrumento 1,2048,279.988281,662.294067,3.848364
instrumento 25,8,5.813769,9.913566,0.934653
instrumento 25,16,10.879192,18.780893,1.713937
instrumento 25,32,22.010731,38.766491,6.705766
instrumento 25,64,34.095688,59.964867,22.025822
instrumento 25,128,69.64576,122.615524,59.584988
instrumento 25,256,129.901367,234.539337,160.646652
instrumento 25,512,245.892975,420.244659,448.313507
instrumento 25,1024,509.134583,836.306946,1293.267944
instrumento 25,2048,1112.382324,1892.706055,2544.541748
instrumento 32,8,4.118033,10.216451,0.070045
instrumento 32,16,13.06084,32.385117,0.178022
instrumento 32,32,33.03363,81.700996,0.428959
instrumento 32,64,44.072754,110.330322,1.199804
instrumento 32,128,54.441166,142.719406,3.146363
instrumento 32,256,87.826416,197.702484,10.430934
instrumento 32,512,133.475159,319.970276,20.110474
instrumento 32,1024,449.021271,1132.092529,74.407616
instrumento 32,2048,821.383301,2228.445557,202.231262
instrumento 56,8,3.697335,6.323513,0.379805
instrumento 56,16,11.439822,19.326744,1.377185
instrumento 56,32,27.631437,45.726933,4.127943
instrumento 56,64,63.715343,101.936501,11.266128
instrumento 56,128,133.812302,212.523468,36.779423
instrumento 56,256,304.892822,491.155029,91.104622
instrumento 56,512,548.626099,869.092224,237.368576
instrumento 56,1024,932.68335,1507.344727,700.623169
instrumento 56,2048,2657.848633,4275.814941,1764.54126
