Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,10.681154,14.15557,0.034036
instrumento -1,16,22.92709,29.773275,0.06997
instrumento -1,32,42.98975,57.493206,0.142487
instrumento -1,64,50.5392,67.303329,0.193599
instrumento -1,128,55.125721,72.988853,0.46006
instrumento -1,256,70.329552,86.449524,1.037206
instrumento -1,512,89.197929,102.959435,2.029676
instrumento -1,1024,140.390381,138.527679,3.02229
instrumento -1,2048,261.682587,216.859558,4.763617
instrumento 0,8,10.003445,12.220594,1.04778
instrumento 0,16,21.424761,25.34482,2.385858
instrumento 0,32,38.283043,46.612144,6.025193
instrumento 0,64,53.710346,65.425079,14.347722
instrumento 0,128,77.331833,95.977097,45.934361
instrumento 0,256,134.916214,170.335312,146.953506
instrumento 0,512,231.647659,280.399261,365.086151
instrumento 0,1024,516.885742,644.885315,1034.997314
instrumento 0,2048,1359.526245,1805.053223,2893.955322
instrumento 35,8,5.827699,10.499388,0.23177
instrumento 35,16,12.353979,22.110106,0.582069
instrumento 35,32,26.28286,46.085701,1.702055
instrumento 35,64,39.264069,67.885445,3.390949
instrumento 35,128,68.347328,119.39035,11.086316
instrumento 35,256,105.746323,195.750534,39.695759
instrumento 35,512,154.657776,286.079803,87.765106
instrumento 35,1024,337.705383,588.04187,233.378586
instrumento 35,2048,518.622192,908.549988,545.27478
instrumento 36,8,0.946137,2.415741,0.848523
instrumento 36,16,3.187649,8.083278,2.816805
instrumento 36,32,6.530043,15.788376,8.953515
instrumento 36,64,9.79164,23.806982,23.561405
instrumento 36,128,33.414997,87.828606,73.006493
instrumento 36,256,44.188885,115.66954,189.366226
instrumento 36,512,51.365757,133.259583,549.770935
instrumento 36,1024,71.943314,186.498184,1449.147217
instrumento 36,2048,106.251427,273.732727,2814.197998
instrumento 57,8,5.270225,7.120059,0.705265
instrumento 57,16,14.269425,19.391127,1.199491
instrumento 57,32,37.273563,50.460945,4.374012
instrumento 57,64,65.313225,87.022141,12.889944
instrumento 57,128,130.264175,172.25975,40.086197
instrumento 57,256,206.156006,273.90387,142.315903
instrumento 57,512,361.254944,486.827118,302.669464
instrumento 57,1024,605.708557,828.874695,555.635559
instrumento 57,2048,1111.649414,1495.796997,1908.890015
instrumento 72,8,4.605173,3.976464,1.866251
instrumento 72,16,10.554572,9.123608,3.348818
instrumento 72,32,17.266584,14.954546,8.863994
instrumento 72,64,34.952526,30.179094,28.841339
instrumento 72,128,60.782711,52.201771,74.024971
instrumento 72,256,122.497917,105.586708,244.272827
instrumento 72,512,250.38533,216.186218,656.738342
instrumento 72,1024,671.507202,578.514771,1941.099121
instrumento 72,2048,1454.994019,1250.796753,4646.411621
