Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,8.198886,12.60426,0.084188
instrumento -1,16,26.652603,42.306427,0.244271
instrumento -1,32,45.44791,80.334465,0.81481
instrumento -1,64,70.964684,121.853859,2.202754
instrumento -1,128,101.815514,174.675858,6.813687
instrumento -1,256,171.105637,304.015686,23.629723
instrumento -1,512,271.640167,481.454987,49.950363
instrumento -1,1024,451.782806,776.891846,139.176331
instrumento -1,2048,843.588013,1403.185913,535.75824
instrumento 0,8,7.167708,9.091182,0.063894
instrumento 0,16,27.401386,34.782177,0.209451
instrumento 0,32,54.721985,77.21225,0.512453
instrumento 0,64,72.725288,103.68454,1.690255
instrumento 0,128,120.630882,157.305038,6.02344
instrumento 0,256,196.964005,277.179565,20.159653
instrumento 0,512,308.913422,453.67514,45.699051
instrumento 0,1024,565.394775,830.396484,124.016289
instrumento 0,2048,2171.644043,3192.452637,522.05249
instrumento 33,8,3.762815,10.770305,0.11589
instrumento 33,16,12.598158,36.105808,0.259397
instrumento 33,32,27.919836,80.470482,0.512058
instrumento 33,64,39.868423,113.70285,0.756602
instrumento 33,128,60.436821,170.719788,8.764924
instrumento 33,256,106.592606,298.808411,33.93644
instrumento 33,512,165.476547,488.899109,65.520912
instrumento 33,1024,277.16861,878.193848,114.228607
instrumento 33,2048,943.007446,2816.853516,552.365112
instrumento 56,8,5.129075,7.195174,0.22457
instrumento 56,16,16.30011,23.589132,0.7531
instrumento 56,32,30.460159,42.88802,2.272404
instrumento 56,64,56.812786,78.554245,5.380549
instrumento 56,128,155.724472,205.642944,15.566601
instrumento 56,256,402.365173,559.880615,52.534653
instrumento 56,512,737.833984,1088.761353,144.513489
instrumento 56,1024,1484.274292,2138.321777,427.468658
instrumento 56,2048,3258.854492,4240.844727,1273.36792
instrumento 57,8,4.503292,8.024813,0.158588
instrumento 57,16,14.376635,25.915792,0.683142
instrumento 57,32,29.770208,53.401157,2.345607
instrumento 57,64,59.509079,106.481194,4.697579
instrumento 57,128,128.12822,227.181747,15.526771
instrumento 57,256,307.85907,534.769165,54.067497
instrumento 57,512,536.623169,936.237244,142.080994
instrumento 57,1024,992.546692,1695.507568,457.11499
instrumento 57,2048,2266.31958,3978.012939,1293.395874
instrumento 69,8,2.27009,2.983102,0.541632
instrumento 69,16,5.797779,7.615733,1.617955
instrumento 69,32,12.411829,16.687626,5.994981
instrumento 69,64,31.247665,42.285099,19.514994
instrumento 69,128,96.500084,135.011246,67.972252
instrumento 69,256,196.646805,270.119965,142.464645
instrumento 69,512,348.566681,486.90451,356.630096
instrumento 69,1024,745.336182,974.320923,983.137207
instrumento 69,2048,2148.1875,2719.025391,3632.728271
