Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,0.039723,0.051525,0.007197
instrumento -1,16,6.414983,5.518602,0.008804
instrumento -1,32,26.632469,27.89098,0.009041
instrumento -1,64,28.584843,49.704071,0.012315
instrumento -1,128,35.746391,78.664276,3.819253
instrumento -1,256,92.64769,134.047073,15.339324
instrumento -1,512,186.989349,242.597458,33.713398
instrumento -1,1024,534.519348,687.413269,101.122849
instrumento -1,2048,1588.511963,2038.870483,303.842651
instrumento 1,8,9.771013,13.263578,0.080182
instrumento 1,16,26.400402,34.077335,0.174009
instrumento 1,32,52.16251,67.683662,0.557526
instrumento 1,64,63.491631,88.258751,1.388106
instrumento 1,128,94.558708,129.607498,3.323058
instrumento 1,256,183.743347,232.547348,12.243415
instrumento 1,512,305.529785,378.122864,32.454651
instrumento 1,1024,542.220947,671.297791,84.480927
instrumento 1,2048,1386.911987,1650.655884,274.482269
instrumento 25,8,9.233788,11.703048,0.086916
instrumento 25,16,30.207222,38.144142,0.271605
instrumento 25,32,46.949745,61.493832,0.760567
instrumento 25,64,64.951363,93.018387,1.194212
instrumento 25,128,98.252663,144.044418,4.403943
instrumento 25,256,164.580688,248.729538,17.347673
instrumento 25,512,279.369141,394.315613,37.99651
instrumento 25,1024,533.056396,701.938721,115.250908
instrumento 25,2048,1151.303711,1544.633179,337.755829
instrumento 32,8,5.508808,12.176839,0.04873
instrumento 32,16,14.352441,32.033466,0.15444
instrumento 32,32,39.996998,90.100227,0.61272
instrumento 32,64,55.212467,124.795532,1.596198
instrumento 32,128,81.957306,190.641205,3.656321
instrumento 32,256,128.397079,283.784271,12.267512
instrumento 32,512,230.897614,473.516937,31.721964
instrumento 32,1024,430.915039,849.943176,81.709953
instrumento 32,2048,960.763428,1865.158936,269.304718
instrumento 56,8,3.045403,5.072246,0.447015
instrumento 56,16,7.998979,13.564333,1.840983
instrumento 56,32,18.576063,32.314209,6.66749
instrumento 56,64,36.617207,66.043335,15.566793
instrumento 56,128,75.429161,143.249939,43.960182
instrumento 56,256,197.265991,384.623871,123.820816
instrumento 56,512,365.329285,706.557312,331.796509
instrumento 56,1024,547.363037,996.169373,766.543518
instrumento 56,2048,1218.001343,2106.11377,3447.320068
instrumento 57,8,5.61699,8.447691,0.410077
instrumento 57,16,14.414278,22.128088,1.666226
instrumento 57,32,28.337051,44.757572,5.08064
instrumento 57,64,54.133678,85.401497,12.309733
instrumento 57,128,116.794624,185.043549,34.503319
instrumento 57,256,238.286911,360.503601,109.189499
instrumento 57,512,398.511261,623.838562,297.95163
instrumento 57,1024,769.980408,1166.644897,741.423096
instrumento 57,2048,1707.996948,2578.351807,2511.942871
instrumento 61,8,5.846972,10.003752,0.321447
instrumento 61,16,16.586176,28.458607,1.198467
instrumento 61,32,31.870798,55.573624,3.341406
instrumento 61,64,64.367798,107.032158,6.78477
instrumento 61,128,139.199921,236.18251,24.738596
instrumento 61,256,268.534576,465.330658,86.166435
instrumento 61,512,438.811188,772.31781,207.492935
instrumento 61,1024,714.332581,1184.164062,552.055725
instrumento 61,2048,1536.43103,2348.765869,1505.961914
