Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,9.188582,18.172384,0.026585
instrumento -1,16,27.066685,54.396908,0.06247
instrumento -1,32,48.393177,95.940033,0.185263
instrumento -1,64,98.828888,196.897293,0.523079
instrumento -1,128,112.284309,221.832458,1.136611
instrumento -1,256,162.802826,315.985565,2.944431
instrumento -1,512,277.501221,539.334229,6.695945
instrumento -1,1024,412.349121,831.576904,9.680597
instrumento -1,2048,623.332764,1247.773682,15.036938
instrumento 0,8,2.365108,4.499679,1.161938
instrumento 0,16,8.042815,15.392237,1.947684
instrumento 0,32,20.344208,38.214485,5.02187
instrumento 0,64,36.893116,67.341759,17.029469
instrumento 0,128,65.920158,119.058998,54.669182
instrumento 0,256,137.703278,250.352783,183.883621
instrumento 0,512,354.596802,647.238159,441.534576
instrumento 0,1024,781.674866,1446.834961,1300.775879
instrumento 0,2048,1838.243408,3496.14624,3660.521729
instrumento 33,8,3.421408,12.104782,0.03132
instrumento 33,16,10.703395,39.465797,0.101999
instrumento 33,32,28.049303,106.077728,0.304722
instrumento 33,64,39.897362,145.890259,0.850034
instrumento 33,128,55.264866,194.815323,1.578014
instrumento 33,256,106.06665,336.264038,4.20648
instrumento 33,512,208.774109,609.970032,10.929718
instrumento 33,1024,375.797058,1090.972778,22.620123
instrumento 33,2048,478.140594,1456.946533,36.874363
instrumento 56,8,3.263158,5.124014,1.144342
instrumento 56,16,10.8416,17.137348,1.951458
instrumento 56,32,26.390841,41.270885,4.913844
instrumento 56,64,46.954498,71.766167,16.708998
instrumento 56,128,85.085854,127.470673,54.190407
instrumento 56,256,182.200302,269.554688,182.911591
instrumento 56,512,450.751068,677.993896,438.779633
instrumento 56,1024,1013.345764,1540.346802,1293.065918
instrumento 56,2048,2351.42749,3639.695557,3646.026123
