Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,14.908075,20.890051,0.021952
instrumento -1,16,32.92448,45.375988,0.052444
instrumento -1,32,37.548035,57.807678,0.111222
instrumento -1,64,40.493813,75.211708,0.304233
instrumento -1,128,48.110001,88.625465,0.828894
instrumento -1,256,61.653111,125.153633,1.54782
instrumento -1,512,86.977356,150.730179,3.28535
instrumento -1,1024,172.197174,227.80983,6.700595
instrumento -1,2048,276.801178,315.352509,8.348602
instrumento 1,8,7.138209,9.002612,0.311538
instrumento 1,16,18.098137,23.690491,0.694321
instrumento 1,32,47.923153,65.952774,2.068849
instrumento 1,64,86.824959,123.465172,5.37532
instrumento 1,128,129.362701,179.834961,16.091671
instrumento 1,256,212.999924,285.382996,25.793945
instrumento 1,512,376.030975,483.548645,107.956665
instrumento 1,1024,666.32074,906.633301,390.259399
instrumento 1,2048,1144.209473,1919.428589,989.126404
instrumento 21,8,12.229016,18.345613,0.125055
instrumento 21,16,34.324242,51.613159,0.300477
instrumento 21,32,59.284397,88.915367,0.803735
instrumento 21,64,92.760757,137.437302,2.531717
instrumento 21,128,182.262146,270.19397,6.116419
instrumento 21,256,347.565735,511.526642,16.040461
instrumento 21,512,598.081787,889.986694,62.905842
instrumento 21,1024,833.044067,1245.2948,150.721695
instrumento 21,2048,1332.842529,1956.463379,377.328888
instrumento 32,8,4.62187,10.255786,0.327807
instrumento 32,16,12.7908,28.610672,0.644433
instrumento 32,32,22.139612,50.855328,2.186068
instrumento 32,64,37.626316,87.652885,6.814363
instrumento 32,128,74.660301,158.350021,18.887346
instrumento 32,256,104.940414,243.354187,41.289848
instrumento 32,512,209.845688,442.340698,101.627083
instrumento 32,1024,438.864899,858.320374,403.035614
instrumento 32,2048,1020.121582,2139.779541,1218.370605
instrumento 56,8,5.232956,7.48747,0.546735
instrumento 56,16,13.685137,19.852217,1.27743
instrumento 56,32,29.444431,42.750637,4.687735
instrumento 56,64,55.719025,77.787643,12.811623
instrumento 56,128,119.564911,157.749542,36.187428
instrumento 56,256,236.334259,327.740601,108.535721
instrumento 56,512,574.694214,804.173828,248.532303
instrumento 56,1024,1323.944824,1806.537109,858.485291
instrumento 56,2048,2392.419922,3459.80249,2450.923828
instrumento 66,8,3.66902,5.695698,0.412752
instrumento 66,16,10.758963,16.683424,1.231107
instrumento 66,32,24.067675,37.316917,4.244816
instrumento 66,64,44.833473,67.584122,7.83902
instrumento 66,128,101.313103,145.215652,26.876905
instrumento 66,256,206.015579,294.493622,92.624825
instrumento 66,512,529.577759,779.822083,234.877441
instrumento 66,1024,1270.856689,1577.046631,772.160095
instrumento 66,2048,1895.435913,2504.932617,1884.895264
