Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,8.237376,10.775299,0.05555
instrumento -1,16,12.117495,19.290369,0.159263
instrumento -1,32,21.785625,37.398037,0.225326
instrumento -1,64,23.819073,43.050144,0.249081
instrumento -1,128,27.902998,54.179733,0.418697
instrumento -1,256,35.207973,88.242676,1.097834
instrumento -1,512,49.176495,135.806656,1.864867
instrumento -1,1024,83.445152,236.707367,3.628634
instrumento -1,2048,147.578201,582.718079,9.296817
instrumento 0,8,8.26322,11.30411,5.399943
instrumento 0,16,14.769922,20.805456,9.631512
instrumento 0,32,25.766973,36.378727,19.977001
instrumento 0,64,40.629467,54.997082,28.059675
instrumento 0,128,58.726913,83.526192,32.26321
instrumento 0,256,93.586922,136.879929,35.367157
instrumento 0,512,135.771378,191.798767,40.319263
instrumento 0,1024,226.859451,336.540222,2946.859619
instrumento 0,2048,541.407104,796.970642,11770.939453
instrumento 32,8,4.724394,13.653664,5.466414
instrumento 32,16,9.755529,29.895157,9.722542
instrumento 32,32,15.280154,44.424896,20.019461
instrumento 32,64,21.29368,65.731529,28.031878
instrumento 32,128,37.658039,122.914894,32.391846
instrumento 32,256,65.736687,197.955017,35.510002
instrumento 32,512,105.15361,305.219025,41.016056
instrumento 32,1024,178.853241,550.191223,2949.028564
instrumento 32,2048,441.532104,1466.967407,11771.612305
