Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,18.017469,22.929888,0.017388
instrumento -1,16,36.076366,46.494053,0.039048
instrumento -1,32,40.782909,54.206104,0.097205
instrumento -1,64,46.617527,62.55122,0.227321
instrumento -1,128,56.564537,77.952377,0.778937
instrumento -1,256,82.359688,108.19294,2.716482
instrumento -1,512,126.852501,151.311829,5.98866
instrumento -1,1024,259.455292,318.649414,17.574923
instrumento -1,2048,643.14325,696.226379,28.406096
instrumento 0,8,12.551868,15.070903,0.065911
instrumento 0,16,30.479853,36.943527,0.203628
instrumento 0,32,56.494556,70.281761,0.518791
instrumento 0,64,86.394913,109.342361,1.267027
instrumento 0,128,139.008163,180.818146,3.334944
instrumento 0,256,210.200729,274.635162,10.043311
instrumento 0,512,332.095001,420.661804,25.572781
instrumento 0,1024,675.718689,799.727478,78.630775
instrumento 0,2048,1112.53479,1412.376221,206.340546
instrumento 25,8,0.316037,0.716727,1.644612
instrumento 25,16,0.648425,1.470533,2.99041
instrumento 25,32,1.467056,3.327072,7.269237
instrumento 25,64,4.486247,10.174163,23.11047
instrumento 25,128,7.053178,15.995596,36.430111
instrumento 25,256,21.12779,47.914803,105.231544
instrumento 25,512,24.015633,54.464016,236.612534
instrumento 25,1024,36.008808,81.662712,497.841644
instrumento 25,2048,65.145393,147.740219,1401.171021
instrumento 32,8,6.150145,13.909399,0.084148
instrumento 32,16,18.294186,41.477924,0.22444
instrumento 32,32,37.835224,86.49971,0.459637
instrumento 32,64,55.41254,126.635223,1.185533
instrumento 32,128,76.683731,171.125977,3.518357
instrumento 32,256,113.829636,242.082657,12.679521
instrumento 32,512,182.080902,388.851288,36.760933
instrumento 32,1024,338.845306,732.884949,95.986473
instrumento 32,2048,970.051941,2250.226074,309.304169
instrumento 57,8,6.317553,12.75871,0.654247
instrumento 57,16,14.181543,28.464361,1.62984
instrumento 57,32,27.399124,54.915615,4.332603
instrumento 57,64,52.871605,105.657356,11.305219
instrumento 57,128,106.473816,212.703278,31.784985
instrumento 57,256,208.05336,406.531403,108.238525
instrumento 57,512,430.737823,846.73114,303.931946
instrumento 57,1024,794.451416,1622.081421,717.765381
instrumento 57,2048,1507.786621,3112.260986,1615.162476
