Instrumento,Tamaño_segmento,f_tono,f_volumen,f_duraciones
instrumento -1,8,1.379841,2.20891,0.107811
instrumento -1,16,4.693048,7.413291,0.439899
instrumento -1,32,19.669086,30.924528,1.58593
instrumento -1,64,29.620321,43.483818,2.741313
instrumento -1,128,46.560127,71.559448,9.846381
instrumento -1,256,142.546249,222.914673,37.016792
instrumento -1,512,608.238281,909.65033,97.402588
instrumento -1,1024,1038.406372,1547.423218,251.840393
instrumento -1,2048,2527.846924,3760.523682,706.651123
instrumento 0,8,0.087091,0.127397,0.557942
instrumento 0,16,8.068336,12.635234,1.725377
instrumento 0,32,34.121838,53.114483,5.973366
instrumento 0,64,51.789093,77.046478,10.116824
instrumento 0,128,78.388069,118.466667,36.466206
instrumento 0,256,104.819817,159.466949,131.242142
instrumento 0,512,163.593109,254.074188,337.005615
instrumento 0,1024,336.196869,523.068787,986.986816
instrumento 0,2048,737.231079,1139.612793,1659.230957
instrumento 1,8,0.083394,0.109897,0.443688
instrumento 1,16,12.299813,16.256107,1.097281
instrumento 1,32,49.93327,66.074387,3.789238
instrumento 1,64,93.839134,123.528839,6.992182
instrumento 1,128,102.723488,135.496887,22.869228
instrumento 1,256,137.169891,177.210632,84.820595
instrumento 1,512,170.253265,220.721222,221.496674
instrumento 1,1024,241.796616,316.31665,578.343567
instrumento 1,2048,353.836395,465.755463,874.924011
instrumento 32,8,0.070296,0.232497,0.111425
instrumento 32,16,6.91514,21.107082,0.442252
instrumento 32,32,33.0578,100.083679,1.634739
instrumento 32,64,49.03194,144.740845,3.038224
instrumento 32,128,76.754807,214.837662,10.03459
instrumento 32,256,100.404564,274.667816,37.172726
instrumento 32,512,176.021851,521.354736,97.342278
instrumento 32,1024,285.202026,870.371216,251.564636
instrumento 32,2048,449.590027,1381.508423,705.238708
instrumento 56,8,0.038954,0.057244,0.099134
instrumento 56,16,8.395272,13.299838,0.501287
instrumento 56,32,38.789604,61.841518,1.928991
instrumento 56,64,85.761848,135.508621,3.959734
instrumento 56,128,166.605453,260.619019,12.571528
instrumento 56,256,290.882904,451.251556,44.461399
instrumento 56,512,394.733948,619.864746,119.348724
instrumento 56,1024,830.313354,1296.371338,369.730194
instrumento 56,2048,1678.704834,2668.997559,913.919434
instrumento 57,8,0.042401,0.064804,0.095575
instrumento 57,16,8.395311,13.299932,0.499514
instrumento 57,32,38.7896,61.841541,1.928713
instrumento 57,64,85.761848,135.508621,3.959969
instrumento 57,128,166.586609,261.181915,12.563732
instrumento 57,256,296.983704,475.19635,44.451588
instrumento 57,512,401.296478,649.088745,119.25219
instrumento 57,1024,829.006226,1321.947388,369.401642
instrumento 57,2048,1631.408325,2606.290039,912.789673
instrumento 122,8,0.013278,0.016607,0.317826
instrumento 122,16,0.015046,0.022223,0.412181
instrumento 122,32,2.374353,2.826634,6.123119
instrumento 122,64,9.327099,11.103706,23.990063
instrumento 122,128,16.154215,19.231216,41.543186
instrumento 122,256,50.084164,67.995453,54.071384
instrumento 122,512,284.799072,388.923065,427.109222
instrumento 122,1024,392.518616,538.20459,1522.438599
instrumento 122,2048,912.412903,1246.864014,3951.063232
