cancion,artista,fecha-lanzamiento,generos
Peinando los 50,Bicho Raro,2023-01-06,"cumbia, cumbia villera, cumbia argentina"
Doo Wop (That Thing) / Entre rejas,Quantic,2013-08-12,cumbia
Mi niña mujer,Los Ángeles Azules,2016-08-05,cumbia
Nunca pensé en llorar/ Que te perdone Dios,Rossy War,2000,"latin, cumbia"
La colegiala,Rodolfo,1982,"latin, cumbia"
"Quizás, quizás, quizás / El ladrón",Jolly Land,1964,"latin, cumbia"
Jamas / El meneito,Los Continentales,,"latin, cumbia"
Parrandear El Carnaval / Acuerdate de Mi,Amalia Delgado,,"latin, cumbia"
I Love You More Than Tacos,Carne Cruda,2016-09-27,"latin, cumbia"
Cumbia Reina / Rosa Mar,Orquesta De Los Hnos. Flores,1981,"latin, cumbia"
Olvidame Si Puedes / Es Tarde Ya,Orquesta Hermanos Flores,1970,"latin, cumbia"
Prende la vela / Cumbia de las Cubas,Mariachi Palomar,,"latin, cumbia"
Mi Indecision,Tropical Barrio Pobre,1980,"latin, cumbia"
El Bombero / El gato Melquiades,Los Bárbaros del Centro,,"latin, cumbia"
Si yo muero / Triste y alegre,Pastor López y su Combo,1984,"latin, cumbia"
Cumbia sampuesana / Con mi ritmo - ¡Si se puede!,Manuel Gonzalez Su Organo y Ritmos,1985,"latin, cumbia"
Sol milena / Noche de estrellas,Orquesta Tropicolombiana,1987,"latin, cumbia"
Solitos los dos / Luz de cumbia,Aníbal Velásquez,1986,"latin, cumbia"
El negro Sebastian / El carpintero del pueblo,Sonora Sangre Negra,1982,"latin, cumbia"
Oro verde / El llamador,Estrellas de Urabá,1982,"latin, cumbia"
El papasito / Linda mariposa,Grupo Rosado,1974,"latin, cumbia"
Unconvention / Ika,Frente Cumbiero,2012-07-20,"latin, cumbia"
Poco a poco,Los Continentales,1983,"latin, cumbia"
Y se va la vida,Los Continentales,,"latin, cumbia"
Dejala Corre / El Sapo / Crees Que Soy Sexy,Banda Los Hijos de La Niña Luz,2008-10-20,"latin, cumbia"
La cumbia nació en Baru / Las velas encendidas,Sonora Dinamita,1982,"latin, cumbia"
Soy valiente / El Africano,Lucy González,1984,"latin, cumbia"
La cumbia de los cuervos / Primer amor,Juaneco y su Combo,1983,"latin, cumbia"
Hasta que amanezca / Vamos a beber,Adolfo Echeverría y su Orquesta,1986,"latin, cumbia"
Colegiala / Sueñas que te amo,Los Ilusionistas,1977,"latin, cumbia"
Lamento Calavera,Meridian Brothers,2014,"latin, cumbia"
Cumbia para ti / Mi problema,Orquesta Los Impactos,1985,"latin, cumbia"
La piñita / San pacho,Markkittos,1981,"latin, cumbia"
Atrévete y cuéntale / Tomalo tomalo,Grupo Trébol,1986,"latin, cumbia"
Sábalo mayero / La zafra,La Tromba,1983,"latin, cumbia"
"Nunca, nunca, nunca / El mecate",Los Sonor’s,1970,"latin, cumbia"
Su Majestad la cumbia / Francisco el hombre,Las Emes,1983,"latin, cumbia"
Colombia tierra hermana / La niña triste,"Manuel González, Su Organo y Ritmos",1984,"latin, cumbia"
Cumbia grasa,Locomotora,2014-10-16,"electronica, cumbia"
El Método de la Cera Perdida,Frente Cumbiero,2020-03-27,"latin, cumbia"
