titulo,tipo,artista,fecha-lanzamiento,generos
Peinando los 50,Single,Bicho Raro,2023-01-06,"cumbia, cumbia villera, cumbia argentina"
¡Sonido Amazonico!,Album,Chicha Libre,2008-03-25,cumbia
Solo,Album,Mario Luis,2007,cumbia
Una lluvia de rosas,Album,Los Ángeles Azules,2001-06-26,cumbia
Doo Wop (That Thing) / Entre rejas,Single,Quantic,2013-08-12,cumbia
Viernes cultural,Album,Los Ángeles Azules,2014-11-04,cumbia
A Guide to the Birdsong of South America,Album,Various Artists,2015-03-03,cumbia
Moontribe,Album,Moontribe,2018-09-28,cumbia
Cumbias de oro,Album,El Búho,2015-07-15,cumbia
Mi niña mujer,Single,Los Ángeles Azules,2016-08-05,cumbia
"Balkumbia, Vol. 2",Album,Balkumbia,2018-06-01,cumbia
Tradición,Album,Big Band Show,1998-07-14,cumbia
Mezcla,Album,M.A.K.U. Soundsystem,2016-05-27,cumbia
Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,Album,Various Artists,2022-04-15,cumbia
El Indio Conakry,Album,La Rueda,2019-05-03,cumbia
Cumbia y Amor,Album,Guaynaa,2025-03-20,cumbia
Los Vecinos,Album,Los Vecinos,1981,cumbia
Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,Album,Various Artists,2023-04-07,cumbia
Cismo,EP,Reza,2022-03-17,cumbia
Los Trotamundos del Sabor,Album,Son Palenque,2022-10-23,cumbia
Camas Separadas,Album,Omar Shané,1991-11-04,cumbia
Balkumbia,Album,Balkumbia,2016-06-01,cumbia
Superbailable Vol. 1,Album,Orquesta Cumbia Grande,2015-01-06,cumbia
Superbailable Vol. 2,Album,Orquesta Cumbia Grande,2019-09-01,cumbia
En vivo en el Teatro Colón,Album,Orquesta Cumbia Grande,2014-04-10,cumbia
Perreo Maluco,Album,Bigote,2016-01-20,cumbia
"La música brava!, vol. 11",Album,Don Medardo y sus Players,1975-07-12,cumbia
El Keamo Mas,EP,El Keamo,2019-10-22,"cumbia, neo cumbia, digital cumbia, electrocumbia"
Corriendo la coneja,Album,Yerba Brava,2002,"latin, cumbia, cumbia villera"
Cumbias Chichadélicas : Peruvian Psychedelic Chicha,Album,Various Artists,2011-11-28,"latin, cumbia, cumbia peruana"
Perú Selvático: Sonic Expedition into the Peruvian Amazon 1972–1986 (Analog Africa No.36),Album,Various Artists,2022-12-16,"cumbia peruana, cumbia amazónica"
¡Un Saludo! Mexican Soundsystem Cumbia in LA,Album,Various Artists,2017-04-14,"electronic, cumbia, cumbia sonidera"
The Original Sound of Cumbia: The History of Colombian Cumbia & Porro as Told by the Phonograph 1948-79,Album,Various Artists,2011-12-05,"latin, cumbia, porro, cumbia colombiana"
Cumbia Pop,Album,Cumbia Pop,1988,"pop, latin, cumbia, cumbia pop"
Latin Only,Album,Various Artists,1999,"latin, cumbia"
La niña buena,Album,Mariana,2005,"latin, cumbia"
Cumbia Cumbia - A Selection of Colombian Cumbia Recordings,Album,Various Artists,1989,"latin, cumbia"
"30 pegaditas de oro, vol. 1",Album,La Sonora Dinamita,1999-01-01,"latin, cumbia"
¡Llegó la reina de la cumbia!,Album,La Sonora Dinamita,1997,"latin, cumbia"
Sigue La Locura,Album,Altos Cumbieros,2004,"latin, cumbia"
"Súper éxitos!, vol 1",Album,La Sonora Dinamita,1994,"latin, cumbia"
Corazón valiente,Album,Gilda,1995,"latin, cumbia"
Afro-Beat Airways: West African Shock Waves - Ghana & Togo 1972-1978,Album,Various Artists,2010-08-02,"afrobeat, cumbia"
Chico de oro,Album,Chico Trujillo,2010,"latin, cumbia"
100% villero,Album,Yerba Brava,2001,cumbia villera
Época dorada,Album,Los Ángeles Azules,2008-01-08,"latin, cumbia"
