titulo,tipo,artista,fecha-lanzamiento,generos
Fiesta en Colombia,Album,Pacho Galán Y Su Orquesta,1956,"jazz, big band, latin, merengue, cumbia, porro"
Dinamita,Album,La Sonora Dinamita,1961,"latin, cumbia, bolero, guaracha, porro"
Rito esclavo,Album,Pedro Laza y sus Pelayeros,1961,"funk, soul, latin, cumbia, mambo, porro"
La Sonora Cienaguera,Album,La Sonora Cienaguera,1962,"latin, merengue, cumbia, porro"
El camaleón,EP,Chico Novarro,1963,"pop, latin, merengue, cumbia"
16 grandes éxitos,Album,Peñaranda y Su Acordeón,1964,"latin, merengue, cumbia, vallenato, porro"
Más cumbias,Album,Various Artists,1964,"latin, cumbia"
Recuerdo De Los Morochucos,Album,Los Morochucos,1964,"latin, cumbia"
Jugando con cleta,Album,Peñaranda y Su Acordeón,1964,"latin, merengue, cumbia, vallenato, porro, plena"
Mi cafetal,Album,Marimba Hermanos Paniagua,1965,"latin, cumbia"
Very Very Well,Album,Lito Barrientos y su Orquesta,1965,"rock, rock and roll, latin, cumbia, porro"
El magnifico,Album,Joe Cotto y su Orquesta,1966,"latin, merengue, cumbia, descarga, bolero, guaracha, son montuno"
Hoy Cumple Sus 15 Años - Mi Niña Bonita,Album,Tomas De San Julian,1966,"pop, ballad, latin, cumbia, copla, pasodoble"
Fuiste a Acapulco,Album,Los Xochimilcas,1966,"pop, latin, cumbia, bolero, guaracha"
¡Cumbiando…!,Album,Los Xochimilcas,1967,"latin, cumbia"
Los Destellos,Album,Los Destellos,1967,"rock, psychedelic, latin, cumbia, descarga, bolero, guajira"
Negra Linda,Album,Sonora Casino,1967,"latin, cumbia, descarga"
Cumbias de Colombia,Album,Various Artists,1968,"latin, cumbia"
Albacitos De Oro,Album,Polibio Mayorga,1968,"electronic, latin, cumbia"
Mister Boogaloo,Album,Toño y sus Sicodélicos,1968,"salsa, latin, cumbia, guaguancó"
Los Sideral's,Album,Los Siderals,1968,"rock, latin, cumbia"
Mister Boogaloo,Album,Toño y sus Sicodélicos,1968,"salsa, latin, cumbia, guaguancó"
Mister Boogaloo,Album,Toño y sus Sicodélicos,1968,"salsa, latin, cumbia, guaguancó"
Musica Demoledora,Album,Julián y su Combo,1969,"latin, cumbia, pachanga, descarga, guaracha, guajira"
En orbita,Album,Los Destellos,1969,"boogaloo, guajira, cumbia peruana"
Nuevo tumbao,Album,Los Corraleros,1969,"latin, cumbia, pachanga, vallenato, corrido, porro, guajira"
Navidad de puerta en puerta,Album,Los Xochimilcas,1969,"latin, cumbia"
Navidad de puerta en puerta,Album,Los Xochimilcas,1969,"latin, cumbia"
El Talento Unico De Los Rivero,Album,Los Rivero,1969,"pop, latin, cumbia, bolero, guaracha, guajira"
En orbita,Album,Los Destellos,1969,"boogaloo, guajira, cumbia peruana"
Ritmos espaciales,Album,Los Siderals,1969,"rock, latin, cumbia"
¡Se formó la salsa!,Album,Roberto de la Barrera y su Sonora,1970,"jazz, salsa, latin, merengue, cumbia, descarga, bolero, guaracha, guaguancó"
Cum Cumbele,Album,Michi Sarmiento y su Combo Bravo,1970,"latin, cumbia, descarga, guaguancó"
En la cumbre,Album,Los Destellos,1970,"rock, psychedelic, latin, cumbia, guajira"
El gran cacique,Album,Juaneco y su Combo,1970,"psychedelic, latin, cumbia, guaracha"
"Nunca, nunca, nunca / El mecate",Single,Los Sonor’s,1970,"latin, cumbia"
Olvidame Si Puedes / Es Tarde Ya,Single,Orquesta Hermanos Flores,1970,"latin, cumbia"
Sonora Borinquen,Album,Sonora Borinquen,1970,"latin, cumbia, bolero, guaracha, plena"
Cum Cumbele,Album,Michi Sarmiento y su Combo Bravo,1970,"latin, cumbia, descarga, guaguancó"
En la cumbre,Album,Los Destellos,1970,"rock, psychedelic, latin, cumbia, guajira"
Lo mejor de Los Galleros,Album,Los Galleros,1971,"latin, cumbia, porro"
Constelación,Album,Los Destellos,1971,"rock, latin, calypso, cumbia, descarga, guaguancó"
Ritmo Y Sabor Con Los Imperial's,Album,Los Imperial's,1971,"electronic, salsa, latin, merengue, cumbia"
Los éxitos,Album,Lucho Bermúdez y su Orquesta,1971,"latin, cumbia"
Clase aparte,Album,Los Destellos,1971,"psychedelic, latin, cumbia, descarga, bolero, guaracha"
Trompeteros,Album,Sonora Casino,1972,"psychedelic, latin, cumbia, descarga, guaracha"
Matamoros querido,Album,Costa Azul,1972,"latin, cumbia"
Trompeteros,Album,Sonora Casino,1972,"psychedelic, latin, cumbia, descarga, guaracha"
Matamoros querido,Album,Costa Azul,1972,"latin, cumbia"
Cumbias y gaitas famosas de Colombia,Album,Various Artists,1973,"latin, cumbia"
La danza de los mirlos,Album,Afrosound,1973,"jazz, latin, cumbia"
¡Tremendo Ritmo!,Album,Los Orientales de Paramonga,1973,"psychedelic, latin, cumbia, guaracha"
El sonido selvático,Album,Los Mirlos,1973,"latin, cumbia, guaracha"
Por Borracho,Album,Orquesta Hermanos Flores,1973,"latin, cumbia"
Sabor Panameño,Album,Puerto Rico,1973,"latin, cumbia, guaracha, guajira"
Arrollando,Album,Los Destellos,1973,"rock, psychedelic, latin, cumbia, descarga, guaguancó"
Golpiando,Album,Various Artists,1973,"latin, cumbia, vallenato"
¡Tremendo Ritmo!,Album,Los Orientales de Paramonga,1973,"psychedelic, latin, cumbia, guaracha"
Traigo salsa,Album,Los Papasotes,1973,"salsa, latin, cumbia, guaracha, guaguancó"
Traigo salsa,Album,Los Papasotes,1973,"salsa, latin, cumbia, guaracha, guaguancó"
Echando un pie sin complejos,Album,Los Satélites,1974,"salsa, latin, cumbia, bolero"
Echando un pie sin complejos,Album,Los Satélites,1974,"salsa, latin, cumbia, bolero"
El papasito / Linda mariposa,Single,Grupo Rosado,1974,"latin, cumbia"
