titulo,tipo,artista,fecha-lanzamiento,generos,id
Tam… Tam… Tam…!,Album,José Prates,1958,"jazz, mpb, samba, latin, batucada, corrido",1b4d129d-fe19-4457-b4b1-12df33bb60c1
El Mejor Mariachi del Mundo,Album,Mariachi Vargas de Tecalitlán,1958,"latin, mariachi, ranchera, corrido",423cc11f-d6c2-48e7-9e42-b50ad89a9d96
"El Mejor Mariachi del Mundo, Vol. II",Album,Mariachi Vargas de Tecalitlán,1959,"latin, mariachi, ranchera, corrido",4a8c47ec-bf45-4c7e-8bc9-f5bead5fe9ce
Los Broncos de Reynosa,Album,Los Broncos de Reynosa,1965,"latin, ranchera, norteño, corrido",dde435ca-c58d-4e3a-afdd-bcf0b8cbaa64
Cantares de la revolución mexicana,Album,Hermanos Záizar,1967,"latin, mariachi, corrido",75a6747f-9493-4321-b6e1-642983a74c30
Jose Alfredo Jimenez canta sus canciones,Album,José Alfredo Jiménez,1968,"ranchera, regional mexicano, corrido, banda sinaloense",d2197429-59b5-4092-a38a-a20bee7f626f
Alegría y sentimiento del corrido,Album,Hermanos Záizar,1968,"latin, corrido",cf51f7a5-e1b2-429f-99c7-ddbb63b4416a
Léo Canhoto & Robertinho,Album,Léo Canhoto & Robertinho,1969,"latin, rumba, bolero, sertanejo, corrido",05562851-e769-4944-b8b6-63917e3f05b8
Nuevo tumbao,Album,Los Corraleros,1969,"latin, cumbia, pachanga, vallenato, corrido, porro, guajira",f0789bd3-48e8-4432-9d97-35599b53e082
Cánticos y testimonios,Album,José de Molina,1971,"latin, nueva canción, corrido",1396dd1f-3dc9-4c8f-9bf7-edcf86df8583
Testimonios rebeldes,Album,José de Molina,1972,"latin, corrido",beed2d31-20a0-47c9-8f15-a94d3dc48103
Internacionalmente norteños,Album,Los Tigres del Norte,1976,"latin, norteño, corrido",b381d1ca-c5bc-47da-b58b-f99fcce47932
In Concert,Album,Bob Wills and His Texas Playboys,1976,"blues, country, texas blues, latin, western swing, corrido",9f8c1d74-45d8-428b-802a-a3cf0eddbb1c
Carabina 30-30,Album,Massiel,1976,"pop, folk, latin, corrido",79a81c8f-8190-4f64-a1cf-49266efbefb5
Contrabando y traición,Album,Los Navegantes del Norte,1976,"latin, ranchera, norteño, corrido",d0cff9f0-922d-4da2-8a4c-8f4db7a05033
Los mejores corridos,Album,Los Gorriones del Topo Chico,1978,"latin, norteño, corrido",345e7313-d66e-49e9-b55d-864225b48117
Vicente Fernandez,Album,Vicente Fernández,1978,"latin, bolero, ranchera, corrido",84903ef6-3e37-49d4-8dc8-d82426b8a356
Desprecio,Album,Los Madrugadores Del Valle,1979,"latin, cumbia, bolero, ranchera, norteño, corrido",e84ab412-412d-47b2-a5f7-5169e8cb8402
Salsa... roja,Album,José de Molina,1979,"latin, corrido",f75836b0-cf02-453a-bb77-a963e214db5e
Me voy de estas tierras,Album,Carlos y José,1981,"latin, bolero, ranchera, norteño, corrido",8910205b-c48c-4823-a9bf-d9126a4be8b1
Manifiesto,Album,José De Molina,1983,"rock, rock and roll, latin, non-music, bolero, trova, corrido",7070fe8c-e71f-4341-838b-77eede90697d
Todo,Album,Juan Gabriel,1983,"pop, flamenco, latin, mariachi, ranchera, corrido",3f2130c9-6632-42ee-88f1-38b499304b33
Los Madrugadores Del Valle,Album,Los Madrugadores Del Valle,1984,"latin, cumbia, bolero, ranchera, norteño, corrido",ff7e088b-ae25-44ea-82cb-9bc35db047d4
