titulo,tipo,artista,fecha-lanzamiento,generos,id
El nuevo contrabando / Viejitos del central,Single,Los Luceros del Norte,1980,"latin, merengue, corrido",1ddacf29-503c-4476-a572-d987abde7fe4
Con solo un beso,Single,Beto Vega,2014,"latin pop, latin, regional mexicano, corrido",71d039b0-b1e4-4eef-a459-ae0baf0c9e6d
WATERBODYFLAWS,Single,AERO GROS M,2020,"trance, electronic, drum and bass, breakcore, experimental, corrido, nightcore",f3e4cdb0-4591-466f-be39-ee2d085ef459
MAGNOLIA,Single,AERO GROS M,2020,"electronic, experimental, lo-fi, psychedelic, corrido, vaporwave",fade08b8-ebff-42af-86fe-d3ff46a404d2
YOU'RE NOT AN ORDINARY FELLA,Single,AERO GROS M,2020,"electronic, experimental, corrido, cloud rap, nightcore",ecd05097-b6c8-40fb-90e9-75e98131fb67
ON GOD,Single,AERO GROS M,2020,"electronic, experimental, corrido",45d5d879-68ce-4e07-a661-4f0100abd84c
El niño de Los Copales,Single,Kanales,2023,"regional mexicano, corrido",688df0f9-c089-4b0f-a4f7-cafb3983e8ec
Ella baila sola,Single,Eslabón Armado,2023,"regional mexicano, corrido",d549b842-3073-4df5-8fee-2d17ffe9aa57
Lady Gaga,Single,Peso Pluma,2023,corrido,c20b9cc7-34e4-4f2b-b7e8-749043df3cc3
Si No Quieres No,Single,Luis R Conriquez,2024,"regional mexicano, corrido tumbado",cfa4667c-01d4-4bdf-a0b3-86957357f456
