titulo,tipo,artista,fecha-lanzamiento,generos,id
Super Combo Los Tropicales,Album,Super Combo Los Tropicales,1964,"salsa, latin, merengue, cumbia",a72e674d-7bae-4325-9401-91355b9dc346
Tito Puente Swings - The Exciting Lupe Sings / La exitante Lupe canta con el maestro Tito Puente,Album,Tito Puente,1965,"jazz, salsa, latin",e911025f-d056-492e-88e1-d9b61368f2f6
Soul Sauce,Album,Cal Tjader,1965,"jazz, salsa, smooth jazz",bc9d9386-d7bd-4ae4-b7c2-f618ce009dfd
Soul Bird: Whiffenpoof,Album,Cal Tjader,1965,"jazz, salsa, latin jazz",f34ec733-0a25-4194-9f8b-d8dcac2afef0
Son con guaguancó,Album,Celia Cruz,1966,salsa,63030607-6ae1-425c-9c61-c896b631716d
Éxitos bailables,Album,Super Combo Los Tropicales,1966,"salsa, latin, merengue",12619e93-9fdb-4ab3-9db4-71d44e91883b
Bad Breath,Album,Bobby Valentín,1967,"salsa, latin, boogaloo, guaguancó",db51c692-d8ec-3ad7-95c0-fcfc228f7f9c
Jala Jala y Boogaloo,Album,Ricardo Ray,1967,salsa,1cf15bf8-c645-41ec-af33-563383f5a4c3
Roly Poly,Album,Ray Jay and the Eastsiders,1967,"salsa, latin, bolero",
La nueva sensación musical de Puerto Rico,Album,Tommy Olivencia y su Orquesta,1967,"salsa, latin, bolero, guaguancó",33c94b0d-1f42-49b0-a886-84e1b32a2160
"Oh, That's Nice! Ay, qué bueno!",Album,Pete Rodríguez y su Conjunto,1967,"salsa, latin, descarga",5bf7b536-1210-4101-8a0c-27c63a6ccae7
Esos ojitos negros,Album,El Gran Combo,1967,"salsa, latin, merengue, bolero",fca3cfa7-138f-4e77-af0e-14401c1a0605
La Lupe's Era / La era de La Lupe,Album,La Lupe,1968,"pop, salsa, latin",749166d6-0659-4711-8be1-20c8c08b0e6a
The Hustler,Album,Willie Colón,1968,"salsa, latin",90729f65-7c17-4658-81c0-526d3b5ecd25
Mister Boogaloo,Album,Toño y sus Sicodélicos,1968,"salsa, latin, cumbia, guaguancó",daadfb13-6f70-43e1-859f-b4adae2c2ece
"Jala, Jala Boogaloo, Volume II",Album,Ricardo Ray,1968,salsa,566ddcf4-1026-4e81-801a-7e704062df28
Heat Wave,Album,Mr. Willie Rodriguez and his Orchestra,1968,"salsa, latin, descarga, guaguancó",
The Brooklyn Bums,Album,The Lebron Brothers,1968,"salsa, latin",cba4f868-e099-49bb-bbfc-b859815f44cf
Riot!,Album,Joe Bataan,1968,"salsa, latin, boogaloo",19783c8f-9cf5-4030-aa76-be0d30ee8e75
Ronda del guaguancó,Album,Los Kenya,1968,"salsa, latin, bolero, guaguancó",1dfd8bb1-1283-4bce-8b70-62718f9146bb
Introducing Ray Rodriguez And His Orchestra,Album,Ray Rodriguez & His Orchestra,1968,"salsa, latin, guaguancó",24d0e2dd-f495-441d-8bc8-83461c0518a1
Guaguancó internacional,Album,Super-combo Bellamar,1969,"salsa, latin, descarga, guaguancó",e2b43d50-8dc5-493f-803c-492d2ef5eba9
Poor Boy,Album,Joe Bataan,1969,"salsa, latin, r&b",57a42486-d1ea-48bb-a89c-c8ca36cf6bc2
Muerto de la risa,Album,Shorty Ramirez,1969,"salsa, latin",0704b911-5636-4ee7-9cad-13dc0658e12c
Canto a Pánama,Album,Orquesta La Ofensiva,1969,"salsa, latin, guaguancó",
I Believe,Album,The Lebron Brothers,1969,"soul, salsa, latin",d225feeb-f239-4a00-b6d7-108db5f5b68f
Guisando (Doing a Job),Album,Willie Colón,1969,"salsa, latin",7cb6ea3f-63f2-403e-8be5-54cf4e446bcc
Delusion,Album,Ray Rodriguez & His Orchestra,1969,"salsa, ballad, latin, guaguancó",ffa59ffa-fdbc-41c1-abd9-b40f139aac79
Vibración & ritmo,Album,Federico y su Combo Latino,1969,"salsa, latin",231be3de-3dec-4354-a32f-a3bb298b3777
Que vacilon,Album,La Preferida De Felix Caraballo,1970,"salsa, latin, guaguancó",
The Best of Joe Cuba,Album,Joe Cuba,1970,"salsa, latin",ecb9fffe-cea1-47ec-9a17-de637e1421eb
That Genius Called the Queen... / Ese genio llamado La Reina...,Album,La Lupe,1970,"pop, salsa, latin, boogaloo",9ad1ff7b-15c3-430e-a65f-423370447d35
Mejor que nunca,Album,Federico y su Combo Latino,1970,"salsa, latin, guaracha",12b1dc99-dce1-4e99-86d0-6679f988b7e5
Ray Rodriguez Y Su Orquesta,Album,Ray Rodriguez & His Orchestra,1970,"salsa, latin, bolero",094611d9-a389-46ba-8f79-625122c62a1e
Agúzate,Album,Ricardo Ray & Bobby Cruz,1970,salsa,b74c292a-98fd-441b-b3cc-ed7823cd8030
Cero novela,Album,Puerto Rican Power,1970,"salsa, latin",b4245025-9837-4ba1-ab24-891149567ac2
Electric Harlow,Album,Orchestra Harlow,1970,"salsa, latin, boogaloo",9dce5e58-2506-4a26-9c32-207d929062db
¡Traigo salsa!,Album,Orquesta Salsa Latina,1970,"salsa, latin, bolero, guaguancó",2de0f222-b38e-44e4-be5c-1fd178287c83
Tesura,Album,Fruko y sus Tesos,1970,"salsa, latin, guaguancó",1f270b61-3073-4911-8f1f-91256def1b3d
The Message,Album,Ray Barretto,1971,"jazz, salsa, latin",d77eaf34-23ca-480a-a0f4-49b7998daec2
Mr. New York and the East Side Kids,Album,Joe Bataan,1971,"soul, salsa, latin",59f7e291-e4e0-44da-97d0-6fa8b061f364
Cheo,Album,Cheo Feliciano,1971,"salsa, latin",c28f60f7-3c8c-3616-a6e5-6cfc00fccc42
El bestial sonido de... Ricardo Ray y Bobby Cruz,Album,Ricardo Ray y Bobby Cruz,1971,salsa,62d88c61-5dd5-4625-96f5-cc6bd574ec3c
Lo último en la avenida,Album,Ismael Rivera,1971,"salsa, latin",dbd5aaaf-805f-4cec-a493-726f22a2c8d4
Los dinámicos,Album,Pacheco,1971,"salsa, latin, bolero",09c2bf07-60ca-4e6f-a9bc-830d176146f9
Orchestra Tentacion,Album,Orchestra Tentacion,1971,"salsa, latin",51228fe3-1cdc-4eee-9ef0-1c81c5e0307f
Crime Pays,Album,Willie Colón,1971,"salsa, latin",cdf62e80-9661-4abf-83d7-46190970616a
Los compadres,Album,Pacheco,1971,"salsa, latin",8e3a7c9c-a772-4c51-b324-f17a73868188
El Padrino (The Godfather),Album,Chaparro,1972,"salsa, latin, guaguancó",
El adiós,Album,Orquesta Zodiac,1972,"salsa, latin",9f352635-f7eb-4447-a3f1-f00e4a4f0255
Pindin con salsa,Album,Bush y sus Magníficos,1972,"salsa, latin, guaguancó",fb08d011-6562-474d-8394-9816c89551bd
Salsa pa' tu lechón,Album,Johnny Ventura y su Combo,1972,"salsa, latin, merengue",c3b51547-d80a-4921-a3f2-fcd2909c6d14
Labasta llegó,Album,Rafael Labasta,1972,"salsa, latin, guaguancó",335634aa-7bab-47c2-ad13-03a0112d7155
Fruko el bueno,Album,Fruko el Bueno,1972,"salsa, latin, guaguancó",7d5ba681-9434-4132-bd2a-d8795a60f4b7
Que traigan el son cubano,Album,Leyo Peña y su Orquesta,1972,"salsa, latin, guaguancó",8066948b-ed27-44b9-a1d2-3e4489856a39
Salsa Boricua,Album,"Wayne Gorbea con su conjunto ""Salsa""",1972,"salsa, latin, guaguancó",37500790-d8c3-4167-84e9-c8476819ef00
Si echo pa' lante,Album,Agustin Arce Y Su Nuevo Sonido,1972,"salsa, latin",38d54702-08e7-4915-ac0d-1b3570aa9f3b
Don Pastrana,Album,Joey Pastrana & His Orchestra,1972,"salsa, latin, rumba, bolero",d62631a6-d70e-4856-abf3-d2ec49f0880e
A la memoria del muerto,Album,Fruko,1972,"salsa, latin, descarga",d5096cec-107d-4c6a-9f9b-9a6624807703
Bomba Tropical,Album,Enrique Lynch y su Conjunto,1972,"funk, salsa, latin, rumba",
Esto fue lo que trajo el barco,Album,Ismael Rivera y sus Cachimbos,1972,"salsa, latin, bolero, guaguancó",da596dce-e2a4-42da-b164-ed590da01cb3
Macondo,Album,Macondo,1972,"funk, soul, salsa, latin",73956ed1-d77b-49aa-aac0-86c7d22e3776
Babo,Album,Babo Jiménez y su Banda,1972,"salsa, latin, bolero, guaguancó",403befdf-e7b4-4ca6-b43c-75406c484333
Latin Dimensions con Roberto Torres,Album,Latin Dimensions,1972,"jazz, salsa, latin, guaguancó",1199a138-56c8-4797-8e17-f4fc840c37a3
Tin marín,Album,Los Kintos,1972,"salsa, latin, guaracha, guaguancó",ecc39a12-7554-4897-a0bb-a3f2293ec892
El castigador,Album,Roberto Torres,1973,"salsa, latin, bolero, guaguancó",2b377e74-1594-4509-a42f-e925e875b42a
Quien,Album,Orquesta La Dominante,1973,"salsa, latin, bolero, guaguancó",074acab5-2827-41c5-8c79-8a0ab3387ea5
“Ayunando”,Album,Fruko el Bueno,1973,"salsa, latin, guaguancó",e2998e09-d2b9-4c78-ae76-cd7f8d433f56
El violento,Album,Fruko y sus Tesos,1973,"salsa, latin, guaguancó",5a306164-571d-4d5b-add1-856e496b80c9
El Velerito,Album,Las Estrellas Latinas,1973,"salsa, latin, guaguancó",
Moi Y'en A Vouloir Des Sous (Chansons Originales Du Film),Album,Jean Yanne,1973,"pop, funk, salsa, latin",f4b2e99c-3106-4144-a2dd-a7f415118b96
Impacto Crea,Album,Impacto Crea,1973,"salsa, latin, mambo",715526df-83c5-41d2-982a-cacf1f3bf75e
"Belleza espiritual, vol. II",Album,Orquesta Zodiac,1973,"salsa, latin, guaguancó",
Tata Vazquez y su Cucumay,Album,Tata Vazquez y su Cucumay,1973,"salsa, latin, descarga, bolero",7a42df71-d3cc-48cd-bc41-261c6c93bd58
Vengo por la maceta,Album,Ismael Rivera con sus Cachimbos,1973,"salsa, latin",d1566bd2-f7d1-49fa-9355-fc31baaaf1ae
Tres de café y dos de azúcar,Album,Pacheco,1973,"salsa, latin",fec3a564-4003-43df-9956-9f3cb4409930
Guanica Brass,Album,Nelson Feliciano Orch.,1973,"salsa, latin",af8855a1-ed63-442f-a26b-516705631336
Nelson Feliciano,Album,Nelson Feliciano,1973,"salsa, latin, bolero, guaguancó",e1004351-ae5e-4461-8a1f-53dad1abd895
Voy pa' Borinquen estas navidades,Album,Orquesta Suprema,1973,"salsa, latin, bolero, guaguancó",da9bbd14-cc32-46f2-a75c-b33c1fa4b293
El party con La Crema,Album,La Crema,1973,"funk, salsa, latin, bolero",e41c8e4f-f3ba-4394-b78d-dc347d0ccf6e
Juntos de nuevo,Album,Tommy Olivencia,1974,"salsa, latin, bolero",76ecb91d-cf36-4b3e-aa9f-117cd0d0bd3b
En Venezuela pa' mi gente,Album,Cheo Feliciano,1974,"salsa, latin",
Willie,Album,Willie Colón,1974,"salsa, latin",740f2445-5d4c-41ad-b5f5-8ec71571e54d
Celia & Johnny,Album,Celia,1974,salsa,2ae4871f-37f7-42b2-a2b6-861575ed1cc3
El Conde,Album,Pete Rodríguez,1974,"salsa, latin",b096ed6e-1e9f-3c17-bfb3-d4bceeba4093
Rey del bajo,Album,Bobby Valentín,1974,"funk, salsa, latin, descarga",324ff48a-e8c6-458e-af43-d39ceb10d452
Dimensión Latina '75,Album,Dimensión Latina,1974,"salsa, latin",fedc8593-5c22-4abf-b70b-5637a8733a97
A Gozar Salsomanos Con Los Afroins,Album,los afroins,1974,"salsa, latin, guaguancó",
Violento!,Album,Paco Navarrete,1974,"salsa, latin, guaguancó",
Echando un pie sin complejos,Album,Los Satélites,1974,"salsa, latin, cumbia, bolero",
Quién es quién,Album,"Creacion ""75""",1974,"salsa, latin, guaguancó",9b22eea2-0bf9-46da-97eb-939f056d66da
Orquesta Casino 77 De Mike Hernandez,Album,Orquesta Casino 77 De Mike Hernandez,1974,"salsa, latin, guaguancó",
Lo Maximo,Album,Hector Rivera & His Orchestra,1974,"salsa, latin, bolero, guaguancó",357e6099-70b8-448e-a67a-03a9c029bafd
Salsa,Album,Blackbuster,1975,"disco, salsa, latin",d1952f68-e329-4395-99b0-23a00f6a6e26
Estamos en guerra,Album,Los Dementes,1975,"salsa, latin, descarga, guaguancó",c2d88dce-7fba-4f5f-a69f-81d823e57215
"Live at Yankee Stadium, Vol. 1",Album,Fania All Stars,1975,"salsa, latin",56d1282c-0a26-4bc6-8d59-d323d8183305
"Live at Yankee Stadium, Vol. 2",Album,Fania All Stars,1975,"salsa, latin, descarga, chachachá",6a65115a-40ca-4493-94e1-58d6d65c1aa7
¡¡ Campeones !!,Album,Los Girasoles,1975,"salsa, latin, cumbia",304f5473-ea0a-41c8-b267-d928c2d727bc
Pura salsa,Album,Azuquita y su Orquesta Melao,1975,"salsa, latin",b43403bd-fc8f-40a1-9580-f164c7fbeda2
Sabor moderno,Album,Jimmy Urbina,1975,"salsa, latin, merengue, bolero",0eed1fca-f76c-4c4d-861e-57ed33a40f69
Reincarnation,Album,Orquesta Narváez,1975,"salsa, latin, descarga",e4e39f4b-03da-464a-b985-79cc33e791c2
El maestro,Album,Pacheco,1975,"salsa, latin, bolero",8ec8d52d-43f5-4c20-bcbb-c505724fc827
Sabor,Album,Ángel Canales,1975,"salsa, latin, bolero",e43f023a-230b-41c0-9ba9-71fa5ccf1101
Juan Piña Con La Revelacion,Album,Juan Piña Con la Revelación,1975,"salsa, latin, guajira",d94ae539-e616-4232-b5ac-0eae6719e9dc
Danny Gonzalez y su Orquesta Sensacional,Album,Danny Gonzalez y su Orquesta Sensacional,1975,"salsa, latin, bolero, guaguancó",827e3454-20d4-4d48-9473-a6456d506d88
La voz,Album,Héctor Lavoe,1975,"salsa, latin",e940764d-e804-4520-8d29-3e72b7dc4483
Brazilia Carnaval,Album,Chocolate Boys,1975,"pop, disco, salsa, latin",ca7c87a4-7c1c-420e-a354-7ef294bb860e
Fruko el grande,Album,Fruko y sus Tesos,1975,"salsa, latin, guaguancó",6433a0fd-73f6-4966-98ec-8783a50917c2
Orquesta Mundo,Album,Orquesta Mundo,1975,"salsa, latin, guaguancó",974df2f1-7b11-47ab-9685-c35ae7cb85c1
Alto voltaje,Album,Orquesta Power,1975,"salsa, latin, bolero, guaguancó",54b5ed21-1776-4dcb-87af-2998ad03df4a
Bonche con Damirón,Album,Damirón,1975,"salsa, latin, merengue, bolero",a7f34851-ba7f-4285-aa0e-e58cf5624a70
Si eliminaran los feos,Album,Los Dementes,1975,"salsa, latin, descarga, guaguancó",875017a2-64ef-4459-8c90-7682a125adf5
Planté bandera,Album,Tommy Olivencia y su Orquesta,1975,"salsa, latin, bolero",21e70129-62ef-4c7d-817c-13fed95cf0be
El sonero de Africa,Album,Laba Sosseh,1976,"salsa, latin",237e3ae1-5ee1-4489-b97c-aac2d47f7808
Este negro sí es sabroso,Album,Pete Conde,1976,"salsa, latin, bolero, guaguancó",9d84c322-9427-4c20-b39c-cdb11b093d74
La Fuerza Latina,Album,La Fuerza Latina,1976,"salsa, latin",0cafd729-30ec-4de9-8374-1d74a0662f96
Introducing La Sonora Borinquen Featuring Ray Hernandez,Album,Sonora Borinquen,1976,"salsa, latin",9b8dbeab-a6a1-4675-942d-8a7fd3b49872
Recordando el ayer,Album,Celia,1976,"salsa, latin, rumba",af7eda76-10d0-32f5-b6dd-eedaee543766
Introducing Lalo Rodríguez & Simón Pérez,Album,Tommy Olivencia,1976,"salsa, latin",eb119ad7-56c1-4988-aa71-84f3daa523c7
A Bailar Con La Orquesta Los Caribes,Album,Los Caribes,1976,"salsa, latin, merengue, cumbia",d151c7e0-30f2-474e-a64a-7acd78baa39c
Tirense con la escoba,Album,Los Mirlos,1976,"psychedelic, salsa, latin, cumbia",90dfbbb7-26d8-4047-8695-cec879f66c92
La coquetona part 2 / Santiago,Single,Frankie Dante,1976,"salsa, latin",
Con bastante sabor,Album,La Protesta de Colombia,1976,"salsa, latin",9ee74616-07be-4a9f-be10-412f4e6422de
Viva La Salsa,Album,La Banda Salsa,1976,"funk, salsa, latin",68e06888-83ff-4001-a515-3b4eff057bc5
De ti depende,Album,Héctor Lavoe,1976,salsa,ed8763e7-b374-4ea7-ac3f-dedb5908edbe
Mi Pánama está chévere,Album,Orquesta La Ofensiva,1976,"salsa, latin, guaguancó",
Puerto Rico (Island of the Sun),Single,Sonny Bottari,1976,"disco, salsa, latin",3bb1761e-56bc-45f3-a9e2-616968aaa8e3
A millón...,Album,El Clan de la Salsa,1977,"salsa, latin, bolero, guaguancó",0cf422f4-9e99-4ca2-a8e4-6499afdb0e56
I Go to Rio / This Time Around,Single,Peter Allen,1977,"salsa, latin",
Qué será será / El pipón,Single,Flamboyan All Star Band,1977,"salsa, latin",
Guarare,Album,Guararé,1977,"salsa, latin",6e855a0c-b8ce-482f-ab2c-2faf99a3aca4
Dimensión Latina '78: 780 kilos de salsa,Album,Dimensión Latina,1977,"salsa, latin",0e43fda8-ef84-4212-8cf9-6b5cd9fa74c8
