titulo,tipo,artista,fecha-lanzamiento,generos,id
La coquetona part 2 / Santiago,Single,Frankie Dante,1976,"salsa, latin",
Puerto Rico (Island of the Sun),Single,Sonny Bottari,1976,"disco, salsa, latin",3bb1761e-56bc-45f3-a9e2-616968aaa8e3
I Go to Rio / This Time Around,Single,Peter Allen,1977,"salsa, latin",
Qué será será / El pipón,Single,Flamboyan All Star Band,1977,"salsa, latin",
Chica Boom,Single,Charanga 76,1977,"salsa, latin",2bcffbec-6631-4cac-9086-7f74e3ad05d9
Regresarás,Single,Charanga 76,1978,"salsa, latin, charanga",a4f2f7a2-b863-4e84-8518-32dbe6f1d114
Dueño de tu amor / Son en ambiente,Single,La Renovación,1978,"salsa, latin",896c4831-c6c7-47a1-8cf4-4cb114d17fe9
Usted no me conoce / Aqui hay un hombre gozando,Single,Nuestra Orquesta La Salsa Mayor,1979,"salsa, latin",bd72e090-9e5c-4419-9318-67e99fa46212
Sorbito de champagne / Increible,Single,Pastor López,1983,"salsa, latin, cumbia",1975dac7-9e43-407e-b530-f731875c7fd3
Ojos malos / Quiereme un poquitico,Single,Linda Leida y La Bahía,1984,"salsa, latin",9e2b64a7-15de-458c-b90b-6fbb9352bd84
La envidia / Muchacha de las orillas,Single,Alfredo Barrantes,1984,"salsa, latin, cumbia",6d2a7d08-1983-46d6-9ddf-cdf8c110c8ce
Mal agradecido / Guaba,Single,Gladys Santos,1984,"salsa, latin, cumbia, guaguancó",096c9f01-5b2c-42c6-8340-f913efe85013
El africano,Single,Georgie Dann,1985,"disco, salsa, latin",65d5690e-f525-4f06-b0ee-9aa398e038e3
Wasmasjien,Single,Trafassi,1985,"pop, salsa, latin",bc7b37be-c3ff-4503-a261-0c8a68f720bd
Meneate / Yo llegare,Single,Alex León,1986,"salsa, latin, guaguancó",9d7ddd25-33be-4687-8454-d104a8832686
A mover la colita / Se me perdió la cadenita,Single,La Sonora Dinamita,1987,"pop, salsa, latin",b003ea1e-ec64-45dd-b003-523e757fbbe7
No pido revancha / Noches felices,Single,Palo Santo,1989,"salsa, latin, cumbia",50317f6d-eff2-4f09-b499-90229b0d7e5a
Eso quisiera / Nunca,Single,La Banda de las Estrellas,1990,"salsa, latin, cumbia, porro",38ceaf77-6a14-4728-b0a8-98e79945a449
Ven Devórame Otra Vez,Single,Azúcar Moreno,1990,"pop, salsa",
Una aventura,Single,Grupo Niche,1991,"salsa, latin",d256ff66-c50e-4f34-b730-1cbdc4131152
Bailando salsa,Single,Mecano,1992,"pop, salsa, latin",
Patios Batelles Y Callejones / Cataclismo,Single,Rey Reyes,1992,"salsa, latin",9b3719aa-6144-4702-80b4-6a32fcea7342
Soy esa mujer / Dime que te pasa,Single,Orquesta de la Luz,1992,"salsa, latin",f8921c0a-d22c-4b5d-a8a5-afa5d18eb370
Piragüero / Asia Minor,Single,Bio Ritmo,1996,"salsa, latin, rumba",4a8321c7-028d-42e8-b46c-85ff6d5194d8
Juegalo,Single,Candela Azul,1998,"electronic, salsa, latin",61b6368b-82f2-4e01-b9a4-04fa8617ab26
Mambo de la Luna,Single,Kirsty MacColl,1999,"electronic, breakbeat, salsa, latin",fda37afe-8c8c-4dc7-8fc7-322d5b82560c
Let’s Get Loud,Single,Jennifer Lopez,2000,"electronic, house, salsa, latin",1780b0c4-235c-40ff-b8bc-a3610c166191
Sin fronteras,Single,Sergent Garcia,2001,"reggae, salsa, latin",
I Wanna,Single,Mariɐ N,2002,"pop, salsa, europop, latin",409f7bac-6883-46a9-bc42-ddaf55a61da7
Resiste Me,Single,Sergent Garcia,2002,"reggae, salsa, latin",
Ensorcelée,Single,Lorie,2004,"salsa, latin",c5b5ee52-77f8-48ba-ab89-66618eb75f06
Canta Conmigo,Single,Blue Man Group,2008,"electronic, samba, salsa, latin",a18c0505-f46e-47b2-a9a4-b8b2dd581bb8
It Had Better Be Tonight,Single,Jari Sillanpää,2008,"pop, salsa, latin",
Lisandra / Shoe Shine,Single,Bio Ritmo,2009,"salsa, latin",ac557ddd-c259-43a8-b0c2-dda322371ef8
Salsa Latine Tropicale,Single,Isis Figaro,2011,"salsa, latin",39cd50a1-e07f-4daa-ac81-90937d5f06fb
Bad Boy,Single,Sirando,2014,"salsa, latin",f3d6a425-b3bc-4f0f-876f-50517f015b85
Ate O Cho,Single,Gyselle Soares,2017,"salsa, latin",06efe378-2766-420b-9c18-c66acd93fb6b
Te olvidé,Single,Alina Serna,2017,salsa,
Te necesito,Single,Alina Serna,2018,salsa,34953323-4886-40cd-98b8-94fcc8404f1e
Probablemente,Single,Daniela Darcourt,2018,salsa,28d1af54-f624-4b76-bd48-543325768535
