titulo,tipo,artista,fecha-lanzamiento,generos,id
Son con guaguancó,Album,Celia Cruz,1966,salsa,63030607-6ae1-425c-9c61-c896b631716d
Jala Jala y Boogaloo,Album,Ricardo Ray,1967,salsa,1cf15bf8-c645-41ec-af33-563383f5a4c3
"Jala, Jala Boogaloo, Volume II",Album,Ricardo Ray,1968,salsa,566ddcf4-1026-4e81-801a-7e704062df28
Agúzate,Album,Ricardo Ray & Bobby Cruz,1970,salsa,b74c292a-98fd-441b-b3cc-ed7823cd8030
El bestial sonido de... Ricardo Ray y Bobby Cruz,Album,Ricardo Ray y Bobby Cruz,1971,salsa,62d88c61-5dd5-4625-96f5-cc6bd574ec3c
Celia & Johnny,Album,Celia,1974,salsa,2ae4871f-37f7-42b2-a2b6-861575ed1cc3
De ti depende,Album,Héctor Lavoe,1976,salsa,ed8763e7-b374-4ea7-ac3f-dedb5908edbe
Perdido,Album,Alegre All Stars,1977,salsa,92782dfe-4150-4691-8645-8f8b35e94a43
Siembra,Album,Willie Colón,1978,salsa,f98abc02-4b12-4b4d-96ad-04205443d772
Comedia,Album,Héctor Lavoe,1978,salsa,1657aa43-c8d3-49c6-a1ab-86674358acbe
Al pasito,Album,Grupo Niche,1979,salsa,b67e35c8-93fe-478c-ada5-b5a99d4b4d3a
El sabio,Album,Héctor Lavoe,1980,salsa,72a81e21-5276-3bd2-8f1a-f3feeb6f15c6
"Solista, pero no solo",Album,Frankie Ruiz y su Orquesta,1985,salsa,114a8aae-ce5a-4c53-9787-edab59fd0462
Innovations,Album,El Gran Combo de Puerto Rico,1985,salsa,1175f84e-56b3-4cf1-b456-7b92243141c2
Revento,Album,Héctor Lavoe,1985,salsa,c37c233f-ea47-4710-87e4-2787a23cd44b
Y su pueblo,Album,El Gran Combo de Puerto Rico,1986,salsa,07eecf86-c2dd-4bd4-b3fa-e364cde7c949
... Voy pa' encima,Album,Frankie Ruiz,1987,salsa,350dbe6c-a7af-4221-815e-a32fed0f966d
Amor y alegría,Album,Luis Enrique,1988,salsa,d386a01e-0122-474b-a0f2-b32c317f1768
Romántico y... sabroso,Album,El Gran Combo de Puerto Rico,1988,salsa,e069a0f6-958b-435b-8050-c01b1537f30e
Cielo de tambores,Album,Grupo Niche,1990,salsa,c5181192-e72b-49d7-8f22-bcfd432164c4
Punto de vista,Album,Gilberto Santa Rosa y su Orq.,1990,salsa,eecb4817-8a4d-420f-8a41-ce870411a93d
Perspectiva,Album,Gilberto Santa Rosa,1991,salsa,20715764-e21d-47e3-872a-f9a234bde82e
From Cali with Love,Album,Moncho Santana,1991,salsa,3f4c0756-0def-44d0-b3d8-0c1b8489bbd6
5 años aferrados al sabor,Album,Guayacán Orquesta,1991,salsa,8463344b-2ccd-4dfd-8bce-ab44a22fe956
Sabor en pasta,Album,Wilson Saoco,1991,salsa,c1e3c4ee-5614-4cdb-a1b7-ac510ebcc94e
Cuenta conmigo,Album,Jerry Rivera,1992,salsa,054a4be4-bb24-4e5a-8425-ef86711ca68f
Llegó la India via Eddie Palmieri,Album,India,1992,salsa,6da1f984-eba1-4ff1-8ca8-242e2e20c49e
Loco de amor,Album,Nino Segarra,1992,salsa,f12bde1f-4c83-44bc-8337-47043e1a30f3
