Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Acoustic Grand Piano,0,59,B3,127,0.2135416666666643,20.0,20.213541666666664
Acoustic Grand Piano,0,67,G4,124,0.11458333333333215,20.25,20.364583333333332
Acoustic Grand Piano,0,64,E4,127,0.125,20.25,20.375
Acoustic Grand Piano,0,60,C4,127,0.21875,20.375,20.59375
Acoustic Grand Piano,0,67,G4,127,0.09895833333333215,20.625,20.723958333333332
Acoustic Grand Piano,0,64,E4,127,0.109375,20.625,20.734375
Acoustic Grand Piano,0,71,B4,120,0.1197916666666643,20.875,20.994791666666664
Acoustic Grand Piano,0,59,B3,120,0.2135416666666643,20.875,21.088541666666664
Acoustic Grand Piano,0,67,G4,127,0.09895833333333215,21.125,21.223958333333332
Acoustic Grand Piano,0,64,E4,127,0.11458333333333215,21.125,21.239583333333332
Acoustic Grand Piano,0,71,B4,126,0.1354166666666643,21.375,21.510416666666664
Acoustic Grand Piano,0,59,B3,127,0.28645833333333215,21.375,21.661458333333332
Acoustic Grand Piano,0,67,G4,116,0.1875,21.625,21.8125
Acoustic Grand Piano,0,64,E4,127,0.203125,21.625,21.828125
Acoustic Grand Piano,0,59,B3,127,0.03645833333333215,21.875,21.911458333333332
Acoustic Grand Piano,0,62,D4,104,0.015625,22.0,22.015625
Acoustic Grand Piano,0,60,C4,127,0.125,22.0,22.125
Acoustic Grand Piano,0,58,A#3,127,0.13020833333333215,22.0,22.130208333333332
Acoustic Grand Piano,0,64,E4,120,0.13020833333333215,22.0,22.130208333333332
Acoustic Grand Piano,0,55,G3,118,0.13020833333333215,22.0,22.130208333333332
Acoustic Grand Piano,0,58,A#3,127,0.19270833333333215,22.25,22.442708333333332
Acoustic Grand Piano,0,55,G3,120,0.19270833333333215,22.25,22.442708333333332
Acoustic Grand Piano,0,60,C4,127,0.203125,22.25,22.453125
Acoustic Grand Piano,0,64,E4,116,0.20833333333333215,22.25,22.458333333333332
Acoustic Grand Piano,0,64,E4,108,0.06770833333333215,22.625,22.692708333333332
Acoustic Grand Piano,0,58,A#3,127,0.0729166666666643,22.625,22.697916666666664
Acoustic Grand Piano,0,55,G3,118,0.0729166666666643,22.625,22.697916666666664
Acoustic Grand Piano,0,60,C4,126,0.08333333333333215,22.625,22.708333333333332
Acoustic Grand Piano,0,58,A#3,127,0.390625,22.875,23.265625
Acoustic Grand Piano,0,64,E4,116,0.390625,22.875,23.265625
Acoustic Grand Piano,0,55,G3,120,0.390625,22.875,23.265625
Acoustic Grand Piano,0,60,C4,127,0.40625,22.875,23.28125
Acoustic Grand Piano,0,55,G3,124,0.09895833333333215,23.375,23.473958333333332
Acoustic Grand Piano,0,64,E4,124,0.1041666666666643,23.375,23.479166666666664
Acoustic Grand Piano,0,58,A#3,127,0.1041666666666643,23.375,23.479166666666664
Acoustic Grand Piano,0,60,C4,127,0.109375,23.375,23.484375
Acoustic Grand Piano,0,55,G3,120,0.1875,23.625,23.8125
Acoustic Grand Piano,0,58,A#3,127,0.203125,23.625,23.828125
Acoustic Grand Piano,0,60,C4,127,0.21875,23.625,23.84375
Acoustic Grand Piano,0,64,E4,124,0.2291666666666643,23.625,23.854166666666664
Acoustic Grand Piano,0,59,B3,127,0.19270833333333215,24.0,24.192708333333332
Acoustic Grand Piano,0,66,F#4,127,0.1041666666666643,24.25,24.354166666666664
Acoustic Grand Piano,0,63,D#4,120,0.109375,24.25,24.359375
Acoustic Grand Piano,0,60,C4,127,0.25520833333333215,24.375,24.630208333333332
Acoustic Grand Piano,0,66,F#4,127,0.078125,24.625,24.703125
Acoustic Grand Piano,0,63,D#4,126,0.09375,24.625,24.71875
Acoustic Grand Piano,0,71,B4,120,0.109375,24.875,24.984375
Acoustic Grand Piano,0,59,B3,124,0.265625,24.875,25.140625
Acoustic Grand Piano,0,66,F#4,127,0.09895833333333215,25.125,25.223958333333332
Acoustic Grand Piano,0,63,D#4,126,0.11458333333333215,25.125,25.239583333333332
Acoustic Grand Piano,0,71,B4,124,0.1197916666666643,25.375,25.494791666666664
Acoustic Grand Piano,0,59,B3,126,0.3072916666666643,25.375,25.682291666666664
Acoustic Grand Piano,0,63,D#4,126,0.14583333333333215,25.625,25.770833333333332
Acoustic Grand Piano,0,66,F#4,127,0.16145833333333215,25.625,25.786458333333332
Acoustic Grand Piano,0,59,B3,127,0.0416666666666643,25.875,25.916666666666664
Acoustic Grand Piano,0,59,B3,127,0.17708333333333215,26.0,26.177083333333332
Acoustic Grand Piano,0,67,G4,127,0.1197916666666643,26.25,26.369791666666664
Acoustic Grand Piano,0,64,E4,127,0.125,26.25,26.375
Acoustic Grand Piano,0,60,C4,127,0.2135416666666643,26.375,26.588541666666664
Acoustic Grand Piano,0,67,G4,127,0.09375,26.625,26.71875
Acoustic Grand Piano,0,64,E4,127,0.109375,26.625,26.734375
Acoustic Grand Piano,0,59,B3,127,0.1822916666666643,26.875,27.057291666666664
Acoustic Grand Piano,0,64,E4,127,0.1041666666666643,27.125,27.229166666666664
Acoustic Grand Piano,0,67,G4,127,0.1197916666666643,27.125,27.244791666666664
Acoustic Grand Piano,0,60,C4,127,0.20833333333333215,27.375,27.583333333333332
Acoustic Grand Piano,0,64,E4,127,0.171875,27.625,27.796875
Acoustic Grand Piano,0,67,G4,127,0.1875,27.625,27.8125
Acoustic Grand Piano,0,60,C4,127,0.05208333333333215,27.875,27.927083333333332
Acoustic Grand Piano,0,59,B3,127,0.2135416666666643,28.0,28.213541666666664
Acoustic Grand Piano,0,67,G4,124,0.11458333333333215,28.25,28.364583333333332
Acoustic Grand Piano,0,64,E4,127,0.125,28.25,28.375
Acoustic Grand Piano,0,60,C4,127,0.21875,28.375,28.59375
Acoustic Grand Piano,0,67,G4,127,0.09895833333333215,28.625,28.723958333333332
Acoustic Grand Piano,0,64,E4,127,0.109375,28.625,28.734375
Acoustic Grand Piano,0,71,B4,120,0.1197916666666643,28.875,28.994791666666664
Acoustic Grand Piano,0,59,B3,120,0.2135416666666643,28.875,29.088541666666664
Acoustic Grand Piano,0,67,G4,127,0.09895833333333215,29.125,29.223958333333332
Acoustic Grand Piano,0,64,E4,127,0.11458333333333215,29.125,29.239583333333332
Acoustic Grand Piano,0,71,B4,126,0.1354166666666643,29.375,29.510416666666664
Acoustic Grand Piano,0,59,B3,127,0.28645833333333215,29.375,29.661458333333332
Acoustic Grand Piano,0,67,G4,116,0.1875,29.625,29.8125
Acoustic Grand Piano,0,64,E4,127,0.203125,29.625,29.828125
Acoustic Grand Piano,0,59,B3,127,0.03645833333333215,29.875,29.911458333333332
Acoustic Grand Piano,0,62,D4,104,0.015625,30.0,30.015625
Acoustic Grand Piano,0,60,C4,127,0.125,30.0,30.125
Acoustic Grand Piano,0,58,A#3,127,0.13020833333333215,30.0,30.130208333333332
Acoustic Grand Piano,0,64,E4,120,0.13020833333333215,30.0,30.130208333333332
Acoustic Grand Piano,0,55,G3,118,0.13020833333333215,30.0,30.130208333333332
Acoustic Grand Piano,0,58,A#3,127,0.19270833333333215,30.25,30.442708333333332
Acoustic Grand Piano,0,55,G3,120,0.19270833333333215,30.25,30.442708333333332
Acoustic Grand Piano,0,60,C4,127,0.203125,30.25,30.453125
Acoustic Grand Piano,0,64,E4,116,0.20833333333333215,30.25,30.458333333333332
Acoustic Grand Piano,0,64,E4,108,0.06770833333333215,30.625,30.692708333333332
Acoustic Grand Piano,0,58,A#3,127,0.0729166666666643,30.625,30.697916666666664
Acoustic Grand Piano,0,55,G3,118,0.0729166666666643,30.625,30.697916666666664
Acoustic Grand Piano,0,60,C4,126,0.08333333333333215,30.625,30.708333333333332
Acoustic Grand Piano,0,58,A#3,127,0.390625,30.875,31.265625
Acoustic Grand Piano,0,64,E4,116,0.390625,30.875,31.265625
Acoustic Grand Piano,0,55,G3,120,0.390625,30.875,31.265625
Acoustic Grand Piano,0,60,C4,127,0.40625,30.875,31.28125
Acoustic Grand Piano,0,55,G3,124,0.09895833333333215,31.375,31.473958333333332
Acoustic Grand Piano,0,64,E4,124,0.1041666666666643,31.375,31.479166666666664
Acoustic Grand Piano,0,58,A#3,127,0.1041666666666643,31.375,31.479166666666664
Acoustic Grand Piano,0,60,C4,127,0.109375,31.375,31.484375
Acoustic Grand Piano,0,55,G3,120,0.1875,31.625,31.8125
Acoustic Grand Piano,0,58,A#3,127,0.203125,31.625,31.828125
Acoustic Grand Piano,0,60,C4,127,0.21875,31.625,31.84375
Acoustic Grand Piano,0,64,E4,124,0.2291666666666643,31.625,31.854166666666664
Acoustic Grand Piano,0,59,B3,127,0.1927083333333286,32.0,32.19270833333333
Acoustic Grand Piano,0,66,F#4,127,0.1041666666666643,32.25,32.354166666666664
Acoustic Grand Piano,0,63,D#4,120,0.109375,32.25,32.359375
Acoustic Grand Piano,0,60,C4,127,0.2552083333333286,32.375,32.63020833333333
Acoustic Grand Piano,0,66,F#4,127,0.078125,32.625,32.703125
Acoustic Grand Piano,0,63,D#4,126,0.09375,32.625,32.71875
Acoustic Grand Piano,0,71,B4,120,0.109375,32.875,32.984375
Acoustic Grand Piano,0,59,B3,124,0.265625,32.875,33.140625
Acoustic Grand Piano,0,66,F#4,127,0.0989583333333286,33.125,33.22395833333333
Acoustic Grand Piano,0,63,D#4,126,0.1145833333333286,33.125,33.23958333333333
Acoustic Grand Piano,0,71,B4,124,0.1197916666666643,33.375,33.494791666666664
Acoustic Grand Piano,0,59,B3,126,0.3072916666666643,33.375,33.682291666666664
Acoustic Grand Piano,0,63,D#4,126,0.1458333333333286,33.625,33.77083333333333
Acoustic Grand Piano,0,66,F#4,127,0.1614583333333286,33.625,33.78645833333333
Acoustic Grand Piano,0,59,B3,127,0.0416666666666643,33.875,33.916666666666664
Acoustic Grand Piano,0,67,G4,127,0.125,34.0,34.125
Acoustic Grand Piano,0,64,E4,127,0.125,34.0,34.125
Acoustic Grand Piano,0,59,B3,127,0.125,34.0,34.125
Acoustic Grand Piano,0,66,F#4,127,0.0729166666666643,34.375,34.447916666666664
Acoustic Grand Piano,0,57,A3,127,0.078125,34.375,34.453125
Acoustic Grand Piano,0,62,D4,127,0.0833333333333286,34.375,34.45833333333333
Acoustic Grand Piano,0,67,G4,127,0.15625,34.75,34.90625
Acoustic Grand Piano,0,64,E4,127,0.1614583333333286,34.75,34.91145833333333
Acoustic Grand Piano,0,59,B3,127,0.1666666666666643,34.75,34.916666666666664
Acoustic Grand Piano,0,66,F#4,127,0.0416666666666643,35.375,35.416666666666664
Acoustic Grand Piano,0,62,D4,127,0.0572916666666643,35.375,35.432291666666664
Acoustic Grand Piano,0,57,A3,127,0.0677083333333286,35.375,35.44270833333333
Acoustic Grand Piano,0,64,E4,127,0.1197916666666643,35.5,35.619791666666664
Acoustic Grand Piano,0,59,B3,127,0.125,35.5,35.625
Acoustic Grand Piano,0,67,G4,127,0.125,35.5,35.625
Acoustic Grand Piano,0,59,B3,127,0.1979166666666643,36.0,36.197916666666664
Acoustic Grand Piano,0,67,G4,127,0.1145833333333286,36.25,36.36458333333333
Acoustic Grand Piano,0,64,E4,127,0.1145833333333286,36.25,36.36458333333333
Acoustic Grand Piano,0,60,C4,127,0.1979166666666643,36.375,36.572916666666664
Acoustic Grand Piano,0,67,G4,127,0.078125,36.625,36.703125
Acoustic Grand Piano,0,64,E4,127,0.0989583333333286,36.625,36.72395833333333
Acoustic Grand Piano,0,59,B3,127,0.2083333333333286,36.875,37.08333333333333
Acoustic Grand Piano,0,67,G4,127,0.0677083333333286,37.125,37.19270833333333
Acoustic Grand Piano,0,64,E4,127,0.0885416666666643,37.125,37.213541666666664
Acoustic Grand Piano,0,60,C4,127,0.2135416666666643,37.375,37.588541666666664
Acoustic Grand Piano,0,64,E4,127,0.1458333333333286,37.625,37.77083333333333
Acoustic Grand Piano,0,67,G4,127,0.1822916666666643,37.625,37.807291666666664
Acoustic Grand Piano,0,60,C4,127,0.052083333333328596,37.875,37.92708333333333
Acoustic Grand Piano,0,59,B3,127,0.1822916666666643,38.0,38.182291666666664
Acoustic Grand Piano,0,64,E4,114,0.0885416666666643,38.25,38.338541666666664
Acoustic Grand Piano,0,67,G4,124,0.09375,38.25,38.34375
Acoustic Grand Piano,0,60,C4,126,0.2291666666666643,38.375,38.604166666666664
Acoustic Grand Piano,0,67,G4,127,0.0885416666666643,38.625,38.713541666666664
Acoustic Grand Piano,0,64,E4,127,0.109375,38.625,38.734375
Acoustic Grand Piano,0,59,B3,127,0.203125,38.875,39.078125
Acoustic Grand Piano,0,67,G4,127,0.0885416666666643,39.125,39.213541666666664
Acoustic Grand Piano,0,64,E4,127,0.0989583333333286,39.125,39.22395833333333
Acoustic Grand Piano,0,59,B3,127,0.21875,39.375,39.59375
Acoustic Grand Piano,0,64,E4,127,0.1510416666666643,39.625,39.776041666666664
Acoustic Grand Piano,0,67,G4,127,0.1770833333333286,39.625,39.80208333333333
Acoustic Grand Piano,0,59,B3,127,0.046875,39.875,39.921875
Acoustic Grand Piano,0,55,G3,127,0.1822916666666643,40.0,40.182291666666664
Acoustic Grand Piano,0,64,E4,127,0.0989583333333286,40.25,40.34895833333333
Acoustic Grand Piano,0,60,C4,126,0.1041666666666643,40.25,40.354166666666664
Acoustic Grand Piano,0,55,G3,127,0.203125,40.375,40.578125
Acoustic Grand Piano,0,64,E4,127,0.09375,40.625,40.71875
